"Name","Address","Website","Type","Awards offered","Campus setting","Campus housing","Student population","Undergraduate students","Graduation Rate","Transfer-Out Rate","Cohort Year *","Net Price **","Largest Program","IPEDS ID","OPE ID"
"Academy of Hair Design-Las Vegas","5191 W. Charleston, #150, Las Vegas, Nevada 89146","www.ahdvegas.com/","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","City: Large","No","222","222","83%","NA","2013-14","$13,854","Cosmetology/Cosmetologist, General","181880","01323200"
"Advanced Training Institute","5150 S. Decatur Blvd., Las Vegas, Nevada 89118-1519","www.atitraining.com","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","City: Midsize","No","442","442","NA","NA","2013-14","NA","Automobile/Automotive Mechanics Technology/Technician","461430","04171000"
"Altierus Career College-Henderson","170 North Stephaine Suite 145, Henderson, Nevada 89074-8811","https://www.altierus.org/campus/henderson","2-year, Private not-for-profit","One but less than two years certificate|Associate's degree","City: Large","No","287","287","46%","NA","Fall 2013","$19,592","-","182148","02237500"
"Arizona College-Las Vegas","2320 South Rancho Drive, Las Vegas, Nevada 89102-4512","www.arizonacollege.edu","4-year, Private for-profit","Bachelor's degree","City: Large","No","327","327","NA","NA","Fall 2010","$26,514","-","487375","03115002"
"Aviation Institute of Maintenance-Las Vegas","5870 S Eastern Ave, Las Vegas, Nevada 89119","www.aviationmaintenance.edu","2-year, Private for-profit","Two but less than 4 years certificate","City: Midsize","No","256","256","71%","NA","Fall 2013","$23,270","-","482255","03523301"
"Brightwood College-Las Vegas","3535 W. Sahara Avenue, Las Vegas, Nevada 89102","www.brightwood.edu","2-year, Private for-profit","One but less than two years certificate|Associate's degree","City: Large","No","423","423","57%","NA","Fall 2013","$19,661","Medical/Clinical Assistant","374875","03043200"
"Career College of Northern Nevada","1421 Pullman Dr., Sparks, Nevada 89434-7905","www.ccnn.edu","2-year, Private for-profit","One but less than two years certificate|Associate's degree","Suburb: Large","No","467","467","60%","NA","Fall 2013","$19,340","Medical/Clinical Assistant","181941","02621500"
"Carrington College-Las Vegas","5740 S. Eastern Ave., Ste. 140, Las Vegas, Nevada 89119","www.carrington.edu","2-year, Private for-profit","One but less than two years certificate|Associate's degree","City: Midsize","No","352","352","72%","4%","Fall 2013","$17,479","Respiratory Therapy Technician/Assistant","457101","02100613"
"Carrington College-Reno","5580 Kietzke Ln., Reno, Nevada 89511","www.carrington.edu","2-year, Private for-profit","One but less than two years certificate|Associate's degree","City: Midsize","No","360","360","84%","NA","Fall 2013","NA","Registered Nursing/Registered Nurse","457110","02218001"
"Casal Institute of Nevada","4856 S Eastern Ave, Las Vegas, Nevada 89119","www.avedalasvegas.com","2-year, Private for-profit","One but less than two years certificate|Two but less than 4 years certificate","City: Midsize","No","177","177","82%","NA","Fall 2013","$15,410","Cosmetology/Cosmetologist, General","455211","04147600"
"Chamberlain University-Nevada","9901 Covington Cross Drive, Las Vegas, Nevada 89144-6595","www.chamberlain.edu","4-year, Private for-profit","Bachelor's degree","City: Large","No","258","258","NA","NA","Fall 2010","$25,773","-","486938","00638515"
"College of Southern Nevada","6375 W. Charleston Blvd., Las Vegas, Nevada 89146-1164","www.csn.edu","4-year, primarily associate's, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree","City: Large","No","33556","33556","7%","15%","Fall 2010","$7,362","-","182005","01036200"
"DeVry University-Nevada","2490 Paseo Verde Pkwy., Ste. 150, Henderson, Nevada 89074","https://www.devry.edu","4-year, Private for-profit","Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree","City: Large","No","255","162","21%","21%","Fall 2010","$31,081","-","482547","01072755"
"Euphoria Institute of Beauty Arts & Sciences-Summerlin","9340 W. Sahara Ave Ste. 205, Las Vegas, Nevada 89117","www.lincolnedu.com/campus/las-vegas-summerlin-nv","2-year, Private for-profit","Less than one year certificate|One but less than two years certificate|Two but less than 4 years certificate","City: Large","No","248","248","69%","NA","Fall 2013","$17,747","Cosmetology/Cosmetologist, General","450720","01246110"
"European Massage Therapy School-Las Vegas","9440 W. Sahara Ave., suite 250, Las Vegas, Nevada 89117","www.school-for-massage.com","< 2-year, Private for-profit","Less than one year certificate","City: Large","No","77","77","NA","NA","2013-14","NA","Massage Therapy/Therapeutic Massage","458423","03881401"
"Expertise Cosmetology Institute","1911 Stella Lake Street, Las Vegas, Nevada 89106","www.expertisebeauty.com","2-year, Private not-for-profit","Less than one year certificate|One but less than two years certificate|Two but less than 4 years certificate","City: Large","No","161","161","88%","NA","Fall 2013","$12,742","Cosmetology/Cosmetologist, General","444592","03787300"
"Great Basin College","1500 College Parkway, Elko, Nevada 89801","www.gbcnv.edu","4-year, primarily associate's, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree","Town: Remote","Yes","3396","3396","24%","15%","Fall 2010","$11,484","-","182306","00697700"
"Healthcare Preparatory Institute","5831 West Craig Road  Suite 102, Las Vegas, Nevada 89130-2580","www.healthcareprep.edu","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","City: Large","No","5","5","76%","NA","2013-14","$23,827","Medical/Health Management and Clinical Assistant/Specialist","483966","04226200"
"Institute of Professional Careers","4448 South Eastern Avenue, Las Vegas, Nevada 89119","www.ipclasvegas.com/","< 2-year, Private for-profit","Less than one year certificate","City: Midsize","No","6","6","100%","NA","2013-14","$13,997","Dental Assisting/Assistant","448044","03975300"
"International Academy of Style","2295 Market st, Reno, Nevada 89502-1559","www.internationalacademyofstyle.com","2-year, Private for-profit","Less than one year certificate|One but less than two years certificate|Two but less than 4 years certificate","City: Midsize","No","112","112","93%","NA","Fall 2013","$10,901","Cosmetology/Cosmetologist, General","457785","04144800"
"Le Cordon Bleu College of Culinary Arts-Las Vegas","2495 Village View Drive, Las Vegas, Nevada 89074","www.chefs.edu/las-vegas","2-year, Private for-profit","One but less than two years certificate|Associate's degree","City: Large","No","240","240","51%","NA","Fall 2013","NA","-","445115","02616703"
"Milan Institute of Cosmetology-Reno","4020 Kietzke Lane, Reno, Nevada 89502","www.milaninstitute.edu","2-year, Private for-profit","Less than one year certificate|Two but less than 4 years certificate","City: Midsize","No","206","206","49%","NA","Fall 2013","$16,548","Cosmetology/Cosmetologist, General","454555","02248207"
"Milan Institute-Las Vegas","710 South Tonopah Drive, Las Vegas, Nevada 89106-4031","www.milaninstitute.edu","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","City: Large","No","366","366","69%","NA","2013-14","$20,716","Medical/Clinical Assistant","475325","03422304"
"Milan Institute-Sparks","950 Industrial Way, Sparks, Nevada 89431","www.milaninstitute.edu","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","Suburb: Large","No","258","258","72%","NA","2013-14","$21,565","Medical/Clinical Assistant","443669","02497309"
