New Hampshire
National Center for Education Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSS Private School Universe Survey data 2015-2016 school year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The file contains (189) records based on your search.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user. For more information about this data, visit the PSS homepage. http://nces.ed.gov/surveys/pss",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSS_SCHOOL_ID,PSS_INST,LoGrade,HiGrade,PSS_ADDRESS,PSS_CITY,PSS_COUNTY_NO,PSS_COUNTY_FIPS,PSS_STABB,PSS_FIPS,PSS_ZIP5,PSS_PHONE,PSS_SCH_DAYS,PSS_STU_DAY_HRS,PSS_LIBRARY,PSS_ENROLL_UG,PSS_ENROLL_PK,PSS_ENROLL_K,PSS_ENROLL_1,PSS_ENROLL_2,PSS_ENROLL_3,PSS_ENROLL_4,PSS_ENROLL_5,PSS_ENROLL_6,PSS_ENROLL_7,PSS_ENROLL_8,PSS_ENROLL_9,PSS_ENROLL_10,PSS_ENROLL_11,PSS_ENROLL_12,PSS_ENROLL_T,PSS_ENROLL_TK12,PSS_RACE_AI,PSS_RACE_AS,PSS_RACE_H,PSS_RACE_B,PSS_RACE_W,PSS_RACE_P,PSS_RACE_2,PSS_FTE_TEACH,PSS_LOCALE,PSS_COED,PSS_TYPE,PSS_LEVEL,PSS_RELIG,PSS_COMM_TYPE,PSS_INDIAN_PCT,PSS_ASIAN_PCT,PSS_HISP_PCT,PSS_BLACK_PCT,PSS_WHITE_PCT,P_PACISL_PCT,P_TWOMORE_PCT,PSS_STDTCH_RT,PSS_ORIENT,PSS_COUNTY_NAME,PSS_ASSOC_1,PSS_ASSOC_2,PSS_ASSOC_3,PSS_ASSOC_4,PSS_ASSOC_5,PSS_ASSOC_6,PSS_ASSOC_7,PSS_ASSOC_8
A1371261,A PLACE TO GROW,2,3,6 FOREST ST,EXETER,33015,015,NH,33,03833,6034011499,250,,Yes,,20,3,,,,,,,,,,,,,23,3,0,0,0,0,3,0,0,1.3,41,1,7,1,3,4,0,0,0,0,100,0,0,2.31,30,ROCKINGHAM,This school does not belong to ANY associations or organizations,,,,,,,
A9707219,ACORN SCHOOL,2,3,PO BOX 570,STRATHAM,33015,015,NH,33,03885,6037788285,163,5,No,,86,18,,,,,,,,,,,,,104,18,0,0,0,0,18,0,0,3.5,23,1,7,1,3,2,0,0,0,0,100,0,0,5.14,30,ROCKINGHAM,National Association for the Education of Young Children (NAEYC),,,,,,,
A1371263,ALPHA BITS LEARNING CENTER II,2,3,333 ALLARD DR,MANCHESTER,33011,011,NH,33,03102,6036416642,,6.08,No,,36,30,,,,,,,,,,,,,66,30,,,,,,,,2.9,12,1,7,1,3,1,,,,,,,,10.34,30,HILLSBOROUGH,This school does not belong to ANY associations or organizations,,,,,,,
A1371264,ALPHA BITS LEARNING CENTER II,2,3,227 LONDONDERRY TPKE,MANCHESTER,33011,011,NH,33,03104,6036246650,,,,,42,23,,,,,,,,,,,,,65,23,0,0,2,4,17,0,0,,12,1,7,1,3,1,0,0,8.7,17.39,73.91,0,0,,,HILLSBOROUGH,,,,,,,,
A0507887,APPLESEEDS DAY SCHOOL,2,3,15 HAMPTON RD,EXETER,33015,015,NH,33,03833,6037729995,255,10.75,No,,25,45,,,,,,,,,,,,,70,45,0,0,2,2,41,0,0,2,23,1,7,1,3,2,0,0,4.44,4.44,91.11,0,0,22.5,30,ROCKINGHAM,National Association for the Education of Young Children (NAEYC),,,,,,,
A9502708,AUBURN MONTESSORI SCHOOL,2,3,78 ROCKINGHAM RD,AUBURN,33015,015,NH,33,03032,6036271691,180,5,No,,23,7,,,,,,,,,,,,,30,7,0,0,0,0,7,0,0,1,22,1,2,1,3,2,0,0,0,0,100,0,0,7,30,ROCKINGHAM,Other Montessori association(s),National Association for the Education of Young Children (NAEYC),,,,,,
A9502709,BEDFORD MONTESSORI SCHOOL INC,2,3,24 TIRRELL HILL RD,BEDFORD,33011,011,NH,33,03110,6036279545,170,6,No,,40,15,,,,,,,,,,,,,55,15,0,0,0,0,12,0,3,2,22,1,2,1,3,2,0,0,0,0,80,0,20,7.5,30,HILLSBOROUGH,American Montessori Society (AMS),Other Montessori association(s),,,,,,
A9707225,BEDFORD VILLAGE MORNING SCHOOL,2,3,19 MINISTERIAL RD,BEDFORD,33011,011,NH,33,03110,6034725531,110,3.5,No,,56,16,,,,,,,,,,,,,72,16,0,0,0,0,16,0,0,1.3,22,1,7,1,3,2,0,0,0,0,100,0,0,12.31,30,HILLSBOROUGH,This school does not belong to ANY associations or organizations,,,,,,,
A0106172,BETHLEHEM CHRISTIAN SCHOOL,6,17,PO BOX 303,BETHLEHEM,33009,009,NH,33,03574,6038695401,180,6.25,Yes,,,,1,,1,,2,1,1,1,3,1,3,3,17,17,0,0,3,0,14,0,0,3.3,42,1,1,3,2,4,0,0,17.65,0,82.35,0,0,5.15,8,GRAFTON,Accelerated Christian Education (ACE) or (School of Tomorrow),,,,,,,
00851459,BISHOP BRADY HIGH SCHOOL,14,17,25 COLUMBUS AVE,CONCORD,33013,013,NH,33,03301,6032247418,180,6.67,Yes,,,,,,,,,,,,74,87,100,88,349,349,0,31,3,3,312,0,0,27.1,31,1,1,2,1,3,0,8.88,0.86,0.86,89.4,0,0,12.88,1,MERRIMACK,National Catholic Educational Association (NCEA),,,,,,,
