Hawaii
National Center for Education Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSS Private School Universe Survey data 2015-2016 school year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The file contains (104) records based on your search.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user. For more information about this data, visit the PSS homepage. http://nces.ed.gov/surveys/pss",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSS_SCHOOL_ID,PSS_INST,LoGrade,HiGrade,PSS_ADDRESS,PSS_CITY,PSS_COUNTY_NO,PSS_COUNTY_FIPS,PSS_STABB,PSS_FIPS,PSS_ZIP5,PSS_PHONE,PSS_SCH_DAYS,PSS_STU_DAY_HRS,PSS_LIBRARY,PSS_ENROLL_UG,PSS_ENROLL_PK,PSS_ENROLL_K,PSS_ENROLL_1,PSS_ENROLL_2,PSS_ENROLL_3,PSS_ENROLL_4,PSS_ENROLL_5,PSS_ENROLL_6,PSS_ENROLL_7,PSS_ENROLL_8,PSS_ENROLL_9,PSS_ENROLL_10,PSS_ENROLL_11,PSS_ENROLL_12,PSS_ENROLL_T,PSS_ENROLL_TK12,PSS_RACE_AI,PSS_RACE_AS,PSS_RACE_H,PSS_RACE_B,PSS_RACE_W,PSS_RACE_P,PSS_RACE_2,PSS_FTE_TEACH,PSS_LOCALE,PSS_COED,PSS_TYPE,PSS_LEVEL,PSS_RELIG,PSS_COMM_TYPE,PSS_INDIAN_PCT,PSS_ASIAN_PCT,PSS_HISP_PCT,PSS_BLACK_PCT,PSS_WHITE_PCT,P_PACISL_PCT,P_TWOMORE_PCT,PSS_STDTCH_RT,PSS_ORIENT,PSS_COUNTY_NAME,PSS_ASSOC_1,PSS_ASSOC_2,PSS_ASSOC_3,PSS_ASSOC_4,PSS_ASSOC_5,PSS_ASSOC_6,PSS_ASSOC_7,PSS_ASSOC_8
A0102965,ADVENTIST MALAMA ELEMENTARY SCHOOL,3,13,86-072 FARRINGTON HWY,WAIANAE,15003,003,HI,15,96792,8086963988,180,6.5,Yes,,,13,13,5,10,4,8,2,2,6,,,,,63,63,0,0,0,7,0,56,0,4,21,1,1,1,2,2,0,0,0,11.11,0,88.89,0,15.75,28,HONOLULU,Other religious school association(s),,,,,,,
A0700791,AKAULA SCHOOL,10,16,PO BOX 2098,KAUNAKAKAI,15009,009,HI,15,96748,8085676980,176,7.5,Yes,,,,,,,,4,4,9,7,6,5,2,,37,37,0,0,4,0,4,29,0,2.6,43,1,1,3,3,4,0,0,10.81,0,10.81,78.38,0,14.23,30,MAUI,State or regional independent school association,,,,,,,
A0901384,AMERICAN RENAISSANCE ACADEMY,3,17,PO BOX 75357,KAPOLEI,15003,003,HI,15,96707,8086827337,180,8,Yes,,,6,7,7,6,10,6,4,5,5,7,5,4,3,75,75,0,10,0,0,7,2,56,14.6,21,1,1,3,3,2,0,13.33,0,0,9.33,2.67,74.67,5.14,30,HONOLULU,State or regional independent school association,,,,,,,
A1501498,ARK OF SAFETY CHRISTIAN ACADEMY,2,13,85-179 WAIANAE VALLEY RD,WAIANAE,15003,003,HI,15,96792,8086968928,174,6.5,No,,44,10,9,2,,4,,2,2,3,,,,,76,32,0,0,2,0,9,19,2,12,21,1,1,1,2,2,0,0,6.25,0,28.13,59.38,6.25,2.67,26,HONOLULU,National Association for the Education of Young Children (NAEYC),,,,,,,
00327241,ASSETS SCHOOL,6,17,1 OHANA NUI WAY,HONOLULU,15003,003,HI,15,96818,8084231356,168,7.17,Yes,,,,1,14,17,24,28,35,47,27,40,40,34,18,325,325,0,81,1,3,80,2,158,51.6,21,1,4,3,3,2,0,24.92,0.31,0.92,24.62,0.62,48.62,6.3,30,HONOLULU,National Association of Independent Schools (NAIS),State or regional independent school association,,,,,,
A0700792,CALVARY BY THE SEA MONTESSORI SCHOOL,2,4,5339 KALANIANAOLE HWY,HONOLULU,15003,003,HI,15,96821,8085415636,185,,Yes,14,40,2,,,,,,,,,,,,,56,16,,,,,,,,1,21,1,2,1,2,2,,,,,,,,16,21,HONOLULU,Evangelical Lutheran Education Association (ELEA),Association Montessori International,,,,,,
A0901385,CALVARY CHAPEL CHRISTIAN SCHOOL,3,17,98-1016 KOMO MAI DR,AIEA,15003,003,HI,15,96701,8085240846,175,7.5,Yes,,,14,11,20,17,20,11,12,10,18,7,14,12,12,178,178,0,160,10,3,2,1,2,15.6,21,1,1,3,2,2,0,89.89,5.62,1.69,1.12,0.56,1.12,11.41,29,HONOLULU,This school does not belong to ANY associations or organizations,,,,,,,
00326543,CATHEDRAL CATHOLIC ACADEMY,3,13,1728 NUUANU AVE,HONOLULU,15003,003,HI,15,96817,8085332069,180,8,Yes,,,9,7,8,4,7,14,5,11,5,,,,,70,70,0,27,3,0,4,22,14,6,11,1,1,1,1,1,0,38.57,4.29,0,5.71,31.43,20,11.67,1,HONOLULU,National Catholic Educational Association (NCEA),Other school association(s),,,,,,
A1301204,CENTRAL CHRISTIAN SCHOOL,2,3,95-388 WIKAO ST,MILILANI,15003,003,HI,15,96789,8083474417,188,4,No,,23,13,,,,,,,,,,,,,36,13,0,1,2,3,7,0,0,0.9,21,1,7,1,2,2,0,7.69,15.38,23.08,53.85,0,0,14.44,27,HONOLULU,Other school association(s),,,,,,,
K9301874,CHAMINADE UNIVERSITY MONTESSORI LAB SCHOOL-L ROBER,2,3,3140 WALALAE AVENUE,HONOLULU,15003,003,HI,15,96816,8087354875,180,10,Yes,,26,10,,,,,,,,,,,,,36,10,0,3,0,0,5,1,1,4,11,1,2,1,1,1,0,30,0,0,50,10,10,2.5,1,HONOLULU,National Catholic Educational Association (NCEA),American Montessori Society (AMS),Other school association(s),,,,,
