Colorado
National Center for Education Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSS Private School Universe Survey data 2015-2016 school year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The file contains (301) records based on your search.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user. For more information about this data, visit the PSS homepage. http://nces.ed.gov/surveys/pss",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSS_SCHOOL_ID,PSS_INST,LoGrade,HiGrade,PSS_ADDRESS,PSS_CITY,PSS_COUNTY_NO,PSS_COUNTY_FIPS,PSS_STABB,PSS_FIPS,PSS_ZIP5,PSS_PHONE,PSS_SCH_DAYS,PSS_STU_DAY_HRS,PSS_LIBRARY,PSS_ENROLL_UG,PSS_ENROLL_PK,PSS_ENROLL_K,PSS_ENROLL_1,PSS_ENROLL_2,PSS_ENROLL_3,PSS_ENROLL_4,PSS_ENROLL_5,PSS_ENROLL_6,PSS_ENROLL_7,PSS_ENROLL_8,PSS_ENROLL_9,PSS_ENROLL_10,PSS_ENROLL_11,PSS_ENROLL_12,PSS_ENROLL_T,PSS_ENROLL_TK12,PSS_RACE_AI,PSS_RACE_AS,PSS_RACE_H,PSS_RACE_B,PSS_RACE_W,PSS_RACE_P,PSS_RACE_2,PSS_FTE_TEACH,PSS_LOCALE,PSS_COED,PSS_TYPE,PSS_LEVEL,PSS_RELIG,PSS_COMM_TYPE,PSS_INDIAN_PCT,PSS_ASIAN_PCT,PSS_HISP_PCT,PSS_BLACK_PCT,PSS_WHITE_PCT,P_PACISL_PCT,P_TWOMORE_PCT,PSS_STDTCH_RT,PSS_ORIENT,PSS_COUNTY_NAME,PSS_ASSOC_1,PSS_ASSOC_2,PSS_ASSOC_3,PSS_ASSOC_4,PSS_ASSOC_5,PSS_ASSOC_6,PSS_ASSOC_7,PSS_ASSOC_8
A9101510,A CHILD'S TOUCH,2,4,9141 POZE BLVD,THORNTON,08001,001,CO,08,80229,3032868460,180,7,Yes,,55,36,,,,,,,,,,,,,91,36,,,,,,,,2,21,1,7,1,2,2,,,,,,,,18,8,ADAMS,Association of Christian Schools International (ACSI),,,,,,,
A1170447,A RAINBOW OF FRIENDS PRESCHOOL,2,6,9355 PEACEFUL VALLEY RD,COLORADO SPRINGS,08041,041,CO,08,80925,7192432043,184,7,No,,85,25,4,,,,,,,,,,,,114,29,0,0,0,1,28,0,0,1.4,21,1,7,1,2,2,0,0,0,3.45,96.55,0,0,20.71,8,EL PASO,This school does not belong to ANY associations or organizations,,,,,,,
A9705126,ABIDING HOPE PRESCHOOL,2,4,6337 S ROBB WAY,LITTLETON,08059,059,CO,08,80127,3039329160,179,6,No,,138,16,,,,,,,,,,,,,154,16,0,0,0,0,16,0,0,2.1,21,1,7,1,2,2,0,0,0,0,100,0,0,7.62,23,JEFFERSON,Evangelical Lutheran Education Association (ELEA),National Association for the Education of Young Children (NAEYC),,,,,,
A0101393,ACCELERATED SCHOOLS,7,17,2160 S COOK ST,DENVER,08031,031,CO,08,80210,3037582003,180,6,No,,,,,1,,,3,,2,3,5,9,5,8,36,36,0,8,0,0,28,0,0,6,11,1,1,3,3,1,0,22.22,0,0,77.78,0,0,6,30,DENVER,This school does not belong to ANY associations or organizations,,,,,,,
00209159,ALEXANDER DAWSON SCHOOL,3,17,10455 DAWSON DR,LAFAYETTE,08013,013,CO,08,80026,3036656679,171,7,Yes,,,14,14,12,20,27,34,39,54,55,67,58,61,61,516,516,0,32,31,9,444,0,0,56.3,41,1,1,3,3,4,0,6.2,6.01,1.74,86.05,0,0,9.17,30,BOULDER,National Association of Independent Schools (NAIS),State or regional independent school association,,,,,,
A9705129,ALPINE VALLEY SCHOOL,1,1,4501 PARFET ST,WHEAT RIDGE,08059,059,CO,08,80033,3032710525,174,8,No,25,,,,,,,,,,,,,,,25,25,1,0,1,1,22,0,0,3.8,21,1,3,3,3,2,4,0,4,4,88,0,0,6.58,30,JEFFERSON,,,,,,,,
A1170451,AMBLESIDE SCHOOL,3,13,1510 E PHILLIPS AVE,CENTENNIAL,08005,005,CO,08,80122,7204680464,173,7.58,Yes,,,14,15,15,15,10,8,11,6,5,,,,,99,99,0,0,0,3,96,0,0,10.4,21,1,1,1,2,2,0,0,0,3.03,96.97,0,0,9.52,8,ARAPAHOE,Other religious school association(s),,,,,,,
00208177,ANNUNCIATION,3,13,3536 N LAFAYETTE ST,DENVER,08031,031,CO,08,80205,3032952515,185,8,Yes,22,,17,12,22,21,18,25,18,19,21,,,,,195,195,0,0,175,19,1,0,0,17.1,11,1,1,1,1,1,0,0,89.74,9.74,0.51,0,0,11.4,1,DENVER,National Catholic Educational Association (NCEA),,,,,,,
A1100396,APPLETREE CHRISTIAN PRESCHOOL,2,3,545 W 10TH AVE,BROOMFIELD,08014,014,CO,08,80020,3034668365,162,5.25,No,,46,10,,,,,,,,,,,,,56,10,0,0,0,0,10,0,0,1,13,1,7,1,2,1,0,0,0,0,100,0,0,10,25,BROOMFIELD,This school does not belong to ANY associations or organizations,,,,,,,
A1399003,ARMA DEI ACADEMY,3,13,345 E WILDCAT RESERVE PKWY,HIGHLANDS RANCH,08035,035,CO,08,80126,3033464523,172,6.25,Yes,,,12,16,16,16,10,10,13,8,2,,,,,103,103,0,0,8,5,90,0,0,11.9,21,1,1,1,2,2,0,0,7.77,4.85,87.38,0,0,8.66,8,DOUGLAS,Association of Classical and Christian Schools,,,,,,,
