Montana
National Center for Education Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSS Private School Universe Survey data 2015-2016 school year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The file contains (98) records based on your search.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user. For more information about this data, visit the PSS homepage. http://nces.ed.gov/surveys/pss",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSS_SCHOOL_ID,PSS_INST,LoGrade,HiGrade,PSS_ADDRESS,PSS_CITY,PSS_COUNTY_NO,PSS_COUNTY_FIPS,PSS_STABB,PSS_FIPS,PSS_ZIP5,PSS_PHONE,PSS_SCH_DAYS,PSS_STU_DAY_HRS,PSS_LIBRARY,PSS_ENROLL_UG,PSS_ENROLL_PK,PSS_ENROLL_K,PSS_ENROLL_1,PSS_ENROLL_2,PSS_ENROLL_3,PSS_ENROLL_4,PSS_ENROLL_5,PSS_ENROLL_6,PSS_ENROLL_7,PSS_ENROLL_8,PSS_ENROLL_9,PSS_ENROLL_10,PSS_ENROLL_11,PSS_ENROLL_12,PSS_ENROLL_T,PSS_ENROLL_TK12,PSS_RACE_AI,PSS_RACE_AS,PSS_RACE_H,PSS_RACE_B,PSS_RACE_W,PSS_RACE_P,PSS_RACE_2,PSS_FTE_TEACH,PSS_LOCALE,PSS_COED,PSS_TYPE,PSS_LEVEL,PSS_RELIG,PSS_COMM_TYPE,PSS_INDIAN_PCT,PSS_ASIAN_PCT,PSS_HISP_PCT,PSS_BLACK_PCT,PSS_WHITE_PCT,P_PACISL_PCT,P_TWOMORE_PCT,PSS_STDTCH_RT,PSS_ORIENT,PSS_COUNTY_NAME,PSS_ASSOC_1,PSS_ASSOC_2,PSS_ASSOC_3,PSS_ASSOC_4,PSS_ASSOC_5,PSS_ASSOC_6,PSS_ASSOC_7,PSS_ASSOC_8
A1301817,ACADIA MONTANA,3,17,55 BASIN CREEK RD,BUTTE,30093,093,MT,30,59701,4064966347,260,6,No,,,1,,5,7,8,13,13,9,9,18,8,5,3,99,99,0,0,0,0,94,3,2,6,41,1,4,3,3,4,0,0,0,0,94.95,3.03,2.02,16.5,30,SILVER BOW,This school does not belong to ANY associations or organizations,,,,,,,
A1101404,BEACON STAR AMISH SCHOOL,3,13,549 KIRKEMINDES RD.,MOORE,30027,027,MT,30,59464,4063800284,160,6.25,No,,,4,4,3,4,2,6,3,2,2,,,,,30,30,0,0,0,0,30,0,0,2,42,1,1,1,2,4,0,0,0,0,100,0,0,15,3,FERGUS,Association Montessori International,,,,,,,
A0902049,BIG HORN VALLEY CHRISTIAN SCHOOL,6,13,HC 36 BOX 2118,HARDIN,30003,003,MT,30,59034,4066654075,163,7,Yes,,,,2,2,2,3,1,5,2,3,,,,,20,20,0,0,0,0,20,0,0,3,41,1,1,1,2,4,0,0,0,0,100,0,0,6.67,24,BIG HORN,This school does not belong to ANY associations or organizations,,,,,,,
02042151,BILLINGS CHRISTIAN SCHOOLS,2,17,4519 GRAND AVE,BILLINGS,30111,111,MT,30,59106,4066563242,180,7.33,Yes,,27,21,23,25,20,22,16,23,20,19,15,25,18,18,292,265,9,8,15,5,210,4,14,22.4,12,1,1,3,2,1,3.4,3.02,5.66,1.89,79.25,1.51,5.28,11.83,8,YELLOWSTONE,Association of Christian Schools International (ACSI),,,,,,,
A9502632,BILLINGS MONTESSORI SCHOOL,2,3,2316 REHBERG LN,BILLINGS,30111,111,MT,30,59102,4066521112,182,8,Yes,,43,12,,,,,,,,,,,,,55,12,0,0,0,0,12,0,0,2.3,12,1,2,1,3,1,0,0,0,0,100,0,0,5.22,30,YELLOWSTONE,This school does not belong to ANY associations or organizations,,,,,,,
A0105807,BLODGETT VIEW CHRISTIAN SCHOOL,5,13,119 WESTBRIDGE RD,HAMILTON,30081,081,MT,30,59840,4063630575,180,7,Yes,,,1,3,,1,2,1,1,,1,,,,,10,10,0,0,0,0,9,0,1,1,41,1,1,1,2,4,0,0,0,0,90,0,10,10,28,RAVALLI,General Conference of the Seventh-Day Adventist Church (GCSDAC),,,,,,,
AA890544,BOZEMAN SUMMIT SCHOOOL,2,10,3001 W VILLARD ST,BOZEMAN,30031,031,MT,30,59718,4065853778,180,7,Yes,,13,1,6,7,6,4,4,,,,,,,,41,28,1,0,2,0,24,1,0,6.1,33,1,2,1,3,3,3.57,0,7.14,0,85.71,3.57,0,4.59,30,GALLATIN,American Montessori Society (AMS),,,,,,,
02861319,BUTTE CENTRAL CATHOLIC ELEMENTARY SCHOOL,2,13,1100 DELAWARE AVE,BUTTE,30093,093,MT,30,59701,4067824500,185,6.75,Yes,,45,21,11,20,13,24,22,18,30,46,,,,,250,205,13,0,10,0,174,2,6,17.4,33,1,1,1,1,3,6.34,0,4.88,0,84.88,0.98,2.93,11.78,1,SILVER BOW,National Catholic Educational Association (NCEA),,,,,,,
A9103866,BUTTE CENTRAL CATHOLIC SCHOOLS,2,17,9 S IDAHO ST,BUTTE,30093,093,MT,30,59701,4067826761,180,7.17,Yes,,63,21,11,21,13,25,22,18,29,44,27,43,37,37,411,348,10,6,2,1,326,0,3,25.1,33,1,1,3,1,3,2.87,1.72,0.57,0.29,93.68,0,0.86,13.86,1,SILVER BOW,National Catholic Educational Association (NCEA),Other religious school association(s),,,,,,
A1101408,CAPITAL VIEW CHRISTIAN SCHOOL,6,12,3108 MCHUGH LANE,HELENA,30049,049,MT,30,59601,4064225111,180,7.25,Yes,,,,1,,1,1,,,1,,,,,,4,4,0,0,1,0,3,0,0,1,33,1,1,1,2,3,0,0,25,0,75,0,0,4,28,LEWIS AND CLARK,General Conference of the Seventh-Day Adventist Church (GCSDAC),Other school association(s),,,,,,
