Connecticut
National Center for Education Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSS Private School Universe Survey data 2015-2016 school year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The file contains (281) records based on your search.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user. For more information about this data, visit the PSS homepage. http://nces.ed.gov/surveys/pss",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSS_SCHOOL_ID,PSS_INST,LoGrade,HiGrade,PSS_ADDRESS,PSS_CITY,PSS_COUNTY_NO,PSS_COUNTY_FIPS,PSS_STABB,PSS_FIPS,PSS_ZIP5,PSS_PHONE,PSS_SCH_DAYS,PSS_STU_DAY_HRS,PSS_LIBRARY,PSS_ENROLL_UG,PSS_ENROLL_PK,PSS_ENROLL_K,PSS_ENROLL_1,PSS_ENROLL_2,PSS_ENROLL_3,PSS_ENROLL_4,PSS_ENROLL_5,PSS_ENROLL_6,PSS_ENROLL_7,PSS_ENROLL_8,PSS_ENROLL_9,PSS_ENROLL_10,PSS_ENROLL_11,PSS_ENROLL_12,PSS_ENROLL_T,PSS_ENROLL_TK12,PSS_RACE_AI,PSS_RACE_AS,PSS_RACE_H,PSS_RACE_B,PSS_RACE_W,PSS_RACE_P,PSS_RACE_2,PSS_FTE_TEACH,PSS_LOCALE,PSS_COED,PSS_TYPE,PSS_LEVEL,PSS_RELIG,PSS_COMM_TYPE,PSS_INDIAN_PCT,PSS_ASIAN_PCT,PSS_HISP_PCT,PSS_BLACK_PCT,PSS_WHITE_PCT,P_PACISL_PCT,P_TWOMORE_PCT,PSS_STDTCH_RT,PSS_ORIENT,PSS_COUNTY_NAME,PSS_ASSOC_1,PSS_ASSOC_2,PSS_ASSOC_3,PSS_ASSOC_4,PSS_ASSOC_5,PSS_ASSOC_6,PSS_ASSOC_7,PSS_ASSOC_8
A0507274,A CHILD'S GARDEN,2,3,20 IVY BROOK RD,SHELTON,09001,001,CT,09,06484,2034020334,250,,Yes,,94,6,,,,,,,,,,,,,100,6,0,0,0,0,6,0,0,2,21,1,7,1,3,2,0,0,0,0,100,0,0,3,30,FAIRFIELD,This school does not belong to ANY associations or organizations,,,,,,,
00230963,ACADEMY OF OUR LADY OF MERCY - LAURALTON HALL,14,17,200 HIGH ST,MILFORD,09009,009,CT,09,06460,2038772786,165,6.33,Yes,,,,,,,,,,,,115,114,130,108,467,467,0,35,32,28,356,0,16,42,13,2,1,2,1,1,0,7.49,6.85,6,76.23,0,3.43,11.12,1,NEW HAVEN,National Catholic Educational Association (NCEA),National Coalition of Girls' Schools (NCGS),National Association of Independent Schools (NAIS),State or regional independent school association,,,,
00232461,ACADEMY OF THE HOLY FAMILY,14,17,54 W MAIN ST BOX 691,BALTIC,09011,011,CT,09,06330,8608229272,180,6.67,Yes,,,,,,,,,,,,4,11,8,4,27,27,0,3,6,5,12,0,1,11.4,41,2,1,2,1,4,0,11.11,22.22,18.52,44.44,0,3.7,2.37,1,NEW LONDON,National Catholic Educational Association (NCEA),National Coalition of Girls' Schools (NCGS),Other school association(s),,,,,
00233705,ADELBROOK,2,17,60 HICKSVILLE RD,CROMWELL,09007,007,CT,09,06416,8606356010,180,6.5,Yes,,1,1,2,2,2,9,4,9,9,6,11,11,19,15,101,100,0,0,29,29,42,0,0,24.4,21,1,4,3,2,2,0,0,29,29,42,0,0,4.1,29,MIDDLESEX,This school does not belong to ANY associations or organizations,,,,,,,
A1390070,ALL NATIONS CHRISTIAN ACADEMY,3,8,358 LENOX ST,NEW HAVEN,09009,009,CT,09,06513,2034676083,180,7.5,No,,,6,3,4,2,,,,,,,,,,15,15,0,0,7,4,4,0,0,4.8,12,1,1,1,2,1,0,0,46.67,26.67,26.67,0,0,3.13,29,NEW HAVEN,This school does not belong to ANY associations or organizations,,,,,,,
00232042,ALL SAINTS CATHOLIC SCHOOL,2,13,139 W ROCKS RD,NORWALK,09001,001,CT,09,06851,2038473881,180,6.5,Yes,,82,46,32,50,36,50,44,57,49,47,,,,,493,411,0,8,18,41,336,0,8,30.5,13,1,1,1,1,1,0,1.95,4.38,9.98,81.75,0,1.95,13.48,1,FAIRFIELD,National Catholic Educational Association (NCEA),Other special emphasis association(s),Other school association(s),,,,,
A1100437,ALPHA & OMEGA CHRISTIAN ACADEMY,3,17,50 LINDEN ST,WATERBURY,09009,009,CT,09,06702,2037542557,180,7,Yes,,,1,1,4,,,1,1,3,1,1,,,1,14,14,0,0,5,4,2,3,0,6,22,1,6,3,2,2,0,0,35.71,28.57,14.29,21.43,0,2.33,26,NEW HAVEN,Accelerated Christian Education (ACE) or (School of Tomorrow),,,,,,,
00233942,AMERICAN SCHOOL FOR THE DEAF,2,17,139 N MAIN ST,WEST HARTFORD,09003,003,CT,09,06107,8605702300,180,6.3,Yes,,6,3,4,8,9,7,3,8,15,6,15,17,21,31,153,147,0,8,43,30,53,0,13,48.3,13,1,4,3,3,1,0,5.44,29.25,20.41,36.05,0,8.84,3.04,30,HARTFORD,National Association of Private Special Education Centers (NAPSEC),Other association(s) for exceptional children,,,,,,
A1100438,ANCHOR ACADEMY,3,13,PO BOX 774,NORWALK,09001,001,CT,09,06852,2036424501,160,6,Yes,,,7,10,7,8,8,10,6,5,7,,,,,68,68,0,3,13,5,47,0,0,6.8,13,1,1,1,1,1,0,4.41,19.12,7.35,69.12,0,0,10,1,FAIRFIELD,Other school association(s),,,,,,,
A0990027,APPLE BLOSSOM SCHOOL & FAMILY CENTER,3,3,440 DANBURY RD,WILTON,09001,001,CT,09,06897,2034934003,195,4.5,Yes,,,14,,,,,,,,,,,,,14,14,0,9,0,0,5,0,0,2,21,1,7,1,3,2,0,64.29,0,0,35.71,0,0,7,30,FAIRFIELD,Other school association(s),,,,,,,
