Tennessee
National Center for Education Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSS Private School Universe Survey data 2015-2016 school year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The file contains (374) records based on your search.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user. For more information about this data, visit the PSS homepage. http://nces.ed.gov/surveys/pss",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSS_SCHOOL_ID,PSS_INST,LoGrade,HiGrade,PSS_ADDRESS,PSS_CITY,PSS_COUNTY_NO,PSS_COUNTY_FIPS,PSS_STABB,PSS_FIPS,PSS_ZIP5,PSS_PHONE,PSS_SCH_DAYS,PSS_STU_DAY_HRS,PSS_LIBRARY,PSS_ENROLL_UG,PSS_ENROLL_PK,PSS_ENROLL_K,PSS_ENROLL_1,PSS_ENROLL_2,PSS_ENROLL_3,PSS_ENROLL_4,PSS_ENROLL_5,PSS_ENROLL_6,PSS_ENROLL_7,PSS_ENROLL_8,PSS_ENROLL_9,PSS_ENROLL_10,PSS_ENROLL_11,PSS_ENROLL_12,PSS_ENROLL_T,PSS_ENROLL_TK12,PSS_RACE_AI,PSS_RACE_AS,PSS_RACE_H,PSS_RACE_B,PSS_RACE_W,PSS_RACE_P,PSS_RACE_2,PSS_FTE_TEACH,PSS_LOCALE,PSS_COED,PSS_TYPE,PSS_LEVEL,PSS_RELIG,PSS_COMM_TYPE,PSS_INDIAN_PCT,PSS_ASIAN_PCT,PSS_HISP_PCT,PSS_BLACK_PCT,PSS_WHITE_PCT,P_PACISL_PCT,P_TWOMORE_PCT,PSS_STDTCH_RT,PSS_ORIENT,PSS_COUNTY_NAME,PSS_ASSOC_1,PSS_ASSOC_2,PSS_ASSOC_3,PSS_ASSOC_4,PSS_ASSOC_5,PSS_ASSOC_6,PSS_ASSOC_7,PSS_ASSOC_8
A1102054,1ST CLASS MONTESSORI,2,7,1725 APPLING RD,CORDOVA,47157,157,TN,47,38016,9013857425,180,8,Yes,,12,9,3,3,,,,,,,,,,,27,15,0,0,2,13,0,0,0,5,21,1,2,1,3,2,0,0,13.33,86.67,0,0,0,3,30,SHELBY,American Montessori Society (AMS),,,,,,,
AA000008,ABINTRA MONTESSORI SCHOOL,2,13,914 DAVIDSON DR,NASHVILLE,47037,037,TN,47,37205,6153524317,175,7,No,,41,12,11,20,12,11,8,11,8,2,,,,,136,95,0,1,3,0,76,0,15,18.5,11,1,2,1,3,1,0,1.05,3.16,0,80,0,15.79,5.14,30,DAVIDSON,American Montessori Society (AMS),,,,,,,
A9503777,ACADEMY FOR ACADEMIC EXCELLENCE,6,17,PO BOX 3906,CLARKSVILLE,47125,125,TN,47,37043,9316479831,180,7,Yes,3,,,1,1,1,1,2,,2,4,6,6,2,2,31,31,0,1,1,6,23,0,0,5,12,1,1,3,3,1,0,3.23,3.23,19.35,74.19,0,0,6.2,30,MONTGOMERY,Other school association(s),,,,,,,
01297597,ADVENTIST CHRISTIAN SCHOOL OF MARYVILLE,6,13,PO BOX 4128,MARYVILLE,47009,009,TN,47,37802,8659827584,180,7,Yes,,,,3,,1,1,,4,,2,,,,,11,11,0,0,0,0,9,0,2,2,41,1,1,1,2,4,0,0,0,0,81.82,0,18.18,5.5,28,BLOUNT,General Conference of the Seventh-Day Adventist Church (GCSDAC),,,,,,,
A0503275,AGATHOS CLASSICAL SCHOOL,2,17,1201 MAPLEASH AVE,COLUMBIA,47119,119,TN,47,38401,9313880556,180,7,No,,5,14,12,17,14,14,9,14,15,6,5,7,2,1,135,130,0,2,3,0,122,0,3,13.4,41,1,3,3,2,4,0,1.54,2.31,0,93.85,0,2.31,9.7,8,MAURY,Association of Christian Schools International (ACSI),Association of Classical and Christian Schools,,,,,,
01296108,AKIVA SCHOOL,3,11,809 PERCY WARNER BLVD,NASHVILLE,47037,037,TN,47,37205,6153561880,180,7.5,Yes,,,12,8,12,17,13,7,5,,,,,,,74,74,0,2,4,3,65,0,0,14.6,11,1,1,1,2,1,0,2.7,5.41,4.05,87.84,0,0,5.07,18,DAVIDSON,The Jewish Community Day School Association,,,,,,,
AA000342,ALGOOD CHRISTIAN ELEMENTARY,3,13,2660 HIGHWAY 111 N,COOKEVILLE,47141,141,TN,47,38506,9315373561,188,7,Yes,,,2,3,2,2,3,2,4,4,1,,,,,23,23,0,0,0,1,16,2,4,2.8,41,1,1,1,2,4,0,0,0,4.35,69.57,8.7,17.39,8.21,28,PUTNAM,General Conference of the Seventh-Day Adventist Church (GCSDAC),,,,,,,
02059008,ALL SAINTS' EPISCOPAL SCHOOL,2,13,3275 MAPLE VALLEY RD,MORRISTOWN,47063,063,TN,47,37813,4235863280,180,7,Yes,,41,8,7,6,11,4,9,4,9,11,,,,,110,69,0,2,2,2,62,0,1,14.9,41,1,1,1,2,4,0,2.9,2.9,2.9,89.86,0,1.45,4.63,14,HAMBLEN,National Association of Episcopal Schools (NAES),National Association for the Education of Young Children (NAEYC),,,,,,
A0903409,ALPHA EDUCATIONAL LEARNING CENTER,12,17,449 MCCARN CIR,SEVIERVILLE,47155,155,TN,47,37862,8653650366,230,6.5,Yes,,,,,,,,,,2,2,9,5,3,2,23,23,0,0,0,3,20,0,0,1,31,1,6,2,2,3,0,0,0,13.04,86.96,0,0,23,10,SEVIER,This school does not belong to ANY associations or organizations,,,,,,,
A1140021,ANNOOR ACADEMY,2,13,724 FOXVUE RD,KNOXVILLE,47093,093,TN,47,37922,8655253399,180,9,Yes,,29,25,20,18,15,17,17,10,5,4,,,,,160,131,0,20,2,8,94,0,7,15,21,1,1,1,2,2,0,15.27,1.53,6.11,71.76,0,5.34,8.73,17,KNOX,This school does not belong to ANY associations or organizations,,,,,,,
