Wisconsin
National Center for Education Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSS Private School Universe Survey data 2015-2016 school year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The file contains (738) records based on your search.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user. For more information about this data, visit the PSS homepage. http://nces.ed.gov/surveys/pss",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSS_SCHOOL_ID,PSS_INST,LoGrade,HiGrade,PSS_ADDRESS,PSS_CITY,PSS_COUNTY_NO,PSS_COUNTY_FIPS,PSS_STABB,PSS_FIPS,PSS_ZIP5,PSS_PHONE,PSS_SCH_DAYS,PSS_STU_DAY_HRS,PSS_LIBRARY,PSS_ENROLL_UG,PSS_ENROLL_PK,PSS_ENROLL_K,PSS_ENROLL_1,PSS_ENROLL_2,PSS_ENROLL_3,PSS_ENROLL_4,PSS_ENROLL_5,PSS_ENROLL_6,PSS_ENROLL_7,PSS_ENROLL_8,PSS_ENROLL_9,PSS_ENROLL_10,PSS_ENROLL_11,PSS_ENROLL_12,PSS_ENROLL_T,PSS_ENROLL_TK12,PSS_RACE_AI,PSS_RACE_AS,PSS_RACE_H,PSS_RACE_B,PSS_RACE_W,PSS_RACE_P,PSS_RACE_2,PSS_FTE_TEACH,PSS_LOCALE,PSS_COED,PSS_TYPE,PSS_LEVEL,PSS_RELIG,PSS_COMM_TYPE,PSS_INDIAN_PCT,PSS_ASIAN_PCT,PSS_HISP_PCT,PSS_BLACK_PCT,PSS_WHITE_PCT,P_PACISL_PCT,P_TWOMORE_PCT,PSS_STDTCH_RT,PSS_ORIENT,PSS_COUNTY_NAME,PSS_ASSOC_1,PSS_ASSOC_2,PSS_ASSOC_3,PSS_ASSOC_4,PSS_ASSOC_5,PSS_ASSOC_6,PSS_ASSOC_7,PSS_ASSOC_8
A1592222,A PROMISE OF HOPE ACADEMY,2,8,5226 WESTHAMPTON,MILWAUKEE,55079,079,WI,55,53218,4145859896,180,6,Yes,,7,12,15,7,4,,,,,,,,,,45,38,0,0,1,37,0,0,0,4,11,1,1,1,3,1,0,0,2.63,97.37,0,0,0,9.5,30,MILWAUKEE,This school does not belong to ANY associations or organizations,,,,,,,
02068045,ABBOTSFORD CHRISTIAN ACADEMY,2,17,4868 CEMETARY AVE,ABBOTSFORD,55073,073,WI,55,54405,7152234445,180,7.17,Yes,,9,9,2,5,4,5,2,3,2,1,3,3,3,3,54,45,0,1,0,0,40,0,4,5.5,41,1,1,3,2,4,0,2.22,0,0,88.89,0,8.89,8.18,29,MARATHON,Accelerated Christian Education (ACE) or (School of Tomorrow),Other special emphasis association(s),,,,,,
01933863,ABUNDANT LIFE CHRISTIAN SCHOOL,3,17,4901 E BUCKEYE RD,MADISON,55025,025,WI,55,53716,6082211520,175,7.08,Yes,,,14,20,18,19,24,12,12,21,17,17,22,14,15,225,225,0,20,8,20,164,1,12,27,12,1,1,3,2,1,0,8.89,3.56,8.89,72.89,0.44,5.33,8.33,8,DANE,Association of Christian Schools International (ACSI),,,,,,,
A1592223,ACADEMY OF EXCELLENCE,2,13,633 S 12TH STREET,MILWAUKEE,55079,079,WI,55,53204,4143692193,173,7.5,Yes,,91,42,40,38,38,43,28,34,21,24,,,,,399,308,0,14,249,30,15,0,0,19,11,1,1,1,2,1,0,4.55,80.84,9.74,4.87,0,0,16.21,8,MILWAUKEE,American Association of Christian Schools (AACS),Other school association(s),,,,,,
A9504557,ADVENTIST JUNIOR ACADEMY,3,15,1422 SHAWANO AVE,GREEN BAY,55009,009,WI,55,54303,9204942741,180,7.75,Yes,,,3,4,3,3,1,4,4,3,1,1,1,,,28,28,0,0,8,1,17,0,2,3,12,1,1,3,2,1,0,0,28.57,3.57,60.71,0,7.14,9.33,28,BROWN,General Conference of the Seventh-Day Adventist Church (GCSDAC),,,,,,,
A0903810,AGAPE SCHOOL FOR GIRLS,12,16,PO BOX 68,WALWORTH,55127,127,WI,55,53184,2623945043,180,7.5,No,,,,,,,,,,1,,2,3,1,,7,7,0,0,1,1,5,0,0,1.9,32,2,6,2,2,3,0,0,14.29,14.29,71.43,0,0,3.68,8,WALWORTH,Accelerated Christian Education (ACE) or (School of Tomorrow),,,,,,,
A1504083,ALBANY HILLS AMISH SCHOOL,6,13,N7364 COUNTY ROAD H,MONDOVI,55011,011,WI,55,54755,,160,6,Yes,,,,2,4,1,5,2,4,1,1,,,,,20,20,0,0,0,0,20,0,0,1,42,1,1,1,2,4,0,0,0,0,100,0,0,20,3,PEPIN,,,,,,,,
BB162968,ALL SAINTS CATHOLIC EAST SCHL,2,13,2038 N BARTLETT AVE,MILWAUKEE,55079,079,WI,55,53202,4149641770,190,6.5,Yes,,55,29,28,28,25,20,20,17,16,23,,,,,261,206,0,5,0,73,125,1,2,18.9,11,1,1,1,1,1,0,2.43,0,35.44,60.68,0.49,0.97,10.9,1,MILWAUKEE,This school does not belong to ANY associations or organizations,,,,,,,
A0303349,ALL SAINTS CATHOLIC SCHOOL,2,13,419 6TH AVE,ANTIGO,55067,067,WI,55,54409,7156234835,175,7,Yes,,22,22,13,23,25,14,22,14,10,27,,,,,192,170,0,1,2,3,162,2,0,12,32,1,1,1,1,3,0,0.59,1.18,1.76,95.29,1.18,0,14.17,1,LANGLADE,National Catholic Educational Association (NCEA),,,,,,,
01638063,ALL SAINTS CATHOLIC SCHOOL,2,13,151 S GROVE ST,BERLIN,55047,047,WI,55,54923,9203611787,178,7,Yes,10,30,14,15,13,16,15,14,8,11,11,,,,,157,127,0,1,2,2,120,0,2,11.9,32,1,1,1,1,3,0,0.79,1.57,1.57,94.49,0,1.57,10.67,1,GREEN LAKE,National Catholic Educational Association (NCEA),,,,,,,
