Minnesota
National Center for Education Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSS Private School Universe Survey data 2015-2016 school year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The file contains (383) records based on your search.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user. For more information about this data, visit the PSS homepage. http://nces.ed.gov/surveys/pss",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSS_SCHOOL_ID,PSS_INST,LoGrade,HiGrade,PSS_ADDRESS,PSS_CITY,PSS_COUNTY_NO,PSS_COUNTY_FIPS,PSS_STABB,PSS_FIPS,PSS_ZIP5,PSS_PHONE,PSS_SCH_DAYS,PSS_STU_DAY_HRS,PSS_LIBRARY,PSS_ENROLL_UG,PSS_ENROLL_PK,PSS_ENROLL_K,PSS_ENROLL_1,PSS_ENROLL_2,PSS_ENROLL_3,PSS_ENROLL_4,PSS_ENROLL_5,PSS_ENROLL_6,PSS_ENROLL_7,PSS_ENROLL_8,PSS_ENROLL_9,PSS_ENROLL_10,PSS_ENROLL_11,PSS_ENROLL_12,PSS_ENROLL_T,PSS_ENROLL_TK12,PSS_RACE_AI,PSS_RACE_AS,PSS_RACE_H,PSS_RACE_B,PSS_RACE_W,PSS_RACE_P,PSS_RACE_2,PSS_FTE_TEACH,PSS_LOCALE,PSS_COED,PSS_TYPE,PSS_LEVEL,PSS_RELIG,PSS_COMM_TYPE,PSS_INDIAN_PCT,PSS_ASIAN_PCT,PSS_HISP_PCT,PSS_BLACK_PCT,PSS_WHITE_PCT,P_PACISL_PCT,P_TWOMORE_PCT,PSS_STDTCH_RT,PSS_ORIENT,PSS_COUNTY_NAME,PSS_ASSOC_1,PSS_ASSOC_2,PSS_ASSOC_3,PSS_ASSOC_4,PSS_ASSOC_5,PSS_ASSOC_6,PSS_ASSOC_7,PSS_ASSOC_8
A0105209,ABC INTERNATIONAL MONTESSORI ACADEMY,2,9,10801 NORMANDALE BLVD,BLOOMINGTON,27053,053,MN,27,55437,9528811717,177,7,Yes,,13,10,2,2,4,3,,,,,,,,,34,21,0,2,2,0,17,0,0,3.1,13,1,2,1,3,1,0,9.52,9.52,0,80.95,0,0,6.77,30,HENNEPIN,Other Montessori association(s),,,,,,,
A0301888,ABI CHRISTIAN ACADEMY,8,17,6944 HUDSON BLVD,OAKDALE,27163,163,MN,27,55128,6517397686,164,4.25,Yes,,,,,,1,,1,2,3,4,4,3,2,2,22,22,0,0,13,0,9,0,0,3.3,21,1,1,3,2,2,0,0,59.09,0,40.91,0,0,6.67,26,WASHINGTON,Accelerated Christian Education (ACE) or (School of Tomorrow),,,,,,,
A0502088,ACADEMY OF WHOLE LEARNING,6,16,9400 CEDAR LAKE RD S STE 7,SAINT LOUIS PARK,27053,053,MN,27,55426,9527376900,167,6.67,No,2,,,1,4,1,2,4,6,6,8,,5,2,,41,41,0,2,3,2,32,0,2,7.1,21,1,4,3,3,2,0,4.88,7.32,4.88,78.05,0,4.88,5.77,30,HENNEPIN,Other association(s) for exceptional children,National Association of Independent Schools (NAIS),State or regional independent school association,,,,,
02038961,ADVENTIST CHRISTIAN SCHOOL,3,12,404 RICHWOOD RD,DETROIT LAKES,27005,005,MN,27,56501,2188469764,175,7,Yes,,,1,2,1,3,3,,1,1,,,,,,12,12,0,1,0,1,10,0,0,1.6,33,1,1,1,2,3,0,8.33,0,8.33,83.33,0,0,7.5,28,BECKER,General Conference of the Seventh-Day Adventist Church (GCSDAC),National Christian School Association (NCSA),,,,,,
A9502419,AL-AMAL SCHOOL,2,17,1401 GARDENA AVE NE,FRIDLEY,27003,003,MN,27,55432,7635718886,176,7.5,Yes,,48,38,37,28,24,24,25,26,28,25,24,15,19,13,374,326,0,50,0,120,146,0,10,21.8,21,1,1,3,2,2,0,15.34,0,36.81,44.79,0,3.07,14.95,17,ANOKA,Islamic School League of America (ISLA),National Association for the Education of Young Children (NAEYC),State or regional independent school association,,,,,
A0105246,ALL SAINTS ACADEMY-ST CLOUD CAMPUS,2,11,1215 11TH AVE N,SAINT CLOUD,27145,145,MN,27,56303,3202515295,171,6.92,Yes,,22,22,24,24,32,36,38,31,,,,,,,229,207,0,10,9,4,184,0,0,16.5,13,1,1,1,1,1,0,4.83,4.35,1.93,88.89,0,0,12.55,1,STEARNS,National Catholic Educational Association (NCEA),,,,,,,
00700953,ALL SAINTS CATHOLIC SCHOOL,3,13,19795 HOLYOKE AVE,LAKEVILLE,27037,037,MN,27,55044,9524693332,172,6.58,Yes,,,34,38,38,50,44,46,36,26,26,,,,,338,338,,11,,4,265,1,18,23.3,21,1,1,1,1,2,,3.25,,1.18,78.4,0.3,5.33,14.51,1,DAKOTA,National Catholic Educational Association (NCEA),,,,,,,
A0502030,ALTONA CHRISTIAN SCHOOL,2,17,35227 290TH ST,HENDERSON,27143,143,MN,27,56044,5072483786,180,5,Yes,,2,5,3,4,4,1,4,4,2,2,1,1,2,1,36,34,0,0,0,0,34,0,0,5.6,42,1,1,3,2,4,0,0,0,0,100,0,0,6.07,6,SIBLEY,This school does not belong to ANY associations or organizations,,,,,,,
A1502112,AMBASSADOR ACADEMY,3,11,2605 1/2 18TH AVE NW,ROCHESTER,27109,109,MN,27,55901,5072929353,174,6.33,Yes,,,2,1,1,1,2,1,2,,,,,,,10,10,0,0,0,0,6,3,1,2.3,12,1,1,1,1,1,0,0,0,0,60,30,10,4.35,,OLMSTED,This school does not belong to ANY associations or organizations,,,,,,,
A0771013,AMERICAN MONTESSORI,2,3,13973 W PRESERVE BLVD,BURNSVILLE,27037,037,MN,27,55337,9527361004,200,6,No,,20,5,,,,,,,,,,,,,25,5,0,1,1,1,2,0,0,1,21,1,2,1,3,2,0,20,20,20,40,0,0,5,30,DAKOTA,This school does not belong to ANY associations or organizations,,,,,,,
