Oregon
National Center for Education Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSS Private School Universe Survey data 2015-2016 school year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The file contains (320) records based on your search.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user. For more information about this data, visit the PSS homepage. http://nces.ed.gov/surveys/pss",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSS_SCHOOL_ID,PSS_INST,LoGrade,HiGrade,PSS_ADDRESS,PSS_CITY,PSS_COUNTY_NO,PSS_COUNTY_FIPS,PSS_STABB,PSS_FIPS,PSS_ZIP5,PSS_PHONE,PSS_SCH_DAYS,PSS_STU_DAY_HRS,PSS_LIBRARY,PSS_ENROLL_UG,PSS_ENROLL_PK,PSS_ENROLL_K,PSS_ENROLL_1,PSS_ENROLL_2,PSS_ENROLL_3,PSS_ENROLL_4,PSS_ENROLL_5,PSS_ENROLL_6,PSS_ENROLL_7,PSS_ENROLL_8,PSS_ENROLL_9,PSS_ENROLL_10,PSS_ENROLL_11,PSS_ENROLL_12,PSS_ENROLL_T,PSS_ENROLL_TK12,PSS_RACE_AI,PSS_RACE_AS,PSS_RACE_H,PSS_RACE_B,PSS_RACE_W,PSS_RACE_P,PSS_RACE_2,PSS_FTE_TEACH,PSS_LOCALE,PSS_COED,PSS_TYPE,PSS_LEVEL,PSS_RELIG,PSS_COMM_TYPE,PSS_INDIAN_PCT,PSS_ASIAN_PCT,PSS_HISP_PCT,PSS_BLACK_PCT,PSS_WHITE_PCT,P_PACISL_PCT,P_TWOMORE_PCT,PSS_STDTCH_RT,PSS_ORIENT,PSS_COUNTY_NAME,PSS_ASSOC_1,PSS_ASSOC_2,PSS_ASSOC_3,PSS_ASSOC_4,PSS_ASSOC_5,PSS_ASSOC_6,PSS_ASSOC_7,PSS_ASSOC_8
A0771471,A CHILD'S GARDEN,2,3,2150 NE STUDIO RD STE 1,BEND,41017,017,OR,41,97701,5416170434,,4,Yes,,56,4,,,,,,,,,,,,,60,4,0,0,0,0,4,0,0,2,13,1,6,1,3,1,0,0,0,0,100,0,0,2,30,DESCHUTES,This school does not belong to ANY associations or organizations,,,,,,,
A9503341,ABIQUA SCHOOL,2,16,6974 BATES RD S,SALEM,41047,047,OR,41,97306,5033999020,173,6.75,Yes,,10,21,19,19,17,16,18,17,9,17,2,1,1,,167,157,1,13,47,3,93,0,0,17.6,41,1,1,3,3,4,0.64,8.28,29.94,1.91,59.24,0,0,8.92,30,MARION,State or regional independent school association,,,,,,,
A0771477,ACADEMY FOR KIDS,3,3,13698 SE 147TH AVE,CLACKAMAS,41005,005,OR,41,97015,5035588773,190,4,No,,,3,,,,,,,,,,,,,3,3,0,0,1,0,2,0,0,1,21,1,7,1,3,2,0,0,33.33,0,66.67,0,0,3,30,CLACKAMAS,National Association for the Education of Young Children (NAEYC),,,,,,,
BB140895,ADVANCED CHRISTIAN ACADEMY,2,14,PO BOX 2392,GRESHAM,41051,051,OR,41,97030,5039121860,138,7,Yes,,7,8,9,5,14,8,4,2,7,8,1,,,,73,66,1,1,6,6,52,0,0,6.5,21,1,1,3,2,2,1.52,1.52,9.09,9.09,78.79,0,0,10.15,8,MULTNOMAH,This school does not belong to ANY associations or organizations,,,,,,,
01162151,ADVENTIST CHRISTIAN SCHOOL,6,13,2499 MAIN ST,KLAMATH FALLS,41035,035,OR,41,97601,5418824151,180,7,Yes,,,,2,,3,2,4,1,3,4,,,,,19,19,0,4,2,0,13,0,0,2,33,1,1,1,2,3,0,21.05,10.53,0,68.42,0,0,9.5,28,KLAMATH,General Conference of the Seventh-Day Adventist Church (GCSDAC),,,,,,,
A0790140,AGIA SOPHIA ACADEMY,2,10,14485 SW WALKER RD,BEAVERTON,41067,067,OR,41,97006,5036414600,174,6.92,Yes,,16,10,5,8,4,3,5,,,,,,,,51,35,0,0,0,3,19,0,13,4.5,21,1,1,1,2,2,0,0,0,8.57,54.29,0,37.14,7.78,16,WASHINGTON,American Montessori Society (AMS),Association Montessori International,,,,,,
A9105370,ALBANY CHRISTIAN SCHOOL,2,13,420 3RD AVE SE,ALBANY,41043,043,OR,41,97321,5419281110,168,6.5,Yes,,67,40,20,22,18,9,6,16,16,10,,,,,224,157,0,3,1,0,153,0,0,8,13,1,1,1,2,1,0,1.91,0.64,0,97.45,0,0,19.63,5,LINN,Association of Christian Schools International (ACSI),,,,,,,
A1503086,ALBINA YOUTH OPPORTUNITY SCHOOL,3,9,3710 N. MISSISSIPPI,PORTLAND,41051,051,OR,41,97227,5032885813,212,6.5,Yes,,,54,25,,25,23,,,,,,,,,127,127,,,,,,,,3.9,11,1,6,1,3,1,,,,,,,,32.56,30,MULTNOMAH,This school does not belong to ANY associations or organizations,,,,,,,
01160788,ALL SAINTS CHOOL,2,13,601 CEASAR CHAVEZ BLVD,PORTLAND,41051,051,OR,41,97232,5032366205,180,6.67,Yes,,26,56,45,73,44,45,52,49,47,50,,,,,487,461,0,43,21,39,356,2,0,33.4,11,1,1,1,1,1,0,9.33,4.56,8.46,77.22,0.43,0,13.8,1,MULTNOMAH,National Catholic Educational Association (NCEA),National Association for the Education of Young Children (NAEYC),,,,,,
A0302544,ALTERNATIVE YOUTH ACTIVITIES,13,17,575 S MAIN ST,COOS BAY,41011,011,OR,41,97420,5418886047,175,5.5,No,,,,,,,,,,,1,2,3,4,5,15,15,2,0,1,0,12,0,0,1.8,33,1,6,2,3,3,13.33,0,6.67,0,80,0,0,8.33,30,COOS,This school does not belong to ANY associations or organizations,,,,,,,
