Iowa
National Center for Education Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSS Private School Universe Survey data 2015-2016 school year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The file contains (187) records based on your search.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user. For more information about this data, visit the PSS homepage. http://nces.ed.gov/surveys/pss",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSS_SCHOOL_ID,PSS_INST,LoGrade,HiGrade,PSS_ADDRESS,PSS_CITY,PSS_COUNTY_NO,PSS_COUNTY_FIPS,PSS_STABB,PSS_FIPS,PSS_ZIP5,PSS_PHONE,PSS_SCH_DAYS,PSS_STU_DAY_HRS,PSS_LIBRARY,PSS_ENROLL_UG,PSS_ENROLL_PK,PSS_ENROLL_K,PSS_ENROLL_1,PSS_ENROLL_2,PSS_ENROLL_3,PSS_ENROLL_4,PSS_ENROLL_5,PSS_ENROLL_6,PSS_ENROLL_7,PSS_ENROLL_8,PSS_ENROLL_9,PSS_ENROLL_10,PSS_ENROLL_11,PSS_ENROLL_12,PSS_ENROLL_T,PSS_ENROLL_TK12,PSS_RACE_AI,PSS_RACE_AS,PSS_RACE_H,PSS_RACE_B,PSS_RACE_W,PSS_RACE_P,PSS_RACE_2,PSS_FTE_TEACH,PSS_LOCALE,PSS_COED,PSS_TYPE,PSS_LEVEL,PSS_RELIG,PSS_COMM_TYPE,PSS_INDIAN_PCT,PSS_ASIAN_PCT,PSS_HISP_PCT,PSS_BLACK_PCT,PSS_WHITE_PCT,P_PACISL_PCT,P_TWOMORE_PCT,PSS_STDTCH_RT,PSS_ORIENT,PSS_COUNTY_NAME,PSS_ASSOC_1,PSS_ASSOC_2,PSS_ASSOC_3,PSS_ASSOC_4,PSS_ASSOC_5,PSS_ASSOC_6,PSS_ASSOC_7,PSS_ASSOC_8
00457838,ALL SAINTS CATHOLIC SCHOOL,2,13,1926 N MARQUETTE ST,DAVENPORT,19163,163,IA,19,52804,5633243205,180,8,Yes,,55,48,48,36,42,52,48,46,46,40,,,,,461,406,6,42,71,28,252,7,0,23.9,12,1,1,1,1,1,1.48,10.34,17.49,6.9,62.07,1.72,0,16.99,1,SCOTT,National Catholic Educational Association (NCEA),,,,,,,
00457463,ALL SAINTS PARISH SCHOOL,2,10,720 29TH ST SE,CEDAR RAPIDS,19113,113,IA,19,52403,3193634110,179,6.75,Yes,,108,35,32,36,40,40,35,,,,,,,,326,218,0,3,10,18,185,1,1,14.5,12,1,1,1,1,1,0,1.38,4.59,8.26,84.86,0.46,0.46,15.03,1,LINN,National Catholic Educational Association (NCEA),,,,,,,
A9300389,AMES CHRISTIAN SCHOOL,2,11,925 S 16TH ST,AMES,19169,169,IA,19,50010,5152330772,175,7,Yes,,34,10,10,7,15,5,7,4,,,,,,,92,58,0,6,3,3,44,0,2,6.4,13,1,1,1,2,1,0,10.34,5.17,5.17,75.86,0,3.45,9.06,8,STORY,Accelerated Christian Education (ACE) or (School of Tomorrow),Association of Christian Schools International (ACSI),,,,,,
A9501805,ANKENY CHRISTIAN ACADEMY,2,17,1604 W 1ST ST,ANKENY,19153,153,IA,19,50023,5159658114,170,7.5,Yes,,61,34,21,21,23,30,20,17,21,18,12,23,19,10,330,269,0,6,15,3,233,1,11,25.9,21,1,1,3,2,2,0,2.23,5.58,1.12,86.62,0.37,4.09,10.39,8,POLK,Association of Christian Schools International (ACSI),,,,,,,
00457485,AQUIN CATHOLIC ELEMENTARY SCHOOL,2,13,PO 460,CASCADE,19061,061,IA,19,52033,5638523331,180,6.75,Yes,,33,32,26,27,27,25,26,23,21,18,,,,,258,225,0,0,14,2,209,0,0,23.9,42,1,1,1,1,4,0,0,6.22,0.89,92.89,0,0,9.41,1,DUBUQUE,National Catholic Educational Association (NCEA),,,,,,,
A0901538,ASPENWOOD CHRISTIAN SCHOOL,3,13,3636 ASPENWOOD ST,SIOUX CITY,19193,193,IA,19,51104,7122242575,178,7,Yes,,,1,1,,3,,1,2,1,2,,,,,11,11,0,0,2,1,6,0,2,1,13,1,1,1,2,1,0,0,18.18,9.09,54.55,0,18.18,11,28,WOODBURY,General Conference of the Seventh-Day Adventist Church (GCSDAC),Other school association(s),,,,,,
00456798,BECKMAN CATHOLIC JR-SR HIGH SCHOOL,12,17,1325 9TH ST SE,DYERSVILLE,19061,061,IA,19,52040,5638757188,178,7,Yes,,,,,,,,,,59,61,62,100,54,74,410,410,0,2,6,5,397,0,0,29.1,32,1,1,2,1,3,0,0.49,1.46,1.22,96.83,0,0,14.09,1,DUBUQUE,National Catholic Educational Association (NCEA),,,,,,,
A0901539,BERGMAN ACADEMY,2,3,100 45TH ST,DES MOINES,19153,153,IA,19,50312,5152740453,180,7,Yes,,36,1,,,,,,,,,,,,,37,1,0,0,0,0,1,0,0,1,12,1,7,1,3,1,0,0,0,0,100,0,0,1,30,POLK,,,,,,,,
A1301414,BISHOP HEELAN CATHOLIC HIGH SCHOOL,14,17,1021 DOUGLAS ST,SIOUX CITY,19193,193,IA,19,51105,7122520573,180,6.92,Yes,,,,,,,,,,,,136,144,137,124,541,541,1,14,105,15,397,0,9,39.4,13,1,1,2,1,1,0.18,2.59,19.41,2.77,73.38,0,1.66,13.73,1,WOODBURY,National Catholic Educational Association (NCEA),,,,,,,
A1301416,BLESSED MARIA ASSUNTA PALLOTTA MIDDLE SCHOOL,11,13,3225 W 9TH ST,WATERLOO,19013,013,IA,19,50702,3192326592,178,6.83,Yes,,,,,,,,,84,83,77,,,,,244,244,0,27,37,7,162,0,11,16.4,13,1,1,1,1,1,0,11.07,15.16,2.87,66.39,0,4.51,14.88,1,BLACK HAWK,Other school association(s),,,,,,,
00457135,BLESSED SACRAMENT SCHOOL,2,10,600 STEPHAN AVE,WATERLOO,19013,013,IA,19,50701,3192321422,172,6.7,Yes,,39,19,11,14,21,18,18,,,,,,,,140,101,2,0,12,1,81,0,5,10.5,13,1,1,1,1,1,1.98,0,11.88,0.99,80.2,0,4.95,9.62,1,BLACK HAWK,National Association of Private Special Education Centers (NAPSEC),,,,,,,
00456914,BOSCO CATHOLIC SCHOOL SYSTEM,2,17,PO BOX 106,GILBERTVILLE,19013,013,IA,19,50634,3192961692,174,6.5,Yes,,33,25,26,18,18,12,15,18,30,17,25,31,28,37,333,300,0,0,0,1,299,0,0,33.8,41,1,1,3,1,4,0,0,0,0.33,99.67,0,0,8.88,1,BLACK HAWK,National Catholic Educational Association (NCEA),,,,,,,
A0103340,BOYS & GIRLS HOME FAMILY SERVICES,8,17,2101 COURT ST,SIOUX CITY,19193,193,IA,19,51104,7122934700,180,6,Yes,,,,,,2,,4,1,1,7,4,12,5,4,40,40,3,0,8,1,26,0,2,8,13,1,6,3,3,1,7.5,0,20,2.5,65,0,5,5,30,WOODBURY,National Association of Private Special Education Centers (NAPSEC),,,,,,,
A0901528,BRIDGEWOOD EDUCATION,8,17,525 WOODBURY AVE,COUNCIL BLUFFS,19155,155,IA,19,51503,7123224520,180,7.42,Yes,,,,,,2,3,4,4,3,5,2,1,,4,28,28,0,0,0,0,28,0,0,6.8,13,1,1,3,2,1,0,0,0,0,100,0,0,4.12,6,POTTAWATTAMIE,This school does not belong to ANY associations or organizations,,,,,,,
01605548,BURLINGTON NOTRE DAME CATHOLIC ELEMENTARY,2,17,700 S ROOSEVELT AVE,BURLINGTON,19057,057,IA,19,52601,3197548431,176,7,Yes,,67,22,32,31,28,32,26,42,30,35,31,32,36,29,473,406,2,9,21,6,362,0,6,36.9,33,1,1,3,1,3,0.49,2.22,5.17,1.48,89.16,0,1.48,11,1,DES MOINES,National Catholic Educational Association (NCEA),,,,,,,
A0501661,BURLINGTON NOTRE DAME JR/SR HIGH SCHOOL,2,17,702 S ROOSEVELT AVE,BURLINGTON,19057,057,IA,19,52601,3197548431,176,7,Yes,,67,22,32,31,28,32,26,42,30,35,31,32,36,29,473,406,0,9,19,5,367,0,6,34.9,33,1,1,3,1,3,0,2.22,4.68,1.23,90.39,0,1.48,11.63,1,DES MOINES,National Catholic Educational Association (NCEA),,,,,,,
00459948,CEDAR VALLEY CHRISTIAN SCHOOL,2,17,3636 COTTAGE GROVE AVE SE,CEDAR RAPIDS,19113,113,IA,19,52403,3193667462,180,6.75,Yes,,25,9,17,5,9,20,6,11,8,11,15,14,22,14,186,161,1,9,5,19,127,0,0,18.6,12,1,1,3,2,1,0.62,5.59,3.11,11.8,78.88,0,0,8.66,8,LINN,Association of Christian Schools International (ACSI),,,,,,,
AA000678,CENTRAL IOWA CHRISTIAN SCHOOL,3,13,201 380TH AVE,GRINNELL,19157,157,IA,19,50112,6412363000,180,7,Yes,,,8,7,4,4,7,2,5,3,6,,,,,46,46,0,0,0,1,45,0,0,1.6,41,1,1,1,2,4,0,0,0,2.17,97.83,0,0,28.75,8,POWESHIEK,Christian Schools International (CSI),,,,,,,
00459314,CENTRAL LUTHERAN SCHOOL,2,13,PO BOX 190,NEWHALL,19011,011,IA,19,52315,3192235271,178,7.17,Yes,,28,21,20,21,19,15,22,18,10,9,,,,,183,155,0,0,2,3,150,0,0,11,42,1,1,1,2,4,0,0,1.29,1.94,96.77,0,0,14.09,20,BENTON,,,,,,,,
