South Dakota
National Center for Education Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSS Private School Universe Survey data 2015-2016 school year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The file contains (60) records based on your search.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user. For more information about this data, visit the PSS homepage. http://nces.ed.gov/surveys/pss",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSS_SCHOOL_ID,PSS_INST,LoGrade,HiGrade,PSS_ADDRESS,PSS_CITY,PSS_COUNTY_NO,PSS_COUNTY_FIPS,PSS_STABB,PSS_FIPS,PSS_ZIP5,PSS_PHONE,PSS_SCH_DAYS,PSS_STU_DAY_HRS,PSS_LIBRARY,PSS_ENROLL_UG,PSS_ENROLL_PK,PSS_ENROLL_K,PSS_ENROLL_1,PSS_ENROLL_2,PSS_ENROLL_3,PSS_ENROLL_4,PSS_ENROLL_5,PSS_ENROLL_6,PSS_ENROLL_7,PSS_ENROLL_8,PSS_ENROLL_9,PSS_ENROLL_10,PSS_ENROLL_11,PSS_ENROLL_12,PSS_ENROLL_T,PSS_ENROLL_TK12,PSS_RACE_AI,PSS_RACE_AS,PSS_RACE_H,PSS_RACE_B,PSS_RACE_W,PSS_RACE_P,PSS_RACE_2,PSS_FTE_TEACH,PSS_LOCALE,PSS_COED,PSS_TYPE,PSS_LEVEL,PSS_RELIG,PSS_COMM_TYPE,PSS_INDIAN_PCT,PSS_ASIAN_PCT,PSS_HISP_PCT,PSS_BLACK_PCT,PSS_WHITE_PCT,P_PACISL_PCT,P_TWOMORE_PCT,PSS_STDTCH_RT,PSS_ORIENT,PSS_COUNTY_NAME,PSS_ASSOC_1,PSS_ASSOC_2,PSS_ASSOC_3,PSS_ASSOC_4,PSS_ASSOC_5,PSS_ASSOC_6,PSS_ASSOC_7,PSS_ASSOC_8
A0302913,BETHEL LUTHERAN SCHOOL,3,13,1801 S VALLEY VIEW RD,SIOUX FALLS,46099,099,SD,46,57106,6053628231,167,7,Yes,,,3,1,3,2,1,1,3,4,2,,,,,20,20,0,0,1,0,19,0,0,2.4,12,1,1,1,2,1,0,0,5,0,95,0,0,8.33,22,MINNEHAHA,This school does not belong to ANY associations or organizations,,,,,,,
02058478,BETHESDA LUTHERAN SCHOOL,2,7,1537 BALTIMORE AVE,HOT SPRINGS,46047,047,SD,46,57747,6057456676,143,7,Yes,,7,2,5,4,,,,,,,,,,,18,11,0,0,0,0,10,0,1,1,33,1,1,1,2,3,0,0,0,0,90.91,0,9.09,11,20,FALL RIVER,This school does not belong to ANY associations or organizations,,,,,,,
02058649,BLACK HILLS CHILDREN'S HOME,6,13,24100 S ROCKERVILLE RD,RAPID CITY,46103,103,SD,46,57702,6053435422,241,6,Yes,,,,3,10,8,6,4,10,2,1,,,,,44,44,23,0,0,4,13,0,4,8.3,42,1,4,1,3,4,52.27,0,0,9.09,29.55,0,9.09,5.3,30,PENNINGTON,This school does not belong to ANY associations or organizations,,,,,,,
A9703180,BLACK HILLS CHRISTIAN ACADEMY,2,13,630 S 32ND ST,SPEARFISH,46081,081,SD,46,57783,6057221276,146,7.25,Yes,,37,18,15,15,14,16,6,6,5,1,,,,,133,96,0,1,2,1,92,0,0,9.3,32,1,1,1,2,3,0,1.04,2.08,1.04,95.83,0,0,10.32,8,LAWRENCE,Association of Christian Schools International (ACSI),,,,,,,
A1303225,BLACK HILLS LUTHERAN SCHOOLS,11,15,PO BOX 3034,RAPID CITY,46103,103,SD,46,57709,6057210760,172,7,Yes,,,,,,,,,2,3,4,4,1,,,14,14,1,0,0,0,13,0,0,3.1,13,1,1,3,2,1,7.14,0,0,0,92.86,0,0,4.52,20,PENNINGTON,This school does not belong to ANY associations or organizations,,,,,,,
02119047,CALVARY CHRISTIAN SCHOOL,2,10,PO BOX 2434,RAPID CITY,46103,103,SD,46,57709,6053423384,169,6.92,Yes,,40,24,27,22,27,21,16,,,,,,,,177,137,0,0,4,3,128,0,2,12.8,13,1,1,1,2,1,0,0,2.92,2.19,93.43,0,1.46,10.7,5,PENNINGTON,Association of Christian Schools International (ACSI),,,,,,,
01282707,CHILDREN'S HOME SOCIETY,2,13,PO BOX 1749,SIOUX FALLS,46099,099,SD,46,57101,6059653123,260,6.67,Yes,,2,5,7,15,11,14,13,12,3,2,,,,,84,82,7,0,1,9,65,0,0,11.3,12,1,6,1,3,1,8.54,0,1.22,10.98,79.27,0,0,7.26,30,MINNEHAHA,This school does not belong to ANY associations or organizations,,,,,,,
A0109178,CHILDREN'S HOUSE MONTESSORI,2,9,3520 W MAIN ST,RAPID CITY,46103,103,SD,46,57702,6053410824,163,7,Yes,,55,9,3,1,2,3,,,,,,,,,73,18,1,1,1,0,14,0,1,2,13,1,2,1,3,1,5.56,5.56,5.56,0,77.78,0,5.56,9,30,PENNINGTON,This school does not belong to ANY associations or organizations,,,,,,,
01282285,CHRIST THE KING SCHOOL,2,11,1801 S LAKE AVE,SIOUX FALLS,46099,099,SD,46,57105,6053385103,175,7,Yes,,24,18,17,16,16,15,12,13,,,,,,,131,107,0,1,5,1,100,0,0,9,12,1,1,1,1,1,0,0.93,4.67,0.93,93.46,0,0,11.89,1,MINNEHAHA,National Catholic Educational Association (NCEA),Other school association(s),,,,,,
02058616,CHRISTIAN CENTER ELEMENTARY SCHOOL,2,10,6300 W 41ST ST,SIOUX FALLS,46099,099,SD,46,57106,6053618002,171,6.75,Yes,,70,19,24,19,16,22,9,,,,,,,,179,109,3,1,2,6,97,0,0,7.9,12,1,1,1,2,1,2.75,0.92,1.83,5.5,88.99,0,0,13.8,4,MINNEHAHA,Other religious school association(s),,,,,,,
