New York
National Center for Education Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSS Private School Universe Survey data 2015-2016 school year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The file contains (1352) records based on your search.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user. For more information about this data, visit the PSS homepage. http://nces.ed.gov/surveys/pss",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSS_SCHOOL_ID,PSS_INST,LoGrade,HiGrade,PSS_ADDRESS,PSS_CITY,PSS_COUNTY_NO,PSS_COUNTY_FIPS,PSS_STABB,PSS_FIPS,PSS_ZIP5,PSS_PHONE,PSS_SCH_DAYS,PSS_STU_DAY_HRS,PSS_LIBRARY,PSS_ENROLL_UG,PSS_ENROLL_PK,PSS_ENROLL_K,PSS_ENROLL_1,PSS_ENROLL_2,PSS_ENROLL_3,PSS_ENROLL_4,PSS_ENROLL_5,PSS_ENROLL_6,PSS_ENROLL_7,PSS_ENROLL_8,PSS_ENROLL_9,PSS_ENROLL_10,PSS_ENROLL_11,PSS_ENROLL_12,PSS_ENROLL_T,PSS_ENROLL_TK12,PSS_RACE_AI,PSS_RACE_AS,PSS_RACE_H,PSS_RACE_B,PSS_RACE_W,PSS_RACE_P,PSS_RACE_2,PSS_FTE_TEACH,PSS_LOCALE,PSS_COED,PSS_TYPE,PSS_LEVEL,PSS_RELIG,PSS_COMM_TYPE,PSS_INDIAN_PCT,PSS_ASIAN_PCT,PSS_HISP_PCT,PSS_BLACK_PCT,PSS_WHITE_PCT,P_PACISL_PCT,P_TWOMORE_PCT,PSS_STDTCH_RT,PSS_ORIENT,PSS_COUNTY_NAME,PSS_ASSOC_1,PSS_ASSOC_2,PSS_ASSOC_3,PSS_ASSOC_4,PSS_ASSOC_5,PSS_ASSOC_6,PSS_ASSOC_7,PSS_ASSOC_8
BB964072,A CHILD'S PLACE DAY SCHOOL,2,10,3220 108TH ST,EAST ELMHURST,36081,081,NY,36,11369,7185652170,200,6.5,Yes,,92,17,11,12,8,1,3,,,,,,,,144,52,0,4,20,21,3,1,3,9.8,11,1,1,1,3,1,0,7.69,38.46,40.38,5.77,1.92,5.77,5.31,30,QUEENS,This school does not belong to ANY associations or organizations,,,,,,,
BB140770,A CHILDS PLACE TOO,2,10,3220 108TH ST,EAST ELMHURST,36081,081,NY,36,11369,7185652170,230,6.5,Yes,,82,16,11,12,8,1,3,,,,,,,,133,51,0,4,15,19,3,0,10,6.3,11,1,1,1,3,1,0,7.84,29.41,37.25,5.88,0,19.61,8.1,30,QUEENS,This school does not belong to ANY associations or organizations,,,,,,,
A0502391,AARON SCHOOL,3,17,309 E 45TH ST REAR 1,NEW YORK,36047,047,NY,36,10017,2128679594,166,6.5,Yes,,,8,8,8,11,23,8,16,20,9,9,12,13,7,152,152,0,6,13,18,92,0,23,60.6,11,1,4,3,3,1,0,3.95,8.55,11.84,60.53,0,15.13,2.51,30,KINGS,National Independent Private School Association (NIPSA),,,,,,,
A1302005,ABUNDANT LIFE ACADEMY,6,16,PO BOX 1565,KINGSTON,36111,111,NY,36,12402,8453382703,175,6.5,Yes,,,,1,1,1,1,1,,2,,1,,1,,9,9,0,0,0,6,0,0,3,2.1,13,1,1,3,2,1,0,0,0,66.67,0,0,33.33,4.29,26,ULSTER,This school does not belong to ANY associations or organizations,,,,,,,
00920855,ACADEMY OF MT ST URSULA,14,17,330 BEDFORD PARK BLVD,BRONX,36005,005,NY,36,10458,7183645353,180,6.2,Yes,,,,,,,,,,,,75,99,82,77,333,333,0,21,197,78,19,1,17,24.6,11,2,1,2,1,1,0,6.31,59.16,23.42,5.71,0.3,5.11,13.54,1,BRONX,National Catholic Educational Association (NCEA),,,,,,,
00921917,ACADEMY OF ST JOSEPH,2,13,111 WASHINGTON PL,NEW YORK,36061,061,NY,36,10014,2122435420,173,7,Yes,,13,13,12,18,15,12,6,6,11,4,,,,,110,97,0,6,2,11,60,0,18,10.6,11,1,1,1,1,1,0,6.19,2.06,11.34,61.86,0,18.56,9.15,1,NEW YORK,National Catholic Educational Association (NCEA),Other special emphasis association(s),Other school association(s),,,,,
00923991,ACADEMY OF THE HOLY NAMES,2,17,1075 NEW SCOTLAND RD,ALBANY,36001,001,NY,36,12208,5184387895,185,7,Yes,,3,2,7,11,7,4,7,19,24,24,54,52,38,43,295,292,0,23,13,15,232,0,9,34.6,13,2,1,3,1,1,0,7.88,4.45,5.14,79.45,0,3.08,8.44,1,ALBANY,National Catholic Educational Association (NCEA),Other religious school association(s),,,,,,
00936785,ADIRONDACK CHRISTIAN SCHOOL,2,16,6065 NYS ROUTE 86,WILMINGTON,36031,031,NY,36,12997,5189462487,180,6.25,Yes,,1,4,,2,1,4,,,2,1,,1,4,,20,19,0,0,0,0,19,0,0,4.9,43,1,1,3,2,4,0,0,0,0,100,0,0,3.88,5,ESSEX,Accelerated Christian Education (ACE) or (School of Tomorrow),American Association of Christian Schools (AACS),,,,,,
00937483,ADOLPH SCHREIBER HEBREW ACADEMY,2,13,360 NEW HEMPSTEAD RD,NEW CITY,36087,087,NY,36,10956,8453571515,180,7.5,Yes,,62,,29,32,32,40,17,27,29,31,,,,,299,237,0,1,0,0,236,0,0,58,21,1,1,1,2,2,0,0.42,0,0,99.58,0,0,4.09,18,ROCKLAND,This school does not belong to ANY associations or organizations,,,,,,,
00936162,AHI EZER YESHIVA SCHOOL,2,13,2433 OCEAN PKWY,BROOKLYN,36047,047,NY,36,11235,7186486100,180,9.5,Yes,,26,16,13,13,19,18,21,24,23,28,,,,,201,175,0,0,0,0,175,0,0,18.8,11,2,1,1,2,1,0,0,0,0,100,0,0,9.31,18,KINGS,National Society of Hebrew Day Schools (NSHDS),The Jewish Community Day School Association,,,,,,
A0790120,AHRC MIDDLE/HIGH SCHOOL,1,1,1201 66TH ST,BROOKLYN,36047,047,NY,36,11219,7182594265,210,6,No,110,,,,,,,,,,,,,,,110,110,0,7,20,37,45,0,1,12,11,1,4,3,3,1,0,6.36,18.18,33.64,40.91,0,0.91,9.17,30,KINGS,This school does not belong to ANY associations or organizations,,,,,,,
A1502426,AICHHORN SCHOOL (THE),1,1,23 W 106TH ST,NEW YORK,36061,061,NY,36,10025,2123169353,230,6,Yes,56,,,,,,,,,,,,,,,56,56,0,0,10,36,10,0,0,10,11,1,4,3,3,1,0,0,17.86,64.29,17.86,0,0,5.6,30,NEW YORK,This school does not belong to ANY associations or organizations,,,,,,,
A9903150,AKA-EAST FLATBUSH RELIGIOUS SCHOOL FOR GIRLS,4,17,1629 E 15TH ST,BROOKLYN,36047,047,NY,36,11229,7183394229,180,7,Yes,,,31,31,31,29,30,36,30,23,32,,,,,303,,0,0,0,0,303,0,0,16.8,11,2,1,3,2,1,,,,,,,,,18,KINGS,This school does not belong to ANY associations or organizations,,,,,,,
A9300668,AL-IHSAN ACADEMY,2,17,13008 ROCKAWAY BLVD,SOUTH OZONE PARK,36081,081,NY,36,11420,7183223154,180,6.75,Yes,,39,39,36,38,30,38,37,49,52,42,45,29,24,10,508,469,0,321,4,33,111,0,0,41.3,11,1,1,3,2,1,0,68.44,0.85,7.04,23.67,0,0,11.36,17,QUEENS,Islamic School League of America (ISLA),,,,,,,
A0302183,AL-MADINAH SCHOOL,2,17,383 3RD AVE,BROOKLYN,36047,047,NY,36,11215,7182224986,180,8,Yes,,48,46,48,38,40,62,50,86,81,57,71,79,56,41,803,755,0,280,16,37,407,0,15,59.9,11,1,1,3,2,1,0,37.09,2.12,4.9,53.91,0,1.99,12.6,17,KINGS,Islamic School League of America (ISLA),,,,,,,
A0701578,AL-MAMOOR SCHOOL,2,15,78-31 PARSONS BLVD.,FRESH MEADOWS,36081,081,NY,36,11366,7183807040,180,6.67,No,,25,20,24,23,26,16,21,17,12,12,17,10,,,223,198,0,165,0,1,22,4,6,20.6,11,1,1,3,2,1,0,83.33,0,0.51,11.11,2.02,3.03,9.61,17,QUEENS,This school does not belong to ANY associations or organizations,,,,,,,
BB963250,AL-NOOR SCHOOL,2,17,675 4TH AVE,BROOKLYN,36047,047,NY,36,11232,7187687181,180,7,Yes,,17,25,33,32,36,36,44,57,48,54,81,64,52,50,629,612,0,190,13,30,359,2,18,51.9,11,1,1,3,3,1,0,31.05,2.12,4.9,58.66,0.33,2.94,11.79,30,KINGS,This school does not belong to ANY associations or organizations,,,,,,,
00936978,ALBANY ACADEMIES,2,17,135 ACADEMY RD,ALBANY,36001,001,NY,36,12208,5184292300,160,7.5,Yes,5,16,17,21,19,25,42,42,64,67,64,107,105,105,120,819,803,0,52,12,46,631,0,62,86.8,13,1,1,3,3,1,0,6.48,1.49,5.73,78.58,0,7.72,9.25,30,ALBANY,National Association of Independent Schools (NAIS),,,,,,,
A0107410,ALBANY JCC,2,3,340 WHITEHALL RD,ALBANY,36001,001,NY,36,12208,5186890039,180,4,No,,111,9,,,,,,,,,,,,,120,9,0,0,0,0,9,0,0,1,13,1,7,1,3,1,0,0,0,0,100,0,0,9,30,ALBANY,This school does not belong to ANY associations or organizations,,,,,,,
00922262,ALBERTUS MAGNUS HIGH SCHOOL,14,17,798 ROUTE 304,BARDONIA,36087,087,NY,36,10954,8456238842,180,6.5,Yes,,,,,,,,,,,,118,126,122,117,483,483,0,19,53,58,353,0,0,36.1,21,1,1,2,1,2,0,3.93,10.97,12.01,73.08,0,0,13.38,1,ROCKLAND,National Catholic Educational Association (NCEA),,,,,,,
A0902247,ALCOTT SCHOOL,2,4,535 BROADWAY,DOBBS FERRY,36119,119,NY,36,10522,9146934443,180,6.25,Yes,86,75,3,,,,,,,,,,,,,164,89,0,72,0,12,3,0,2,2,21,1,2,1,3,2,0,80.9,0,13.48,3.37,0,2.25,44.5,30,WESTCHESTER,American Montessori Society (AMS),,,,,,,
K9303986,ALCOTT SCHOOL,2,4,27 CRANE RD,SCARSDALE,36119,119,NY,36,10583,9144724404,180,10.5,No,,227,3,,,,,,,,,,,,,230,3,0,2,0,0,1,0,0,2,21,1,2,1,3,2,0,66.67,0,0,33.33,0,0,1.5,30,WESTCHESTER,American Montessori Society (AMS),,,,,,,
00938272,ALEXANDER ROBERTSON SCHOOL,2,10,3 W 95TH ST,NEW YORK,36061,061,NY,36,10025,2126636441,175,7,Yes,,4,8,9,7,9,4,6,,,,,,,,47,43,0,1,8,14,8,0,12,10.4,11,1,1,1,2,1,0,2.33,18.6,32.56,18.6,0,27.91,4.13,27,NEW YORK,This school does not belong to ANY associations or organizations,,,,,,,
00922251,ALL HALLOWS HIGH SCHOOL,14,17,111 E 164TH ST,BRONX,36005,005,NY,36,10452,7182934545,186,7.25,Yes,,,,,,,,,,,,149,166,138,133,586,586,0,17,439,119,9,2,0,36,11,3,1,2,1,1,0,2.9,74.91,20.31,1.54,0.34,0,16.28,1,BRONX,National Catholic Educational Association (NCEA),,,,,,,
00929213,ALL SAINTS ACADEMY,2,13,158 STATE ST,CORNING,36101,101,NY,36,14830,6079369234,180,6,Yes,,39,14,10,10,11,11,2,9,7,5,,,,,118,79,0,3,1,4,68,0,3,10.4,31,1,1,1,1,3,0,3.8,1.27,5.06,86.08,0,3.8,7.6,1,STEUBEN,National Catholic Educational Association (NCEA),,,,,,,
00924011,ALL SAINTS CATHOLIC ACADEMY,2,13,10 ROSEMONT ST,ALBANY,36001,001,NY,36,12203,5184380066,180,7,Yes,,49,19,16,20,15,15,15,19,15,15,,,,,198,149,0,13,13,31,75,6,11,15.4,13,1,1,1,1,1,0,8.72,8.72,20.81,50.34,4.03,7.38,9.68,1,ALBANY,National Catholic Educational Association (NCEA),,,,,,,
A0701580,ALL SAINTS ELEM OF TIPPERARY HILL,2,11,112 S WILBUR AVE,SYRACUSE,36067,067,NY,36,13204,3154223140,180,6.5,Yes,,34,12,12,8,5,7,7,3,,,,,,,88,54,0,0,0,6,48,0,0,7,12,1,1,1,1,1,0,0,0,11.11,88.89,0,0,7.71,1,ONONDAGA,This school does not belong to ANY associations or organizations,,,,,,,
A9104672,ALL SAINTS REGIONAL CATHOLIC SCHOOL,2,13,12 PEARSALL AVE,GLEN COVE,36059,059,NY,36,11542,5166760762,177,5,No,,22,11,19,17,13,15,14,30,13,11,,,,,165,143,1,11,34,8,84,0,5,16.1,21,1,1,1,1,2,0.7,7.69,23.78,5.59,58.74,0,3.5,8.88,1,NASSAU,This school does not belong to ANY associations or organizations,,,,,,,
