South Carolina
National Center for Education Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSS Private School Universe Survey data 2015-2016 school year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The file contains (279) records based on your search.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user. For more information about this data, visit the PSS homepage. http://nces.ed.gov/surveys/pss",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSS_SCHOOL_ID,PSS_INST,LoGrade,HiGrade,PSS_ADDRESS,PSS_CITY,PSS_COUNTY_NO,PSS_COUNTY_FIPS,PSS_STABB,PSS_FIPS,PSS_ZIP5,PSS_PHONE,PSS_SCH_DAYS,PSS_STU_DAY_HRS,PSS_LIBRARY,PSS_ENROLL_UG,PSS_ENROLL_PK,PSS_ENROLL_K,PSS_ENROLL_1,PSS_ENROLL_2,PSS_ENROLL_3,PSS_ENROLL_4,PSS_ENROLL_5,PSS_ENROLL_6,PSS_ENROLL_7,PSS_ENROLL_8,PSS_ENROLL_9,PSS_ENROLL_10,PSS_ENROLL_11,PSS_ENROLL_12,PSS_ENROLL_T,PSS_ENROLL_TK12,PSS_RACE_AI,PSS_RACE_AS,PSS_RACE_H,PSS_RACE_B,PSS_RACE_W,PSS_RACE_P,PSS_RACE_2,PSS_FTE_TEACH,PSS_LOCALE,PSS_COED,PSS_TYPE,PSS_LEVEL,PSS_RELIG,PSS_COMM_TYPE,PSS_INDIAN_PCT,PSS_ASIAN_PCT,PSS_HISP_PCT,PSS_BLACK_PCT,PSS_WHITE_PCT,P_PACISL_PCT,P_TWOMORE_PCT,PSS_STDTCH_RT,PSS_ORIENT,PSS_COUNTY_NAME,PSS_ASSOC_1,PSS_ASSOC_2,PSS_ASSOC_3,PSS_ASSOC_4,PSS_ASSOC_5,PSS_ASSOC_6,PSS_ASSOC_7,PSS_ASSOC_8
A1303124,ABIDING PEACE ACADEMY,2,11,401 BATESVILLE RD,SIMPSONVILLE,45045,045,SC,45,29681,8645096408,180,6.75,Yes,,45,11,5,3,5,7,2,1,,,,,,,79,34,0,3,0,0,31,0,0,3,22,1,1,1,2,2,0,8.82,0,0,91.18,0,0,11.33,22,GREENVILLE,This school does not belong to ANY associations or organizations,,,,,,,
K9500531,ABUNDANT LIFE CHRISTIAN SCHOOL,2,17,630 FARRS BRIDGE RD,GREENVILLE,45045,045,SC,45,29611,8642461055,180,7,Yes,,9,8,10,3,3,4,4,6,7,12,6,5,3,9,89,80,0,2,4,0,67,0,7,10,41,1,1,3,2,4,0,2.5,5,0,83.75,0,8.75,8,8,GREENVILLE,Association of Christian Schools International (ACSI),,,,,,,
01263546,ADDLESTONE HEBREW ACADEMY,2,13,1675 RAOUL WALLENBERG BLVD,CHARLESTON,45019,019,SC,45,29407,8435711105,180,7.5,Yes,,18,12,12,12,12,6,8,6,10,12,,,,,108,90,0,2,3,0,85,0,0,16,12,1,1,1,2,1,0,2.22,3.33,0,94.44,0,0,5.63,18,CHARLESTON,Other school association(s),,,,,,,
A9106153,AGAPE CHRISTIAN ACADEMY,3,17,PO BOX 719,LOBECO,45013,013,SC,45,29931,8438464835,180,7,No,,,3,2,4,9,6,6,1,4,2,5,,3,1,46,46,0,3,5,9,25,0,4,8,42,1,1,3,2,4,0,6.52,10.87,19.57,54.35,0,8.7,5.75,8,BEAUFORT,This school does not belong to ANY associations or organizations,,,,,,,
K9305823,AIKENS FBC PRESCHOOL,2,3,PO BOX 3157,AIKEN,45003,003,SC,45,29802,8036485476,170,5.5,Yes,,75,11,,,,,,,,,,,,,86,11,0,0,0,1,10,0,0,1.1,21,1,7,1,2,2,0,0,0,9.09,90.91,0,0,10,5,AIKEN,This school does not belong to ANY associations or organizations,,,,,,,
A0307928,ALDERSGATE CHILD DEVELOPMENT CENTER,2,3,7 SHANNON DR,GREENVILLE,45045,045,SC,45,29615,8642685028,161,5,No,,85,8,,,,,,,,,,,,,93,8,0,0,0,0,8,0,0,2.3,21,1,7,1,2,2,0,0,0,0,100,0,0,3.48,25,GREENVILLE,This school does not belong to ANY associations or organizations,,,,,,,
K9305755,ALL SAINTS CHURCH SCHOOL,2,3,3560 KINGS RIVER RD,PAWLEYS ISLAND,45043,043,SC,45,29585,8432378524,166,5.75,No,,40,18,,,,,,,,,,,,,58,18,0,0,0,1,17,0,0,2.1,31,1,7,1,2,3,0,0,0,5.56,94.44,0,0,8.57,29,GEORGETOWN,This school does not belong to ANY associations or organizations,,,,,,,
01263466,ALL SAINTS' EPISCOPAL DAY SCHOOL,2,11,1425 CHEROKEE RD,FLORENCE,45041,041,SC,45,29501,8436628134,175,6.75,Yes,,53,27,33,32,35,42,33,37,,,,,,,292,239,0,16,4,11,208,0,0,27.9,13,1,1,1,2,1,0,6.69,1.67,4.6,87.03,0,0,8.57,14,FLORENCE,State or regional independent school association,Other school association(s),,,,,,
A9106156,ANDERSON CHRISTIAN SCHOOL,2,17,3902 LIBERTY HWY,ANDERSON,45007,007,SC,45,29621,8642247309,179,7,Yes,,18,10,13,16,12,15,18,18,20,26,19,25,15,14,239,221,0,2,0,10,207,0,2,22.5,23,1,1,3,2,2,0,0.9,0,4.52,93.67,0,0.9,9.82,8,ANDERSON,Other school association(s),,,,,,,
A0903332,ANGELS CHILD DEVELOPMENT CENTER,2,3,1704 SPRING ST,GREENWOOD,45047,047,SC,45,29646,8642272700,260,10,No,,24,3,,,,,,,,,,,,,27,3,,,,,,,,1,41,1,7,1,3,4,,,,,,,,3,30,GREENWOOD,This school does not belong to ANY associations or organizations,,,,,,,
A1303127,AS-SABEEL ACADEMY,2,11,1601 CLEMENT RD,GREER,45045,045,SC,45,29650,8646747456,180,7,Yes,,20,13,14,19,14,10,9,6,,,,,,,105,85,0,0,83,2,0,0,0,10.9,21,1,1,1,2,2,0,0,97.65,2.35,0,0,0,7.8,17,GREENVILLE,This school does not belong to ANY associations or organizations,,,,,,,
A0307933,ASBURY KINDERGARTEN & PRESCHOOL,2,3,1005 ASBURY DR,COLUMBIA,45079,079,SC,45,29209,8037768121,160,6,Yes,,77,19,,,,,,,,,,,,,96,19,0,0,1,5,12,1,0,2,12,1,7,1,2,1,0,0,5.26,26.32,63.16,5.26,0,9.5,25,RICHLAND,This school does not belong to ANY associations or organizations,,,,,,,
A9106158,BARNWELL CHRISTIAN SCHOOL,6,17,5675 SC HIGHWAY 70,BLACKVILLE,45011,011,SC,45,29817,8032592100,180,6.5,Yes,,,,6,4,2,5,7,6,5,5,8,2,4,5,59,59,0,2,0,1,56,0,0,5.4,42,1,1,3,2,4,0,3.39,0,1.69,94.92,0,0,10.93,24,BARNWELL,Association of Christian Schools International (ACSI),,,,,,,
01263433,BEAUFORT ACADEMY,2,17,240 SAMS POINT RD,BEAUFORT,45013,013,SC,45,29907,8435243393,177,7,Yes,,44,11,9,12,10,12,15,16,15,24,23,25,11,21,248,204,0,12,15,14,163,0,0,28.3,32,1,1,3,3,3,0,5.88,7.35,6.86,79.9,0,0,7.21,30,BEAUFORT,National Association of Independent Schools (NAIS),Other school association(s),,,,,,
01932076,BEAUFORT CHRISTIAN SCHOOL,2,17,378 PARRIS ISLAND GTWY,BEAUFORT,45013,013,SC,45,29906,8435250635,180,6.67,Yes,,21,9,4,6,1,8,2,3,3,4,4,,3,3,71,50,0,0,3,17,27,0,3,5.4,32,1,1,3,2,3,0,0,6,34,54,0,6,9.26,5,BEAUFORT,Accelerated Christian Education (ACE) or (School of Tomorrow),American Association of Christian Schools (AACS),,,,,,
A9106189,BEN LIPPEN SCHOOL,2,17,7401 MONTICELLO RD,COLUMBIA,45079,079,SC,45,29203,8038074106,179,7.08,Yes,,23,32,33,31,35,29,44,61,52,67,83,96,79,82,747,724,2,91,10,36,567,0,18,55.5,41,1,1,3,2,4,0.28,12.57,1.38,4.97,78.31,0,2.49,13.05,8,RICHLAND,Association of Christian Schools International (ACSI),State or regional independent school association,The Association of Boarding Schools (TABS),Other school association(s),,,,
A9503722,BEREA JUNIOR ACADEMY,6,13,675 S LAFAYETTE DR,SUMTER,45085,085,SC,45,29150,8037736875,180,7,Yes,,,,1,3,2,3,2,,,2,,,,,13,13,0,0,0,13,0,0,0,1,13,1,1,1,2,1,0,0,0,100,0,0,0,13,28,SUMTER,General Conference of the Seventh-Day Adventist Church (GCSDAC),,,,,,,
A9903901,BETHANY CHILD DEVELOPMENT CENTER,2,3,118 W 3RD SOUTH ST,SUMMERVILLE,45035,035,SC,45,29483,8438211946,169,4,Yes,,156,15,,,,,,,,,,,,,171,15,0,0,2,0,12,0,1,2.3,21,1,7,1,2,2,0,0,13.33,0,80,0,6.67,6.52,25,DORCHESTER,State or regional independent school association,,,,,,,
A0503201,BETHEL LEARNING CENTER,2,6,819 WOODROW ST,COLUMBIA,45079,079,SC,45,29205,8037790138,180,6.5,Yes,,77,12,10,,,,,,,,,,,,99,22,0,0,0,22,0,0,0,4,12,1,1,1,2,1,0,0,0,100,0,0,0,5.5,2,RICHLAND,Other school association(s),,,,,,,
01264619,BLESSED HOPE CHRISTIAN ACADEMY,2,12,PO BOX 609,YORK,45091,091,SC,45,29745,8036849819,180,6.75,Yes,,18,10,6,9,5,11,4,3,4,,,,,,70,52,0,0,0,1,50,1,0,7,41,1,1,1,2,4,0,0,0,1.92,96.15,1.92,0,7.43,5,YORK,American Association of Christian Schools (AACS),State or regional independent school association,,,,,,
01263003,BLESSED SACRAMENT SCHOOL,2,13,7 SAINT TERESA DR,CHARLESTON,45019,019,SC,45,29407,8437662128,180,6.5,Yes,,41,15,21,15,25,25,22,14,17,21,,,,,216,175,0,6,12,5,147,5,0,15,12,1,1,1,1,1,0,3.43,6.86,2.86,84,2.86,0,11.67,1,CHARLESTON,National Catholic Educational Association (NCEA),,,,,,,
X1932087,BOB JONES ACADEMY,2,17,1700 WADE HAMPTON BLVD,GREENVILLE,45045,045,SC,45,29614,8647701395,172,7.17,Yes,,182,52,82,70,73,62,71,72,70,83,76,79,81,60,1113,931,7,42,21,5,840,11,5,85.9,13,1,1,3,2,1,0.75,4.51,2.26,0.54,90.23,1.18,0.54,10.84,8,GREENVILLE,American Association of Christian Schools (AACS),,,,,,,
01263568,CALHOUN ACADEMY,2,17,PO BOX 526,SAINT MATTHEWS,45017,017,SC,45,29135,8038742734,180,6.5,Yes,,22,12,17,20,20,21,21,24,14,28,25,29,27,30,310,288,0,5,2,3,275,3,0,24.8,42,1,1,3,3,4,0,1.74,0.69,1.04,95.49,1.04,0,11.61,30,CALHOUN,Other school association(s),,,,,,,
K9305734,CALVARY BAPTIST KINDERGARTEN,2,3,915 CHEROKEE RD,FLORENCE,45041,041,SC,45,29501,8436671798,170,4,No,,32,15,,,,,,,,,,,,,47,15,0,1,0,0,14,0,0,1,13,1,7,1,2,1,0,6.67,0,0,93.33,0,0,15,5,FLORENCE,,,,,,,,
A0109123,CALVARY CHRISTIAN SCHOOL,2,16,101 CALVARY ST,GREER,45045,045,SC,45,29650,8648775555,180,7,No,,9,7,12,5,10,5,3,4,5,4,4,1,5,,74,65,0,0,2,2,61,0,0,6.3,21,1,1,3,2,2,0,0,3.08,3.08,93.85,0,0,10.32,5,GREENVILLE,American Association of Christian Schools (AACS),,,,,,,
01264903,CALVARY FELLOWSHIP MENNONITE,6,17,2436 HEALING SPRINGS RD,BLACKVILLE,45011,011,SC,45,29817,8032842876,180,6,Yes,,,,1,,,1,,3,,1,,4,,1,11,11,0,0,0,0,11,0,0,2,42,1,1,3,2,4,0,0,0,0,100,0,0,5.5,24,BARNWELL,This school does not belong to ANY associations or organizations,,,,,,,
01263422,CAMDEN MILITARY ACADEMY,12,17,520 HIGHWAY 1 N,CAMDEN,45055,055,SC,45,29020,8009486291,180,6,Yes,,,,,,,,,,20,20,50,50,50,50,240,240,0,15,18,35,162,0,10,35.9,31,3,1,2,2,3,0,6.25,7.5,14.58,67.5,0,4.17,6.69,8,KERSHAW,Association of Military Colleges and Schools (AMCS),National Association of Independent Schools (NAIS),,,,,,
A9106164,CAMPERDOWN ACADEMY,6,13,501 HOWELL RD,GREENVILLE,45045,045,SC,45,29615,8642448899,175,7.33,Yes,,,,4,16,13,24,22,14,22,12,,,,,127,127,0,2,2,4,117,0,2,30,21,1,4,1,3,2,0,1.57,1.57,3.15,92.13,0,1.57,4.23,30,GREENVILLE,,,,,,,,
A0503213,CAPERS PREPARATORY CHRISTIAN ACADEMY,3,16,1945 BEES FERRY RD,CHARLESTON,45019,019,SC,45,29414,8432252892,180,6,Yes,,,7,2,2,3,2,4,2,1,2,,2,3,,30,30,0,0,0,29,0,0,1,4.4,12,1,1,3,2,1,0,0,0,96.67,0,0,3.33,6.82,8,CHARLESTON,American Association of Christian Schools (AACS),State or regional independent school association,,,,,,
01262804,CARDINAL NEWMAN SCHOOL,12,17,4701 FOREST DR,COLUMBIA,45079,079,SC,45,29206,8037822814,180,7.17,Yes,,,,,,,,,,75,80,85,90,106,75,511,511,,,,,,,,49.8,21,1,1,2,1,2,,,,,,,,10.26,1,RICHLAND,National Catholic Educational Association (NCEA),Other school association(s),,,,,,
A9903906,CAROLINA CHRISTIAN ACADEMY,2,17,1850 KERSHAW CAMDEN HWY,LANCASTER,45057,057,SC,45,29720,8032855565,180,7.42,Yes,,30,45,19,18,17,16,8,7,8,2,9,8,7,6,200,170,0,1,8,34,127,0,0,11.5,41,1,1,3,2,4,0,0.59,4.71,20,74.71,0,0,14.78,5,LANCASTER,American Association of Christian Schools (AACS),,,,,,,
A0109124,CATHEDRAL ACADEMY,2,17,PO BOX 41129,CHARLESTON,45035,035,SC,45,29423,8437601192,175,7,Yes,,47,29,21,17,18,11,12,18,20,25,16,12,12,12,270,223,2,5,12,75,119,5,5,21,21,1,1,3,2,2,0.9,2.24,5.38,33.63,53.36,2.24,2.24,10.62,8,DORCHESTER,Association of Christian Schools International (ACSI),,,,,,,
A1102036,CENTER FOR LEARNING INC,2,8,2729 COVENANT RD,COLUMBIA,45079,079,SC,45,29204,8032540068,190,6.5,Yes,,113,24,18,8,2,,,,,,,,,,165,52,0,0,0,50,1,0,1,4.6,12,1,1,1,3,1,0,0,0,96.15,1.92,0,1.92,11.3,30,RICHLAND,Other school association(s),,,,,,,
K9305781,CENTRAL PRESBYTERIAN PRESCHOOL,2,4,1404 N BOULEVARD,ANDERSON,45007,007,SC,45,29621,8642250515,180,3,No,,84,7,,,,,,,,,,,,,91,7,0,0,0,0,7,0,0,1,13,1,7,1,2,1,0,0,0,0,100,0,0,7,27,ANDERSON,This school does not belong to ANY associations or organizations,,,,,,,
A9503726,CHARLES TOWNE MONTESSORI SCHOOL,2,11,56 LEINBACH DR,CHARLESTON,45019,019,SC,45,29407,8435711140,180,7.17,No,,57,6,10,7,7,3,5,1,,,,,,,96,39,0,2,1,1,34,0,1,2.6,12,1,2,1,3,1,0,5.13,2.56,2.56,87.18,0,2.56,15,30,CHARLESTON,Association Montessori International,,,,,,,
02056186,CHARLESTON CHRISTIAN SCHOOL,3,13,2234 PLAINVIEW RD,CHARLESTON,45019,019,SC,45,29414,8435564480,176,6.5,No,,,5,4,4,11,9,3,7,14,2,,,,,59,59,0,0,3,6,49,0,1,6.1,21,1,1,1,2,2,0,0,5.08,10.17,83.05,0,1.69,9.67,8,CHARLESTON,American Association of Christian Schools (AACS),Association of Christian Schools International (ACSI),,,,,,
01264302,CHARLESTON COLLEGIATE SCHOOL,2,17,2024 ACADEMY RD,JOHNS ISLAND,45019,019,SC,45,29455,8435595506,175,8,Yes,,14,27,18,26,14,17,17,25,11,12,15,14,30,12,252,238,0,6,7,41,181,0,3,25.4,41,1,1,3,3,4,0,2.52,2.94,17.23,76.05,0,1.26,9.37,30,CHARLESTON,National Association of Independent Schools (NAIS),State or regional independent school association,,,,,,
01264685,CHARLESTON DAY SCHOOL,6,13,15 ARCHDALE ST,CHARLESTON,45019,019,SC,45,29401,8433770315,180,7.33,Yes,,,,26,33,35,35,36,27,28,28,,,,,248,248,0,0,1,1,246,0,0,28.9,12,1,1,1,3,1,0,0,0.4,0.4,99.19,0,0,8.58,30,CHARLESTON,National Association of Independent Schools (NAIS),State or regional independent school association,,,,,,
AA000251,CHARLESTON SDA SCHOOL,6,14,2518 SAVANNAH HWY,CHARLESTON,45019,019,SC,45,29414,8435717519,180,7,Yes,,,,5,3,1,4,,2,3,5,3,,,,26,26,0,1,5,4,14,2,0,3,12,1,1,3,2,1,0,3.85,19.23,15.38,53.85,7.69,0,8.67,28,CHARLESTON,General Conference of the Seventh-Day Adventist Church (GCSDAC),,,,,,,
A0509255,CHEROKEE CREEK BOYS SCHOOL,10,14,198 COOPER RD,WESTMINSTER,45073,073,SC,45,29693,8646471885,245,7,No,,,,,,,,1,4,15,8,9,,,,37,37,0,0,2,1,34,0,0,4.1,42,3,6,3,3,4,0,0,5.41,2.7,91.89,0,0,9.02,30,OCONEE,Other school association(s),,,,,,,
A0503208,CHESTERBROOK ACADEMY,2,3,1050 WILDWOOD CENTRE DR,COLUMBIA,45079,079,SC,45,29229,8036999988,180,7,No,,60,11,,,,,,,,,,,,,71,11,0,0,0,8,3,0,0,1,12,1,7,1,3,1,0,0,0,72.73,27.27,0,0,11,30,RICHLAND,This school does not belong to ANY associations or organizations,,,,,,,
K9305756,CHRIST CHURCH EPISCOPAL PRESCHOOL,2,3,10 N CHURCH ST,GREENVILLE,45045,045,SC,45,29601,8642337612,170,5,No,,184,9,,,,,,,,,,,,,193,9,0,0,0,0,9,0,0,2,13,1,7,1,2,1,0,0,0,0,100,0,0,4.5,14,GREENVILLE,Other special emphasis association(s),,,,,,,
01262724,CHRIST OUR KING-STELLA MARIS SCHOOL,2,13,1183 RUSSELL DR,MOUNT PLEASANT,45019,019,SC,45,29464,8438844721,180,7,Yes,,39,60,,63,64,57,73,78,76,67,,,,,577,538,0,4,28,4,488,8,6,51,21,1,1,1,1,2,0,0.74,5.2,0.74,90.71,1.49,1.12,10.55,1,CHARLESTON,National Catholic Educational Association (NCEA),,,,,,,
A9703144,CHRISTIAN ACADEMY OF MYRTLE BEACH,3,17,291 RONALD MCNAIR BLVD,MYRTLE BEACH,45051,051,SC,45,29579,8432366222,180,7.33,Yes,,,22,32,19,31,31,31,32,30,34,42,21,21,19,365,365,0,7,10,17,321,0,10,30,22,1,1,3,2,2,0,1.92,2.74,4.66,87.95,0,2.74,12.17,8,HORRY,Association of Christian Schools International (ACSI),State or regional independent school association,,,,,,
A0307948,CHRISTIAN PATHWAY: STARTING STEPS SCHOOL,2,6,PO BOX 757,LAMAR,45031,031,SC,45,29069,8433265850,220,6.5,No,,,1,4,,,,,,,,,,,,23,5,0,0,0,0,0,0,5,3.4,42,1,,1,2,4,0,0,0,0,0,0,100,1.47,29,DARLINGTON,,,,,,,,
01263455,CLARENDON HALL SCHOOL,2,17,1140 S DUKES ST,SUMMERTON,45027,027,SC,45,29148,8034853550,182,6.5,Yes,,9,7,9,7,17,15,21,10,14,19,17,17,18,21,201,192,0,0,0,6,175,0,11,23,42,1,1,3,2,4,0,0,0,3.13,91.15,0,5.73,8.35,8,CLARENDON,Other school association(s),,,,,,,
A9106169,CLEMSON MONTESSORI SCHOOL,3,11,207 PENDLETON RD,CLEMSON,45077,077,SC,45,29631,8646384483,180,5,Yes,,,14,4,51,5,1,2,3,,,,,,,80,80,0,4,0,2,74,0,0,8.9,21,1,2,1,3,2,0,5,0,2.5,92.5,0,0,8.99,30,PICKENS,This school does not belong to ANY associations or organizations,,,,,,,
01263251,COASTAL CHRISTIAN PREPARATORY SCHOOL,2,17,681 MCCANTS DR,MOUNT PLEASANT,45019,019,SC,45,29464,8438843663,175,7,Yes,,27,12,16,13,18,10,12,7,11,15,15,22,18,14,210,183,0,3,3,7,167,0,3,28.3,21,1,1,3,2,2,0,1.64,1.64,3.83,91.26,0,1.64,6.47,5,CHARLESTON,Association of Christian Schools International (ACSI),Other school association(s),,,,,,
01265102,COLD SPRINGS MENNONITE SCHOOL,3,17,168 COLD SPRINGS CHURCH RD,ABBEVILLE,45001,001,SC,45,29620,8644462275,180,6,Yes,,,8,8,7,8,15,6,6,5,6,7,4,3,3,86,86,0,0,0,2,84,0,0,8,42,1,1,3,2,4,0,0,0,2.33,97.67,0,0,10.75,24,ABBEVILLE,This school does not belong to ANY associations or organizations,,,,,,,
01263353,COLLETON PREPARATORY ACADEMY,2,17,PO BOX 1426,WALTERBORO,45029,029,SC,45,29488,8435388959,180,6.5,Yes,,11,22,11,11,13,20,20,16,20,28,24,15,27,15,253,242,0,0,3,3,236,0,0,24.4,32,1,1,3,3,3,0,0,1.24,1.24,97.52,0,0,9.92,30,COLLETON,State or regional independent school association,,,,,,,
01932123,COLONIAL CHRISTIAN ACADEMY,11,17,1110 MEETING ST,WEST COLUMBIA,45063,063,SC,45,29169,8037967025,180,5,Yes,,,,,,,,,1,,,1,,,1,3,3,0,0,1,1,1,0,0,2.5,21,1,1,3,2,2,0,0,33.33,33.33,33.33,0,0,1.2,8,LEXINGTON,Accelerated Christian Education (ACE) or (School of Tomorrow),Other religious school association(s),National Association for the Education of Young Children (NAEYC),Other school association(s),,,,
01265157,COLUMBIA ADVENTIST ACADEMY,6,13,241 RIVERCHASE WAY,LEXINGTON,45063,063,SC,45,29072,8037960277,180,7,Yes,,,,1,2,,1,1,1,1,2,,,,,9,9,0,0,1,5,3,0,0,1.9,41,1,1,1,2,4,0,0,11.11,55.56,33.33,0,0,4.74,28,LEXINGTON,General Conference of the Seventh-Day Adventist Church (GCSDAC),,,,,,,
A1303139,COMENIUS SCHOOL FOR CREATIVE LEADERSHIP,3,17,8160 REGENT PKWY,FORT MILL,45091,091,SC,45,29715,8035473223,142,6.5,Yes,,,13,10,11,12,11,9,11,12,23,24,26,23,22,207,207,0,5,1,20,167,0,14,15.5,21,1,1,3,2,2,0,2.42,0.48,9.66,80.68,0,6.76,13.35,26,YORK,This school does not belong to ANY associations or organizations,,,,,,,
A9106170,COMMUNITY CHRISTIAN ACADEMY,3,17,15893 BELLS HWY,LODGE,45029,029,SC,45,29082,8438667436,144,7,No,,,5,1,2,3,3,3,1,2,3,3,,1,2,29,29,0,0,0,0,29,0,0,50,43,1,1,3,2,4,0,0,0,0,100,0,0,0.58,5,COLLETON,Accelerated Christian Education (ACE) or (School of Tomorrow),,,,,,,
A9303844,COMMUNITY CHRISTIAN ACADEMY,11,16,1798 UTOPIA SCHOOL RD,LEESVILLE,45081,081,SC,45,29070,8038924179,180,7,Yes,1,,,,,,,,1,,,1,1,1,,5,5,0,0,1,0,4,0,0,4.3,42,1,6,3,2,4,0,0,20,0,80,0,0,1.16,8,SALUDA,Accelerated Christian Education (ACE) or (School of Tomorrow),,,,,,,
A0903343,CONESTEE BAPTIST DAY SCHOOL,3,16,PO BOX 157,CONESTEE,45045,045,SC,45,29636,8642771175,180,6.25,Yes,,,4,2,2,4,4,1,3,1,,1,,2,,24,24,0,0,1,2,21,0,0,3.1,21,1,1,3,2,2,0,0,4.17,8.33,87.5,0,0,7.74,5,GREENVILLE,American Association of Christian Schools (AACS),,,,,,,
