Maryland
National Center for Education Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSS Private School Universe Survey data 2015-2016 school year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The file contains (536) records based on your search.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user. For more information about this data, visit the PSS homepage. http://nces.ed.gov/surveys/pss",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSS_SCHOOL_ID,PSS_INST,LoGrade,HiGrade,PSS_ADDRESS,PSS_CITY,PSS_COUNTY_NO,PSS_COUNTY_FIPS,PSS_STABB,PSS_FIPS,PSS_ZIP5,PSS_PHONE,PSS_SCH_DAYS,PSS_STU_DAY_HRS,PSS_LIBRARY,PSS_ENROLL_UG,PSS_ENROLL_PK,PSS_ENROLL_K,PSS_ENROLL_1,PSS_ENROLL_2,PSS_ENROLL_3,PSS_ENROLL_4,PSS_ENROLL_5,PSS_ENROLL_6,PSS_ENROLL_7,PSS_ENROLL_8,PSS_ENROLL_9,PSS_ENROLL_10,PSS_ENROLL_11,PSS_ENROLL_12,PSS_ENROLL_T,PSS_ENROLL_TK12,PSS_RACE_AI,PSS_RACE_AS,PSS_RACE_H,PSS_RACE_B,PSS_RACE_W,PSS_RACE_P,PSS_RACE_2,PSS_FTE_TEACH,PSS_LOCALE,PSS_COED,PSS_TYPE,PSS_LEVEL,PSS_RELIG,PSS_COMM_TYPE,PSS_INDIAN_PCT,PSS_ASIAN_PCT,PSS_HISP_PCT,PSS_BLACK_PCT,PSS_WHITE_PCT,P_PACISL_PCT,P_TWOMORE_PCT,PSS_STDTCH_RT,PSS_ORIENT,PSS_COUNTY_NAME,PSS_ASSOC_1,PSS_ASSOC_2,PSS_ASSOC_3,PSS_ASSOC_4,PSS_ASSOC_5,PSS_ASSOC_6,PSS_ASSOC_7,PSS_ASSOC_8
A9502014,A CHILD S PLACE,2,3,4701 N CHARLES ST,BALTIMORE,24510,510,MD,24,21210,4105325399,170,6,Yes,,29,10,,,,,,,,,,,,,39,10,0,1,0,2,6,0,1,4,11,1,7,1,3,1,0,10,0,20,60,0,10,2.5,30,BALTIMORE CITY,This school does not belong to ANY associations or organizations,,,,,,,
BB161235,A OUR ST. JAMES ANDS JOHN CATOLIC SCHOOL,2,13,1012 SUMMERSET ST,BALTIMORE,24003,003,MD,24,21212,4103423222,180,6.25,Yes,,37,18,24,25,21,15,16,17,15,14,,,,,202,165,0,0,0,164,1,0,0,11,11,1,1,1,1,1,0,0,0,99.39,0.61,0,0,15,1,BALTIMORE CITY,Other school association(s),,,,,,,
01604497,ACADEMY OF THE HOLY CROSS,14,17,4920 STRATHMORE AVE,KENSINGTON,24031,031,MD,24,20895,3019422100,175,6.75,Yes,,,,,,,,,,,,131,118,124,120,493,493,1,28,24,47,300,1,92,42.9,21,2,1,2,1,2,0.2,5.68,4.87,9.53,60.85,0.2,18.66,11.49,1,MONTGOMERY,National Catholic Educational Association (NCEA),,,,,,,
A0901633,ACADEMY PRIMARY SCHOOL & CHILD DEVELOPMENT  CTR,2,4,10107 DARNESTOWN RD,ROCKVILLE,24031,031,MD,24,20850,3014249475,184,6,Yes,,27,20,,,,,,,,,,,,,47,20,0,5,0,0,12,0,3,2.3,21,1,7,1,3,2,0,25,0,0,60,0,15,8.7,30,MONTGOMERY,This school does not belong to ANY associations or organizations,,,,,,,
K9302773,ACORN HILL WALDORF KINDERGARTEN & NURSERY,2,3,9504 BRUNETT AVE,SILVER SPRING,24031,031,MD,24,20901,3015652282,173,6,Yes,,51,11,,,,,,,,,,,,,62,11,0,0,0,0,11,0,0,7.1,13,1,7,1,3,1,0,0,0,0,100,0,0,1.55,30,MONTGOMERY,Other special emphasis association(s),,,,,,,
A9701726,AL-HUDA SCHOOL,3,17,5301 EDGEWOOD RD,COLLEGE PARK,24033,033,MD,24,20740,3019822402,181,7.25,No,,,54,50,60,43,49,45,50,44,40,33,32,19,12,531,531,0,187,2,141,7,0,194,39.8,21,1,1,3,2,2,0,35.22,0.38,26.55,1.32,0,36.53,13.34,17,PRINCE GEORGE'S,Islamic School League of America (ISLA),,,,,,,
A9103128,AL-RAHMAH SCHOOL,2,17,6631 JOHNNYCAKE RD,BALTIMORE,24005,005,MD,24,21244,4107190921,175,7.5,Yes,,10,33,46,41,32,26,23,28,15,19,16,5,13,1,308,298,0,60,0,59,15,0,164,34.6,21,1,1,3,2,2,0,20.13,0,19.8,5.03,0,55.03,8.61,17,BALTIMORE,Other school association(s),,,,,,,
A1501789,ALEF BET MONTESSORI SCHOOL INC.,2,10,5701 GROSVENOR LN,BETHESDA,24031,031,MD,24,20814,3015565010,180,7.25,No,,27,2,3,1,3,1,1,,,,,,,,38,11,0,0,0,0,10,0,1,3,21,1,2,1,2,2,0,0,0,0,90.91,0,9.09,3.67,18,MONTGOMERY,The Jewish Community Day School Association,Association Montessori International,State or regional independent school association,,,,,
A1301521,ALL ABOUT CHILDREN LEARNING CENTER,3,3,1201 MAPLE AVE,ARBUTUS,24005,005,MD,24,21227,4102426009,205,6,Yes,,,12,,,,,,,,,,,,,12,12,1,3,2,2,2,0,2,2.5,21,1,7,1,3,2,8.33,25,16.67,16.67,16.67,0,16.67,4.8,30,BALTIMORE,Other special emphasis association(s),,,,,,,
A1301522,ALLEGANY BOYS CAMP,1,1,20700 WAGNER CUTOFF RD SE,OLDTOWN,24001,001,MD,24,21555,3014785721,186,10,Yes,27,,,,,,,,,,,,,,,27,27,0,1,1,3,19,1,2,10,42,3,6,3,2,4,0,3.7,3.7,11.11,70.37,3.7,7.41,2.7,24,ALLEGANY,Other special emphasis association(s),,,,,,,
