Florida
National Center for Education Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSS Private School Universe Survey data 2015-2016 school year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The file contains (1599) records based on your search.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user. For more information about this data, visit the PSS homepage. http://nces.ed.gov/surveys/pss",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSS_SCHOOL_ID,PSS_INST,LoGrade,HiGrade,PSS_ADDRESS,PSS_CITY,PSS_COUNTY_NO,PSS_COUNTY_FIPS,PSS_STABB,PSS_FIPS,PSS_ZIP5,PSS_PHONE,PSS_SCH_DAYS,PSS_STU_DAY_HRS,PSS_LIBRARY,PSS_ENROLL_UG,PSS_ENROLL_PK,PSS_ENROLL_K,PSS_ENROLL_1,PSS_ENROLL_2,PSS_ENROLL_3,PSS_ENROLL_4,PSS_ENROLL_5,PSS_ENROLL_6,PSS_ENROLL_7,PSS_ENROLL_8,PSS_ENROLL_9,PSS_ENROLL_10,PSS_ENROLL_11,PSS_ENROLL_12,PSS_ENROLL_T,PSS_ENROLL_TK12,PSS_RACE_AI,PSS_RACE_AS,PSS_RACE_H,PSS_RACE_B,PSS_RACE_W,PSS_RACE_P,PSS_RACE_2,PSS_FTE_TEACH,PSS_LOCALE,PSS_COED,PSS_TYPE,PSS_LEVEL,PSS_RELIG,PSS_COMM_TYPE,PSS_INDIAN_PCT,PSS_ASIAN_PCT,PSS_HISP_PCT,PSS_BLACK_PCT,PSS_WHITE_PCT,P_PACISL_PCT,P_TWOMORE_PCT,PSS_STDTCH_RT,PSS_ORIENT,PSS_COUNTY_NAME,PSS_ASSOC_1,PSS_ASSOC_2,PSS_ASSOC_3,PSS_ASSOC_4,PSS_ASSOC_5,PSS_ASSOC_6,PSS_ASSOC_7,PSS_ASSOC_8
A1500739,30A LEARNING ACADEMY,5,10,259 RIVERCREST CIR,SANTA ROSA BEACH,12131,131,FL,12,32459,8506225658,170,5.75,Yes,,,1,2,1,,4,1,,,,,,,,9,9,0,0,0,0,9,0,0,2,31,1,1,1,3,3,0,0,0,0,100,0,0,4.5,30,WALTON,This school does not belong to ANY associations or organizations,,,,,,,
A1370040,A LEAGUE OF THEIR OWN ACADEMY LLC,2,3,4111 NW 22ND AVE,MIAMI,12086,086,FL,12,33142,3056343673,180,5.5,Yes,,30,1,,,,,,,,,,,,,31,1,0,0,1,0,0,0,0,1,21,1,7,1,3,2,0,0,100,0,0,0,0,1,30,MIAMI-DADE,This school does not belong to ANY associations or organizations,,,,,,,
A1500741,A LEARNING DAY CARE CENTER,3,6,17 NE 1ST RD,HOMESTEAD,12086,086,FL,12,33030,3052245802,180,6.5,Yes,,,13,9,,,,,,,,,,,,22,22,0,0,9,10,3,0,0,3,21,1,1,1,3,2,0,0,40.91,45.45,13.64,0,0,7.33,30,MIAMI-DADE,This school does not belong to ANY associations or organizations,,,,,,,
A0700590,A LIGHTHOUSE CHRISTIAN ACADEMY,6,17,1590 N JEFFERSON HWY,MONTICELLO,12065,065,FL,12,32344,8509976048,178,6.5,Yes,,,,2,1,4,1,4,2,3,5,2,4,2,4,34,34,0,1,0,17,15,0,1,3,42,1,6,3,2,4,0,2.94,0,50,44.12,0,2.94,11.33,12,JEFFERSON,This school does not belong to ANY associations or organizations,,,,,,,
A1100486,A PLUS LEARNING ACADEMY,6,17,810 SW FAITH RD,LAKE CITY,12023,023,FL,12,32025,3864385495,180,6,No,,,,1,1,3,3,3,5,10,8,3,1,3,2,43,43,0,0,0,1,42,0,0,5,32,1,1,3,3,3,0,0,0,2.33,97.67,0,0,8.6,30,COLUMBIA,This school does not belong to ANY associations or organizations,,,,,,,
A1370047,A WORLD OF KNOWLEDGE PRESCHOOL AND LEARNING CTR,2,6,750 NW 180TH TER,PEMBROKE PINES,12011,011,FL,12,33029,9544307707,180,6,No,,50,15,10,,,,,,,,,,,,75,25,0,2,0,5,16,0,2,2,21,1,1,1,3,2,0,8,0,20,64,0,8,12.5,30,BROWARD,Other school association(s),,,,,,,
A1500744,ABA ACADEMY,1,1,8950 DR ML KING ST N 170,ST PETERSBURG,12103,103,FL,12,33702,7275767600,200,4,No,18,,,,,,,,,,,,,,,18,18,0,0,0,0,18,0,0,2,11,1,4,3,3,1,0,0,0,0,100,0,0,9,30,PINELLAS,This school does not belong to ANY associations or organizations,,,,,,,
A1500746,ABIS PLACE,6,15,1710 N UNIVERSITY DR,CORAL SPRINGS,12011,011,FL,12,33071,9547534441,180,6,No,,,,3,1,1,2,2,1,,2,1,1,,,14,14,0,0,2,2,10,0,0,5,21,1,4,3,3,2,0,0,14.29,14.29,71.43,0,0,2.8,30,BROWARD,This school does not belong to ANY associations or organizations,,,,,,,
A0700419,ABLE ACADEMY,2,15,5860 GOLDEN GATE PKWY,NAPLES,12021,021,FL,12,34116,2393527600,185,6.5,Yes,,9,5,1,5,4,6,3,4,3,2,1,1,,,44,35,0,0,9,1,25,0,0,13,21,1,4,3,3,2,0,0,25.71,2.86,71.43,0,0,2.69,30,COLLIER,This school does not belong to ANY associations or organizations,,,,,,,
A9101662,ABUNDANT LIFE CHRISTIAN ACADEMY,2,13,1494 BANKS RD,MARGATE,12011,011,FL,12,33063,9549792665,180,7,Yes,,85,35,38,40,40,38,31,37,31,40,,,,,415,330,0,6,29,179,78,0,38,23.5,21,1,1,1,2,2,0,1.82,8.79,54.24,23.64,0,11.52,14.04,4,BROWARD,Other religious school association(s),,,,,,,
A1370451,ABUNDANT LIFE CHRISTIAN LRNG CTR /NEW JERUSALEM,2,10,777 NW 85TH ST,MIAMI,12086,086,FL,12,33150,3056911291,180,7,Yes,,38,21,21,15,16,21,13,,,,,,,,145,107,0,0,0,107,0,0,0,6,21,1,1,1,2,2,0,0,0,100,0,0,0,17.83,8,MIAMI-DADE,,,,,,,,
A1300573,ABUNDANTCRESCENT CITY CHRISTIAN ACADEMY,3,14,2701 S US HIGHWAY 17,CRESCENT CITY,12107,107,FL,12,32112,3866981133,186,7,Yes,,,5,3,9,4,3,6,5,4,3,1,,,,43,43,0,0,4,17,22,0,0,6,41,1,1,3,2,4,0,0,9.3,39.53,51.16,0,0,7.17,8,PUTNAM,Other school association(s),,,,,,,
A0304042,ACADEMIC HIGH SCHOOL,12,17,23123 SR 7 - SUITE 107,BOCA RATON,12099,099,FL,12,33428,5619290333,180,6.5,No,,,,,,,,,,1,1,1,,,2,5,5,0,0,1,0,4,0,0,0.9,21,1,1,2,3,2,0,0,20,0,80,0,0,5.56,30,PALM BEACH,This school does not belong to ANY associations or organizations,,,,,,,
A0101705,ACADEMIE DE MONTESSORI,2,10,1216 LASALLE ST,JACKSONVILLE,12031,031,FL,12,32207,9043983830,178,6.25,Yes,,12,14,6,3,3,2,1,,,,,,,,41,29,0,2,1,1,24,0,1,5,11,1,2,1,3,1,0,6.9,3.45,3.45,82.76,0,3.45,5.8,30,DUVAL,American Montessori Society (AMS),,,,,,,
A9302732,ACADEMY AT THE LAKES,2,17,2331 COLLIER PKWY,LAND O'LAKES,12101,101,FL,12,34639,8139487600,176,7.25,Yes,,36,24,21,26,24,31,36,29,41,34,48,45,36,37,468,432,3,44,57,32,296,0,0,48.3,21,1,1,3,3,2,0.69,10.19,13.19,7.41,68.52,0,0,8.94,30,PASCO,National Association of Independent Schools (NAIS),State or regional independent school association,,,,,,
A0700420,ACADEMY FOR AUTISM,1,1,11 E LANCASTER RD,ORLANDO,12095,095,FL,12,32809,4078529922,200,6,No,48,,,,,,,,,,,,,,,48,48,1,0,37,4,6,0,0,4,21,1,4,3,3,2,2.08,0,77.08,8.33,12.5,0,0,12,30,ORANGE,This school does not belong to ANY associations or organizations,,,,,,,
A1300575,ACADEMY FOR KIDS INCORPORATED,2,3,2375 CANOE CREEK RD,ST CLOUD,12097,097,FL,12,34769,4078910353,180,6,No,,86,4,,,,,,,,,,,,,90,4,0,0,1,1,2,0,0,1,21,1,7,1,3,2,0,0,25,25,50,0,0,4,30,OSCEOLA,This school does not belong to ANY associations or organizations,,,,,,,
BB120466,ACADEMY FOR YOUNG LEARNERS INC,2,11,18191 NW 68TH AVE STE 101,HIALEAH,12086,086,FL,12,33015,3056980202,180,7,Yes,,60,26,38,29,15,18,9,3,,,,,,,198,138,0,0,122,14,2,0,0,9,21,1,1,1,3,2,0,0,88.41,10.14,1.45,0,0,15.33,30,MIAMI-DADE,Other special emphasis association(s),,,,,,,
A1390077,ACADEMY OF ABILITY,8,17,130 E MARKS ST,ORLANDO,12095,095,FL,12,32803,4072449810,180,7,No,,,,,,4,,1,1,2,2,5,6,3,3,27,27,0,0,16,5,6,0,0,2.6,11,1,3,3,3,1,0,0,59.26,18.52,22.22,0,0,10.38,30,ORANGE,This school does not belong to ANY associations or organizations,,,,,,,
A1370051,ACADEMY OF MONTESSORI INTERNATIONAL,2,6,15421 MORRIS BRIDGE RD,THONOTOSASSA,12057,057,FL,12,33592,8139911800,180,10.98,No,,34,13,5,,,,,,,,,,,,52,18,0,13,2,1,2,0,0,6.8,41,1,2,1,3,4,0,72.22,11.11,5.56,11.11,0,0,2.65,30,HILLSBOROUGH,,,,,,,,
