Idaho
National Center for Education Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSS Private School Universe Survey data 2015-2016 school year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The file contains (109) records based on your search.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user. For more information about this data, visit the PSS homepage. http://nces.ed.gov/surveys/pss",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSS_SCHOOL_ID,PSS_INST,LoGrade,HiGrade,PSS_ADDRESS,PSS_CITY,PSS_COUNTY_NO,PSS_COUNTY_FIPS,PSS_STABB,PSS_FIPS,PSS_ZIP5,PSS_PHONE,PSS_SCH_DAYS,PSS_STU_DAY_HRS,PSS_LIBRARY,PSS_ENROLL_UG,PSS_ENROLL_PK,PSS_ENROLL_K,PSS_ENROLL_1,PSS_ENROLL_2,PSS_ENROLL_3,PSS_ENROLL_4,PSS_ENROLL_5,PSS_ENROLL_6,PSS_ENROLL_7,PSS_ENROLL_8,PSS_ENROLL_9,PSS_ENROLL_10,PSS_ENROLL_11,PSS_ENROLL_12,PSS_ENROLL_T,PSS_ENROLL_TK12,PSS_RACE_AI,PSS_RACE_AS,PSS_RACE_H,PSS_RACE_B,PSS_RACE_W,PSS_RACE_P,PSS_RACE_2,PSS_FTE_TEACH,PSS_LOCALE,PSS_COED,PSS_TYPE,PSS_LEVEL,PSS_RELIG,PSS_COMM_TYPE,PSS_INDIAN_PCT,PSS_ASIAN_PCT,PSS_HISP_PCT,PSS_BLACK_PCT,PSS_WHITE_PCT,P_PACISL_PCT,P_TWOMORE_PCT,PSS_STDTCH_RT,PSS_ORIENT,PSS_COUNTY_NAME,PSS_ASSOC_1,PSS_ASSOC_2,PSS_ASSOC_3,PSS_ASSOC_4,PSS_ASSOC_5,PSS_ASSOC_6,PSS_ASSOC_7,PSS_ASSOC_8
A9901553,ABCD DAYCARE CENTER,2,3,1124 N C ST,COEUR D ALENE,16055,055,ID,16,83814,2087725013,182,6,Yes,,100,23,,,,,,,,,,,,,123,23,0,0,1,0,22,0,0,13.6,13,1,7,1,3,1,0,0,4.35,0,95.65,0,0,1.69,30,KOOTENAI,This school does not belong to ANY associations or organizations,,,,,,,
00330946,ALL SAINTS CATHOLIC SCHOOL,2,11,641 5TH AVE,LEWISTON,16069,069,ID,16,83501,2087434411,180,6.58,Yes,,25,15,13,17,16,21,14,23,,,,,,,144,119,3,2,2,5,105,1,1,9.1,13,1,1,1,1,1,2.52,1.68,1.68,4.2,88.24,0.84,0.84,13.08,1,NEZ PERCE,National Catholic Educational Association (NCEA),,,,,,,
A1301222,ALZAR SCHOOL,15,16,PO BOX 1609,CASCADE,16085,085,ID,16,83611,2086399891,125,8,Yes,,,,,,,,,,,,,24,24,,48,48,0,3,6,2,37,0,0,6,43,1,6,2,3,4,0,6.25,12.5,4.17,77.08,0,0,8,30,VALLEY,The Association of Boarding Schools (TABS),,,,,,,
00331371,BEACON CHRISTIAN SCHOOL,3,13,615 STEWART AVE,LEWISTON,16069,069,ID,16,83501,2087438361,180,6.5,Yes,,,3,6,8,5,3,5,2,5,4,,,,,41,41,0,0,3,0,32,0,6,3.1,13,1,1,1,2,1,0,0,7.32,0,78.05,0,14.63,13.23,28,NEZ PERCE,General Conference of the Seventh-Day Adventist Church (GCSDAC),State or regional independent school association,,,,,,
00330924,BISHOP KELLY HIGH SCHOOL,14,17,7009 W FRANKLIN RD,BOISE,16001,001,ID,16,83709,2083756010,178,7,Yes,,,,,,,,,,,,230,180,200,190,800,800,0,10,29,19,742,0,0,48.9,12,1,1,2,1,1,0,1.25,3.63,2.38,92.75,0,0,16.36,1,ADA,National Catholic Educational Association (NCEA),,,,,,,
A0901402,BOISE GIRLS ACADEMY-TEEN CHALLENGE PACIFIC NORTHWE,16,17,1846 N DAWN LN,BOISE,16001,001,ID,16,83713,2083754636,230,7,Yes,,,,,,,,,,,,,,2,6,8,8,0,0,0,2,6,0,0,1,12,2,1,2,2,1,0,0,0,25,75,0,0,8,4,ADA,This school does not belong to ANY associations or organizations,,,,,,,
A1592062,BOISE MONTESSORI- MONTESSORI ACADEMY,2,11,1400 PARK LANE,EAGLE,16001,001,ID,16,83616,2089396333,185,6.5,Yes,,48,38,24,21,20,15,13,3,,,,,,,182,134,,,,,,,,10,21,1,2,1,3,2,,,,,,,,13.4,30,ADA,American Montessori Society (AMS),,,,,,,
00331382,BOISE VALLEY ADVENTIST SCHOOL,2,13,925 N CLOVERDALE RD,BOISE,16001,001,ID,16,83713,2083767141,180,7.17,Yes,,10,3,8,6,7,4,7,5,6,3,,,,,59,49,0,3,2,2,42,0,0,5.8,12,1,1,1,2,1,0,6.12,4.08,4.08,85.71,0,0,8.45,28,ADA,Other school association(s),,,,,,,
A0700807,BOULDER CREEK ACADEMY,14,17,378 EMERSON LN,BONNERS FERRY,16021,021,ID,16,83805,2082677522,235,7,No,,,,,,,,,,,,6,11,10,6,33,33,0,2,1,1,28,0,1,6.5,42,1,6,2,3,4,0,6.06,3.03,3.03,84.85,0,3.03,5.08,30,BOUNDARY,This school does not belong to ANY associations or organizations,,,,,,,
00331305,CALDWELL ADVENTIST ELEMENTARY,2,13,2317 WISCONSIN AVE,CALDWELL,16027,027,ID,16,83605,2084594313,180,6.75,Yes,,2,8,5,7,12,8,6,5,3,11,,,,,67,65,0,0,12,5,48,0,0,5,22,1,1,1,2,2,0,0,18.46,7.69,73.85,0,0,13,28,CANYON,General Conference of the Seventh-Day Adventist Church (GCSDAC),,,,,,,
A0740048,CALVARY CHRISTIAN SCHOOL,2,13,111 S AUTO DR,BOISE,16001,001,ID,16,83709,2083760260,162,6.75,Yes,,52,37,29,35,25,28,18,9,14,7,,,,,254,202,0,11,14,5,159,6,7,13.3,12,1,1,1,2,1,0,5.45,6.93,2.48,78.71,2.97,3.47,15.19,8,ADA,Association of Christian Schools International (ACSI),,,,,,,
A0501486,CALVARY CHRISTIAN SCHOOL,3,17,1210 N MIDDLETON RD,NAMPA,16027,027,ID,16,83651,2084677116,177,7.5,Yes,,,5,6,3,2,5,1,2,2,1,3,1,2,1,34,34,0,3,3,0,26,0,2,4,22,1,1,3,2,2,0,8.82,8.82,0,76.47,0,5.88,8.5,29,CANYON,Accelerated Christian Education (ACE) or (School of Tomorrow),,,,,,,
A1370577,CALVARY KIDS LEARNING CENTER,2,3,PO BOX 234,CALDWELL,16027,027,ID,16,83606,2084545136,168,3.5,Yes,,16,12,,,,,,,,,,,,,28,12,0,0,6,0,6,0,0,1,22,1,7,1,2,2,0,0,50,0,50,0,0,12,8,CANYON,This school does not belong to ANY associations or organizations,,,,,,,
A9901566,CANYONSIDE CHRISTIAN SCHOOL,2,10,820 E NEZ PERCE,JEROME,16053,053,ID,16,83338,2083243444,163,6.75,Yes,,34,12,10,19,9,12,4,,,,,,,,100,66,0,0,4,0,62,0,0,8.6,41,1,1,1,2,4,0,0,6.06,0,93.94,0,0,7.67,8,JEROME,This school does not belong to ANY associations or organizations,,,,,,,
A0770749,CENTENNIAL BAPTIST SCHOOL,2,17,3610 E USTICK RD,CALDWELL,16027,027,ID,16,83605,2084541997,180,7,Yes,,26,31,18,16,11,7,9,7,7,11,5,5,4,1,158,132,0,4,12,4,112,0,0,9.3,22,1,1,3,2,2,0,3.03,9.09,3.03,84.85,0,0,14.19,5,CANYON,American Association of Christian Schools (AACS),,,,,,,
A0901389,CHERRY GULCH,9,15,3770 E BLACK CANYON HWY,EMMETT,16045,045,ID,16,83617,2083653437,220,6.5,Yes,,,,,,,1,2,4,12,16,11,1,,,47,47,0,0,2,1,42,0,2,7,41,3,6,3,3,4,0,0,4.26,2.13,89.36,0,4.26,6.71,30,GEM,Other special emphasis association(s),Other school association(s),,,,,,
K9301995,CHILDREN S HOUSE MONTESSORI,2,3,1134 AMERICAN LEGION BLVD,MOUNTAIN HOME,16039,039,ID,16,83647,2085878161,190,6,No,,38,21,,,,,,,,,,,,,59,21,0,0,1,0,20,0,0,4.6,32,1,2,1,3,3,0,0,4.76,0,95.24,0,0,4.57,30,ELMORE,American Montessori Society (AMS),,,,,,,
K9302002,CHRIST THE KING CHILD DEVELOPMENT  CTR  & KINDERG,2,3,1700 E PENNSYLVANIA AVE,COEUR D ALENE,16055,055,ID,16,83814,2087656736,135,5,No,,71,19,,,,,,,,,,,,,90,19,0,0,2,0,17,0,0,1,13,1,7,1,2,1,0,0,10.53,0,89.47,0,0,19,20,KOOTENAI,Other religious school association(s),,,,,,,
A1501509,CHRISTIAN CENTER SCHOOL,2,17,3639 W PRAIRIE AVE,HAYDEN,16055,055,ID,16,83835,2087727541,160,7,Yes,,12,12,15,8,11,10,10,7,12,12,12,12,3,10,146,134,1,1,3,3,126,0,0,13.1,41,1,1,3,2,4,0.75,0.75,2.24,2.24,94.03,0,0,10.23,8,KOOTENAI,This school does not belong to ANY associations or organizations,,,,,,,
A0301294,CLASSICAL CHRISTIAN ACADEMY,2,17,2289 W SELTICE WAY,POST FALLS,16055,055,ID,16,83854,2087774400,170,7,Yes,,7,12,8,18,16,10,10,16,12,12,12,9,5,5,152,145,0,6,4,0,135,0,0,16.3,23,1,6,3,2,2,0,4.14,2.76,0,93.1,0,0,8.9,8,KOOTENAI,Association of Christian Schools International (ACSI),,,,,,,
00331189,CLOVER TRINITY LUTHERAN,2,7,3552 N 1825 E,BUHL,16083,083,ID,16,83316,2083265198,170,7,No,,13,9,4,3,,,,,,,,,,,29,16,0,0,1,0,15,0,0,3.1,42,1,1,1,2,4,0,0,6.25,0,93.75,0,0,5.16,20,TWIN FALLS,This school does not belong to ANY associations or organizations,,,,,,,
A9901577,CLOVERDALE CHRISTIAN DS,2,3,3755 S CLOVERDALE RD,BOISE,16001,001,ID,16,83709,2083621700,180,3.5,No,,89,12,,,,,,,,,,,,,101,12,0,0,6,1,5,0,0,1.3,21,1,7,1,2,2,0,0,50,8.33,41.67,0,0,9.23,10,ADA,This school does not belong to ANY associations or organizations,,,,,,,
A9501591,CLOVERDALE MONTESSORI,2,3,12255 W GOLDENROD AVE,BOISE,16001,001,ID,16,83713,2083221200,155,4,Yes,,30,3,,,,,,,,,,,,,33,3,0,0,1,0,2,0,0,1.8,12,1,2,1,3,1,0,0,33.33,0,66.67,0,0,1.67,30,ADA,American Montessori Society (AMS),Association Montessori International,,,,,,
A9303004,COEUR D'ALENE CHRISTIAN SCHOOL,2,12,6439 N 4TH ST,DALTON GARDENS,16055,055,ID,16,83815,2087727118,180,7.25,Yes,,17,8,5,7,9,3,2,4,2,,,,,,57,40,0,0,1,0,39,0,0,7.4,23,1,1,1,2,2,0,0,2.5,0,97.5,0,0,5.41,9,KOOTENAI,National Christian School Association (NCSA),,,,,,,
A9300335,COLE VALLEY CHRISTIAN SCHOOLS,2,17,200 E CARLTON AVE,MERIDIAN,16001,001,ID,16,83642,2089471212,171,8,Yes,,49,52,58,62,45,45,48,70,59,81,73,60,64,69,835,786,0,22,0,10,730,0,24,53.1,21,1,1,3,2,2,0,2.8,0,1.27,92.88,0,3.05,14.8,8,ADA,Association of Christian Schools International (ACSI),Other school association(s),,,,,,
A1301228,CONFLUENCE CHRISTIAN HIGH SCHOOL,14,17,PO BOX 1852,LEWISTON,16069,069,ID,16,83501,2087316320,165,6,Yes,,,,,,,,,,,,3,3,1,1,8,8,0,0,1,0,7,0,0,3,13,1,1,2,2,1,0,0,12.5,0,87.5,0,0,2.67,8,NEZ PERCE,Association of Christian Schools International (ACSI),,,,,,,
