Arizona
National Center for Education Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSS Private School Universe Survey data 2015-2016 school year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The file contains (251) records based on your search.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user. For more information about this data, visit the PSS homepage. http://nces.ed.gov/surveys/pss",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSS_SCHOOL_ID,PSS_INST,LoGrade,HiGrade,PSS_ADDRESS,PSS_CITY,PSS_COUNTY_NO,PSS_COUNTY_FIPS,PSS_STABB,PSS_FIPS,PSS_ZIP5,PSS_PHONE,PSS_SCH_DAYS,PSS_STU_DAY_HRS,PSS_LIBRARY,PSS_ENROLL_UG,PSS_ENROLL_PK,PSS_ENROLL_K,PSS_ENROLL_1,PSS_ENROLL_2,PSS_ENROLL_3,PSS_ENROLL_4,PSS_ENROLL_5,PSS_ENROLL_6,PSS_ENROLL_7,PSS_ENROLL_8,PSS_ENROLL_9,PSS_ENROLL_10,PSS_ENROLL_11,PSS_ENROLL_12,PSS_ENROLL_T,PSS_ENROLL_TK12,PSS_RACE_AI,PSS_RACE_AS,PSS_RACE_H,PSS_RACE_B,PSS_RACE_W,PSS_RACE_P,PSS_RACE_2,PSS_FTE_TEACH,PSS_LOCALE,PSS_COED,PSS_TYPE,PSS_LEVEL,PSS_RELIG,PSS_COMM_TYPE,PSS_INDIAN_PCT,PSS_ASIAN_PCT,PSS_HISP_PCT,PSS_BLACK_PCT,PSS_WHITE_PCT,P_PACISL_PCT,P_TWOMORE_PCT,PSS_STDTCH_RT,PSS_ORIENT,PSS_COUNTY_NAME,PSS_ASSOC_1,PSS_ASSOC_2,PSS_ASSOC_3,PSS_ASSOC_4,PSS_ASSOC_5,PSS_ASSOC_6,PSS_ASSOC_7,PSS_ASSOC_8
A1500070,HMAN'SHAWA DAY SCHOOL,2,4,PO BOX 17779,FOUNTAIN HILLS,04013,013,AZ,04,85269,4807897251,180,7.5,Yes,,46,23,,,,,,,,,,,,,69,23,,,,,,,,1,41,1,7,1,3,4,,,,,,,,23,30,MARICOPA,This school does not belong to ANY associations or organizations,,,,,,,
A9700074,91ST PSALM CHRISTIAN SCHOOL,2,17,2020 E BASELINE RD,PHOENIX,04013,013,AZ,04,85042,6022431900,180,7.5,No,,16,14,10,16,15,16,8,10,12,16,10,5,4,9,161,145,0,0,66,26,51,0,2,15,11,1,1,3,2,1,0,0,45.52,17.93,35.17,0,1.38,9.67,8,MARICOPA,Other school association(s),,,,,,,
A9100380,ACCEL,3,17,10251 N 35TH AVE,PHOENIX,04013,013,AZ,04,85051,6029957366,180,6,Yes,39,,1,6,6,8,6,11,13,17,15,14,18,16,26,196,196,6,1,79,23,84,2,1,25,11,1,4,3,3,1,3.06,0.51,40.31,11.73,42.86,1.02,0.51,7.84,30,MARICOPA,National Association of Private Special Education Centers (NAPSEC),,,,,,,
A0900114,AHWATUKEE FOOTHILLS MONTESSORI,2,3,3221 E CHANDLER BLVD,PHOENIX,04013,013,AZ,04,85048,4807593810,200,6.5,No,,89,14,,,,,,,,,,,,,103,14,0,9,0,1,0,0,4,21.5,11,1,2,1,3,1,0,64.29,0,7.14,0,0,28.57,0.65,30,MARICOPA,American Montessori Society (AMS),,,,,,,
A9900107,AL HUDA ISLAMIC SCHOOL,2,13,2800 E RIVER RD,TUCSON,04019,019,AZ,04,85718,5206248182,180,7.33,Yes,,10,10,7,9,6,9,5,2,3,1,,,,,62,52,0,0,1,20,31,0,0,9,21,1,1,1,2,2,0,0,1.92,38.46,59.62,0,0,5.78,17,PIMA,This school does not belong to ANY associations or organizations,,,,,,,
A0500056,ALDEA MONTESSORI,2,3,15639 N 40TH ST,PHOENIX,04013,013,AZ,04,85032,6024850276,190,6.5,Yes,,59,12,,,,,,,,,,,,,71,12,0,0,2,0,7,0,3,2,11,1,2,1,3,1,0,0,16.67,0,58.33,0,25,6,30,MARICOPA,Association Montessori International,,,,,,,
A0100595,ALL SAINTS CATHOLIC SCHOOL,2,13,1425 E YAQUI ST,SIERRA VISTA,04003,003,AZ,04,85650,5203787012,180,7.25,Yes,,34,15,13,14,9,6,5,4,5,3,,,,,108,74,0,5,11,2,53,0,3,5,41,1,1,1,1,4,0,6.76,14.86,2.7,71.62,0,4.05,14.8,1,COCHISE,National Catholic Educational Association (NCEA),,,,,,,
00031764,ALL SAINTS' EPISCOPAL DAY SCHOOL,2,13,6300 N CENTRAL AVE,PHOENIX,04013,013,AZ,04,85012,6022744866,165,7,Yes,,29,38,41,48,55,48,60,61,64,55,,,,,499,470,0,30,30,20,342,0,48,56.3,11,1,1,1,2,1,0,6.38,6.38,4.26,72.77,0,10.21,8.35,14,MARICOPA,National Association of Episcopal Schools (NAES),National Association of Independent Schools (NAIS),,,,,,
A9700082,AMERICAN INDIAN CHRISTIAN MISSON SCHOOL,7,13,924 MISSION LN # 1,SHOW LOW,04017,017,AZ,04,85901,9285375912,180,7.5,Yes,,,,,1,10,5,6,5,4,1,,,,,32,32,31,0,0,0,1,0,0,3,41,1,1,1,2,4,96.88,0,0,0,3.13,0,0,10.67,8,NAVAJO,Association of Christian Schools International (ACSI),,,,,,,
A1100025,ANNUNCIATION CATHOLIC SCHOOL,3,13,32648 N CAVE CREEK RD,CAVE CREEK,04013,013,AZ,04,85331,4803618234,180,7,Yes,,,20,26,26,26,25,17,10,24,12,,,,,186,186,0,6,21,1,143,3,12,11.6,11,1,1,1,1,1,0,3.23,11.29,0.54,76.88,1.61,6.45,16.03,1,MARICOPA,National Catholic Educational Association (NCEA),,,,,,,
