California
National Center for Education Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSS Private School Universe Survey data 2015-2016 school year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The file contains (2442) records based on your search.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user. For more information about this data, visit the PSS homepage. http://nces.ed.gov/surveys/pss",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSS_SCHOOL_ID,PSS_INST,LoGrade,HiGrade,PSS_ADDRESS,PSS_CITY,PSS_COUNTY_NO,PSS_COUNTY_FIPS,PSS_STABB,PSS_FIPS,PSS_ZIP5,PSS_PHONE,PSS_SCH_DAYS,PSS_STU_DAY_HRS,PSS_LIBRARY,PSS_ENROLL_UG,PSS_ENROLL_PK,PSS_ENROLL_K,PSS_ENROLL_1,PSS_ENROLL_2,PSS_ENROLL_3,PSS_ENROLL_4,PSS_ENROLL_5,PSS_ENROLL_6,PSS_ENROLL_7,PSS_ENROLL_8,PSS_ENROLL_9,PSS_ENROLL_10,PSS_ENROLL_11,PSS_ENROLL_12,PSS_ENROLL_T,PSS_ENROLL_TK12,PSS_RACE_AI,PSS_RACE_AS,PSS_RACE_H,PSS_RACE_B,PSS_RACE_W,PSS_RACE_P,PSS_RACE_2,PSS_FTE_TEACH,PSS_LOCALE,PSS_COED,PSS_TYPE,PSS_LEVEL,PSS_RELIG,PSS_COMM_TYPE,PSS_INDIAN_PCT,PSS_ASIAN_PCT,PSS_HISP_PCT,PSS_BLACK_PCT,PSS_WHITE_PCT,P_PACISL_PCT,P_TWOMORE_PCT,PSS_STDTCH_RT,PSS_ORIENT,PSS_COUNTY_NAME,PSS_ASSOC_1,PSS_ASSOC_2,PSS_ASSOC_3,PSS_ASSOC_4,PSS_ASSOC_5,PSS_ASSOC_6,PSS_ASSOC_7,PSS_ASSOC_8
A0700136,"""CHILDREN """"R"""" US CHILD DEVELOPMENT""",2,5,1083 SCANDIA AVE,VENTURA,06111,111,CA,06,93004,8056475437,175,10.5,Yes,,20,12,,,,,,,,,,,,,32,12,0,3,5,0,4,0,0,5.6,12,1,7,1,3,1,0,25,41.67,0,33.33,0,0,2.14,30,VENTURA,This school does not belong to ANY associations or organizations,,,,,,,
A9100483,A B C LITTLE SCHOOL,2,7,6447 WOODMAN AVE,VAN NUYS,06037,037,CA,06,91401,8187865169,248,6.5,No,,72,10,2,2,,,,,,,,,,,86,14,0,0,5,6,2,0,1,1,11,1,1,1,3,1,0,0,35.71,42.86,14.29,0,7.14,14,30,LOS ANGELES,This school does not belong to ANY associations or organizations,,,,,,,
A0500119,A BETTER CHANCE SCHOOL/CAL AUTISM FOUNDATION,1,1,4138 LAKESIDE DR,RICHMOND,06013,013,CA,06,94806,5102621500,210,5.25,Yes,37,,,,,,,,,,,,,,,37,37,0,6,5,3,19,0,4,5,21,1,4,3,3,2,0,16.22,13.51,8.11,51.35,0,10.81,7.4,30,CONTRA COSTA,This school does not belong to ANY associations or organizations,,,,,,,
A0770215,A BRIGHT BEGINNING CHILD DEVELOPMENT CENTER,2,3,712 E MANCHESTER BLVD,INGLEWOOD,06037,037,CA,06,90301,3106734525,175,6,No,,36,20,,,,,,,,,,,,,56,20,0,1,2,16,0,0,1,2,21,1,7,1,3,2,0,5,10,80,0,0,5,10,30,LOS ANGELES,This school does not belong to ANY associations or organizations,,,,,,,
BB120242,A CARING TOUCH CHRISTIAN FAMILY CENTER,2,4,3035 E AVENUE S,PALMDALE,06037,037,CA,06,93550,6615333910,145,7,No,,32,5,,,,,,,,,,,,,37,5,0,0,5,0,0,0,0,1,21,1,7,1,2,2,0,0,100,0,0,0,0,5,8,LOS ANGELES,This school does not belong to ANY associations or organizations,,,,,,,
A0307071,ABC CHILDCARE CENTER,2,4,29705 SOLANA WAY,TEMECULA,06065,065,CA,06,92591,9516995251,192,7,Yes,,80,50,,,,,,,,,,,,,130,50,0,3,8,5,34,0,0,1,12,1,7,1,3,1,0,6,16,10,68,0,0,50,30,RIVERSIDE,National Association for the Education of Young Children (NAEYC),,,,,,,
A0300103,ABC LITTLE SCHOOL,2,3,11728 MOORPARK ST,STUDIO CITY,06037,037,CA,06,91604,8187665557,232,8,No,,74,14,,,,,,,,,,,,,88,14,0,1,1,2,8,1,1,1,11,1,7,1,3,1,0,7.14,7.14,14.29,57.14,7.14,7.14,14,30,LOS ANGELES,This school does not belong to ANY associations or organizations,,,,,,,
A9302116,ABC LITTLE SCHOOLS - WEST HOLLYWOOD,2,6,927 N FAIRFAX AVE,WEST HOLLYWOOD,06037,037,CA,06,90046,3236549920,235,6.5,No,,39,9,2,,,,,,,,,,,,50,11,0,3,2,3,2,0,1,1,21,1,1,1,3,2,0,27.27,18.18,27.27,18.18,0,9.09,11,30,LOS ANGELES,This school does not belong to ANY associations or organizations,,,,,,,
00094237,ABC PLAYHOUSE,2,6,18213 PRAIRIE AVE,TORRANCE,06037,037,CA,06,90504,3103711231,180,6.25,No,,50,30,10,,,,,,,,,,,,90,40,0,0,0,40,0,0,0,2,12,1,1,1,3,1,0,0,0,100,0,0,0,20,30,LOS ANGELES,This school does not belong to ANY associations or organizations,,,,,,,
A0900180,ABC SCHOOL,2,3,4540 HARLIN DR,SACRAMENTO,06067,067,CA,06,95826,9163647800,180,4.5,No,60,12,6,,,,,,,,,,,,,78,66,0,9,8,4,8,2,35,7,21,1,4,1,3,2,0,13.64,12.12,6.06,12.12,3.03,53.03,9.43,30,SACRAMENTO,This school does not belong to ANY associations or organizations,,,,,,,
