Missouri
National Center for Education Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSS Private School Universe Survey data 2015-2016 school year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The file contains (490) records based on your search.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user. For more information about this data, visit the PSS homepage. http://nces.ed.gov/surveys/pss",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSS_SCHOOL_ID,PSS_INST,LoGrade,HiGrade,PSS_ADDRESS,PSS_CITY,PSS_COUNTY_NO,PSS_COUNTY_FIPS,PSS_STABB,PSS_FIPS,PSS_ZIP5,PSS_PHONE,PSS_SCH_DAYS,PSS_STU_DAY_HRS,PSS_LIBRARY,PSS_ENROLL_UG,PSS_ENROLL_PK,PSS_ENROLL_K,PSS_ENROLL_1,PSS_ENROLL_2,PSS_ENROLL_3,PSS_ENROLL_4,PSS_ENROLL_5,PSS_ENROLL_6,PSS_ENROLL_7,PSS_ENROLL_8,PSS_ENROLL_9,PSS_ENROLL_10,PSS_ENROLL_11,PSS_ENROLL_12,PSS_ENROLL_T,PSS_ENROLL_TK12,PSS_RACE_AI,PSS_RACE_AS,PSS_RACE_H,PSS_RACE_B,PSS_RACE_W,PSS_RACE_P,PSS_RACE_2,PSS_FTE_TEACH,PSS_LOCALE,PSS_COED,PSS_TYPE,PSS_LEVEL,PSS_RELIG,PSS_COMM_TYPE,PSS_INDIAN_PCT,PSS_ASIAN_PCT,PSS_HISP_PCT,PSS_BLACK_PCT,PSS_WHITE_PCT,P_PACISL_PCT,P_TWOMORE_PCT,PSS_STDTCH_RT,PSS_ORIENT,PSS_COUNTY_NAME,PSS_ASSOC_1,PSS_ASSOC_2,PSS_ASSOC_3,PSS_ASSOC_4,PSS_ASSOC_5,PSS_ASSOC_6,PSS_ASSOC_7,PSS_ASSOC_8
BB161349,A GROWING PLACE MONTESSORI,2,3,7001 FORSYTH BLVD,SAINT LOUIS,29189,189,MO,29,63105,3148639493,180,6,Yes,,16,4,,,,,,,,,,,,,20,4,0,1,0,0,3,0,0,4,21,1,2,1,3,2,0,25,0,0,75,0,0,1,30,ST. LOUIS,American Montessori Society (AMS),Other Montessori association(s),,,,,,
A9502589,A GROWING PLACE MONTESSORI SCHOOL,2,3,7001 FORSYTH BLVD,SAINT LOUIS,29189,189,MO,29,63105,3148639493,170,6,No,,20,1,,,,,,,,,,,,,21,1,0,0,0,0,1,0,0,2.4,21,1,2,1,3,2,0,0,0,0,100,0,0,0.42,30,ST. LOUIS,American Montessori Society (AMS),,,,,,,
AA001609,ABIDING SAVIOR LUTHERAN SCHOOL,2,13,4353 BUTLER HILL RD,SAINT LOUIS,29189,189,MO,29,63128,3148924408,177,7,Yes,,127,12,19,16,15,19,19,17,20,19,,,,,283,156,1,3,3,2,144,0,3,14.4,21,1,1,1,2,2,0.64,1.92,1.92,1.28,92.31,0,1.92,10.83,20,ST. LOUIS,This school does not belong to ANY associations or organizations,,,,,,,
A1101345,ABM MINISTRIES-LIGHTHOUSE CHRISTIAN ACADEMY,9,17,RR 3 BOX 34725,PIEDMONT,29223,223,MO,29,63957,5732232025,200,7,Yes,,,,,,,1,2,2,2,4,7,2,7,4,31,31,0,3,3,4,20,0,1,3,43,3,6,3,2,4,0,9.68,9.68,12.9,64.52,0,3.23,10.33,8,WAYNE,Accelerated Christian Education (ACE) or (School of Tomorrow),American Association of Christian Schools (AACS),Other religious school association(s),,,,,
A1502184,ACADEMY AT ST. SABINA,1,1,1625 SWALLOW LN,FLORISSANT,29189,189,MO,29,63031,3148376524,176,7,Yes,30,,,,,,,,,,,,,,,30,30,0,1,0,23,6,0,0,6.3,21,1,4,3,1,2,0,3.33,0,76.67,20,0,0,4.76,1,ST. LOUIS,National Catholic Educational Association (NCEA),,,,,,,
AA000010,ACADEMY MONTESSORI INTERNATIONALE,2,10,12501 STATE LINE RD,KANSAS CITY,29095,095,MO,29,64145,8169423307,200,7.25,No,,22,21,8,12,10,6,6,,,,,,,,85,63,0,51,0,1,8,0,3,8.3,11,1,2,1,3,1,0,80.95,0,1.59,12.7,0,4.76,7.59,30,JACKSON,Other Montessori association(s),,,,,,,
A1101346,ACADEMY OF SAINT LOUIS,8,17,1633 KEHRS MILL RD BLDG B,CHESTERFIELD,29189,189,MO,29,63005,3147051351,186,5.5,No,,,,,,2,1,,1,3,3,9,2,3,1,25,25,0,0,0,2,23,0,0,9.5,21,1,4,3,1,2,0,0,0,8,92,0,0,2.63,1,ST. LOUIS,This school does not belong to ANY associations or organizations,,,,,,,
00750687,ACADEMY OF THE SACRED HEART,2,13,619 N 2ND ST,SAINT CHARLES,29183,183,MO,29,63301,6369466127,174,7.25,Yes,,29,30,36,41,43,36,33,38,43,45,,,,,374,345,0,27,5,10,287,0,16,39.6,13,1,1,1,1,1,0,7.83,1.45,2.9,83.19,0,4.64,8.71,1,ST. CHARLES,National Catholic Educational Association (NCEA),Other religious school association(s),Other special emphasis association(s),Other school association(s),,,,
A9103810,AGAPE' ACADEMY & CHILD DEVELOPMENT CENTER,2,7,7400 OLIVE BLVD,SAINT LOUIS,29189,189,MO,29,63130,3147255262,185,7,Yes,,135,25,8,5,,,,,,,,,,,173,38,0,0,0,37,1,0,0,3,21,1,1,1,2,2,0,0,0,97.37,2.63,0,0,12.67,8,ST. LOUIS,National Association for the Education of Young Children (NAEYC),,,,,,,
A9300522,AL-SALAM DAY SCHOOL,2,15,519 WEIDMAN RD,MANCHESTER,29189,189,MO,29,63011,6363948986,178,8,Yes,,81,40,31,22,37,28,20,21,30,17,12,6,,,345,264,0,187,0,23,54,0,0,30.3,21,1,1,3,2,2,0,70.83,0,8.71,20.45,0,0,8.71,17,ST. LOUIS,Islamic School League of America (ISLA),,,,,,,
00752094,ALL SAINTS SCHOOL,6,13,5 MCMENAMY RD,SAINT PETERS,29183,183,MO,29,63376,6363971440,174,6.33,Yes,,,,28,16,26,24,24,30,28,32,,,,,208,208,0,1,9,6,185,3,4,22.4,21,1,1,1,1,2,0,0.48,4.33,2.88,88.94,1.44,1.92,9.29,1,ST. CHARLES,This school does not belong to ANY associations or organizations,,,,,,,
A0105513,ALPHA MONTESSORI SCHOOL,2,3,11430 WORNALL RD,KANSAS CITY,29095,095,MO,29,64114,8169425567,160,7.5,Yes,,57,3,,,,,,,,,,,,,60,3,0,0,0,1,2,0,0,2,11,1,2,1,3,1,0,0,0,33.33,66.67,0,0,1.5,30,JACKSON,American Montessori Society (AMS),Association Montessori International,,,,,,
A0502161,ANCHOR ACADEMY,14,17,PO BOX 124,VANDUSER,29201,201,MO,29,63784,5734712900,180,6,Yes,,,,,,,,,,,,1,6,5,2,14,14,0,1,0,1,12,0,0,2.4,42,3,1,2,2,4,0,7.14,0,7.14,85.71,0,0,5.83,5,SCOTT,This school does not belong to ANY associations or organizations,,,,,,,
A0740164,APPRENDE PRIVATE SCHOOL,2,17,2495 MARSHALL RD,SAINT LOUIS,29189,189,MO,29,63122,6362255485,204,7,Yes,,2,1,2,,2,,,,,,,1,1,4,13,11,0,0,2,1,8,0,0,3,21,1,1,3,3,2,0,0,18.18,9.09,72.73,0,0,3.67,30,ST. LOUIS,This school does not belong to ANY associations or organizations,,,,,,,
00753724,ARCHBISHOP O' HARA HIGH SCHOOL,14,17,9001 JAMES A REED RD,KANSAS CITY,29095,095,MO,29,64138,8167634800,182,6.83,Yes,,,,,,,,,,,,76,71,76,86,309,309,2,4,23,69,205,0,6,21.8,11,1,1,2,1,1,0.65,1.29,7.44,22.33,66.34,0,1.94,14.17,1,JACKSON,This school does not belong to ANY associations or organizations,,,,,,,
A1502188,ARTSTECH,12,17,1522 HOLMES ST,KANSAS CITY,29095,095,MO,29,64108,8164610201,200,7.08,No,,,,,,,,,,7,13,32,6,3,1,62,62,0,0,6,54,2,0,0,4.3,11,1,6,2,3,1,0,0,9.68,87.1,3.23,0,0,14.42,30,JACKSON,Other school association(s),,,,,,,
A0901995,ASA CHRISTIAN ACADEMY,2,11,8390 LATTY AVE,HAZELWOOD,29189,189,MO,29,63042,3145244272,170,7,Yes,,9,7,6,7,6,3,1,2,,,,,,,41,32,0,0,0,32,0,0,0,3,21,1,1,1,2,2,0,0,0,100,0,0,0,10.67,8,ST. LOUIS,Association of Christian Schools International (ACSI),Christian Schools International (CSI),,,,,,
00751512,ASCENSION SCHOOL,3,13,238 SANTA MARIA DR,CHESTERFIELD,29189,189,MO,29,63005,6365321151,176,7,Yes,,,37,30,38,39,35,39,31,31,37,,,,,317,317,0,4,5,3,301,4,0,23.6,21,1,1,1,1,2,0,1.26,1.58,0.95,94.95,1.26,0,13.43,1,ST. LOUIS,National Catholic Educational Association (NCEA),,,,,,,
00751691,ASSUMPTION PARISH SCHOOL,3,13,4709 MATTIS RD,SAINT LOUIS,29189,189,MO,29,63128,3144876520,176,7,Yes,,,39,13,16,20,22,20,15,18,32,,,,,195,195,0,1,0,0,194,0,0,14.8,21,1,1,1,1,2,0,0.51,0,0,99.49,0,0,13.18,1,ST. LOUIS,Other school association(s),,,,,,,
00754568,ATONEMENT LUTHERAN SCHOOL,2,13,1285 N NEW FLORISSANT RD,FLORISSANT,29189,189,MO,29,63031,3148371252,,7,Yes,,24,20,24,12,26,21,23,26,27,17,,,,,220,196,,,,,,,,10.6,21,1,1,1,2,2,,,,,,,,18.49,20,ST. LOUIS,This school does not belong to ANY associations or organizations,,,,,,,
A9103765,AURORA CHRISTIAN ACADEMY K-12,2,15,17818 LAWRENCE 2200,AURORA,29109,109,MO,29,65605,4176787515,140,7.5,Yes,,3,2,2,1,2,2,1,3,4,3,,4,,,27,24,0,1,0,0,23,0,0,3.9,41,1,1,3,2,4,0,4.17,0,0,95.83,0,0,6.15,5,LAWRENCE,This school does not belong to ANY associations or organizations,,,,,,,
A9702118,AVA VICTORY ACADEMY,2,17,PO BOX 608,AVA,29067,067,MO,29,65608,4176836630,145,7.5,Yes,,29,8,3,7,4,7,12,8,1,7,3,7,5,7,108,79,0,74,4,1,0,0,0,9.6,32,1,1,3,1,3,0,93.67,5.06,1.27,0,0,0,8.23,,DOUGLAS,Other special emphasis association(s),Other school association(s),,,,,,
A1502189,BAMBINI CREATIVI,2,6,400 E 135TH ST,KANSAS CITY,29095,095,MO,29,64145,8169417529,180,7,Yes,,20,21,3,,,,,,,,,,,,44,24,0,0,1,0,15,0,8,2.4,11,1,,1,3,1,0,0,4.17,0,62.5,0,33.33,10,30,JACKSON,This school does not belong to ANY associations or organizations,,,,,,,
