Maine
National Center for Education Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSS Private School Universe Survey data 2015-2016 school year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The file contains (110) records based on your search.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user. For more information about this data, visit the PSS homepage. http://nces.ed.gov/surveys/pss",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSS_SCHOOL_ID,PSS_INST,LoGrade,HiGrade,PSS_ADDRESS,PSS_CITY,PSS_COUNTY_NO,PSS_COUNTY_FIPS,PSS_STABB,PSS_FIPS,PSS_ZIP5,PSS_PHONE,PSS_SCH_DAYS,PSS_STU_DAY_HRS,PSS_LIBRARY,PSS_ENROLL_UG,PSS_ENROLL_PK,PSS_ENROLL_K,PSS_ENROLL_1,PSS_ENROLL_2,PSS_ENROLL_3,PSS_ENROLL_4,PSS_ENROLL_5,PSS_ENROLL_6,PSS_ENROLL_7,PSS_ENROLL_8,PSS_ENROLL_9,PSS_ENROLL_10,PSS_ENROLL_11,PSS_ENROLL_12,PSS_ENROLL_T,PSS_ENROLL_TK12,PSS_RACE_AI,PSS_RACE_AS,PSS_RACE_H,PSS_RACE_B,PSS_RACE_W,PSS_RACE_P,PSS_RACE_2,PSS_FTE_TEACH,PSS_LOCALE,PSS_COED,PSS_TYPE,PSS_LEVEL,PSS_RELIG,PSS_COMM_TYPE,PSS_INDIAN_PCT,PSS_ASIAN_PCT,PSS_HISP_PCT,PSS_BLACK_PCT,PSS_WHITE_PCT,P_PACISL_PCT,P_TWOMORE_PCT,PSS_STDTCH_RT,PSS_ORIENT,PSS_COUNTY_NAME,PSS_ASSOC_1,PSS_ASSOC_2,PSS_ASSOC_3,PSS_ASSOC_4,PSS_ASSOC_5,PSS_ASSOC_6,PSS_ASSOC_7,PSS_ASSOC_8
A0701084,ALL SAINTS CATHOLIC SCHOOL,2,13,PO BOX 1749,BANGOR,23019,019,ME,23,04402,2079477063,175,6.67,Yes,,32,19,19,19,25,26,30,19,24,20,,,,,233,201,1,7,3,0,184,0,6,14.6,13,1,1,1,1,1,0.5,3.48,1.49,0,91.54,0,2.99,13.77,1,PENOBSCOT,National Catholic Educational Association (NCEA),,,,,,,
K9303112,ASHWOOD WALDORF SCHOOL,2,13,180 PARK ST,ROCKPORT,23013,013,ME,23,04856,2072368021,166,6.42,No,,18,,8,5,10,11,4,8,12,9,,,,,85,67,0,0,2,0,65,0,0,10,41,1,3,1,3,4,0,0,2.99,0,97.01,0,0,6.7,30,KNOX,Association of Waldorf Schools of North America (AWSNA),State or regional independent school association,,,,,,
A9902140,AUCOCISCO SCHOOL,8,17,126 SPURWINK AVE,CAPE ELIZABETH,23005,005,ME,23,04107,2077737323,175,6.5,Yes,,,,,,1,3,,5,1,2,1,4,1,3,21,21,2,0,0,1,18,0,0,5.9,22,1,4,3,3,2,9.52,0,0,4.76,85.71,0,0,3.56,30,CUMBERLAND,This school does not belong to ANY associations or organizations,,,,,,,
00564282,BANGOR CHRISTIAN SCHOOLS,2,17,1476 BROADWAY,BANGOR,23019,019,ME,23,04401,2079477356,175,6.92,Yes,,18,18,18,20,20,16,16,22,30,16,28,27,17,22,288,270,0,8,2,4,254,0,2,20,41,1,1,3,2,4,0,2.96,0.74,1.48,94.07,0,0.74,13.5,5,PENOBSCOT,Association of Christian Schools International (ACSI),,,,,,,
A9501997,BANGOR MONTESSORI SCHOOL,2,4,30 OTIS ST,BANGOR,23019,019,ME,23,04401,2079453464,172,6.5,No,,26,6,,,,,,,,,,,,,32,6,0,2,1,0,3,0,0,2.5,13,1,2,1,3,1,0,33.33,16.67,0,50,0,0,2.4,30,PENOBSCOT,American Montessori Society (AMS),,,,,,,
00563664,BERWICK ACADEMY,2,17,31 ACADEMY ST,SOUTH BERWICK,23031,031,ME,23,03908,2073842164,175,7,Yes,,15,18,18,17,17,24,36,43,51,57,80,72,69,72,589,574,2,20,5,4,491,2,50,82.4,23,1,1,3,3,2,0.35,3.48,0.87,0.7,85.54,0.35,8.71,6.97,30,YORK,National Association of Independent Schools (NAIS),State or regional independent school association,,,,,,
A0901614,BLUE HILL HARBOR SCHOOL,14,17,PO BOX 1629,BLUE HILL,23009,009,ME,23,04614,2073745501,175,6.5,No,,,,,,,,,,,,5,3,6,7,21,21,0,1,0,1,19,0,0,3,42,1,1,2,3,4,0,4.76,0,4.76,90.48,0,0,7,30,HANCOCK,Other school association(s),,,,,,,
A0501762,BOXBERRY SCHOOL,3,10,PO BOX 2037,NORWAY,23017,017,ME,23,04268,2077439700,178,6.5,Yes,,,3,1,3,2,1,2,,,,,,,,12,12,0,0,0,0,12,0,0,2.3,42,1,6,1,3,4,0,0,0,0,100,0,0,5.22,30,OXFORD,This school does not belong to ANY associations or organizations,,,,,,,
00564205,BREAKWATER SCHOOL,2,13,856 BRIGHTON AVE,PORTLAND,23005,005,ME,23,04102,2077728689,180,8,Yes,,23,13,11,12,20,9,19,16,12,10,,,,,145,122,0,1,1,3,115,0,2,19.1,13,1,6,1,3,1,0,0.82,0.82,2.46,94.26,0,1.64,6.39,30,CUMBERLAND,National Association of Independent Schools (NAIS),,,,,,,
A0103865,BRIXHAM MONTESSORI FRIENDS SCHOOL,2,10,18 BRICKYARD CT,YORK,23031,031,ME,23,03909,2073512700,175,6.5,Yes,,39,7,8,7,7,6,4,,,,,,,,78,39,0,1,0,0,36,0,2,12,41,1,2,1,3,4,0,2.56,0,0,92.31,0,5.13,3.25,30,YORK,American Montessori Society (AMS),Other school association(s),,,,,,
00563642,BUCKSPORT CHRISTIAN SCHOOL,3,17,16 CENTRAL ST,BUCKSPORT,23009,009,ME,23,04416,2074697121,170,7,No,,,1,2,,,,2,4,1,,2,2,1,1,16,16,0,0,0,0,16,0,0,3,42,1,1,3,2,4,0,0,0,0,100,0,0,5.33,8,HANCOCK,This school does not belong to ANY associations or organizations,,,,,,,
02029662,CALVARY CHRISTIAN ACADEMY,6,17,20 N MAIN ST,TURNER,23001,001,ME,23,04282,2072253665,155,7,Yes,,,,4,2,10,3,10,3,8,11,6,5,8,13,83,83,0,0,0,0,83,0,0,6,42,1,1,3,2,4,0,0,0,0,100,0,0,13.83,5,ANDROSCOGGIN,This school does not belong to ANY associations or organizations,,,,,,,
A0301693,CARLETON PROJECT,14,17,PO BOX 562,HOULTON,23003,003,ME,23,04730,2075211302,180,4,Yes,,,,,,,,,,,,2,7,10,15,34,34,5,0,0,1,28,0,0,5,33,1,6,2,3,3,14.71,0,0,2.94,82.35,0,0,6.8,30,AROOSTOOK,,,,,,,,
AA000222,CARRABASSETT VALLEY ACADEMY,13,17,3197 CARRABASSETT DR,CARRABASSETT VALLEY,23007,007,ME,23,04947,2072372250,175,9.5,Yes,,,,,,,,,,,5,9,15,10,21,60,60,0,1,0,0,59,0,0,11.6,43,1,3,2,3,4,0,1.67,0,0,98.33,0,0,5.17,30,FRANKLIN,Other special emphasis association(s),National Association of Independent Schools (NAIS),Other school association(s),,,,,
A0501764,CENTRAL MAINE LEARNING CENTER,8,17,PO BOX 269,BELGRADE,23011,011,ME,23,04917,2074657985,205,6,No,,,,,,1,3,2,1,2,3,5,4,9,5,35,,0,0,0,0,35,0,0,7,42,1,4,3,3,4,,,,,,,,,30,KENNEBEC,This school does not belong to ANY associations or organizations,,,,,,,
00563278,CHEVERUS HIGH SCHOOL,14,17,267 OCEAN AVE,PORTLAND,23005,005,ME,23,04103,2077746238,168,6.33,Yes,,,,,,,,,,,,108,121,120,122,471,471,1,31,0,7,432,0,0,54.1,13,1,1,2,1,1,0.21,6.58,0,1.49,91.72,0,0,8.71,1,CUMBERLAND,Jesuit Secondary Education Association (JSEA),,,,,,,
A9701704,CHILDLIGHT MONTESSORI SCHOOL,2,3,395 PORTLAND ST,BERWICK,23031,031,ME,23,03901,2073840153,160,5,No,,22,8,,,,,,,,,,,,,30,8,0,0,0,0,8,0,0,4.1,41,1,2,1,3,4,0,0,0,0,100,0,0,1.95,30,YORK,American Montessori Society (AMS),Other Montessori association(s),,,,,,
A9303269,CHILDREN'S HOUSE MONTESSORI SCHOOL,2,9,58 ELM ST,CAMDEN,23013,013,ME,23,04843,2072362911,163,6.5,No,,32,11,4,4,4,3,,,,,,,,,58,26,0,2,1,0,23,0,0,4,33,1,2,1,3,3,0,7.69,3.85,0,88.46,0,0,6.5,30,KNOX,Other Montessori association(s),,,,,,,
