West Virginia
National Center for Education Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSS Private School Universe Survey data 2015-2016 school year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The file contains (100) records based on your search.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user. For more information about this data, visit the PSS homepage. http://nces.ed.gov/surveys/pss",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSS_SCHOOL_ID,PSS_INST,LoGrade,HiGrade,PSS_ADDRESS,PSS_CITY,PSS_COUNTY_NO,PSS_COUNTY_FIPS,PSS_STABB,PSS_FIPS,PSS_ZIP5,PSS_PHONE,PSS_SCH_DAYS,PSS_STU_DAY_HRS,PSS_LIBRARY,PSS_ENROLL_UG,PSS_ENROLL_PK,PSS_ENROLL_K,PSS_ENROLL_1,PSS_ENROLL_2,PSS_ENROLL_3,PSS_ENROLL_4,PSS_ENROLL_5,PSS_ENROLL_6,PSS_ENROLL_7,PSS_ENROLL_8,PSS_ENROLL_9,PSS_ENROLL_10,PSS_ENROLL_11,PSS_ENROLL_12,PSS_ENROLL_T,PSS_ENROLL_TK12,PSS_RACE_AI,PSS_RACE_AS,PSS_RACE_H,PSS_RACE_B,PSS_RACE_W,PSS_RACE_P,PSS_RACE_2,PSS_FTE_TEACH,PSS_LOCALE,PSS_COED,PSS_TYPE,PSS_LEVEL,PSS_RELIG,PSS_COMM_TYPE,PSS_INDIAN_PCT,PSS_ASIAN_PCT,PSS_HISP_PCT,PSS_BLACK_PCT,PSS_WHITE_PCT,P_PACISL_PCT,P_TWOMORE_PCT,PSS_STDTCH_RT,PSS_ORIENT,PSS_COUNTY_NAME,PSS_ASSOC_1,PSS_ASSOC_2,PSS_ASSOC_3,PSS_ASSOC_4,PSS_ASSOC_5,PSS_ASSOC_6,PSS_ASSOC_7,PSS_ASSOC_8
A9904455,ABUNDANT LIFE CHRISTIAN SCHOOL,3,17,976 CHAPEL HILL RD,TRIADELPHIA,54069,069,WV,54,26059,3045474370,180,6.5,Yes,,,2,2,4,,1,2,3,1,,2,2,1,1,21,21,0,0,0,2,19,0,0,3.8,41,1,1,3,2,4,0,0,0,9.52,90.48,0,0,5.53,5,OHIO,Accelerated Christian Education (ACE) or (School of Tomorrow),,,,,,,
01489202,ALL SAINTS CATHOLIC SCHOO,2,13,600 JEFFERSON AVE,MOUNDSVILLE,54051,051,WV,54,26041,3048456137,180,7.25,No,,14,7,8,6,6,6,8,10,8,6,,,,,79,65,0,1,2,6,56,0,0,7,23,1,3,1,1,2,0,1.54,3.08,9.23,86.15,0,0,9.29,1,MARSHALL,National Catholic Educational Association (NCEA),,,,,,,
A0702419,AMANA CHRISTIAN DAY SCHOOL,6,11,4994 SWEET SPRINGS VLY,GAP MILLS,54063,063,WV,54,24941,3047724023,180,6,Yes,,,,2,2,1,2,,1,,,,,,,8,8,0,0,0,0,8,0,0,1.4,42,1,1,1,2,4,0,0,0,0,100,0,0,5.71,24,MONROE,This school does not belong to ANY associations or organizations,,,,,,,
A0110222,AMBASSADOR CHRISTIAN ACADEMY,2,17,BOX 701,WILLIAMSON,54059,059,WV,54,25661,3042363501,180,7,Yes,,15,11,11,12,8,9,7,7,11,8,16,10,9,10,144,129,0,1,0,10,118,0,0,14.3,33,1,1,3,2,3,0,0.78,0,7.75,91.47,0,0,9.02,10,MINGO,Association of Christian Schools International (ACSI),,,,,,,
02067675,BALLARD CHRISTIAN SCHOOL,2,17,HC 77 BOX 106,BALLARD,54063,063,WV,54,24918,3047539942,180,5.25,No,,5,8,2,5,1,3,6,2,4,1,6,4,6,5,58,53,0,0,0,0,53,0,0,7,42,1,1,3,2,4,0,0,0,0,100,0,0,7.57,5,MONROE,American Association of Christian Schools (AACS),,,,,,,
A0303323,BELIEVERS MENNONITE FELLOWSHIP CHRISTIAN SCHOOL,8,16,3671 JOHNSON RUN RD,PETERSBURG,54023,023,WV,54,26847,3042579716,180,6.5,No,,,,,,1,1,,,1,2,,1,1,,7,7,0,0,0,0,7,0,0,1,41,1,1,3,2,4,0,0,0,0,100,0,0,7,24,GRANT,This school does not belong to ANY associations or organizations,,,,,,,
A0903783,BEREAN BAPTIST SCHOOL,17,17,PO BOX 151,GYPSY,54033,033,WV,54,26361,3045521430,180,6,Yes,,,,,,,,,,,,,,,1,1,1,0,0,0,0,1,0,0,1,32,1,1,2,2,3,0,0,0,0,100,0,0,1,5,HARRISON,American Association of Christian Schools (AACS),,,,,,,
02067529,BETH HAVEN CHRISTIAN SCHOOL,3,17,PO BOX 620,OMAR,54045,045,WV,54,25638,3049464447,180,6.5,Yes,,,12,6,8,14,5,6,7,11,13,11,10,1,7,111,111,0,0,1,1,106,0,3,12.4,41,1,1,3,2,4,0,0,0.9,0.9,95.5,0,2.7,8.95,5,LOGAN,American Association of Christian Schools (AACS),,,,,,,
02067507,BIBLE CENTER SCHOOL,2,13,1111 OAKHURST DR,CHARLESTON,54039,039,WV,54,25314,3043460431,180,7,No,,50,45,30,23,34,31,26,20,31,22,,,,,312,262,0,4,1,2,249,0,6,20.3,13,1,1,1,2,1,0,1.53,0.38,0.76,95.04,0,2.29,12.91,5,KANAWHA,Association of Christian Schools International (ACSI),,,,,,,
A1303699,BISHOP DONAHUE MEMORIAL HIGH SCHOOL,14,17,325 LOGAN ST,MCMECHEN,54051,051,WV,54,26040,3042333850,180,6.25,No,,,,,,,,,,,,25,33,31,18,107,107,0,1,1,1,104,0,0,13.4,23,1,1,2,1,2,0,0.93,0.93,0.93,97.2,0,0,7.99,1,MARSHALL,National Catholic Educational Association (NCEA),,,,,,,
