Kentucky
National Center for Education Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSS Private School Universe Survey data 2015-2016 school year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The file contains (260) records based on your search.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user. For more information about this data, visit the PSS homepage. http://nces.ed.gov/surveys/pss",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSS_SCHOOL_ID,PSS_INST,LoGrade,HiGrade,PSS_ADDRESS,PSS_CITY,PSS_COUNTY_NO,PSS_COUNTY_FIPS,PSS_STABB,PSS_FIPS,PSS_ZIP5,PSS_PHONE,PSS_SCH_DAYS,PSS_STU_DAY_HRS,PSS_LIBRARY,PSS_ENROLL_UG,PSS_ENROLL_PK,PSS_ENROLL_K,PSS_ENROLL_1,PSS_ENROLL_2,PSS_ENROLL_3,PSS_ENROLL_4,PSS_ENROLL_5,PSS_ENROLL_6,PSS_ENROLL_7,PSS_ENROLL_8,PSS_ENROLL_9,PSS_ENROLL_10,PSS_ENROLL_11,PSS_ENROLL_12,PSS_ENROLL_T,PSS_ENROLL_TK12,PSS_RACE_AI,PSS_RACE_AS,PSS_RACE_H,PSS_RACE_B,PSS_RACE_W,PSS_RACE_P,PSS_RACE_2,PSS_FTE_TEACH,PSS_LOCALE,PSS_COED,PSS_TYPE,PSS_LEVEL,PSS_RELIG,PSS_COMM_TYPE,PSS_INDIAN_PCT,PSS_ASIAN_PCT,PSS_HISP_PCT,PSS_BLACK_PCT,PSS_WHITE_PCT,P_PACISL_PCT,P_TWOMORE_PCT,PSS_STDTCH_RT,PSS_ORIENT,PSS_COUNTY_NAME,PSS_ASSOC_1,PSS_ASSOC_2,PSS_ASSOC_3,PSS_ASSOC_4,PSS_ASSOC_5,PSS_ASSOC_6,PSS_ASSOC_7,PSS_ASSOC_8
00517072,ACADEMY FOR INDIVIDUAL EXCELLENCE,2,17,3101 BLUEBIRD LN,LOUISVILLE,21111,111,KY,21,40299,5022676187,176,6.67,No,,38,15,16,16,26,12,24,17,40,28,48,51,46,37,414,376,0,3,3,31,339,0,0,33.9,21,1,6,3,3,2,0,0.8,0.8,8.24,90.16,0,0,11.09,30,JEFFERSON,This school does not belong to ANY associations or organizations,,,,,,,
00517403,APPALACHIAN CHRISTIAN ACADEMY,3,12,168 SDA SCHOOL RD,MANCHESTER,21051,051,KY,21,40962,6065985427,180,7,Yes,,,1,2,2,,,1,1,1,,,,,,8,8,0,0,0,2,5,0,1,2,41,1,1,1,2,4,0,0,0,25,62.5,0,12.5,4,28,CLAY,General Conference of the Seventh-Day Adventist Church (GCSDAC),Other school association(s),,,,,,
00514366,ASCENSION SCHOOL,2,13,4600 LYNNBROOK DR,LOUISVILLE,21111,111,KY,21,40220,5024512535,175,6.83,Yes,,42,23,17,21,22,17,20,15,24,20,,,,,221,179,0,2,10,2,160,1,4,12.3,21,1,1,1,1,2,0,1.12,5.59,1.12,89.39,0.56,2.23,14.55,1,JEFFERSON,National Catholic Educational Association (NCEA),,,,,,,
00514355,ASSUMPTION HIGH SCHOOL,14,17,2170 TYLER LN,LOUISVILLE,21111,111,KY,21,40205,5024589551,178,7.08,Yes,,,,,,,,,,,,188,211,226,235,860,860,1,15,12,14,807,0,11,74.1,21,2,1,2,1,2,0.12,1.74,1.4,1.63,93.84,0,1.28,11.61,1,JEFFERSON,National Catholic Educational Association (NCEA),Other religious school association(s),,,,,,
00517185,BETH HAVEN CHRISTIAN SCHOOL,3,17,5515 JOHNSONTOWN RD,LOUISVILLE,21111,111,KY,21,40272,5029373516,175,6.5,Yes,,,11,6,15,13,12,11,19,18,14,12,16,16,14,177,177,0,3,0,5,156,4,9,17,11,1,1,3,2,1,0,1.69,0,2.82,88.14,2.26,5.08,10.41,5,JEFFERSON,Association of Christian Schools International (ACSI),,,,,,,
00516523,BETHANY CHRISTIAN SCHOOL,2,11,17 BETHANY CIR,CAMPTON,21025,025,KY,21,41301,6066686353,185,8,Yes,,19,7,8,1,4,2,5,1,,,,,,,47,28,0,0,0,1,27,0,0,6,42,1,1,1,2,4,0,0,0,3.57,96.43,0,0,4.67,25,BREATHITT,Association of Christian Schools International (ACSI),,,,,,,
A9102824,BETHEL CHRISTIAN ACADEMY,3,17,PO BOX 2,MC DANIELS,21027,027,KY,21,40152,2702578330,148,8,No,,,2,,1,2,2,2,3,6,8,6,10,7,6,55,55,0,1,2,5,47,0,0,7.8,42,1,1,3,2,4,0,1.82,3.64,9.09,85.45,0,0,7.05,8,BRECKINRIDGE,Accelerated Christian Education (ACE) or (School of Tomorrow),,,,,,,
00515916,BISHOP BROSSART HIGH SCHOOL,14,17,4 GROVE ST,ALEXANDRIA,21037,037,KY,21,41001,8596352108,177,6,Yes,,,,,,,,,,,,71,57,66,86,280,280,0,3,1,136,140,0,0,24.8,21,1,1,2,1,2,0,1.07,0.36,48.57,50,0,0,11.29,1,CAMPBELL,National Catholic Educational Association (NCEA),,,,,,,
00515563,BLESSED SACRAMENT ELEMENTARY SCHOOL,3,13,2407 DIXIE HWY,FT MITCHELL,21117,117,KY,21,41017,8593313062,177,6.92,Yes,,,52,64,54,70,60,72,81,64,51,,,,,568,568,0,11,2,2,551,0,2,35,21,1,1,1,1,2,0,1.94,0.35,0.35,97.01,0,0.35,16.23,1,KENTON,National Catholic Educational Association (NCEA),Other school association(s),,,,,,
00517174,BLUE GRASS BAPTIST SCHOOL,3,17,3743 RED RIVER DR.,LEXINGTON,21067,067,KY,21,40517,8592721217,177,7.25,Yes,,,14,7,15,14,10,17,11,11,13,15,5,16,15,163,163,1,6,2,4,135,0,15,14.4,11,1,1,3,2,1,0.61,3.68,1.23,2.45,82.82,0,9.2,11.32,5,FAYETTE,Association of Christian Schools International (ACSI),,,,,,,
