Washington
National Center for Education Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSS Private School Universe Survey data 2015-2016 school year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The file contains (486) records based on your search.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user. For more information about this data, visit the PSS homepage. http://nces.ed.gov/surveys/pss",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSS_SCHOOL_ID,PSS_INST,LoGrade,HiGrade,PSS_ADDRESS,PSS_CITY,PSS_COUNTY_NO,PSS_COUNTY_FIPS,PSS_STABB,PSS_FIPS,PSS_ZIP5,PSS_PHONE,PSS_SCH_DAYS,PSS_STU_DAY_HRS,PSS_LIBRARY,PSS_ENROLL_UG,PSS_ENROLL_PK,PSS_ENROLL_K,PSS_ENROLL_1,PSS_ENROLL_2,PSS_ENROLL_3,PSS_ENROLL_4,PSS_ENROLL_5,PSS_ENROLL_6,PSS_ENROLL_7,PSS_ENROLL_8,PSS_ENROLL_9,PSS_ENROLL_10,PSS_ENROLL_11,PSS_ENROLL_12,PSS_ENROLL_T,PSS_ENROLL_TK12,PSS_RACE_AI,PSS_RACE_AS,PSS_RACE_H,PSS_RACE_B,PSS_RACE_W,PSS_RACE_P,PSS_RACE_2,PSS_FTE_TEACH,PSS_LOCALE,PSS_COED,PSS_TYPE,PSS_LEVEL,PSS_RELIG,PSS_COMM_TYPE,PSS_INDIAN_PCT,PSS_ASIAN_PCT,PSS_HISP_PCT,PSS_BLACK_PCT,PSS_WHITE_PCT,P_PACISL_PCT,P_TWOMORE_PCT,PSS_STDTCH_RT,PSS_ORIENT,PSS_COUNTY_NAME,PSS_ASSOC_1,PSS_ASSOC_2,PSS_ASSOC_3,PSS_ASSOC_4,PSS_ASSOC_5,PSS_ASSOC_6,PSS_ASSOC_7,PSS_ASSOC_8
A1102324,ACADEMY FOR PRECISION LEARNING,3,17,PO BOX 51241,SEATTLE,53033,033,WA,53,98115,2064270115,190,6.5,No,,,6,9,9,8,7,10,7,11,14,8,6,4,3,102,102,0,26,2,2,72,0,0,11,11,1,4,3,3,1,0,25.49,1.96,1.96,70.59,0,0,9.27,30,KING,Other school association(s),,,,,,,
A1102325,ACADEMY NW/FAMILY ACADEMY,6,17,PO BOX 66839,SEATTLE,53033,033,WA,53,98166,2062469227,180,5.5,No,,,,1,1,6,3,9,10,9,14,61,76,58,63,311,311,5,8,11,6,212,0,69,17.9,21,1,1,3,2,2,1.61,2.57,3.54,1.93,68.17,0,22.19,17.37,8,KING,Other special emphasis association(s),Other school association(s),,,,,,
A9703521,ACADEMY SCHOOLS,2,17,14601 INTERURBAN AVE S,TUKWILA,53033,033,WA,53,98168,2065880860,168,7,Yes,,6,5,4,2,,5,5,4,5,5,6,3,2,1,53,47,2,16,2,5,20,2,0,9,21,1,1,3,3,2,4.26,34.04,4.26,10.64,42.55,4.26,0,5.22,30,KING,,,,,,,,
A1303620,ADVENT LUTHERAN CHILD CENTER,2,3,13009 E BROADWAY AVE,SPOKANE VALLEY,53063,063,WA,53,99216,5099280231,245,10,No,,20,10,,,,,,,,,,,,,30,10,0,0,0,0,10,0,0,2.8,13,1,7,1,2,1,0,0,0,0,100,0,0,3.57,21,SPOKANE,Evangelical Lutheran Education Association (ELEA),,,,,,,
A0503618,ALCUIN SCHOOL,2,4,216 W BOSTON ST,SEATTLE,53033,033,WA,53,98119,2062860771,180,4,No,,8,2,,,,,,,,,,,,,10,2,0,0,0,0,2,0,0,1,11,1,7,1,3,1,0,0,0,0,100,0,0,2,30,KING,This school does not belong to ANY associations or organizations,,,,,,,
A1504005,ALGER LEARNING CENTER- INC.,13,17,121 ALDER DR,SEDRO WOOLLEY,53057,057,WA,53,98284,3605952630,181,7,Yes,,,,,,,,,,,2,2,3,1,3,11,11,0,0,0,0,10,0,1,3,41,1,1,2,3,4,0,0,0,0,90.91,0,9.09,3.67,30,WHATCOM,This school does not belong to ANY associations or organizations,,,,,,,
01460781,ALL SAINTS ELEMENTARY SCHOOL,2,13,504 2ND ST SW,PUYALLUP,53053,053,WA,53,98371,2539225360,180,7,Yes,,50,35,19,34,26,28,28,35,24,20,,,,,299,249,2,9,28,3,179,14,14,14,21,1,1,1,1,2,0.8,3.61,11.24,1.2,71.89,5.62,5.62,17.79,1,PIERCE,National Catholic Educational Association (NCEA),,,,,,,
A0740156,ALL SAINTS SCHOOL,2,13,2323 54TH AVE E,FIFE,53053,053,WA,53,98424,2538455025,180,7,Yes,,64,36,19,35,26,28,28,35,24,20,,,,,315,251,2,7,25,4,191,9,13,14,21,1,1,1,1,2,0.8,2.79,9.96,1.59,76.1,3.59,5.18,17.93,1,PIERCE,National Catholic Educational Association (NCEA),,,,,,,
A0308058,AMERICAS CHILD MONTESSORI,2,3,14340 NE 21ST ST,BELLEVUE,53033,033,WA,53,98007,4256415437,255,8,No,,60,12,,,,,,,,,,,,,72,12,0,5,0,4,3,0,0,1,12,1,2,1,3,1,0,41.67,0,33.33,25,0,0,12,30,KING,This school does not belong to ANY associations or organizations,,,,,,,
01462009,ANNIE WRIGHT SCHOOLS,2,17,827 N TACOMA AVE,TACOMA,53053,053,WA,53,98403,2532722216,173,7,Yes,,40,22,28,24,33,27,32,36,36,36,38,48,49,45,494,454,10,108,9,15,242,6,64,73.3,12,1,1,3,2,1,2.2,23.79,1.98,3.3,53.3,1.32,14.1,6.19,14,PIERCE,National Coalition of Girls' Schools (NCGS),National Association of Independent Schools (NAIS),State or regional independent school association,The Association of Boarding Schools (TABS),,,,
