Illinois
National Center for Education Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSS Private School Universe Survey data 2015-2016 school year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The file contains (1070) records based on your search.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user. For more information about this data, visit the PSS homepage. http://nces.ed.gov/surveys/pss",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSS_SCHOOL_ID,PSS_INST,LoGrade,HiGrade,PSS_ADDRESS,PSS_CITY,PSS_COUNTY_NO,PSS_COUNTY_FIPS,PSS_STABB,PSS_FIPS,PSS_ZIP5,PSS_PHONE,PSS_SCH_DAYS,PSS_STU_DAY_HRS,PSS_LIBRARY,PSS_ENROLL_UG,PSS_ENROLL_PK,PSS_ENROLL_K,PSS_ENROLL_1,PSS_ENROLL_2,PSS_ENROLL_3,PSS_ENROLL_4,PSS_ENROLL_5,PSS_ENROLL_6,PSS_ENROLL_7,PSS_ENROLL_8,PSS_ENROLL_9,PSS_ENROLL_10,PSS_ENROLL_11,PSS_ENROLL_12,PSS_ENROLL_T,PSS_ENROLL_TK12,PSS_RACE_AI,PSS_RACE_AS,PSS_RACE_H,PSS_RACE_B,PSS_RACE_W,PSS_RACE_P,PSS_RACE_2,PSS_FTE_TEACH,PSS_LOCALE,PSS_COED,PSS_TYPE,PSS_LEVEL,PSS_RELIG,PSS_COMM_TYPE,PSS_INDIAN_PCT,PSS_ASIAN_PCT,PSS_HISP_PCT,PSS_BLACK_PCT,PSS_WHITE_PCT,P_PACISL_PCT,P_TWOMORE_PCT,PSS_STDTCH_RT,PSS_ORIENT,PSS_COUNTY_NAME,PSS_ASSOC_1,PSS_ASSOC_2,PSS_ASSOC_3,PSS_ASSOC_4,PSS_ASSOC_5,PSS_ASSOC_6,PSS_ASSOC_7,PSS_ASSOC_8
A0103186,123 YOU N ME PRESCHOOL,2,4,809 W DETWEILLER DR STE A,PEORIA,17143,143,IL,17,61615,3096923470,180,6.5,Yes,,40,10,,,,,,,,,,,,,50,10,2,0,2,2,2,0,2,1,12,1,7,1,3,1,20,0,20,20,20,0,20,10,30,PEORIA,Other religious school association(s),National Association for the Education of Young Children (NAEYC),Other school association(s),,,,,
00351456,18144 GLEN TERRACE ST.,2,13,18144 GLEN TER,LANSING,17031,031,IL,17,60438,7084748539,180,7,Yes,,7,7,8,7,6,5,7,2,1,7,,,,,57,50,0,0,0,37,11,0,2,6.6,21,1,1,1,2,2,0,0,0,74,22,0,4,7.58,20,COOK,Other religious school association(s),,,,,,,
BB000456,A MOTHER'S TOUCH CREATIVE LEARNING CENTER,2,3,125 N DRYDEN AVE,ARLINGTON HEIGHTS,17031,031,IL,17,60004,8475777600,255,6,Yes,,39,31,,,,,,,,,,,,,70,31,0,1,2,0,28,0,0,2.9,13,1,7,1,3,1,0,3.23,6.45,0,90.32,0,0,10.69,30,COOK,This school does not belong to ANY associations or organizations,,,,,,,
A0971034,A MOTHERS TOUCH LEARNING ACADEMY,2,3,1666 RAND RD,DES PLAINES,17031,031,IL,17,60016,8478135039,253,,Yes,,20,10,,,,,,,,,,,,,30,10,0,1,0,1,8,0,0,1.9,13,1,7,1,3,1,0,10,0,10,80,0,0,5.26,30,COOK,This school does not belong to ANY associations or organizations,,,,,,,
A0301317,A VILLAGE GREEN MONTESSORI,2,3,125 W CHURCH ST,LIBERTYVILLE,17097,097,IL,17,60048,8472819911,180,9,No,,90,10,,,,,,,,,,,,,100,10,0,2,2,0,5,0,1,4,21,1,2,1,3,2,0,20,20,0,50,0,10,2.5,30,LAKE,American Montessori Society (AMS),,,,,,,
BB140523,A-KARRASEL ACADEMY,2,3,7801 W GRAND AVE,ELMWOOD PARK,17031,031,IL,17,60707,7084527666,180,6,No,,17,9,,,,,,,,,,,,,26,9,0,0,2,1,4,0,2,1,21,1,7,1,3,2,0,0,22.22,11.11,44.44,0,22.22,9,30,COOK,Other school association(s),,,,,,,
BB140399,AAA ACADEMY,6,13,13801 CHATHAM ST,BLUE ISLAND,17031,031,IL,17,60406,7082060000,179,6.5,Yes,,,,2,2,7,3,5,7,4,17,,,,,47,47,0,0,1,44,0,0,2,9,21,1,4,1,3,2,0,0,2.13,93.62,0,0,4.26,5.22,30,COOK,Other school association(s),,,,,,,
BB120761,ABC TOON TOWN II,2,4,208 HARRISON ST,OAK PARK,17031,031,IL,17,60304,7088480701,180,6.5,No,,40,7,,,,,,,,,,,,,47,7,0,0,1,5,1,0,0,1,21,1,7,1,3,2,0,0,14.29,71.43,14.29,0,0,7,30,COOK,This school does not belong to ANY associations or organizations,,,,,,,
BB911554,ACACIA ACADEMY,9,17,6438 JOLIET ROAD SUITE 204,COUNTRYSIDE,17031,031,IL,17,60525,7086394222,180,6.25,No,,,,,,,1,4,5,5,12,5,23,20,9,84,84,0,1,13,20,49,0,1,14.4,21,1,4,3,3,2,0,1.19,15.48,23.81,58.33,0,1.19,5.83,30,COOK,Other special emphasis association(s),Other school association(s),,,,,,
00339778,ACADEMY OF ST BENEDICT THE AFRICAN,2,13,6020 S LAFLIN ST,CHICAGO,17031,031,IL,17,60636,7737763316,185,7.5,No,,40,26,25,30,20,28,26,16,17,16,,,,,244,204,0,0,0,204,0,0,0,11.9,11,1,1,1,1,1,0,0,0,100,0,0,0,17.14,1,COOK,National Catholic Educational Association (NCEA),National Association for the Education of Young Children (NAEYC),,,,,,
A9102302,ACARATH MONTESSORI CENTER,2,6,22 KRISTIN DR,SCHAUMBURG,17031,031,IL,17,60195,8473970111,183,6.5,No,,80,40,6,,,,,,,,,,,,126,46,0,43,1,1,1,0,0,5.3,13,1,2,1,3,1,0,93.48,2.17,2.17,2.17,0,0,8.68,30,COOK,This school does not belong to ANY associations or organizations,,,,,,,
