Ohio
National Center for Education Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSS Private School Universe Survey data 2015-2016 school year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The file contains (976) records based on your search.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user. For more information about this data, visit the PSS homepage. http://nces.ed.gov/surveys/pss",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSS_SCHOOL_ID,PSS_INST,LoGrade,HiGrade,PSS_ADDRESS,PSS_CITY,PSS_COUNTY_NO,PSS_COUNTY_FIPS,PSS_STABB,PSS_FIPS,PSS_ZIP5,PSS_PHONE,PSS_SCH_DAYS,PSS_STU_DAY_HRS,PSS_LIBRARY,PSS_ENROLL_UG,PSS_ENROLL_PK,PSS_ENROLL_K,PSS_ENROLL_1,PSS_ENROLL_2,PSS_ENROLL_3,PSS_ENROLL_4,PSS_ENROLL_5,PSS_ENROLL_6,PSS_ENROLL_7,PSS_ENROLL_8,PSS_ENROLL_9,PSS_ENROLL_10,PSS_ENROLL_11,PSS_ENROLL_12,PSS_ENROLL_T,PSS_ENROLL_TK12,PSS_RACE_AI,PSS_RACE_AS,PSS_RACE_H,PSS_RACE_B,PSS_RACE_W,PSS_RACE_P,PSS_RACE_2,PSS_FTE_TEACH,PSS_LOCALE,PSS_COED,PSS_TYPE,PSS_LEVEL,PSS_RELIG,PSS_COMM_TYPE,PSS_INDIAN_PCT,PSS_ASIAN_PCT,PSS_HISP_PCT,PSS_BLACK_PCT,PSS_WHITE_PCT,P_PACISL_PCT,P_TWOMORE_PCT,PSS_STDTCH_RT,PSS_ORIENT,PSS_COUNTY_NAME,PSS_ASSOC_1,PSS_ASSOC_2,PSS_ASSOC_3,PSS_ASSOC_4,PSS_ASSOC_5,PSS_ASSOC_6,PSS_ASSOC_7,PSS_ASSOC_8
A1502784,565 ACADEMY,7,12,3700 DORR ST,TOLEDO,39095,095,OH,39,43607,4192421997,169,6.5,No,,,,,2,1,3,2,1,2,,,,,,11,11,0,0,0,1,8,0,2,3.4,11,1,6,1,2,1,0,0,0,9.09,72.73,0,18.18,3.24,8,LUCAS,This school does not belong to ANY associations or organizations,,,,,,,
A0990097,ABSORBENT MINDS MONTESSORI SCHOOL,2,5,130 BROAD BLVD,CUYAHOGA FALLS,39153,153,OH,39,44221,3309228299,183,7.5,No,,73,8,,,,,,,,,,,,,81,8,0,0,0,3,5,0,0,4,21,1,2,1,3,2,0,0,0,37.5,62.5,0,0,2,30,SUMMIT,American Montessori Society (AMS),Other Montessori association(s),,,,,,
01058275,ACADEMY OF ST ADALBERT,2,13,56 ADELBERT ST,BEREA,39035,035,OH,39,44017,4402345529,178,6,Yes,,19,22,20,23,20,11,15,24,15,12,,,,,181,162,0,7,5,8,135,1,6,11.4,21,1,1,1,1,2,0,4.32,3.09,4.94,83.33,0.62,3.7,14.21,1,CUYAHOGA,National Catholic Educational Association (NCEA),,,,,,,
01057872,ACADEMY OF ST BARTHOLOMEW,2,13,14875 BAGLEY RD,MIDDLEBURG HEIGHTS,39035,035,OH,39,44130,4408456660,178,6.5,Yes,,25,15,17,22,28,23,31,31,37,39,,,,,268,243,0,4,3,1,229,0,6,18.8,21,1,1,1,1,2,0,1.65,1.23,0.41,94.24,0,2.47,12.93,1,CUYAHOGA,National Catholic Educational Association (NCEA),,,,,,,
02049204,ADAMS COUNTY CHRISTIAN SCHOOL,3,17,187 WILLOW DR,WEST UNION,39001,001,OH,39,45693,9375445502,178,6.33,No,,,13,10,13,11,3,5,6,5,7,4,6,6,3,92,92,0,0,0,0,92,0,0,10.5,32,1,1,3,2,3,0,0,0,0,100,0,0,8.76,8,ADAMS,Association of Christian Schools International (ACSI),,,,,,,
A0771347,ADVENTURES IN LEARNING,2,12,1288 STATE ROUTE 42,MASON,39165,165,OH,39,45040,5133981288,180,7.5,No,,5,,,,3,1,1,1,1,,,,,,12,7,0,0,0,1,6,0,0,1,21,1,1,1,2,2,0,0,0,14.29,85.71,0,0,7,8,WARREN,State or regional independent school association,,,,,,,
A9105153,AKIVA ACADEMY,3,13,505 GYPSY LN,YOUNGSTOWN,39099,099,OH,39,44504,3307470452,163,7,Yes,,,14,25,24,20,14,13,10,10,5,,,,,135,135,0,1,3,67,54,0,10,12.3,13,1,1,1,2,1,0,0.74,2.22,49.63,40,0,7.41,10.98,18,MAHONING,Other school association(s),,,,,,,
K9500386,AKRON FIRST ACADEMY & PRESCHOOL,2,10,1175 W MARKET ST,AKRON,39153,153,OH,39,44313,3308361436,183,6.5,Yes,,60,11,8,9,5,9,3,,,,,,,,105,45,0,0,1,30,10,0,4,5.3,12,1,1,1,2,1,0,0,2.22,66.67,22.22,0,8.89,8.49,4,SUMMIT,This school does not belong to ANY associations or organizations,,,,,,,
A9903436,AKRON MONTESSORI SCHOOL,2,8,3882 BYWOOD AVE,FAIRLAWN,39153,153,OH,39,44333,3306664299,182,7,Yes,,48,16,8,3,3,,,,,,,,,,78,30,0,4,1,6,14,0,5,4,21,1,2,1,3,2,0,13.33,3.33,20,46.67,0,16.67,7.5,30,SUMMIT,This school does not belong to ANY associations or organizations,,,,,,,
A0108616,AL IHSAN SCHOOL,3,13,4600 ROCKY RIVER DR,CLEVELAND,39035,035,OH,39,44135,2166765006,182,8,No,,,25,21,20,21,14,8,9,10,10,,,,,138,138,0,9,0,12,110,0,7,15.8,11,1,1,1,2,1,0,6.52,0,8.7,79.71,0,5.07,8.73,17,CUYAHOGA,This school does not belong to ANY associations or organizations,,,,,,,
