Nebraska
National Center for Education Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSS Private School Universe Survey data 2015-2016 school year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The file contains (177) records based on your search.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user. For more information about this data, visit the PSS homepage. http://nces.ed.gov/surveys/pss",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSS_SCHOOL_ID,PSS_INST,LoGrade,HiGrade,PSS_ADDRESS,PSS_CITY,PSS_COUNTY_NO,PSS_COUNTY_FIPS,PSS_STABB,PSS_FIPS,PSS_ZIP5,PSS_PHONE,PSS_SCH_DAYS,PSS_STU_DAY_HRS,PSS_LIBRARY,PSS_ENROLL_UG,PSS_ENROLL_PK,PSS_ENROLL_K,PSS_ENROLL_1,PSS_ENROLL_2,PSS_ENROLL_3,PSS_ENROLL_4,PSS_ENROLL_5,PSS_ENROLL_6,PSS_ENROLL_7,PSS_ENROLL_8,PSS_ENROLL_9,PSS_ENROLL_10,PSS_ENROLL_11,PSS_ENROLL_12,PSS_ENROLL_T,PSS_ENROLL_TK12,PSS_RACE_AI,PSS_RACE_AS,PSS_RACE_H,PSS_RACE_B,PSS_RACE_W,PSS_RACE_P,PSS_RACE_2,PSS_FTE_TEACH,PSS_LOCALE,PSS_COED,PSS_TYPE,PSS_LEVEL,PSS_RELIG,PSS_COMM_TYPE,PSS_INDIAN_PCT,PSS_ASIAN_PCT,PSS_HISP_PCT,PSS_BLACK_PCT,PSS_WHITE_PCT,P_PACISL_PCT,P_TWOMORE_PCT,PSS_STDTCH_RT,PSS_ORIENT,PSS_COUNTY_NAME,PSS_ASSOC_1,PSS_ASSOC_2,PSS_ASSOC_3,PSS_ASSOC_4,PSS_ASSOC_5,PSS_ASSOC_6,PSS_ASSOC_7,PSS_ASSOC_8
00809349,ALL SAINTS CATHOLIC SCHOOL,2,13,1335 S 10TH ST,OMAHA,31055,055,NE,31,68108,4023465757,170,6.58,Yes,,19,12,9,22,16,15,21,19,17,13,,,,,163,144,0,3,44,71,17,1,8,12,11,1,1,1,1,1,0,2.08,30.56,49.31,11.81,0.69,5.56,12,1,DOUGLAS,National Catholic Educational Association (NCEA),,,,,,,
A0301997,ALL SAINTS CATHOLIC SCHOOL,2,9,1206 LOGAN ST,HOLDREGE,31137,137,NE,31,68949,3089954590,170,7.17,Yes,,19,9,11,6,7,3,,,,,,,,,55,36,0,1,0,0,35,0,0,3.4,33,1,1,1,1,3,0,2.78,0,0,97.22,0,0,10.59,1,PHELPS,National Catholic Educational Association (NCEA),,,,,,,
BB161398,AMISH PAROCHIAL SCHOOL C/O TOBY MILLER,6,12,71202 624 BLVD,PAWNEE CITY,31133,133,NE,31,68420,4028526497,160,6.5,Yes,,,,24,3,6,2,3,1,2,,,,,,41,41,,,,,,,,1,43,1,1,1,2,4,,,,,,,,41,3,PAWNEE,This school does not belong to ANY associations or organizations,,,,,,,
00810809,AQUINAS MIDDLE HIGH SCHOOL,11,17,3420 MN RD BOX 149,DAVID CITY,31023,023,NE,31,68632,4023673175,174,7.37,Yes,,,,,,,,,39,43,40,55,44,39,36,296,296,0,1,4,1,289,1,0,21.1,41,1,1,3,1,4,0,0.34,1.35,0.34,97.64,0.34,0,14.03,1,BUTLER,National Catholic Educational Association (NCEA),,,,,,,
00810161,ARCHBISHOP BERGAN CATHOLIC SCHOOL,2,17,545 E 4TH ST,FREMONT,31053,053,NE,31,68025,4027219683,174,7.05,Yes,,51,30,38,39,18,40,27,32,18,31,34,31,25,22,436,385,0,3,5,2,375,0,0,27,32,1,1,3,1,3,0,0.78,1.3,0.52,97.4,0,0,14.26,1,DODGE,Other school association(s),,,,,,,
A9902740,BERNIKLAU EDUCATION SOLUTIONS TEAM,9,17,11401 S 70TH ST,LINCOLN,31109,109,NE,31,68516,4024202888,255,6,Yes,,,,,,,1,1,2,1,1,3,4,3,5,21,21,0,0,1,2,17,0,1,6,41,1,4,3,3,4,0,0,4.76,9.52,80.95,0,4.76,3.5,30,LANCASTER,This school does not belong to ANY associations or organizations,,,,,,,
00810558,BISHOP NEUMANN HIGH SCHOOL,12,17,202 S LINDEN ST,WAHOO,31155,155,NE,31,68066,4024434151,179,7.5,Yes,,,,,,,,,,46,49,53,49,48,39,284,284,0,2,2,0,278,0,2,26,32,1,1,2,1,3,0,0.7,0.7,0,97.89,0,0.7,10.92,1,SAUNDERS,National Catholic Educational Association (NCEA),,,,,,,
A1301838,BLAIR CHRISTIAN ACADEMY,2,9,PO BOX 219,BLAIR,31055,055,NE,31,68008,4024265592,180,7,No,,41,6,3,2,4,8,,,,,,,,,64,23,0,0,0,0,23,0,0,3,41,1,1,1,2,4,0,0,0,0,100,0,0,7.67,8,DOUGLAS,Association of Christian Schools International (ACSI),,,,,,,
A1101417,BLESSED SACRAMENT CATHOLIC ELEMENTARY,2,13,1725 LAKE ST,LINCOLN,31109,109,NE,31,68502,4024766202,181,7.33,Yes,,8,19,16,17,14,16,29,18,21,32,,,,,190,182,4,10,33,19,112,0,4,18,11,1,1,1,1,1,2.2,5.49,18.13,10.44,61.54,0,2.2,10.11,1,LANCASTER,National Catholic Educational Association (NCEA),,,,,,,
A0105895,BROWNELL TALBOT SCHOOLS,2,17,400 N HAPPY HOLLOW BLVD,OMAHA,31055,055,NE,31,68132,4025563772,167,7.67,Yes,,29,24,26,30,23,20,30,34,30,44,36,34,41,28,429,400,0,33,7,21,307,3,29,50.9,11,1,1,3,3,1,0,8.25,1.75,5.25,76.75,0.75,7.25,7.86,30,DOUGLAS,National Association of Independent Schools (NAIS),,,,,,,
