Washington DC
National Center for Education Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSS Private School Universe Survey data 2015-2016 school year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The file contains (51) records based on your search.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user. For more information about this data, visit the PSS homepage. http://nces.ed.gov/surveys/pss",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSS_SCHOOL_ID,PSS_INST,LoGrade,HiGrade,PSS_ADDRESS,PSS_CITY,PSS_COUNTY_NO,PSS_COUNTY_FIPS,PSS_STABB,PSS_FIPS,PSS_ZIP5,PSS_PHONE,PSS_SCH_DAYS,PSS_STU_DAY_HRS,PSS_LIBRARY,PSS_ENROLL_UG,PSS_ENROLL_PK,PSS_ENROLL_K,PSS_ENROLL_1,PSS_ENROLL_2,PSS_ENROLL_3,PSS_ENROLL_4,PSS_ENROLL_5,PSS_ENROLL_6,PSS_ENROLL_7,PSS_ENROLL_8,PSS_ENROLL_9,PSS_ENROLL_10,PSS_ENROLL_11,PSS_ENROLL_12,PSS_ENROLL_T,PSS_ENROLL_TK12,PSS_RACE_AI,PSS_RACE_AS,PSS_RACE_H,PSS_RACE_B,PSS_RACE_W,PSS_RACE_P,PSS_RACE_2,PSS_FTE_TEACH,PSS_LOCALE,PSS_COED,PSS_TYPE,PSS_LEVEL,PSS_RELIG,PSS_COMM_TYPE,PSS_INDIAN_PCT,PSS_ASIAN_PCT,PSS_HISP_PCT,PSS_BLACK_PCT,PSS_WHITE_PCT,P_PACISL_PCT,P_TWOMORE_PCT,PSS_STDTCH_RT,PSS_ORIENT,PSS_COUNTY_NAME,PSS_ASSOC_1,PSS_ASSOC_2,PSS_ASSOC_3,PSS_ASSOC_4,PSS_ASSOC_5,PSS_ASSOC_6,PSS_ASSOC_7,PSS_ASSOC_8
A0300737,ACADEMIA DE LA RECTA PORTA ICDS,3,17,7614 GEORGIA AVE NW,WASHINGTON,11001,001,DC,11,20012,2027268737,183,6.5,No,,,1,4,5,2,3,5,6,1,4,5,6,6,4,52,52,0,0,10,29,0,0,13,9.9,11,1,1,3,2,1,0,0,19.23,55.77,0,0,25,5.25,8,DISTRICT OF COLUMBIA,Association of Christian Schools International (ACSI),,,,,,,
BB160528,ACADEMY FOR IDEAL EDUCATION,3,17,4501 DIX ST NE,WASHINGTON,11001,001,DC,11,20019,2022693186,182,7,Yes,,,1,2,2,2,1,3,1,,3,7,8,6,2,38,38,0,0,0,38,0,0,0,,11,1,1,3,3,1,0,0,0,100,0,0,0,,30,DISTRICT OF COLUMBIA,,,,,,,,
00252626,ANNUNCIATION CATHOLIC SCHOOL,2,13,3825 KLINGLE PL NW,WASHINGTON,11001,001,DC,11,20016,2023621408,180,8,Yes,,23,4,10,11,16,9,11,14,9,11,,,,,118,95,0,5,8,43,36,0,3,17.3,11,1,1,1,1,1,0,5.26,8.42,45.26,37.89,0,3.16,5.49,1,DISTRICT OF COLUMBIA,National Catholic Educational Association (NCEA),,,,,,,
00253186,BEAUVOIR THE NATIONAL CATHEDRAL ELEMENTARY SCHOOL,2,8,3500 WOODLEY RD NW,WASHINGTON,11001,001,DC,11,20016,2025376491,175,7,Yes,,64,84,82,84,82,,,,,,,,,,396,332,0,13,2,38,201,0,78,60,11,1,1,1,2,1,0,3.92,0.6,11.45,60.54,0,23.49,5.53,14,DISTRICT OF COLUMBIA,National Association of Episcopal Schools (NAES),National Association for the Education of Young Children (NAEYC),National Association of Independent Schools (NAIS),State or regional independent school association,,,,
A0500912,BRITISH INTERNATIONAL SCHOOL OF WASHINGTON,2,17,"2001 WISCONSIN AVE, NW",WASHINGTON,11001,001,DC,11,20007,2028293700,180,7.25,Yes,,55,21,22,32,25,32,35,43,32,44,30,30,27,23,451,396,0,17,3,23,340,0,13,47.1,11,1,3,3,3,1,0,4.29,0.76,5.81,85.86,0,3.28,8.41,30,DISTRICT OF COLUMBIA,European Council for International Schools (ECIS),Other special emphasis association(s),,,,,,
K9301156,CALVARY CHRISTIAN ACADEMY,3,13,806 RHODE ISLAND AVE NE,WASHINGTON,11001,001,DC,11,20018,2025265176,180,7,Yes,,,20,20,14,21,16,14,10,17,9,,,,,141,141,0,0,3,133,5,0,0,12.9,11,1,1,1,2,1,0,0,2.13,94.33,3.55,0,0,10.93,26,DISTRICT OF COLUMBIA,Association of Christian Schools International (ACSI),,,,,,,
00253415,CAPITOL HILL DAY SCHOOL,2,13,210 S CAROLINA AVE SE,WASHINGTON,11001,001,DC,11,20003,2025472244,176,7,Yes,,23,25,24,20,19,24,21,24,19,23,,,,,222,199,0,8,7,22,135,0,27,31.6,11,1,1,1,3,1,0,4.02,3.52,11.06,67.84,0,13.57,6.3,30,DISTRICT OF COLUMBIA,National Association of Independent Schools (NAIS),State or regional independent school association,,,,,,
BB160530,CORNERSTONE SCHOOLS-WASHINGTON,3,17,3742 ELY PL SE,WASHINGTON,11001,001,DC,11,20019,2025750027,183,7,Yes,,,7,11,6,9,6,7,14,11,12,13,9,11,7,123,123,0,0,2,121,0,0,0,14.6,11,1,1,3,2,1,0,0,1.63,98.37,0,0,0,8.42,8,DISTRICT OF COLUMBIA,This school does not belong to ANY associations or organizations,,,,,,,
A0770682,DOT CHILD DEVELOPMENT CENTER,2,4,800 INDEPENDENCE AVE SW,WASHINGTON,11001,001,DC,11,20591,2022677672,180,4,No,,5,7,,,,,,,,,,,,,12,7,0,0,0,1,6,0,0,2,11,1,7,1,3,1,0,0,0,14.29,85.71,0,0,3.5,30,DISTRICT OF COLUMBIA,This school does not belong to ANY associations or organizations,,,,,,,
00253914,DUPONT PARK ADVENTIST SCHOOL,2,13,3942 ALABAMA AVE SE,WASHINGTON,11001,001,DC,11,20020,2025838500,180,7.25,No,,16,14,12,12,15,21,12,11,15,24,,,,,152,136,0,0,0,132,0,0,4,12.4,11,1,1,1,2,1,0,0,0,97.06,0,0,2.94,10.97,28,DISTRICT OF COLUMBIA,Other religious school association(s),,,,,,,
