Virginia
National Center for Education Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSS Private School Universe Survey data 2015-2016 school year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The file contains (630) records based on your search.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user. For more information about this data, visit the PSS homepage. http://nces.ed.gov/surveys/pss",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSS_SCHOOL_ID,PSS_INST,LoGrade,HiGrade,PSS_ADDRESS,PSS_CITY,PSS_COUNTY_NO,PSS_COUNTY_FIPS,PSS_STABB,PSS_FIPS,PSS_ZIP5,PSS_PHONE,PSS_SCH_DAYS,PSS_STU_DAY_HRS,PSS_LIBRARY,PSS_ENROLL_UG,PSS_ENROLL_PK,PSS_ENROLL_K,PSS_ENROLL_1,PSS_ENROLL_2,PSS_ENROLL_3,PSS_ENROLL_4,PSS_ENROLL_5,PSS_ENROLL_6,PSS_ENROLL_7,PSS_ENROLL_8,PSS_ENROLL_9,PSS_ENROLL_10,PSS_ENROLL_11,PSS_ENROLL_12,PSS_ENROLL_T,PSS_ENROLL_TK12,PSS_RACE_AI,PSS_RACE_AS,PSS_RACE_H,PSS_RACE_B,PSS_RACE_W,PSS_RACE_P,PSS_RACE_2,PSS_FTE_TEACH,PSS_LOCALE,PSS_COED,PSS_TYPE,PSS_LEVEL,PSS_RELIG,PSS_COMM_TYPE,PSS_INDIAN_PCT,PSS_ASIAN_PCT,PSS_HISP_PCT,PSS_BLACK_PCT,PSS_WHITE_PCT,P_PACISL_PCT,P_TWOMORE_PCT,PSS_STDTCH_RT,PSS_ORIENT,PSS_COUNTY_NAME,PSS_ASSOC_1,PSS_ASSOC_2,PSS_ASSOC_3,PSS_ASSOC_4,PSS_ASSOC_5,PSS_ASSOC_6,PSS_ASSOC_7,PSS_ASSOC_8
A0303209,3,3,17,1101 BANBRIGE ST,RICHMOND,51760,760,VA,51,23224,8046129146,180,6,Yes,,,1,,5,1,,4,4,1,5,2,3,,1,27,27,0,0,0,25,2,0,0,5,12,1,1,3,2,1,0,0,0,92.59,7.41,0,0,5.4,5,RICHMOND,Other school association(s),,,,,,,
A9708049,A KID'S PLACE,2,3,12215 SUGAR MAPLE DR,HERNDON,51107,107,VA,51,20170,7034041595,249,8,Yes,,14,6,,,,,,,,,,,,,20,6,0,0,0,0,6,0,0,8.3,21,1,7,1,3,2,0,0,0,0,100,0,0,0.72,30,LOUDOUN,This school does not belong to ANY associations or organizations,,,,,,,
A0109638,A WORLD OF CHILDREN,2,6,752 CEDAR RD,CHESAPEAKE,51550,550,VA,51,23322,7574366967,180,6.5,Yes,,41,5,3,,,,,,,,,,,,49,8,0,0,2,1,4,0,1,9.6,21,1,1,1,3,2,0,0,25,12.5,50,0,12.5,0.83,30,CHESAPEAKE,Other special emphasis association(s),Other school association(s),,,,,,
A1371497,ABUNDANT LIFE MINISTRIES,2,3,6037 PROVIDENCE RD,VIRGINIA BEACH,51810,810,VA,51,23464,7574209149,,7,Yes,,11,5,,,,,,,,,,,,,16,5,0,0,1,4,0,0,0,1,11,1,7,1,2,1,0,0,20,80,0,0,0,5,26,VIRGINIA BEACH,This school does not belong to ANY associations or organizations,,,,,,,
A0303197,ACADEMY OF ACADEMIC EXCELLENCE,2,10,2545 GAYTON CENTRE DR,RICHMOND,51087,087,VA,51,23238,8047406500,176,7,Yes,,23,13,14,1,5,2,2,,,,,,,,60,37,0,31,2,2,2,0,0,5.5,21,1,1,1,3,2,0,83.78,5.41,5.41,5.41,0,0,6.73,30,HENRICO,Other school association(s),,,,,,,
A9708053,ACADEMY OF EARLY LEARNING,2,3,3560 CHESTER ST,VIRGINIA BEACH,51810,810,VA,51,23452,7573407228,183,7.5,No,,17,13,,,,,,,,,,,,,30,13,0,0,1,1,9,0,2,1.1,11,1,7,1,2,1,0,0,7.69,7.69,69.23,0,15.38,11.82,8,VIRGINIA BEACH,This school does not belong to ANY associations or organizations,,,,,,,
01433168,ACCOTINK ACADEMY,7,17,8519 TUTTLE RD,SPRINGFIELD,51059,059,VA,51,22152,7034518041,183,6,No,5,,,,2,2,,2,9,10,8,22,13,20,10,103,103,0,0,7,92,3,0,1,18.6,21,1,4,3,3,2,0,0,6.8,89.32,2.91,0,0.97,5.54,30,FAIRFAX,Other school association(s),,,,,,,
A0503532,ACCOTINK ACADEMY LEARNING CENTER,12,17,8519 TUTTLE RD BLDG B,SPRINGFIELD,51059,059,VA,51,22152,7036449072,180,6,Yes,,,,,,,,,,3,5,3,4,5,7,27,27,0,1,2,5,18,0,1,5,21,1,4,2,3,2,0,3.7,7.41,18.52,66.67,0,3.7,5.4,30,FAIRFAX,Other school association(s),,,,,,,
A1371498,ACCOTINK ACADEMY PRESCHOOL,2,4,6215 ROLLING RD,SPRINGFIELD,51059,059,VA,51,22152,7034515797,140,5,No,,120,34,,,,,,,,,,,,,154,34,0,7,1,1,23,0,2,5,21,1,7,1,3,2,0,20.59,2.94,2.94,67.65,0,5.88,6.8,30,FAIRFAX,This school does not belong to ANY associations or organizations,,,,,,,
A1102271,ADAMS INTERNATIONAL SCHOOL,3,3,PO BOX 217,OILVILLE,51075,075,VA,51,23129,8047840141,187,8.5,Yes,21,,9,,,,,,,,,,,,,30,30,0,0,0,2,28,0,0,10.5,42,1,2,1,3,4,0,0,0,6.67,93.33,0,0,2.86,30,GOOCHLAND,American Montessori Society (AMS),,,,,,,
