North Carolina
National Center for Education Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSS Private School Universe Survey data 2015-2016 school year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The file contains (492) records based on your search.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user. For more information about this data, visit the PSS homepage. http://nces.ed.gov/surveys/pss",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSS_SCHOOL_ID,PSS_INST,LoGrade,HiGrade,PSS_ADDRESS,PSS_CITY,PSS_COUNTY_NO,PSS_COUNTY_FIPS,PSS_STABB,PSS_FIPS,PSS_ZIP5,PSS_PHONE,PSS_SCH_DAYS,PSS_STU_DAY_HRS,PSS_LIBRARY,PSS_ENROLL_UG,PSS_ENROLL_PK,PSS_ENROLL_K,PSS_ENROLL_1,PSS_ENROLL_2,PSS_ENROLL_3,PSS_ENROLL_4,PSS_ENROLL_5,PSS_ENROLL_6,PSS_ENROLL_7,PSS_ENROLL_8,PSS_ENROLL_9,PSS_ENROLL_10,PSS_ENROLL_11,PSS_ENROLL_12,PSS_ENROLL_T,PSS_ENROLL_TK12,PSS_RACE_AI,PSS_RACE_AS,PSS_RACE_H,PSS_RACE_B,PSS_RACE_W,PSS_RACE_P,PSS_RACE_2,PSS_FTE_TEACH,PSS_LOCALE,PSS_COED,PSS_TYPE,PSS_LEVEL,PSS_RELIG,PSS_COMM_TYPE,PSS_INDIAN_PCT,PSS_ASIAN_PCT,PSS_HISP_PCT,PSS_BLACK_PCT,PSS_WHITE_PCT,P_PACISL_PCT,P_TWOMORE_PCT,PSS_STDTCH_RT,PSS_ORIENT,PSS_COUNTY_NAME,PSS_ASSOC_1,PSS_ASSOC_2,PSS_ASSOC_3,PSS_ASSOC_4,PSS_ASSOC_5,PSS_ASSOC_6,PSS_ASSOC_7,PSS_ASSOC_8
A0108235,1ST UNITED METHODIST PRESCHOOL & KINDERGARTEN,2,3,100 S CHURCH ST,ROCKY MOUNT,37127,127,NC,37,27804,2529770475,170,4,No,,8,8,,,,,,,,,,,,,16,8,0,0,0,0,8,0,0,2,13,1,7,1,2,1,0,0,0,0,100,0,0,4,25,NASH,This school does not belong to ANY associations or organizations,,,,,,,
A1502669,ACADEMIC ILLUMINATION DAY SCHOOL,4,13,1953 CABIN LN,STANELEY,37119,119,NC,37,28164,7047792164,,,,,,2,4,,2,,2,3,,1,,,,,14,14,1,1,1,3,5,2,1,2.4,41,1,2,1,3,4,7.14,7.14,7.14,21.43,35.71,14.29,7.14,5.83,30,LINCOLN,Other school association(s),,,,,,,
A1502671,ACADEMY AT TRAILS CAROLINA,14,17,555 SKY VALLEY CAMP RD,HENDERSONVILLE,37089,089,NC,37,28739,8288080573,200,8,No,,,,,,,,,,,,3,6,3,1,13,13,0,1,1,1,10,0,0,5.8,42,3,6,2,3,4,0,7.69,7.69,7.69,76.92,0,0,2.24,30,HENDERSON,Other school association(s),,,,,,,
A0902448,ACADEMY OF COASTAL CAROLINA,2,16,PO BOX 1988,SHALLOTTE,37019,019,NC,37,28459,9107549637,176,6.58,Yes,,3,21,17,5,7,7,4,5,1,1,1,2,1,,75,72,0,0,1,2,69,0,0,11.8,22,1,1,3,2,2,0,0,1.39,2.78,95.83,0,0,6.1,8,BRUNSWICK,Association of Christian Schools International (ACSI),State or regional independent school association,,,,,,
A0902450,ACADEMY OF EXCELLENCE,7,17,612 S RACE ST,STATESVILLE,37097,097,NC,37,28677,7048739727,180,6,Yes,,,,,1,2,,,2,2,5,3,2,3,1,21,21,0,0,0,20,1,0,0,7.4,21,1,1,3,2,2,0,0,0,95.24,4.76,0,0,2.84,26,IREDELL,Accelerated Christian Education (ACE) or (School of Tomorrow),,,,,,,
A9903306,ACADEMY OF HOPE,12,17,PO BOX 339,CLAYTON,37101,101,NC,37,27528,9195508181,224,6.5,No,,,,,,,,,,2,3,2,,,2,9,9,0,0,0,2,7,0,0,1,41,2,1,2,2,4,0,0,0,22.22,77.78,0,0,9,8,JOHNSTON,Accelerated Christian Education (ACE) or (School of Tomorrow),,,,,,,
AA001202,ADVENTIST CHRISTIAN ACADEMY,2,15,4805 DILLARD DR,RALEIGH,37183,183,NC,37,27606,9192331300,180,7,Yes,,5,1,3,4,4,2,,2,1,4,2,2,,,30,25,0,3,2,5,12,0,3,3,11,1,1,3,2,1,0,12,8,20,48,0,12,8.33,28,WAKE,General Conference of the Seventh-Day Adventist Church (GCSDAC),,,,,,,
01013529,ADVENTIST CHRISTIAN ACADEMY,2,13,4601 EMORY LN,CHARLOTTE,37119,119,NC,37,28211,7043664351,180,6.83,Yes,,5,3,9,6,5,10,6,7,5,2,,,,,58,53,0,4,26,12,4,0,7,6,11,1,1,1,2,1,0,7.55,49.06,22.64,7.55,0,13.21,8.83,28,MECKLENBURG,General Conference of the Seventh-Day Adventist Church (GCSDAC),Other school association(s),,,,,,
A0902454,AGAPE CHRISTIAN ACADEMY,2,10,1627 BROWERS CHAPEL RD,ASHEBORO,37151,151,NC,37,27205,3366250455,180,6.5,Yes,,5,7,4,1,5,4,5,,,,,,,,31,26,0,0,0,0,26,0,0,3.1,41,1,1,1,2,4,0,0,0,0,100,0,0,8.39,8,RANDOLPH,Association of Christian Teachers and Schools (ACTS),,,,,,,
01914771,AHOSKIE CHRISTIAN SCHOOL,3,17,500 KIWANIS ST,AHOSKIE,37091,091,NC,37,27910,2523322764,180,6.75,No,,,27,12,17,16,10,15,11,18,6,10,6,10,8,166,166,1,0,0,23,136,1,5,14.8,32,1,1,3,2,3,0.6,0,0,13.86,81.93,0.6,3.01,11.22,5,HERTFORD,American Association of Christian Schools (AACS),,,,,,,
A1302144,AL HUDA ACADEMY,2,10,5104 REVERE RD,DURHAM,37063,063,NC,37,27713,9195729500,180,7.25,Yes,,21,24,14,15,9,5,6,,,,,,,,94,73,0,55,2,8,0,0,8,9.8,11,1,1,1,2,1,0,75.34,2.74,10.96,0,0,10.96,7.45,17,DURHAM,Islamic School League of America (ISLA),,,,,,,
A9503095,AL-IMAN SCHOOL,2,13,3020 LIGON ST,RALEIGH,37183,183,NC,37,27607,9198211699,180,7.42,Yes,,36,32,30,36,32,21,29,29,34,19,,,,,298,262,0,46,4,25,111,0,76,23.6,11,1,1,1,2,1,0,17.56,1.53,9.54,42.37,0,29.01,11.1,17,WAKE,Islamic School League of America (ISLA),State or regional independent school association,,,,,,
01012999,ALAMANCE CHRISTIAN SCHOOL,2,17,PO BOX 838,GRAHAM,37001,001,NC,37,27253,3365780318,180,7,Yes,,86,28,28,24,20,20,26,25,29,34,28,33,22,25,428,342,0,8,10,20,304,0,0,31.9,22,1,1,3,2,2,0,2.34,2.92,5.85,88.89,0,0,10.72,8,ALAMANCE,American Association of Christian Schools (AACS),,,,,,,
01012988,ALBEMARLE SCHOOL,2,17,1210 US HIGHWAY 17 S,ELIZABETH CITY,37139,139,NC,37,27909,2523380883,180,6.5,Yes,,60,9,6,9,4,7,9,5,9,9,4,2,3,6,142,82,0,0,3,2,77,0,0,15.6,41,1,1,3,3,4,0,0,3.66,2.44,93.9,0,0,5.26,30,PASQUOTANK,,,,,,,,
A1502672,ALEXANDER YOUTH NETWORK,3,13,6220 THERMAL RD,CHARLOTTE,37119,119,NC,37,28211,7043628472,253,5.83,Yes,,,1,4,4,6,5,4,3,3,1,,,,,31,31,0,0,2,10,16,0,3,4,11,1,6,1,3,1,0,0,6.45,32.26,51.61,0,9.68,7.75,30,MECKLENBURG,Other special emphasis association(s),,,,,,,
