Utah
National Center for Education Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSS Private School Universe Survey data 2015-2016 school year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The file contains (122) records based on your search.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user. For more information about this data, visit the PSS homepage. http://nces.ed.gov/surveys/pss",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSS_SCHOOL_ID,PSS_INST,LoGrade,HiGrade,PSS_ADDRESS,PSS_CITY,PSS_COUNTY_NO,PSS_COUNTY_FIPS,PSS_STABB,PSS_FIPS,PSS_ZIP5,PSS_PHONE,PSS_SCH_DAYS,PSS_STU_DAY_HRS,PSS_LIBRARY,PSS_ENROLL_UG,PSS_ENROLL_PK,PSS_ENROLL_K,PSS_ENROLL_1,PSS_ENROLL_2,PSS_ENROLL_3,PSS_ENROLL_4,PSS_ENROLL_5,PSS_ENROLL_6,PSS_ENROLL_7,PSS_ENROLL_8,PSS_ENROLL_9,PSS_ENROLL_10,PSS_ENROLL_11,PSS_ENROLL_12,PSS_ENROLL_T,PSS_ENROLL_TK12,PSS_RACE_AI,PSS_RACE_AS,PSS_RACE_H,PSS_RACE_B,PSS_RACE_W,PSS_RACE_P,PSS_RACE_2,PSS_FTE_TEACH,PSS_LOCALE,PSS_COED,PSS_TYPE,PSS_LEVEL,PSS_RELIG,PSS_COMM_TYPE,PSS_INDIAN_PCT,PSS_ASIAN_PCT,PSS_HISP_PCT,PSS_BLACK_PCT,PSS_WHITE_PCT,P_PACISL_PCT,P_TWOMORE_PCT,PSS_STDTCH_RT,PSS_ORIENT,PSS_COUNTY_NAME,PSS_ASSOC_1,PSS_ASSOC_2,PSS_ASSOC_3,PSS_ASSOC_4,PSS_ASSOC_5,PSS_ASSOC_6,PSS_ASSOC_7,PSS_ASSOC_8
A0702313,ALPINE ACADEMY,13,17,1280 WHISPERING HORSE DR,ERDA,49045,045,UT,49,84074,4352280100,210,6.67,Yes,,,,,,,,,,,3,10,16,16,15,60,60,0,1,3,2,48,0,6,9.3,41,2,4,2,3,4,0,1.67,5,3.33,80,0,10,6.45,30,TOOELE,National Association of Private Special Education Centers (NAPSEC),Other school association(s),,,,,,
A1503851,ALPINE ACADEMY,13,17,1280 WHISPERING HORSE DRIVE,URDA,49045,045,UT,49,84074,8002441113,210,6.67,Yes,,,,,,,,,,,4,12,15,15,20,66,66,,,,,,,,11.5,41,2,4,2,3,4,,,,,,,,5.74,30,TOOELE,Other school association(s),,,,,,,
A0702296,AMERICAN HERITAGE OF SOUTH JORDAN,2,17,11100 S REDWOOD RD,SOUTH JORDAN,49035,035,UT,49,84095,8012543882,180,6.5,Yes,,42,34,22,20,22,10,15,20,18,19,27,15,21,23,308,266,0,48,17,6,169,7,19,29.9,21,1,1,3,2,2,0,18.05,6.39,2.26,63.53,2.63,7.14,8.9,19,SALT LAKE,This school does not belong to ANY associations or organizations,,,,,,,
A0702295,AMERICAN HERITAGE SCHOOL,3,17,736 N 1100 E,AMERICAN FORK,49049,049,UT,49,84003,8016420055,165,7,Yes,,,60,66,75,75,75,75,81,60,60,50,47,45,40,809,809,0,31,26,21,726,5,0,60.6,21,1,1,3,2,2,0,3.83,3.21,2.6,89.74,0.62,0,13.35,19,UTAH,Other religious school association(s),,,,,,,
01616006,ANCHOR CHRISTIAN ACADEMY,6,17,1880 E 5600 S,SALT LAKE CITY,49035,035,UT,49,84121,8012729405,180,6.75,Yes,,,,2,,1,1,3,2,1,1,,2,2,3,18,18,,,,,,,,4,21,1,1,3,2,2,,,,,,,,4.5,5,SALT LAKE,Accelerated Christian Education (ACE) or (School of Tomorrow),,,,,,,
A1503854,ARCHES ACADEMY,2,14,280 S 400 E,OREM,49049,049,UT,49,84097,8013745480,180,7,Yes,,10,9,8,7,5,5,10,6,12,14,5,,,,91,81,0,2,0,2,75,2,0,6.8,13,1,1,3,3,1,0,2.47,0,2.47,92.59,2.47,0,11.91,30,UTAH,This school does not belong to ANY associations or organizations,,,,,,,
A1503855,ASHCREEK RANCH ACADEMY,14,17,PO BOX 39,TOQUERVILLE,49053,053,UT,49,84774,4352150500,230,,No,,,,,,,,,,,,9,5,6,3,23,23,2,0,1,2,16,0,2,3.8,41,3,1,2,3,4,8.7,0,4.35,8.7,69.57,0,8.7,6.05,30,WASHINGTON,This school does not belong to ANY associations or organizations,,,,,,,
A1592205,ASHCREEK RANCH ACADEMY,14,17,P. O. BOX 39,TOQUERVILLE,49053,053,UT,49,84774,4352150500,240,7.5,Yes,,,,,,,,,,,,5,8,4,2,19,19,0,0,2,1,16,0,0,5,41,3,1,2,3,4,0,0,10.53,5.26,84.21,0,0,3.8,30,WASHINGTON,Other school association(s),,,,,,,
A0771889,BELL CANYON MONTESSORI SCHOOL,2,10,1690 E 11400 S,SANDY,49035,035,UT,49,84092,8015711515,178,7.25,Yes,,47,15,15,6,3,2,2,,,,,,,,90,43,0,4,4,5,29,1,0,4.5,21,1,2,1,3,2,0,9.3,9.3,11.63,67.44,2.33,0,9.56,30,SALT LAKE,This school does not belong to ANY associations or organizations,,,,,,,
A9304095,BENCHMARK SCHOOL,12,17,592 W 1350 S,WOODS CROSS,49011,011,UT,49,84010,8012995334,255,7.42,Yes,,,,,,,,,,7,13,21,17,9,15,82,82,12,0,8,15,45,1,1,7,21,3,4,2,3,2,14.63,0,9.76,18.29,54.88,1.22,1.22,11.71,30,DAVIS,This school does not belong to ANY associations or organizations,,,,,,,
A1371483,BENNION LEARNING CENTER,3,3,3337 W 6200 S,TAYLORSVILLE,49035,035,UT,49,84129,8019651216,182,6,Yes,,,18,,,,,,,,,,,,,18,18,1,0,3,1,13,0,0,1.6,21,1,7,1,3,2,5.56,0,16.67,5.56,72.22,0,0,11.25,30,SALT LAKE,National Association for the Education of Young Children (NAEYC),Other special emphasis association(s),,,,,,
02063036,BEREAN BAPTIST ACADEMY,3,16,3846 JACKSON AVE,OGDEN,49057,057,UT,49,84403,8013993855,180,6,Yes,,,3,2,4,3,,1,,2,,2,1,1,,19,19,0,0,4,0,15,0,0,4,13,1,1,3,2,1,0,0,21.05,0,78.95,0,0,4.75,5,WEBER,This school does not belong to ANY associations or organizations,,,,,,,
02163857,BLESSED SACRAMENT SCHOOL,2,13,1745 E 9800 S,SANDY,49035,035,UT,49,84092,8015725311,180,7,Yes,23,27,30,15,24,31,26,31,24,20,19,,,,,270,243,0,10,34,5,193,1,0,25.6,21,1,1,1,1,2,0,4.12,13.99,2.06,79.42,0.41,0,9.49,1,SALT LAKE,National Catholic Educational Association (NCEA),,,,,,,
A0971657,BUSY BEE'S PLAYHOUSE,2,3,2700 W 5600 S,ROY,49057,057,UT,49,84067,8017284234,180,6,No,,115,15,,,,,,,,,,,,,130,15,0,0,0,0,14,0,1,2,21,1,7,1,3,2,0,0,0,0,93.33,0,6.67,7.5,30,WEBER,This school does not belong to ANY associations or organizations,,,,,,,
A9704547,BUTTONS N BOWS,2,3,2600 E 3900 S,SALT LAKE CITY,49035,035,UT,49,84124,8012788223,185,5.5,Yes,,10,12,,,,,,,,,,,,,22,12,0,1,2,2,7,0,0,1,21,1,7,1,3,2,0,8.33,16.67,16.67,58.33,0,0,12,30,SALT LAKE,This school does not belong to ANY associations or organizations,,,,,,,
01413017,CARDEN MEMORIAL SCHOOL,2,13,1452 E 2700 S,SALT LAKE CITY,49035,035,UT,49,84106,8014864895,160,7,Yes,,18,32,46,40,37,42,44,44,32,20,,,,,355,337,0,5,13,4,311,4,0,27.3,12,1,1,1,2,1,0,1.48,3.86,1.19,92.28,1.19,0,12.34,8,SALT LAKE,This school does not belong to ANY associations or organizations,,,,,,,
A1102235,CARMEN B PINGREE CENTER,2,17,780 S GUARDSMAN WAY,SALT LAKE CITY,49035,035,UT,49,84108,8015810194,184,7,Yes,,80,23,14,8,11,5,6,1,3,2,2,2,1,1,159,79,0,2,20,2,54,1,0,8,12,1,4,3,3,1,0,2.53,25.32,2.53,68.35,1.27,0,9.88,30,SALT LAKE,This school does not belong to ANY associations or organizations,,,,,,,
A1102236,CASCADE MOUNTAIN HIGH SCHOOL,12,17,1790 N STATE ST,OREM,49049,049,UT,49,84057,8012248255,240,3,Yes,,,,,,,,,,1,1,2,3,3,1,11,11,0,0,1,0,10,0,0,5.1,13,2,3,2,3,1,0,0,9.09,0,90.91,0,0,2.16,30,UTAH,Other school association(s),,,,,,,
A1102237,CATALYST PREPARATORY ACADEMY,14,17,970 S 1025 W,BRIGHAM CITY,49003,003,UT,49,84302,4357234600,250,6.5,No,,,,,,,,,,,,2,8,16,13,39,39,0,0,1,0,38,0,0,2.8,21,3,6,2,3,2,0,0,2.56,0,97.44,0,0,13.93,30,BOX ELDER,Other school association(s),,,,,,,
A1102238,CEDAR RIDGE ACADEMY,11,17,4270 W 5625 N,ROOSEVELT,49013,013,UT,49,84066,4353534498,230,6,Yes,,,,,,,,,3,4,4,7,8,6,4,36,36,0,2,7,2,23,0,2,4,42,1,6,3,3,4,0,5.56,19.44,5.56,63.89,0,5.56,9,30,DUCHESNE,This school does not belong to ANY associations or organizations,,,,,,,
A9106549,CHILDRENS CLASSIC,2,3,160 9TH ST,OGDEN,49057,057,UT,49,84404,8013994446,178,6,No,,158,20,,,,,,,,,,,,,178,20,0,0,3,3,12,0,2,1.1,13,1,7,1,3,1,0,0,15,15,60,0,10,18.18,30,WEBER,National Association for the Education of Young Children (NAEYC),,,,,,,
A9304205,CHILDRENS CLASSIC #2,2,3,5820 WASATCH DR,SOUTH OGDEN,49057,057,UT,49,84403,8014790400,109,6,No,,120,20,,,,,,,,,,,,,140,20,0,0,1,1,18,0,0,1,21,1,7,1,3,2,0,0,5,5,90,0,0,20,30,WEBER,National Association for the Education of Young Children (NAEYC),,,,,,,
01412986,CHRIST LUTHERAN SCHOOL,2,13,240 E 5600 S,MURRAY,49035,035,UT,49,84107,8012668714,180,6.75,Yes,,23,8,14,12,8,5,6,8,3,3,,,,,90,67,0,1,3,1,59,2,1,6.5,21,1,1,1,2,2,0,1.49,4.48,1.49,88.06,2.99,1.49,10.31,20,SALT LAKE,This school does not belong to ANY associations or organizations,,,,,,,
A0971660,CREEKSIDE KIDS ACADEMY,2,4,2740 RASMUSSEN RD,PARK CITY,49043,043,UT,49,84098,4356550195,181,8,Yes,,60,16,,,,,,,,,,,,,76,16,0,0,2,0,14,0,0,2.6,41,1,7,1,3,4,0,0,12.5,0,87.5,0,0,6.15,30,SUMMIT,National Association for the Education of Young Children (NAEYC),Other school association(s),,,,,,
A0771892,DANCING MOOSE MONTESSORI SCHOOL,2,8,4428 W LINKS DR,WEST VALLEY CITY,49035,035,UT,49,84120,8019680100,218,7,Yes,,185,20,20,20,15,,,,,,,,,,260,75,0,4,28,4,35,4,0,8,21,1,2,1,3,2,0,5.33,37.33,5.33,46.67,5.33,0,9.38,30,SALT LAKE,American Montessori Society (AMS),Association Montessori International,National Association for the Education of Young Children (NAEYC),,,,,
A1303517,DANIELS ACADEMY,14,17,PO BOX 451,HEBER CITY,49051,051,UT,49,84032,4357097050,180,7,No,,,,,,,,,,,,6,6,6,6,24,24,0,2,0,0,22,0,0,4,32,3,4,2,3,3,0,8.33,0,0,91.67,0,0,6,30,WASATCH,Other association(s) for exceptional children,,,,,,,
A9106547,DAYSTAR ADVENTIST ACADEMY,14,17,HC 64 BOX 2201,CASTLE VALLEY,49019,019,UT,49,84532,4352597719,,6,Yes,,,,,,,,,,,,6,4,4,9,23,23,,,,,,,,3,42,1,1,2,2,4,,,,,,,,7.67,28,GRAND,General Conference of the Seventh-Day Adventist Church (GCSDAC),,,,,,,
01413028,DEAMUDE ADVENTIST CHRISTIAN SCHOOL,3,13,1765 W 2100 S,WEST HAVEN,49057,057,UT,49,84401,8017313140,181,6.5,Yes,,,1,3,3,1,2,1,2,,3,,,,,16,16,0,0,6,1,9,0,0,1,21,1,1,1,2,2,0,0,37.5,6.25,56.25,0,0,16,28,WEBER,Other religious school association(s),,,,,,,
A0702299,DIAMOND RANCH ACADEMY,11,17,433 S DIAMOND RANCH PKWY W,HURRICANE,49053,053,UT,49,84737,4356354297,240,7,Yes,,,,,,,,,2,8,20,25,25,25,25,130,130,2,3,6,15,100,2,2,8,41,1,6,3,3,4,1.54,2.31,4.62,11.54,76.92,1.54,1.54,16.25,30,WASHINGTON,Other special emphasis association(s),Other school association(s),,,,,,
A9106550,DISCOVERY ACADEMY,13,17,105 N 500 W,PROVO,49049,049,UT,49,84601,8013742121,221,6.58,Yes,,,,,,,,,,,2,12,18,23,12,67,67,0,1,10,2,51,0,3,7.9,12,1,4,2,3,1,0,1.49,14.93,2.99,76.12,0,4.48,8.48,30,UTAH,Other school association(s),,,,,,,
A1503867,ELIZABETH ACADEMY,2,13,2870 S CONNOR ST,SALT LAKE CITY,49035,035,UT,49,84109,8012814848,168,7,Yes,,70,18,27,26,20,13,19,9,4,1,,,,,207,137,0,3,8,3,123,0,0,29.3,21,1,2,1,3,2,0,2.19,5.84,2.19,89.78,0,0,4.68,30,SALT LAKE,American Montessori Society (AMS),,,,,,,
A1303531,EVOKE THERAPY PROGRAMS,1,1,2711 SANTA CLARA DR STE 400,SANTA CLARA,49053,053,UT,49,84765,4356749310,220,1,No,17,,,,,,,,,,,,,,,17,17,0,0,1,10,6,0,0,0.5,23,1,6,3,3,2,0,0,5.88,58.82,35.29,0,0,34,30,WASHINGTON,Other school association(s),,,,,,,
A0503508,FAITH BAPTIST ACADEMY,2,11,2430 N FAIRFIELD RD,LAYTON,49011,011,UT,49,84041,8017710308,180,6.5,Yes,,9,5,5,7,2,2,5,2,,,,,,,37,28,0,0,3,0,25,0,0,5,21,1,1,1,3,2,0,0,10.71,0,89.29,0,0,5.6,30,DAVIS,This school does not belong to ANY associations or organizations,,,,,,,
A1102232,FERNWOOD ACADEMY,13,17,1904 W GORDON AVE,LAYTON,49011,011,UT,49,84041,8014440794,200,4.5,Yes,,,,,,,,,,,1,3,7,15,6,32,32,0,3,2,2,19,1,5,5.3,21,2,6,2,3,2,0,9.38,6.25,6.25,59.38,3.13,15.63,6.04,30,DAVIS,Other special emphasis association(s),,,,,,,
A1102243,FIELDSTONE ACADEMY,11,17,447 MEADOW CIR,RICHFIELD,49039,039,UT,49,84701,4356335326,200,5.5,Yes,,,,,,,,,1,1,,2,,1,2,7,7,0,2,0,0,4,0,1,2.9,41,1,4,3,3,4,0,28.57,0,0,57.14,0,14.29,2.41,30,SEVIER,Other school association(s),,,,,,,
A0971662,FIRST STEPS,2,3,1076 IRONWOOD RD,ERDA,49035,035,UT,49,84074,8015386996,120,6,No,,42,18,,,,,,,,,,,,,60,18,0,1,4,3,10,0,0,1.1,12,1,7,1,3,1,0,5.56,22.22,16.67,55.56,0,0,16.36,30,SALT LAKE,This school does not belong to ANY associations or organizations,,,,,,,
A0702302,GATEWAY ACADEMY,14,17,11706 S 700 E,DRAPER,49035,035,UT,49,84020,8015233479,180,6.5,Yes,,,,,,,,,,,,8,8,8,8,32,32,0,2,2,0,28,0,0,7.6,21,3,6,2,3,2,0,6.25,6.25,0,87.5,0,0,4.21,30,SALT LAKE,Other school association(s),,,,,,,
A0702305,HIGH TOP RANCH SCHOOL,9,14,PO BOX 440029,KOOSHAREM,49041,041,UT,49,84744,4356387411,180,7,Yes,,,,,,,3,3,2,4,3,1,,,,16,16,0,0,1,2,13,0,0,2,43,3,6,3,3,4,0,0,6.25,12.5,81.25,0,0,8,30,SEVIER,This school does not belong to ANY associations or organizations,,,,,,,
A0509170,HILLTOP CHRISTIAN SCHOOL,2,6,985 E 10600 S,SANDY,49035,035,UT,49,84094,8015761390,170,6.5,No,,67,12,3,,,,,,,,,,,,82,15,0,0,0,1,14,0,0,1.6,21,1,7,1,2,2,0,0,0,6.67,93.33,0,0,9.38,8,SALT LAKE,National Association for the Education of Young Children (NAEYC),,,,,,,
A1102245,I. J. AND JEANNE WAGNER JCC EARLY CHILDHOOD CENTER,2,3,2 N MEDICAL DR,SALT LAKE CITY,49035,035,UT,49,84113,8015810097,180,10,Yes,,192,13,,,,,,,,,,,,,205,13,0,1,1,0,11,0,0,2,12,1,7,1,3,1,0,7.69,7.69,0,84.62,0,0,6.5,30,SALT LAKE,National Association for the Education of Young Children (NAEYC),,,,,,,
