North Dakota
National Center for Education Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSS Private School Universe Survey data 2015-2016 school year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The file contains (40) records based on your search.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user. For more information about this data, visit the PSS homepage. http://nces.ed.gov/surveys/pss",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSS_SCHOOL_ID,PSS_INST,LoGrade,HiGrade,PSS_ADDRESS,PSS_CITY,PSS_COUNTY_NO,PSS_COUNTY_FIPS,PSS_STABB,PSS_FIPS,PSS_ZIP5,PSS_PHONE,PSS_SCH_DAYS,PSS_STU_DAY_HRS,PSS_LIBRARY,PSS_ENROLL_UG,PSS_ENROLL_PK,PSS_ENROLL_K,PSS_ENROLL_1,PSS_ENROLL_2,PSS_ENROLL_3,PSS_ENROLL_4,PSS_ENROLL_5,PSS_ENROLL_6,PSS_ENROLL_7,PSS_ENROLL_8,PSS_ENROLL_9,PSS_ENROLL_10,PSS_ENROLL_11,PSS_ENROLL_12,PSS_ENROLL_T,PSS_ENROLL_TK12,PSS_RACE_AI,PSS_RACE_AS,PSS_RACE_H,PSS_RACE_B,PSS_RACE_W,PSS_RACE_P,PSS_RACE_2,PSS_FTE_TEACH,PSS_LOCALE,PSS_COED,PSS_TYPE,PSS_LEVEL,PSS_RELIG,PSS_COMM_TYPE,PSS_INDIAN_PCT,PSS_ASIAN_PCT,PSS_HISP_PCT,PSS_BLACK_PCT,PSS_WHITE_PCT,P_PACISL_PCT,P_TWOMORE_PCT,PSS_STDTCH_RT,PSS_ORIENT,PSS_COUNTY_NAME,PSS_ASSOC_1,PSS_ASSOC_2,PSS_ASSOC_3,PSS_ASSOC_4,PSS_ASSOC_5,PSS_ASSOC_6,PSS_ASSOC_7,PSS_ASSOC_8
AA000011,ACADEMY FOR CHILDREN,2,3,20 8TH ST S,FARGO,38017,017,ND,38,58103,7012800718,176,6,No,,46,4,,,,,,,,,,,,,50,4,1,0,0,0,2,0,1,1.4,12,1,2,1,3,1,25,0,0,0,50,0,25,2.86,30,CASS,This school does not belong to ANY associations or organizations,,,,,,,
01042979,ANNE CARLSEN CENTER,2,17,PO BOX 8000,JAMESTOWN,38093,093,ND,38,58402,7012523850,175,7,Yes,,4,2,4,2,4,3,3,4,1,6,4,2,5,9,53,49,13,0,0,0,36,0,0,17,33,1,4,3,3,3,26.53,0,0,0,73.47,0,0,2.88,30,STUTSMAN,National Association for the Education of Young Children (NAEYC),,,,,,,
01042709,BISHOP RYAN HIGH SCHOOL,2,17,316 11TH AVE NW,MINOT,38101,101,ND,38,58703,7018524004,175,7,Yes,,105,51,22,17,28,23,19,25,28,27,25,25,27,23,445,340,6,7,8,16,282,0,21,39.4,33,1,1,3,1,3,1.76,2.06,2.35,4.71,82.94,0,6.18,8.63,1,WARD,National Catholic Educational Association (NCEA),,,,,,,
02049099,BRENTWOOD ADVENTIST CHRISTIAN SCHOOL,6,13,9111 WENTWORTH DR,BISMARCK,38015,015,ND,38,58503,7012581579,178,6.75,Yes,,,,2,1,1,1,,1,1,1,,,,,8,8,0,0,0,0,8,0,0,2,41,1,1,1,2,4,0,0,0,0,100,0,0,4,28,BURLEIGH,General Conference of the Seventh-Day Adventist Church (GCSDAC),,,,,,,
01042673,CATHEDRAL OF THE HOLY SPIRIT SCHOOL,2,11,508 RAYMOND ST,BISMARCK,38015,015,ND,38,58501,7012235484,175,7.25,Yes,,40,38,19,30,25,34,37,32,,,,,,,255,215,2,2,2,0,209,0,0,18,13,1,1,1,1,1,0.93,0.93,0.93,0,97.21,0,0,11.94,1,BURLEIGH,Other school association(s),,,,,,,
01042607,CHRIST THE KING ELEMENTARY SCHOOL,2,11,505 10TH AVE NW,MANDAN,38059,059,ND,38,58554,7016636200,177,6.5,Yes,,29,12,8,10,5,10,6,8,,,,,,,88,59,0,0,1,0,58,0,0,7.4,23,1,1,1,1,2,0,0,1.69,0,98.31,0,0,7.97,1,MORTON,National Catholic Educational Association (NCEA),,,,,,,
01043167,DAKOTA ADVENTIST ACADEMY,14,17,15905 SHEYENNE CIR,BISMARCK,38015,015,ND,38,58503,7012589000,178,8,Yes,,,,,,,,,,,,10,12,14,11,47,47,0,7,0,2,30,1,7,7.4,42,1,1,2,2,4,0,14.89,0,4.26,63.83,2.13,14.89,6.35,28,BURLEIGH,General Conference of the Seventh-Day Adventist Church (GCSDAC),,,,,,,
02049157,DAKOTA MEMORIAL HIGH SCHOOL,9,17,PO BOX 5007,MINOT,38101,101,ND,38,58702,7018574211,175,6.5,Yes,,,,,,,2,2,2,8,10,10,14,10,6,64,64,15,0,2,2,45,0,0,17.1,41,1,6,3,2,4,23.44,0,3.13,3.13,70.31,0,0,3.74,21,WARD,Evangelical Lutheran Education Association (ELEA),,,,,,,
A1502780,DAKOTA MEMORIAL SCHOOL- BISMARCK,13,17,1227 N 35TH ST,BISMARCK,38015,015,ND,38,58501,7012215310,,6.5,Yes,,,,,,,,,,,2,6,3,4,2,17,17,4,0,0,2,11,0,0,5,13,1,6,2,2,1,23.53,0,0,11.76,64.71,0,0,3.4,20,BURLEIGH,Evangelical Lutheran Education Association (ELEA),,,,,,,
A0902554,FOREST RIVER SCHOOL,3,17,4068 35TH AVE NE,FORDVILLE,38035,035,ND,38,58231,7018654294,175,5.5,Yes,,,4,,3,2,,2,2,,2,1,2,,3,21,21,0,0,0,0,21,0,0,2.4,43,1,6,3,2,4,0,0,0,0,100,0,0,8.75,6,GRAND FORKS,This school does not belong to ANY associations or organizations,,,,,,,
