Oklahoma
National Center for Education Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSS Private School Universe Survey data 2015-2016 school year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The file contains (124) records based on your search.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user. For more information about this data, visit the PSS homepage. http://nces.ed.gov/surveys/pss",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSS_SCHOOL_ID,PSS_INST,LoGrade,HiGrade,PSS_ADDRESS,PSS_CITY,PSS_COUNTY_NO,PSS_COUNTY_FIPS,PSS_STABB,PSS_FIPS,PSS_ZIP5,PSS_PHONE,PSS_SCH_DAYS,PSS_STU_DAY_HRS,PSS_LIBRARY,PSS_ENROLL_UG,PSS_ENROLL_PK,PSS_ENROLL_K,PSS_ENROLL_1,PSS_ENROLL_2,PSS_ENROLL_3,PSS_ENROLL_4,PSS_ENROLL_5,PSS_ENROLL_6,PSS_ENROLL_7,PSS_ENROLL_8,PSS_ENROLL_9,PSS_ENROLL_10,PSS_ENROLL_11,PSS_ENROLL_12,PSS_ENROLL_T,PSS_ENROLL_TK12,PSS_RACE_AI,PSS_RACE_AS,PSS_RACE_H,PSS_RACE_B,PSS_RACE_W,PSS_RACE_P,PSS_RACE_2,PSS_FTE_TEACH,PSS_LOCALE,PSS_COED,PSS_TYPE,PSS_LEVEL,PSS_RELIG,PSS_COMM_TYPE,PSS_INDIAN_PCT,PSS_ASIAN_PCT,PSS_HISP_PCT,PSS_BLACK_PCT,PSS_WHITE_PCT,P_PACISL_PCT,P_TWOMORE_PCT,PSS_STDTCH_RT,PSS_ORIENT,PSS_COUNTY_NAME,PSS_ASSOC_1,PSS_ASSOC_2,PSS_ASSOC_3,PSS_ASSOC_4,PSS_ASSOC_5,PSS_ASSOC_6,PSS_ASSOC_7,PSS_ASSOC_8
01128121,ALL SAINTS CATHOLIC SCHOOL,2,13,299 S 9TH ST,BROKEN ARROW,40143,143,OK,40,74012,9182513000,180,7,Yes,47,34,88,44,32,46,43,36,43,44,30,,,,,,453,31,14,57,4,320,1,26,33.3,21,1,,1,1,2,6.84,3.09,12.58,0.88,70.64,0.22,5.74,13.6,1,TULSA,National Catholic Educational Association (NCEA),,,,,,,
A9702702,ALL SAINTS CATHOLIC SCHOOL,2,13,4001 36TH AVE NW,NORMAN,40027,027,OK,40,73072,4054474600,175,7,Yes,,23,51,41,40,40,40,40,45,32,29,,,,,381,358,41,42,16,6,240,3,10,25.6,41,1,1,1,1,4,11.45,11.73,4.47,1.68,67.04,0.84,2.79,13.98,1,CLEVELAND,National Catholic Educational Association (NCEA),,,,,,,
A0902614,ALTUS CHRISTIAN ACADEMY,2,11,PO BOX 393,ALTUS,40065,065,OK,40,73522,5804772511,180,7.25,Yes,,64,19,13,14,12,9,11,3,,,,,,,145,81,2,4,9,2,58,0,6,2.5,33,1,1,1,2,3,2.47,4.94,11.11,2.47,71.6,0,7.41,32.4,8,JACKSON,Association of Christian Schools International (ACSI),,,,,,,
A9702704,ANTIOCH CHRISTIAN ACADEMY,3,13,3616 SW 119TH ST,OKLAHOMA CITY,40027,027,OK,40,73170,4056918012,185,6.5,Yes,,,21,28,8,12,5,4,3,4,3,,,,,88,88,0,0,2,8,78,0,0,11.6,11,1,1,1,2,1,0,0,2.27,9.09,88.64,0,0,7.59,8,CLEVELAND,Association of Christian Schools International (ACSI),,,,,,,
01128609,ARDMORE ADVENTIST ACADEMY,3,13,154 BEAVER ACADEMY RD,ARDMORE,40019,019,OK,40,73401,5802234948,180,7,Yes,,,3,2,1,1,2,,2,3,1,,,,,15,15,0,1,2,0,12,0,0,2,41,1,1,1,2,4,0,6.67,13.33,0,80,0,0,7.5,28,CARTER,This school does not belong to ANY associations or organizations,,,,,,,
01127875,BISHOP JOHN CARROLL SCHOOL,2,13,1100 NW 32ND ST,OKLAHOMA CITY,40109,109,OK,40,73118,4055250956,175,7.17,Yes,,24,17,22,23,25,21,22,23,24,20,,,,,221,197,5,71,13,14,76,0,18,11.6,11,1,1,1,1,1,2.54,36.04,6.6,7.11,38.58,0,9.14,16.98,1,OKLAHOMA,National Catholic Educational Association (NCEA),,,,,,,
01127911,BISHOP MCGUINNESS CATHOLIC HIGH SCHOOL,14,17,801 NW 50TH ST,OKLAHOMA CITY,40109,109,OK,40,73118,4058426638,179,6.75,Yes,,,,,,,,,,,,167,185,201,156,709,709,31,36,54,15,546,2,25,65.6,11,1,1,2,1,1,4.37,5.08,7.62,2.12,77.01,0.28,3.53,10.81,1,OKLAHOMA,National Catholic Educational Association (NCEA),,,,,,,
A9105283,BLVD CHRISTIAN SCHOOL,6,17,1700 W SHAWNEE ST,MUSKOGEE,40101,101,OK,40,74401,9186820521,180,7,Yes,6,,,4,1,3,4,5,3,6,7,3,11,4,5,62,62,0,0,0,6,28,0,28,10.4,41,1,1,3,2,4,0,0,0,9.68,45.16,0,45.16,5.96,8,MUSKOGEE,This school does not belong to ANY associations or organizations,,,,,,,
01128631,BRISTOW ADVENTIST SCHOOL,3,14,PO BOX 1074,BRISTOW,40037,037,OK,40,74010,9183676782,180,6,Yes,,,1,2,1,3,,3,3,3,1,1,,,,18,18,0,0,0,2,12,0,4,2,41,1,1,3,2,4,0,0,0,11.11,66.67,0,22.22,9,28,CREEK,General Conference of the Seventh-Day Adventist Church (GCSDAC),,,,,,,
01128008,CASCIA HALL PREPARATORY SCHOOL,11,17,2520 S YORKTOWN AVE,TULSA,40143,143,OK,40,74114,9187462600,180,7,Yes,,,,,,,,,56,72,56,105,76,78,86,529,529,36,20,42,21,405,2,3,47.3,11,1,1,3,1,1,6.81,3.78,7.94,3.97,76.56,0.38,0.57,11.18,1,TULSA,National Catholic Educational Association (NCEA),Other school association(s),,,,,,
