Louisiana
National Center for Education Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSS Private School Universe Survey data 2015-2016 school year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The file contains (302) records based on your search.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user. For more information about this data, visit the PSS homepage. http://nces.ed.gov/surveys/pss",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSS_SCHOOL_ID,PSS_INST,LoGrade,HiGrade,PSS_ADDRESS,PSS_CITY,PSS_COUNTY_NO,PSS_COUNTY_FIPS,PSS_STABB,PSS_FIPS,PSS_ZIP5,PSS_PHONE,PSS_SCH_DAYS,PSS_STU_DAY_HRS,PSS_LIBRARY,PSS_ENROLL_UG,PSS_ENROLL_PK,PSS_ENROLL_K,PSS_ENROLL_1,PSS_ENROLL_2,PSS_ENROLL_3,PSS_ENROLL_4,PSS_ENROLL_5,PSS_ENROLL_6,PSS_ENROLL_7,PSS_ENROLL_8,PSS_ENROLL_9,PSS_ENROLL_10,PSS_ENROLL_11,PSS_ENROLL_12,PSS_ENROLL_T,PSS_ENROLL_TK12,PSS_RACE_AI,PSS_RACE_AS,PSS_RACE_H,PSS_RACE_B,PSS_RACE_W,PSS_RACE_P,PSS_RACE_2,PSS_FTE_TEACH,PSS_LOCALE,PSS_COED,PSS_TYPE,PSS_LEVEL,PSS_RELIG,PSS_COMM_TYPE,PSS_INDIAN_PCT,PSS_ASIAN_PCT,PSS_HISP_PCT,PSS_BLACK_PCT,PSS_WHITE_PCT,P_PACISL_PCT,P_TWOMORE_PCT,PSS_STDTCH_RT,PSS_ORIENT,PSS_COUNTY_NAME,PSS_ASSOC_1,PSS_ASSOC_2,PSS_ASSOC_3,PSS_ASSOC_4,PSS_ASSOC_5,PSS_ASSOC_6,PSS_ASSOC_7,PSS_ASSOC_8
A0901570,A DIFFERENT WORLD ACADEMY,4,17,141 BELLEMEADE BLVD,GRETNA,22051,051,LA,22,70056,5043944644,180,7,Yes,,,1,5,5,5,5,5,5,5,5,5,5,5,5,61,61,0,0,1,56,4,0,0,7,21,1,1,3,3,2,0,0,1.64,91.8,6.56,0,0,8.71,30,JEFFERSON,This school does not belong to ANY associations or organizations,,,,,,,
00537168,ACADEMY OF OUR LADY,13,17,5501 WESTBANK EXPY,MARRERO,22051,051,LA,22,70072,5043416217,180,7.33,Yes,,,,,,,,,,,109,113,132,109,95,558,558,0,35,27,85,395,1,15,38.1,21,2,1,2,1,2,0,6.27,4.84,15.23,70.79,0.18,2.69,14.65,1,JEFFERSON,National Catholic Educational Association (NCEA),,,,,,,
00541152,ALEXANDRIA COUNTRY DAY SCHOOL,2,13,5603 BAYOU RAPIDES RD,ALEXANDRIA,22079,079,LA,22,71303,3184481475,170,7,Yes,,65,32,53,38,29,43,44,47,54,46,,,,,451,386,7,21,13,15,325,0,5,28.9,23,1,1,1,3,2,1.81,5.44,3.37,3.89,84.2,0,1.3,13.36,30,RAPIDES,State or regional independent school association,,,,,,,
AA001316,ALFRED BOOKER JUNIOR ACADEMY,6,11,916 RICHMOND DRIVE,ALEXANDRIA,22079,079,LA,22,71307,3184423621,180,6,Yes,11,,,1,5,1,3,,1,,,,,,,22,22,0,0,0,22,0,0,0,2,13,1,1,1,2,1,0,0,0,100,0,0,0,11,28,RAPIDES,General Conference of the Seventh-Day Adventist Church (GCSDAC),,,,,,,
A0701051,AMITE CHRISTIAN SCHOOL,2,12,7100 AMITE CHURCH RD,DENHAM SPRINGS,22063,063,LA,22,70706,2256652060,177,7,No,,100,40,30,30,18,28,15,12,8,,,,,,281,181,0,1,2,2,175,0,1,12,21,1,1,1,2,2,0,0.55,1.1,1.1,96.69,0,0.55,15.08,5,LIVINGSTON,This school does not belong to ANY associations or organizations,,,,,,,
A1501741,ANGLES ACADEMY,2,17,PO BOX 2211,BATON ROUGE,22033,033,LA,22,70821,2259249770,181,7.5,Yes,,3,1,3,5,4,2,6,9,9,3,6,4,6,1,62,59,0,0,0,57,1,0,1,12.1,12,1,1,3,3,1,0,0,0,96.61,1.69,0,1.69,4.88,30,EAST BATON ROUGE,This school does not belong to ANY associations or organizations,,,,,,,
00538015,ANNUNCIATION CATHOLIC SCHOOL,2,12,511 AVENUE C,BOGALUSA,22117,117,LA,22,70427,9857356643,180,7.25,Yes,,24,21,19,17,15,16,7,16,12,,,,,,147,123,0,3,2,5,111,0,2,11.3,32,1,1,1,1,3,0,2.44,1.63,4.07,90.24,0,1.63,10.88,1,WASHINGTON,National Catholic Educational Association (NCEA),Other school association(s),,,,,,
A1501742,APOSTOLIC CHRISTIAN ACADEMY,1,1,PO BOX 370,OPELOUSAS,22097,097,LA,22,70571,3373054893,,7,Yes,90,,,,,,,,,,,,,,,90,90,0,0,16,73,0,0,1,17.3,31,1,2,3,2,3,0,0,17.78,81.11,0,0,1.11,5.2,26,ST. LANDRY,This school does not belong to ANY associations or organizations,,,,,,,
00538183,ARCHBISHOP CHAPELLE HIGH SCHOOL,13,17,8800 VETERANS MEMORIAL BLVD,METAIRIE,22051,051,LA,22,70003,5044673105,178,7.17,Yes,,,,,,,,,,,113,129,151,139,150,682,682,0,11,51,17,603,0,0,41.5,12,2,1,2,1,1,0,1.61,7.48,2.49,88.42,0,0,16.43,1,JEFFERSON,National Catholic Educational Association (NCEA),Other school association(s),,,,,,
A0901571,ARCHBISHOP HANNAN HIGH SCHOOL,13,17,71324 HIGHWAY 1077,COVINGTON,22103,103,LA,22,70433,9852496363,177,7.25,Yes,,,,,,,,,,,104,138,137,102,101,582,582,1,1,21,10,533,0,16,48.5,41,1,1,2,1,4,0.17,0.17,3.61,1.72,91.58,0,2.75,12,1,ST. TAMMANY,National Catholic Educational Association (NCEA),Other school association(s),,,,,,
