Massachusetts
National Center for Education Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSS Private School Universe Survey data 2015-2016 school year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The file contains (544) records based on your search.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user. For more information about this data, visit the PSS homepage. http://nces.ed.gov/surveys/pss",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSS_SCHOOL_ID,PSS_INST,LoGrade,HiGrade,PSS_ADDRESS,PSS_CITY,PSS_COUNTY_NO,PSS_COUNTY_FIPS,PSS_STABB,PSS_FIPS,PSS_ZIP5,PSS_PHONE,PSS_SCH_DAYS,PSS_STU_DAY_HRS,PSS_LIBRARY,PSS_ENROLL_UG,PSS_ENROLL_PK,PSS_ENROLL_K,PSS_ENROLL_1,PSS_ENROLL_2,PSS_ENROLL_3,PSS_ENROLL_4,PSS_ENROLL_5,PSS_ENROLL_6,PSS_ENROLL_7,PSS_ENROLL_8,PSS_ENROLL_9,PSS_ENROLL_10,PSS_ENROLL_11,PSS_ENROLL_12,PSS_ENROLL_T,PSS_ENROLL_TK12,PSS_RACE_AI,PSS_RACE_AS,PSS_RACE_H,PSS_RACE_B,PSS_RACE_W,PSS_RACE_P,PSS_RACE_2,PSS_FTE_TEACH,PSS_LOCALE,PSS_COED,PSS_TYPE,PSS_LEVEL,PSS_RELIG,PSS_COMM_TYPE,PSS_INDIAN_PCT,PSS_ASIAN_PCT,PSS_HISP_PCT,PSS_BLACK_PCT,PSS_WHITE_PCT,P_PACISL_PCT,P_TWOMORE_PCT,PSS_STDTCH_RT,PSS_ORIENT,PSS_COUNTY_NAME,PSS_ASSOC_1,PSS_ASSOC_2,PSS_ASSOC_3,PSS_ASSOC_4,PSS_ASSOC_5,PSS_ASSOC_6,PSS_ASSOC_7,PSS_ASSOC_8
A0701268,ACADEMY HILL SCHOOL,2,13,1190 LIBERTY ST,SPRINGFIELD,25013,013,MA,25,01104,4137880300,170,7,Yes,,8,4,4,14,15,11,14,12,11,10,,,,,103,95,0,2,2,4,86,0,1,14.9,12,1,3,1,3,1,0,2.11,2.11,4.21,90.53,0,1.05,6.38,30,HAMPDEN,Other special emphasis association(s),National Association of Independent Schools (NAIS),State or regional independent school association,,,,,
A1301629,ACERA SCHOOL,3,13,5 LOWELL AVE,WINCHESTER,25017,017,MA,25,01890,7817293489,162,6.25,No,,,5,9,11,16,20,13,18,10,4,,,,,106,106,0,16,3,0,75,0,12,14.6,21,1,3,1,3,2,0,15.09,2.83,0,70.75,0,11.32,7.26,30,MIDDLESEX,,,,,,,,
A9502240,ADAMS MONTESSORI SCHOOL,2,11,310 ADAMS ST,QUINCY,25021,021,MA,25,02169,6177738200,170,7.5,Yes,,67,13,4,11,9,7,3,2,,,,,,,116,49,0,10,3,1,22,0,13,5,21,1,2,1,3,2,0,20.41,6.12,2.04,44.9,0,26.53,9.8,30,NORFOLK,Association Montessori International,Other special emphasis association(s),,,,,,
A0104080,AL-HAMRA ACADEMY,2,13,435 SOUTH ST,SHREWSBURY,25027,027,MA,25,01545,5088457000,174,7.25,Yes,,24,18,19,13,13,16,11,16,8,8,,,,,146,122,0,63,0,7,38,0,14,23.1,21,1,1,1,2,2,0,51.64,0,5.74,31.15,0,11.48,5.28,17,WORCESTER,Islamic School League of America (ISLA),,,,,,,
A0301783,ALHUDA ACADEMY,2,13,PO BOX 4040 T/S,SHREWSBURY,25027,027,MA,25,01545,5088544700,180,7,Yes,,26,13,13,13,14,12,8,6,9,6,,,,,120,94,0,30,5,10,38,0,11,12.5,12,1,1,1,2,1,0,31.91,5.32,10.64,40.43,0,11.7,7.52,17,WORCESTER,Other school association(s),,,,,,,
00601781,ALL SAINTS CATHOLIC SCHOOL,2,13,115 ILLINOIS ST,NEW BEDFORD,25005,005,MA,25,02745,5089953696,180,6.5,Yes,37,37,16,18,18,15,20,12,14,14,22,,,,,223,186,0,4,3,12,164,0,3,9.6,22,1,1,1,1,2,0,2.15,1.61,6.45,88.17,0,1.61,19.38,1,BRISTOL,Accelerated Christian Education (ACE) or (School of Tomorrow),,,,,,,
A0701271,AMEGO,3,17,33 PERRY AVE,ATTLEBORO,25005,005,MA,25,02703,5084556262,245,6,Yes,,,1,,,2,3,4,4,2,4,5,5,6,10,46,46,0,0,4,3,35,2,2,9.9,21,1,4,3,3,2,0,0,8.7,6.52,76.09,4.35,4.35,4.65,30,BRISTOL,National Association of Private Special Education Centers (NAPSEC),Other special emphasis association(s),,,,,,
A9502182,AMHERST MONTESSORI SCHOOL,2,11,27 POMEROY LN,AMHERST,25015,015,MA,25,01002,4132533101,170,7,Yes,,66,5,7,8,3,4,2,4,,,,,,,99,33,0,2,5,1,25,0,0,7,21,1,2,1,3,2,0,6.06,15.15,3.03,75.76,0,0,4.71,30,HAMPSHIRE,American Montessori Society (AMS),,,,,,,
K9302585,ANDOVER SCHOOL OF MONTESSORI,2,13,400 S MAIN ST,ANDOVER,25009,009,MA,25,01810,9784752299,169,7,Yes,,68,25,17,11,12,9,12,8,9,3,,,,,174,106,16,20,1,16,51,2,0,23.1,21,1,2,1,3,2,15.09,18.87,0.94,15.09,48.11,1.89,0,4.59,30,ESSEX,American Montessori Society (AMS),Other Montessori association(s),Other special emphasis association(s),,,,,
02033282,ANTIOCH SCHOOL,2,13,618 ROCK ST,FALL RIVER,25005,005,MA,25,02720,5086736767,180,6.5,Yes,,30,11,11,7,5,7,5,8,2,4,,,,,90,60,0,0,0,1,59,0,0,6.5,21,1,1,1,3,2,0,0,0,1.67,98.33,0,0,9.23,30,BRISTOL,This school does not belong to ANY associations or organizations,,,,,,,
