New Mexico
National Center for Education Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSS Private School Universe Survey data 2015-2016 school year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The file contains (131) records based on your search.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user. For more information about this data, visit the PSS homepage. http://nces.ed.gov/surveys/pss",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSS_SCHOOL_ID,PSS_INST,LoGrade,HiGrade,PSS_ADDRESS,PSS_CITY,PSS_COUNTY_NO,PSS_COUNTY_FIPS,PSS_STABB,PSS_FIPS,PSS_ZIP5,PSS_PHONE,PSS_SCH_DAYS,PSS_STU_DAY_HRS,PSS_LIBRARY,PSS_ENROLL_UG,PSS_ENROLL_PK,PSS_ENROLL_K,PSS_ENROLL_1,PSS_ENROLL_2,PSS_ENROLL_3,PSS_ENROLL_4,PSS_ENROLL_5,PSS_ENROLL_6,PSS_ENROLL_7,PSS_ENROLL_8,PSS_ENROLL_9,PSS_ENROLL_10,PSS_ENROLL_11,PSS_ENROLL_12,PSS_ENROLL_T,PSS_ENROLL_TK12,PSS_RACE_AI,PSS_RACE_AS,PSS_RACE_H,PSS_RACE_B,PSS_RACE_W,PSS_RACE_P,PSS_RACE_2,PSS_FTE_TEACH,PSS_LOCALE,PSS_COED,PSS_TYPE,PSS_LEVEL,PSS_RELIG,PSS_COMM_TYPE,PSS_INDIAN_PCT,PSS_ASIAN_PCT,PSS_HISP_PCT,PSS_BLACK_PCT,PSS_WHITE_PCT,P_PACISL_PCT,P_TWOMORE_PCT,PSS_STDTCH_RT,PSS_ORIENT,PSS_COUNTY_NAME,PSS_ASSOC_1,PSS_ASSOC_2,PSS_ASSOC_3,PSS_ASSOC_4,PSS_ASSOC_5,PSS_ASSOC_6,PSS_ASSOC_7,PSS_ASSOC_8
A9104507,ABUNDANT LIFE CHRISTIAN SCHOOL,2,17,2851 ARENAL RD SW,ALBUQUERQUE,35001,001,NM,35,87121,5058777772,180,7.5,Yes,,4,1,,1,,,4,,3,1,3,2,,1,20,16,0,0,12,0,4,0,0,4.8,11,1,1,3,2,1,0,0,75,0,25,0,0,3.33,24,BERNALILLO,Accelerated Christian Education (ACE) or (School of Tomorrow),,,,,,,
K9303866,ACADEMY MONTESSORI PRESCHOOL,2,3,11216 PHOENIX AVE NE,ALBUQUERQUE,35001,001,NM,35,87112,5052992527,180,6,No,,49,6,,,,,,,,,,,,,55,6,0,2,2,0,2,0,0,3,11,1,7,1,3,1,0,33.33,33.33,0,33.33,0,0,2,30,BERNALILLO,American Montessori Society (AMS),Other Montessori association(s),,,,,,
A0902233,ACTS CHRISTIAN ACADEMY,2,17,2600 SULLIVAN AVE,FARMINGTON,35045,045,NM,35,87401,5053265149,180,7,Yes,,8,4,3,3,2,,4,1,3,6,,,,1,35,27,2,1,5,0,19,0,0,4,13,1,1,3,2,1,7.41,3.7,18.52,0,70.37,0,0,6.75,12,SAN JUAN,This school does not belong to ANY associations or organizations,,,,,,,
A1502400,ADVENTIST ACADEMY OF SANTA FE,3,14,PO BOX 28327,SANTA FE,35049,049,NM,35,87592,5059541845,187,7,No,,,1,5,,1,,,2,2,6,1,,,,18,18,0,0,17,0,1,0,0,2,13,1,1,3,2,1,0,0,94.44,0,5.56,0,0,9,28,SANTA FE,General Conference of the Seventh-Day Adventist Church (GCSDAC),,,,,,,
00909478,ALBUQUERQUE ACADEMY,11,17,6400 WYOMING BLVD NE,ALBUQUERQUE,35001,001,NM,35,87109,5058283207,171,7.5,Yes,,,,,,,,,160,158,145,160,169,160,166,1118,1118,12,120,154,12,557,0,263,130,11,1,1,3,3,1,1.07,10.73,13.77,1.07,49.82,0,23.52,8.6,30,BERNALILLO,National Association of Independent Schools (NAIS),State or regional independent school association,,,,,,
A9104511,ALBUQUERQUE CHRISTIAN SCHOOL,2,13,7201B MONTGOMERY BLVD NE,ALBUQUERQUE,35001,001,NM,35,87109,5058720777,180,7,Yes,,20,13,21,14,18,14,14,6,11,9,,,,,140,120,0,5,45,8,60,2,0,13.3,11,1,1,1,2,1,0,4.17,37.5,6.67,50,1.67,0,9.02,9,BERNALILLO,Association of Christian Schools International (ACSI),,,,,,,
A0307779,ALL SAINTS CATHOLIC SCHOOL,2,13,2700 N KENTUCKY AVE,ROSWELL,35005,005,NM,35,88201,5756275744,180,7,Yes,,25,12,14,11,7,6,6,4,2,2,,,,,89,64,0,3,34,0,27,0,0,6,33,1,1,1,1,3,0,4.69,53.13,0,42.19,0,0,10.67,1,CHAVES,Other school association(s),,,,,,,
00909128,ANNUNCIATION CATHOLIC SCHOOLNTARY SCHOOL,2,13,2610 UTAH ST NE,ALBUQUERQUE,35001,001,NM,35,87110,5052996783,180,7.25,Yes,,16,45,43,39,50,43,38,52,51,40,,,,,417,401,0,26,173,4,193,0,5,32,11,1,1,1,1,1,0,6.48,43.14,1,48.13,0,1.25,12.53,1,BERNALILLO,National Catholic Educational Association (NCEA),,,,,,,
A0107351,APOSTOLIC PRAISE CHRISTIAN ACADEMY,2,15,PO BOX 206,DIXON,35039,039,NM,35,87527,5055794487,174,7.5,Yes,,1,,,,,,,,,,,2,,,3,2,0,0,2,0,0,0,0,2,42,1,1,2,2,4,0,0,100,0,0,0,0,1,26,RIO ARRIBA,Association of Christian Teachers and Schools (ACTS),,,,,,,
A1371363,BILINGUAL MONTESSORI SCHOOL,2,3,115 LONGVIEW DR,LOS ALAMOS,35028,028,NM,35,87544,5056721800,,7,No,50,10,2,,,,,,,,,,,,,62,52,3,2,22,2,22,1,0,1,32,1,2,1,3,3,5.77,3.85,42.31,3.85,42.31,1.92,0,52,30,LOS ALAMOS,This school does not belong to ANY associations or organizations,,,,,,,
