Arkansas
National Center for Education Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSS Private School Universe Survey data 2015-2016 school year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The file contains (122) records based on your search.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user. For more information about this data, visit the PSS homepage. http://nces.ed.gov/surveys/pss",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSS_SCHOOL_ID,PSS_INST,LoGrade,HiGrade,PSS_ADDRESS,PSS_CITY,PSS_COUNTY_NO,PSS_COUNTY_FIPS,PSS_STABB,PSS_FIPS,PSS_ZIP5,PSS_PHONE,PSS_SCH_DAYS,PSS_STU_DAY_HRS,PSS_LIBRARY,PSS_ENROLL_UG,PSS_ENROLL_PK,PSS_ENROLL_K,PSS_ENROLL_1,PSS_ENROLL_2,PSS_ENROLL_3,PSS_ENROLL_4,PSS_ENROLL_5,PSS_ENROLL_6,PSS_ENROLL_7,PSS_ENROLL_8,PSS_ENROLL_9,PSS_ENROLL_10,PSS_ENROLL_11,PSS_ENROLL_12,PSS_ENROLL_T,PSS_ENROLL_TK12,PSS_RACE_AI,PSS_RACE_AS,PSS_RACE_H,PSS_RACE_B,PSS_RACE_W,PSS_RACE_P,PSS_RACE_2,PSS_FTE_TEACH,PSS_LOCALE,PSS_COED,PSS_TYPE,PSS_LEVEL,PSS_RELIG,PSS_COMM_TYPE,PSS_INDIAN_PCT,PSS_ASIAN_PCT,PSS_HISP_PCT,PSS_BLACK_PCT,PSS_WHITE_PCT,P_PACISL_PCT,P_TWOMORE_PCT,PSS_STDTCH_RT,PSS_ORIENT,PSS_COUNTY_NAME,PSS_ASSOC_1,PSS_ASSOC_2,PSS_ASSOC_3,PSS_ASSOC_4,PSS_ASSOC_5,PSS_ASSOC_6,PSS_ASSOC_7,PSS_ASSOC_8
02004502,ABUNDANT LIFE SCHOOL,2,17,9200 HIGHWAY 107,SHERWOOD,05119,119,AR,05,72120,5018353120,180,7.5,Yes,,24,30,25,17,31,14,16,25,17,27,14,12,32,21,305,281,1,1,4,12,260,0,3,26,21,1,1,3,2,2,0.36,0.36,1.42,4.27,92.53,0,1.07,10.81,5,PULASKI,Association of Christian Schools International (ACSI),Other school association(s),,,,,,
A0970063,ACCESS SCHOOLS,2,17,10618 BRECKENRIDGE DR,LITTLE ROCK,05119,119,AR,05,72211,5012178600,225,7.5,Yes,,10,18,7,8,7,7,6,6,5,5,3,7,4,4,97,87,0,2,2,9,72,0,2,6.8,12,1,4,3,3,1,0,2.3,2.3,10.34,82.76,0,2.3,12.79,30,PULASKI,This school does not belong to ANY associations or organizations,,,,,,,
A0900163,ANNOOR ACADEMY OF FORT SMITH,2,13,PO BOX 3646,FORT SMITH,05131,131,AR,05,72913,4794344059,183,7.75,Yes,,5,10,4,8,3,4,5,5,5,4,,,,,53,48,0,0,0,2,0,0,46,11.3,13,1,1,1,2,1,0,0,0,4.17,0,0,95.83,4.25,17,SEBASTIAN,Islamic School League of America (ISLA),Other special emphasis association(s),,,,,,
A0307063,ARKANSAS CHRISTIAN AC,2,16,PO BOX 150,BRYANT,05125,125,AR,05,72089,5018470112,178,6.5,Yes,,32,32,18,23,22,13,19,15,24,12,11,13,12,,246,214,0,9,2,4,199,0,0,21.5,21,1,1,3,2,2,0,4.21,0.93,1.87,92.99,0,0,9.95,8,SALINE,This school does not belong to ANY associations or organizations,,,,,,,
A1500119,ASPIRE CHRISTIAN ACADEMY,2,9,12410 CANTRELL RD SUITE 200,LITTLE ROCK,05119,119,AR,05,72223,5012241418,,7.33,No,,1,10,2,4,2,2,,,,,,,,,21,20,0,1,0,4,15,0,0,2,12,1,4,1,2,1,0,5,0,20,75,0,0,10,8,PULASKI,Other school association(s),,,,,,,
K9300041,AVILLA CHRISTIAN ACADEMY,2,17,302 AVILLA E,ALEXANDER,05125,125,AR,05,72002,5014084631,178,7,Yes,,35,11,10,13,11,6,4,4,7,5,2,8,6,5,127,92,0,0,2,2,87,0,1,9.6,41,1,1,3,2,4,0,0,2.17,2.17,94.57,0,1.09,9.58,23,SALINE,This school does not belong to ANY associations or organizations,,,,,,,
A0300077,BINGHAM ROAD BAPTIST CHILD DEVELOPMENT  CTR,2,3,923 W BINGHAM RD,LITTLE ROCK,05119,119,AR,05,72206,5018882541,185,6.5,Yes,,71,5,,,,,,,,,,,,,76,5,0,0,0,0,5,0,0,1,41,1,7,1,2,4,0,0,0,0,100,0,0,5,5,PULASKI,Association of Christian Schools International (ACSI),,,,,,,
00047876,BLESSED SACRAMENT SCHOOL,2,11,1105 E HIGHLAND DR,JONESBORO,05031,031,AR,05,72401,8709323684,178,7,Yes,,13,15,21,13,12,11,14,10,,,,,,,109,96,0,2,11,7,74,0,2,9.5,13,1,1,1,1,1,0,2.08,11.46,7.29,77.08,0,2.08,10.11,1,CRAIGHEAD,National Catholic Educational Association (NCEA),Other school association(s),,,,,,
A1100050,CALDWELL CHRISTIAN ACADEMY,2,17,1699 SOUTH FALLS BLVD,WYNNE,05037,037,AR,05,72396,8702382244,180,7.5,No,,9,2,1,2,1,,,1,,,,1,,1,18,9,0,0,0,1,8,0,0,3,32,1,1,3,2,3,0,0,0,11.11,88.89,0,0,3,8,CROSS,Association of Christian Schools International (ACSI),,,,,,,
A9500172,CALVARY ACADEMY,2,17,1401 CALVARY RD,NORTH LITTLE ROCK,05119,119,AR,05,72116,5017583090,178,7,No,,41,22,19,24,20,15,28,16,18,14,24,6,12,23,282,241,0,1,13,6,216,0,5,15.5,13,1,1,3,2,1,0,0.41,5.39,2.49,89.63,0,2.07,15.55,26,PULASKI,Other school association(s),,,,,,,
00048257,CALVARY CHRISTIAN SCHOOL,2,17,1611 N WASHINGTON ST,FORREST CITY,05123,123,AR,05,72335,8706335333,178,7.25,Yes,,28,16,14,9,13,4,11,10,12,5,8,10,7,3,150,122,0,0,1,5,115,0,1,10.3,32,1,1,3,2,3,0,0,0.82,4.1,94.26,0,0.82,11.84,8,ST. FRANCIS,This school does not belong to ANY associations or organizations,,,,,,,
BB130012,CAPITAL CITY CHRISTIAN ACADEMY,3,17,7800 INTERSTATE 30,LITTLE ROCK,05119,119,AR,05,72209,5016870436,180,7,No,,,2,2,,3,,,1,1,2,1,2,3,2,19,19,0,0,0,2,17,0,0,2,12,1,1,3,2,1,0,0,0,10.53,89.47,0,0,9.5,26,PULASKI,Accelerated Christian Education (ACE) or (School of Tomorrow),,,,,,,
