Pennslyvania
National Center for Education Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSS Private School Universe Survey data 2015-2016 school year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The file contains (1376) records based on your search.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user. For more information about this data, visit the PSS homepage. http://nces.ed.gov/surveys/pss",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSS_SCHOOL_ID,PSS_INST,LoGrade,HiGrade,PSS_ADDRESS,PSS_CITY,PSS_COUNTY_NO,PSS_COUNTY_FIPS,PSS_STABB,PSS_FIPS,PSS_ZIP5,PSS_PHONE,PSS_SCH_DAYS,PSS_STU_DAY_HRS,PSS_LIBRARY,PSS_ENROLL_UG,PSS_ENROLL_PK,PSS_ENROLL_K,PSS_ENROLL_1,PSS_ENROLL_2,PSS_ENROLL_3,PSS_ENROLL_4,PSS_ENROLL_5,PSS_ENROLL_6,PSS_ENROLL_7,PSS_ENROLL_8,PSS_ENROLL_9,PSS_ENROLL_10,PSS_ENROLL_11,PSS_ENROLL_12,PSS_ENROLL_T,PSS_ENROLL_TK12,PSS_RACE_AI,PSS_RACE_AS,PSS_RACE_H,PSS_RACE_B,PSS_RACE_W,PSS_RACE_P,PSS_RACE_2,PSS_FTE_TEACH,PSS_LOCALE,PSS_COED,PSS_TYPE,PSS_LEVEL,PSS_RELIG,PSS_COMM_TYPE,PSS_INDIAN_PCT,PSS_ASIAN_PCT,PSS_HISP_PCT,PSS_BLACK_PCT,PSS_WHITE_PCT,P_PACISL_PCT,P_TWOMORE_PCT,PSS_STDTCH_RT,PSS_ORIENT,PSS_COUNTY_NAME,PSS_ASSOC_1,PSS_ASSOC_2,PSS_ASSOC_3,PSS_ASSOC_4,PSS_ASSOC_5,PSS_ASSOC_6,PSS_ASSOC_7,PSS_ASSOC_8
A1101911,63RD ST MULTICULTURAL ACAD OF ACADEMIC EXCELLENCE,2,16,PO BOX 28756,PHILADELPHIA,42101,101,PA,42,19151,2152406721,190,8,No,,4,9,7,3,9,,3,3,2,,,2,2,,44,40,0,0,0,40,0,0,0,6.9,11,1,1,3,2,1,0,0,0,100,0,0,0,5.8,17,PHILADELPHIA,This school does not belong to ANY associations or organizations,,,,,,,
A0902783,A CHILDRENS PLACE LEARNING CENTER,2,3,719 ROBLE RD,ALLENTOWN,42077,077,PA,42,18109,6102640440,180,5.5,No,,10,9,,,,,,,,,,,,,19,9,0,0,2,1,6,0,0,1,21,1,7,1,3,2,0,0,22.22,11.11,66.67,0,0,9,30,LEHIGH,National Association for the Education of Young Children (NAEYC),,,,,,,
A0902693,A CHILDS WORLD,2,3,2001 S EASTON RD,DOYLESTOWN,42017,017,PA,42,18901,2153487200,200,6.5,No,,17,22,,,,,,,,,,,,,39,22,0,1,0,0,21,0,0,1,21,1,7,1,3,2,0,4.55,0,0,95.45,0,0,22,30,BUCKS,National Association for the Education of Young Children (NAEYC),Other school association(s),,,,,,
A9903610,A CHILDS WORLD,2,3,2147 S EAGLE RD,NEWTOWN,42017,017,PA,42,18940,2155048100,200,6.5,No,,20,15,,,,,,,,,,,,,35,15,0,4,0,0,11,0,0,1,21,1,7,1,3,2,0,26.67,0,0,73.33,0,0,15,30,BUCKS,This school does not belong to ANY associations or organizations,,,,,,,
A1503441,A STEP UP ACADEMY,2,9,520 MEETINGHOUSE RD,JENKINTOWN,42091,091,PA,42,19046,2158851075,180,6.5,No,,7,1,4,5,4,2,,,,,,,,,23,16,0,3,0,2,11,0,0,3,21,1,4,1,3,2,0,18.75,0,12.5,68.75,0,0,5.33,30,MONTGOMERY,Other school association(s),,,,,,,
A0902694,AARDVARK CHILD CARE & LEARNING CENTER,2,3,PO BOX 469,GLEN MILLS,42045,045,PA,42,19342,6103588998,180,5,No,,20,3,,,,,,,,,,,,,23,3,0,0,1,1,1,0,0,1,21,1,7,1,3,2,0,0,33.33,33.33,33.33,0,0,3,30,DELAWARE,National Association for the Education of Young Children (NAEYC),,,,,,,
A1503116,ABACUS MONTESSORI ACADEMY,2,3,180 E BUTLER AVE,CHALFONT,42017,017,PA,42,18914,2159960591,200,8,No,,18,4,,,,,,,,,,,,,22,4,0,1,0,0,3,0,0,3.3,21,1,2,1,3,2,0,25,0,0,75,0,0,1.21,30,BUCKS,This school does not belong to ANY associations or organizations,,,,,,,
K9304728,ABC'S FOR CHILDREN,2,3,1630 GREENTREE RD,PITTSBURGH,42003,003,PA,42,15220,4123444422,180,10,No,,61,6,,,,,,,,,,,,,67,6,4,0,0,0,2,0,0,2,21,1,7,1,3,2,66.67,0,0,0,33.33,0,0,3,30,ALLEGHENY,National Association for the Education of Young Children (NAEYC),,,,,,,
A9105980,ABINGTON CHRISTIAN ACADEMY,2,15,204 S ABINGTON RD,CLARKS GREEN,42069,069,PA,42,18411,5705865270,180,7.5,Yes,,12,7,4,2,5,4,1,4,1,1,5,1,,,47,35,0,1,3,2,29,0,0,8.8,21,1,1,3,2,2,0,2.86,8.57,5.71,82.86,0,0,3.98,8,LACKAWANNA,Association of Christian Schools International (ACSI),,,,,,,
01195835,ABINGTON FRIENDS SCHOOL,2,17,575 WASHINGTON LN,JENKINTOWN,42091,091,PA,42,19046,2158864350,175,7.17,Yes,,39,25,37,25,20,21,24,20,35,35,55,58,68,75,537,498,0,30,21,104,279,0,64,73.1,21,1,1,3,2,2,0,6.02,4.22,20.88,56.02,0,12.85,6.81,15,MONTGOMERY,Friends Council on Education (FCE),National Association of Independent Schools (NAIS),State or regional independent school association,,,,,
