Nevada
National Center for Education Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSS Private School Universe Survey data 2015-2016 school year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The file contains (108) records based on your search.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user. For more information about this data, visit the PSS homepage. http://nces.ed.gov/surveys/pss",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSS_SCHOOL_ID,PSS_INST,LoGrade,HiGrade,PSS_ADDRESS,PSS_CITY,PSS_COUNTY_NO,PSS_COUNTY_FIPS,PSS_STABB,PSS_FIPS,PSS_ZIP5,PSS_PHONE,PSS_SCH_DAYS,PSS_STU_DAY_HRS,PSS_LIBRARY,PSS_ENROLL_UG,PSS_ENROLL_PK,PSS_ENROLL_K,PSS_ENROLL_1,PSS_ENROLL_2,PSS_ENROLL_3,PSS_ENROLL_4,PSS_ENROLL_5,PSS_ENROLL_6,PSS_ENROLL_7,PSS_ENROLL_8,PSS_ENROLL_9,PSS_ENROLL_10,PSS_ENROLL_11,PSS_ENROLL_12,PSS_ENROLL_T,PSS_ENROLL_TK12,PSS_RACE_AI,PSS_RACE_AS,PSS_RACE_H,PSS_RACE_B,PSS_RACE_W,PSS_RACE_P,PSS_RACE_2,PSS_FTE_TEACH,PSS_LOCALE,PSS_COED,PSS_TYPE,PSS_LEVEL,PSS_RELIG,PSS_COMM_TYPE,PSS_INDIAN_PCT,PSS_ASIAN_PCT,PSS_HISP_PCT,PSS_BLACK_PCT,PSS_WHITE_PCT,P_PACISL_PCT,P_TWOMORE_PCT,PSS_STDTCH_RT,PSS_ORIENT,PSS_COUNTY_NAME,PSS_ASSOC_1,PSS_ASSOC_2,PSS_ASSOC_3,PSS_ASSOC_4,PSS_ASSOC_5,PSS_ASSOC_6,PSS_ASSOC_7,PSS_ASSOC_8
A1301849,A STEP AHEAD,3,6,945 N CLOVER LN,FERNLEY,32019,019,NV,32,89408,7755751122,180,7.25,Yes,,,5,5,,,,,,,,,,,,10,10,0,1,0,0,9,0,0,1,32,1,1,1,3,3,0,10,0,0,90,0,0,10,30,LYON,This school does not belong to ANY associations or organizations,,,,,,,
01924112,ABC PRESCHOOL REDEEMER LUTHERAN ELEMENTARY SCHOOL,2,7,1730 N PECOS RD,LAS VEGAS,32003,003,NV,32,89115,7026425176,180,6,Yes,,12,5,4,1,,,,,,,,,,,22,10,0,0,6,2,2,0,0,2,21,1,1,1,2,2,0,0,60,20,20,0,0,5,20,CLARK,Other school association(s),,,,,,,
A1101425,ABUNDANT LIFE CHRISTIAN ACADEMY,3,13,1720 NORT J ST,LAS VEGAS,32003,003,NV,32,89106,7026472777,180,7,Yes,,,3,1,5,7,2,2,3,3,1,,,,,27,27,0,0,10,17,0,0,0,2,11,1,1,1,2,1,0,0,37.04,62.96,0,0,0,13.5,28,CLARK,Other school association(s),,,,,,,
A9502691,ACADEMY FOR LEARNING,9,14,1018 E SAHARA AVE STE D,LAS VEGAS,32003,003,NV,32,89104,7027378668,183,6.5,No,,,,,,,1,,2,2,1,1,,,,7,7,0,0,2,0,4,0,1,1.6,11,1,1,3,3,1,0,0,28.57,0,57.14,0,14.29,4.38,30,CLARK,This school does not belong to ANY associations or organizations,,,,,,,
A0106146,ALEXANDER DAWSON SCHOOL,2,13,10845 W DESERT INN RD,LAS VEGAS,32003,003,NV,32,89135,7029493600,180,7,Yes,,74,47,51,44,50,57,53,51,62,50,,,,,539,465,0,42,10,15,317,2,79,53.9,21,1,3,1,3,2,0,9.03,2.15,3.23,68.17,0.43,16.99,8.63,30,CLARK,National Association for the Education of Young Children (NAEYC),National Association of Independent Schools (NAIS),State or regional independent school association,Other school association(s),,,,
K9303915,ALL SAINTS' DAY SCHOOL,2,3,4201 W WASHINGTON AVE,LAS VEGAS,32003,003,NV,32,89107,7028781205,180,6,Yes,,32,8,,,,,,,,,,,,,40,8,0,0,3,1,4,0,0,0.9,11,1,7,1,2,1,0,0,37.5,12.5,50,0,0,8.89,14,CLARK,Other school association(s),,,,,,,
A0502189,AMERICAN HERITAGE ACADEMY,3,17,6126 SANDHILL ROAD,LAS VEGAS,32003,003,NV,32,89120,7029495614,180,7,Yes,,,37,37,40,42,28,22,25,23,20,14,23,14,11,336,336,0,13,23,5,293,2,0,23,12,1,1,3,2,1,0,3.87,6.85,1.49,87.2,0.6,0,14.61,8,CLARK,This school does not belong to ANY associations or organizations,,,,,,,
A1301851,BEAUTIFUL SAVIOR LUTHERAN SCHOOL,3,3,10265 BERMUDA RD,LAS VEGAS,32003,003,NV,32,89183,7022607660,180,6,No,,,4,,,,,,,,,,,,,4,4,0,0,0,0,4,0,0,1,12,1,7,1,2,1,0,0,0,0,100,0,0,4,22,CLARK,,,,,,,,
AA890550,BETHLEHEM LUTHERAN SCHOOL,2,13,1837 MOUNTAIN ST,CARSON CITY,32510,510,NV,32,89703,7758825252,180,6.5,No,,24,12,26,10,24,15,18,23,23,24,,,,,199,175,1,9,4,0,138,19,4,8.4,13,1,1,1,2,1,0.57,5.14,2.29,0,78.86,10.86,2.29,20.83,20,CARSON CITY,This school does not belong to ANY associations or organizations,,,,,,,
00846981,BISHOP GORMAN HIGH SCHOOL,14,17,5959 S HUALAPAI WAY,LAS VEGAS,32003,003,NV,32,89148,7027321945,181,6.5,Yes,,,,,,,,,,,,410,382,364,314,1470,1470,11,144,200,93,867,36,119,72.5,41,1,1,2,1,4,0.75,9.8,13.61,6.33,58.98,2.45,8.1,20.28,1,CLARK,National Catholic Educational Association (NCEA),Other school association(s),,,,,,
