Michigan
National Center for Education Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSS Private School Universe Survey data 2015-2016 school year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The file contains (600) records based on your search.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user. For more information about this data, visit the PSS homepage. http://nces.ed.gov/surveys/pss",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSS_SCHOOL_ID,PSS_INST,LoGrade,HiGrade,PSS_ADDRESS,PSS_CITY,PSS_COUNTY_NO,PSS_COUNTY_FIPS,PSS_STABB,PSS_FIPS,PSS_ZIP5,PSS_PHONE,PSS_SCH_DAYS,PSS_STU_DAY_HRS,PSS_LIBRARY,PSS_ENROLL_UG,PSS_ENROLL_PK,PSS_ENROLL_K,PSS_ENROLL_1,PSS_ENROLL_2,PSS_ENROLL_3,PSS_ENROLL_4,PSS_ENROLL_5,PSS_ENROLL_6,PSS_ENROLL_7,PSS_ENROLL_8,PSS_ENROLL_9,PSS_ENROLL_10,PSS_ENROLL_11,PSS_ENROLL_12,PSS_ENROLL_T,PSS_ENROLL_TK12,PSS_RACE_AI,PSS_RACE_AS,PSS_RACE_H,PSS_RACE_B,PSS_RACE_W,PSS_RACE_P,PSS_RACE_2,PSS_FTE_TEACH,PSS_LOCALE,PSS_COED,PSS_TYPE,PSS_LEVEL,PSS_RELIG,PSS_COMM_TYPE,PSS_INDIAN_PCT,PSS_ASIAN_PCT,PSS_HISP_PCT,PSS_BLACK_PCT,PSS_WHITE_PCT,P_PACISL_PCT,P_TWOMORE_PCT,PSS_STDTCH_RT,PSS_ORIENT,PSS_COUNTY_NAME,PSS_ASSOC_1,PSS_ASSOC_2,PSS_ASSOC_3,PSS_ASSOC_4,PSS_ASSOC_5,PSS_ASSOC_6,PSS_ASSOC_7,PSS_ASSOC_8
A0701317,ACADEMY OF THE SACRED HEART,2,17,1250 KENSINGTON RD,BLOOMFIELD HILLS,26125,125,MI,26,48304,2486468900,180,7,Yes,,44,15,18,31,20,19,34,37,32,33,40,43,28,34,428,384,0,13,3,28,340,0,0,52.4,21,1,1,3,1,2,0,3.39,0.78,7.29,88.54,0,0,7.33,1,OAKLAND,National Catholic Educational Association (NCEA),,,,,,,
A1501950,ADA CHRISTIAN SCHOOL,3,13,6206 ADA DR SE,ADA,26081,081,MI,26,49301,6166761289,172,7,Yes,,,45,43,53,37,57,54,51,57,46,,,,,443,443,0,6,0,5,426,0,6,29.5,21,1,1,1,2,2,0,1.35,0,1.13,96.16,0,1.35,15.02,7,KENT,Christian Schools International (CSI),,,,,,,
A1301671,AIM HIGH SCHOOL,11,17,29230 W 12 MILE RD,FARMINGTN HLS,26093,093,MI,26,48334,2487026922,176,7.42,No,,,,,,,,,2,6,9,9,10,7,9,52,52,0,0,0,4,48,0,0,10,13,1,4,3,3,1,0,0,0,7.69,92.31,0,0,5.2,30,OAKLAND,This school does not belong to ANY associations or organizations,,,,,,,
00640561,ALL SAINTS CATHOLIC ACADEMY,2,14,106 S MARQUETTE ST,IRONWOOD,26053,053,MI,26,49938,9069323200,174,7.17,Yes,,9,5,2,4,,1,,,2,1,1,,,,25,16,0,0,2,0,14,0,0,2.3,33,1,1,3,1,3,0,0,12.5,0,87.5,0,0,6.96,1,GOGEBIC,National Catholic Educational Association (NCEA),Other school association(s),,,,,,
00638916,ALL SAINTS CATHOLIC SCHOOL,2,13,500 N SECOND AVE,ALPENA,26007,007,MI,26,49707,9893544911,175,7,Yes,,36,15,18,9,7,10,5,8,3,6,,,,,117,81,0,0,1,0,79,0,1,9.9,33,1,1,1,1,3,0,0,1.23,0,97.53,0,1.23,8.18,1,ALPENA,National Catholic Educational Association (NCEA),,,,,,,
A9902391,ALL SAINTS CATHOLIC SCHOOL,2,13,48735 WARREN RD,CANTON,26163,163,MI,26,48187,7344592490,180,6.83,Yes,,82,54,55,43,58,62,66,55,54,50,,,,,579,497,1,23,9,13,407,9,35,29,21,1,1,1,1,2,0.2,4.63,1.81,2.62,81.89,1.81,7.04,17.14,1,WAYNE,National Catholic Educational Association (NCEA),,,,,,,
00641077,ALL SAINTS CENTRAL HIGH SCHOOL,14,17,217 S MONROE ST,BAY CITY,26017,017,MI,26,48708,9898922533,181,7,Yes,,,,,,,,,,,,22,22,35,25,104,104,1,0,0,9,92,0,2,8,13,1,1,2,1,1,0.96,0,0,8.65,88.46,0,1.92,13,1,BAY,National Catholic Educational Association (NCEA),Other special emphasis association(s),,,,,,
00643697,ALLENDALE CHRISTIAN SCHOOL,2,13,11050 64TH AVE,ALLENDALE,26139,139,MI,26,49401,6168955108,178,7,Yes,,3,28,23,32,26,29,22,12,23,12,,,,,210,207,0,2,5,2,196,0,2,14,21,1,1,1,2,2,0,0.97,2.42,0.97,94.69,0,0.97,14.79,7,OTTAWA,Christian Schools International (CSI),Other school association(s),,,,,,
A0301833,ALPENA SDA ELEMENTARY SCHOOL,6,12,4029 US HIGHWAY 23 S,ALPENA,26007,007,MI,26,49707,9893562932,180,7.42,Yes,,,,1,,,,2,1,2,,,,,,6,6,1,0,0,0,5,0,0,1,41,1,1,1,2,4,16.67,0,0,0,83.33,0,0,6,28,ALPENA,General Conference of the Seventh-Day Adventist Church (GCSDAC),,,,,,,
A9103413,AMISH PRIVATE 3,6,13,1018 HAMMAN RD,MONTGOMERY,26023,023,MI,26,49255,,160,6,Yes,,,,5,4,3,4,5,3,3,2,,,,,29,29,0,0,0,0,29,0,0,1.1,42,1,1,1,2,4,0,0,0,0,100,0,0,26.36,3,BRANCH,,,,,,,,
A9103411,AMISH SCHOOL #1,6,13,11860 CARPENTER RD,CAMDEN,26059,059,MI,26,49232,,140,6.5,Yes,,,,4,4,6,3,5,3,2,2,,,,,29,29,0,0,0,0,29,0,0,1.1,43,1,1,1,2,4,0,0,0,0,100,0,0,26.36,3,HILLSDALE,Association Montessori International,,,,,,,
