Delaware
National Center for Education Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSS Private School Universe Survey data 2015-2016 school year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The file contains (76) records based on your search.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user. For more information about this data, visit the PSS homepage. http://nces.ed.gov/surveys/pss",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSS_SCHOOL_ID,PSS_INST,LoGrade,HiGrade,PSS_ADDRESS,PSS_CITY,PSS_COUNTY_NO,PSS_COUNTY_FIPS,PSS_STABB,PSS_FIPS,PSS_ZIP5,PSS_PHONE,PSS_SCH_DAYS,PSS_STU_DAY_HRS,PSS_LIBRARY,PSS_ENROLL_UG,PSS_ENROLL_PK,PSS_ENROLL_K,PSS_ENROLL_1,PSS_ENROLL_2,PSS_ENROLL_3,PSS_ENROLL_4,PSS_ENROLL_5,PSS_ENROLL_6,PSS_ENROLL_7,PSS_ENROLL_8,PSS_ENROLL_9,PSS_ENROLL_10,PSS_ENROLL_11,PSS_ENROLL_12,PSS_ENROLL_T,PSS_ENROLL_TK12,PSS_RACE_AI,PSS_RACE_AS,PSS_RACE_H,PSS_RACE_B,PSS_RACE_W,PSS_RACE_P,PSS_RACE_2,PSS_FTE_TEACH,PSS_LOCALE,PSS_COED,PSS_TYPE,PSS_LEVEL,PSS_RELIG,PSS_COMM_TYPE,PSS_INDIAN_PCT,PSS_ASIAN_PCT,PSS_HISP_PCT,PSS_BLACK_PCT,PSS_WHITE_PCT,P_PACISL_PCT,P_TWOMORE_PCT,PSS_STDTCH_RT,PSS_ORIENT,PSS_COUNTY_NAME,PSS_ASSOC_1,PSS_ASSOC_2,PSS_ASSOC_3,PSS_ASSOC_4,PSS_ASSOC_5,PSS_ASSOC_6,PSS_ASSOC_7,PSS_ASSOC_8
00249817,ALBERT EINSTEIN ACADEMY,3,10,101 GARDEN OF EDEN RD,WILMINGTON,10003,003,DE,10,19803,3024785026,166,7.5,Yes,,,3,5,5,6,8,5,,,,,,,,32,32,0,1,2,0,28,0,1,9,41,1,1,1,2,4,0,3.13,6.25,0,87.5,0,3.13,3.56,18,NEW CASTLE,National Association of Independent Schools (NAIS),,,,,,,
00249464,ALL SAINTS CATHOLIC SCHOOL,2,13,907 NEW RD,WILMINGTON,10003,003,DE,10,19805,3029952231,180,7.5,Yes,,28,10,18,20,29,24,31,44,43,40,,,,,287,259,0,2,27,11,217,0,2,22.5,21,1,1,1,1,2,0,0.77,10.42,4.25,83.78,0,0.77,11.51,1,NEW CASTLE,This school does not belong to ANY associations or organizations,,,,,,,
A0101559,APPLE GROVE SCHOOL,6,13,2391 HAZLETTVILLE RD,DOVER,10001,001,DE,10,19904,3027301495,160,6,No,,,,4,3,2,6,,5,2,6,,,,,28,28,0,0,0,0,28,0,0,2,41,1,1,1,2,4,0,0,0,0,100,0,0,14,3,KENT,Association Montessori International,,,,,,,
K9301171,CACC MONTESSORI SCHOOL,2,3,PO BOX 1599,HOCKESSIN,10003,003,DE,10,19707,3022392917,168,7.5,Yes,,66,10,,,,,,,,,,,,,76,10,0,7,0,1,2,0,0,1,21,1,2,1,3,2,0,70,0,10,20,0,0,10,30,NEW CASTLE,American Montessori Society (AMS),,,,,,,
A9101637,CALVARY CHRISTIAN ACADEMY,2,17,1143 E LEBANON RD,DOVER,10001,001,DE,10,19901,3026977860,175,6.75,No,29,77,29,22,23,19,18,16,24,13,20,11,16,8,10,335,258,0,2,14,66,175,1,0,26,22,1,1,3,2,2,0,0.78,5.43,25.58,67.83,0.39,0,9.92,4,KENT,Association of Christian Schools International (ACSI),Association of Christian Teachers and Schools (ACTS),Christian Schools International (CSI),,,,,
01922352,CARAVEL ACADEMY,2,17,2801 DEL LAWS RD,BEAR,10003,003,DE,10,19701,3028348938,175,6.75,Yes,,74,74,56,70,76,78,82,98,98,102,90,81,91,86,1156,1082,3,161,45,125,718,0,30,63.6,21,1,1,3,3,2,0.28,14.88,4.16,11.55,66.36,0,2.77,17.01,30,NEW CASTLE,This school does not belong to ANY associations or organizations,,,,,,,
A9302660,CEDAR GROVE AMISH SCHOOL,6,13,2636 PEARSONS CORNER RD,DOVER,10001,001,DE,10,19904,3024923904,160,6.5,No,,,,5,2,4,5,4,2,6,4,,,,,32,32,0,0,0,0,32,0,0,1,41,1,1,1,2,4,0,0,0,0,100,0,0,32,3,KENT,This school does not belong to ANY associations or organizations,,,,,,,
00249883,CENTERVILLE LAYTON SCHOOL,1,1,6201 KENNETT PIKE,WILMINGTON,10003,003,DE,10,19807,3025710230,170,8,Yes,102,,,,,,,,,,,,,,,102,102,0,3,2,15,82,0,0,39.4,41,1,4,3,3,4,0,2.94,1.96,14.71,80.39,0,0,2.59,30,NEW CASTLE,National Association of Independent Schools (NAIS),State or regional independent school association,,,,,,
01922308,CENTRAL CHRISTIAN SCHOOL,3,17,220 W DENNEYS RD,DOVER,10001,001,DE,10,19904,3024928772,179,7,Yes,,,5,2,6,8,4,3,6,5,7,7,6,4,5,68,68,0,0,0,0,68,0,0,8,41,1,1,3,2,4,0,0,0,0,100,0,0,8.5,24,KENT,Accelerated Christian Education (ACE) or (School of Tomorrow),,,,,,,
A9101639,CENTRAL DE CHRISTIAN ACADEMY,2,13,4698 S DUPONT HWY,DOVER,10001,001,DE,10,19901,3026978407,180,6.5,Yes,,16,7,8,3,4,4,3,5,5,7,,,,,62,46,0,0,1,8,37,0,0,7.6,22,1,1,1,2,2,0,0,2.17,17.39,80.43,0,0,6.05,8,KENT,Association of Christian Schools International (ACSI),,,,,,,
A9901073,CHILDREN S HOUSE MONTESSORI,2,4,2848 GRUBB RD,WILMINGTON,10003,003,DE,10,19810,3025299259,181,6.75,Yes,,83,9,,,,,,,,,,,,,92,9,0,2,0,0,5,2,0,6,21,1,2,1,3,2,0,22.22,0,0,55.56,22.22,0,1.5,30,NEW CASTLE,American Montessori Society (AMS),Other Montessori association(s),Other school association(s),,,,,
A0300719,CHRIST THE TEACHER CATHOLIC SCHOOL,2,13,2451 FRAZER RD,NEWARK,10003,003,DE,10,19702,3028388850,180,7,Yes,,52,54,66,56,63,67,62,60,66,64,,,,,610,558,3,11,18,5,510,0,11,20,21,1,1,1,1,2,0.54,1.97,3.23,0.9,91.4,0,1.97,27.9,1,NEW CASTLE,National Catholic Educational Association (NCEA),,,,,,,
K9301185,CONCORD PRESCHOOL AND CHILDCARE,2,3,1800 FAIRFAX BLVD,WILMINGTON,10003,003,DE,10,19803,3026549629,175,6,Yes,,40,7,,,,,,,,,,,,,47,7,0,3,0,1,3,0,0,1,21,1,7,1,2,2,0,42.86,0,14.29,42.86,0,0,7,27,NEW CASTLE,Other school association(s),,,,,,,
A9101642,COOPERS CORNER SCHOOL,6,13,2183 HONEYSUCKLE RD,CAMDEN WYOMING,10001,001,DE,10,19934,3026972560,160,6.5,No,,,,3,5,1,5,2,2,6,1,,,,,25,25,0,0,0,0,25,0,0,1,41,1,1,1,2,4,0,0,0,0,100,0,0,25,3,KENT,Association Montessori International,Other special emphasis association(s),Other school association(s),,,,,
