Vermont
National Center for Education Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSS Private School Universe Survey data 2015-2016 school year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The file contains (90) records based on your search.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user. For more information about this data, visit the PSS homepage. http://nces.ed.gov/surveys/pss",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSS_SCHOOL_ID,PSS_INST,LoGrade,HiGrade,PSS_ADDRESS,PSS_CITY,PSS_COUNTY_NO,PSS_COUNTY_FIPS,PSS_STABB,PSS_FIPS,PSS_ZIP5,PSS_PHONE,PSS_SCH_DAYS,PSS_STU_DAY_HRS,PSS_LIBRARY,PSS_ENROLL_UG,PSS_ENROLL_PK,PSS_ENROLL_K,PSS_ENROLL_1,PSS_ENROLL_2,PSS_ENROLL_3,PSS_ENROLL_4,PSS_ENROLL_5,PSS_ENROLL_6,PSS_ENROLL_7,PSS_ENROLL_8,PSS_ENROLL_9,PSS_ENROLL_10,PSS_ENROLL_11,PSS_ENROLL_12,PSS_ENROLL_T,PSS_ENROLL_TK12,PSS_RACE_AI,PSS_RACE_AS,PSS_RACE_H,PSS_RACE_B,PSS_RACE_W,PSS_RACE_P,PSS_RACE_2,PSS_FTE_TEACH,PSS_LOCALE,PSS_COED,PSS_TYPE,PSS_LEVEL,PSS_RELIG,PSS_COMM_TYPE,PSS_INDIAN_PCT,PSS_ASIAN_PCT,PSS_HISP_PCT,PSS_BLACK_PCT,PSS_WHITE_PCT,P_PACISL_PCT,P_TWOMORE_PCT,PSS_STDTCH_RT,PSS_ORIENT,PSS_COUNTY_NAME,PSS_ASSOC_1,PSS_ASSOC_2,PSS_ASSOC_3,PSS_ASSOC_4,PSS_ASSOC_5,PSS_ASSOC_6,PSS_ASSOC_7,PSS_ASSOC_8
A0303179,ARK PRESCHOOL/KINDERGARTEN,2,3,PO BOX 160,VERGENNES,50001,001,VT,50,05491,8028773393,178,6.5,No,,23,3,,,,,,,,,,,,,26,3,0,0,0,0,3,0,0,1,41,1,7,1,2,4,0,0,0,0,100,0,0,3,5,ADDISON,This school does not belong to ANY associations or organizations,,,,,,,
A9904324,AURORA SCHOOL,3,13,238 PETERSON TER,MIDDLEBURY,50001,001,VT,50,05753,8023882637,176,7,Yes,,,4,4,4,4,,6,7,,1,,,,,30,30,0,0,1,1,28,0,0,4.8,32,1,,1,3,3,0,0,3.33,3.33,93.33,0,0,6.25,30,ADDISON,State or regional independent school association,,,,,,,
A0303180,AVALON TRIUMVIRATE ACADEMY,12,14,1841 MAIN ST,FAIRFAX,50011,011,VT,50,05454,8028492488,180,7.5,Yes,1,,,,,,,,,3,3,3,,,,10,10,1,0,0,1,8,0,0,1.1,42,1,6,2,3,4,10,0,0,10,80,0,0,9.09,30,FRANKLIN,State or regional independent school association,,,,,,,
A0702326,BELLCATE SCHOOL,10,17,1 CORPORATE DR,ESSEX JUNCTION,50007,007,VT,50,05452,8028787603,200,6.25,No,,,,,,,,1,2,4,2,3,3,2,12,29,29,0,1,0,1,27,0,0,7.3,22,1,6,3,3,2,0,3.45,0,3.45,93.1,0,0,3.97,30,CHITTENDEN,,,,,,,,
02063193,BENNINGTON SCHOOL,12,17,192 FAIRVIEW,BENNINGTON,50003,003,VT,50,05201,8024471557,204,6,No,,,,,,,,,,6,6,11,12,5,5,45,45,0,0,0,2,43,0,0,9,41,2,6,2,3,4,0,0,0,4.44,95.56,0,0,5,30,BENNINGTON,State or regional independent school association,,,,,,,
A0109579,BISHOP JOHN A MARSHALL SCHOOL,2,13,680 LAPORTE RD,MORRISVILLE,50015,015,VT,50,05661,8028884758,175,7,Yes,,6,11,10,13,16,18,13,13,13,16,,,,,129,123,0,1,1,2,119,0,0,11.9,42,1,1,1,1,4,0,0.81,0.81,1.63,96.75,0,0,10.34,1,LAMOILLE,National Catholic Educational Association (NCEA),,,,,,,
02063069,"BRIDGE SCHOOL, INC",3,11,1469 EXCHANGE ST,MIDDLEBURY,50001,001,VT,50,05753,8023883498,163,6.5,Yes,,,6,4,3,6,6,7,6,,,,,,,38,38,0,1,0,0,37,0,0,4.6,41,1,1,1,3,4,0,2.63,0,0,97.37,0,0,8.26,30,ADDISON,,,,,,,,
A9304129,BROOKHAVEN TREATMENT & LEARNING CENTER,8,11,PO BOX 127,CHELSEA,50017,017,VT,50,05038,8026854458,178,6,Yes,,,,,,6,2,1,1,,,,,,,10,10,0,0,0,1,9,0,0,4,42,3,4,1,3,4,0,0,0,10,90,0,0,2.5,30,ORANGE,State or regional independent school association,,,,,,,
AA001641,BROWNELL MOUNTAIN SCHOOL,8,10,5330 ST GEORGE RD,WILLISTON,50007,007,VT,50,05495,8028783830,180,7,Yes,,,,,,2,1,3,,,,,,,,6,6,0,0,1,0,5,0,0,1,41,1,1,1,2,4,0,0,16.67,0,83.33,0,0,6,28,CHITTENDEN,General Conference of the Seventh-Day Adventist Church (GCSDAC),,,,,,,
01422156,BURKE MOUNTAIN ACADEMY,13,17,60 ALPINE LN,EAST BURKE,50005,005,VT,50,05832,8026265607,175,6.5,Yes,,,,,,,,,,,2,10,15,17,16,60,60,0,1,3,0,56,0,0,7.6,42,1,3,2,3,4,0,1.67,5,0,93.33,0,0,7.89,30,CALEDONIA,Other special emphasis association(s),Other school association(s),,,,,,
