Rhode Island
National Center for Education Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSS Private School Universe Survey data 2015-2016 school year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The file contains (88) records based on your search.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user. For more information about this data, visit the PSS homepage. http://nces.ed.gov/surveys/pss",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSS_SCHOOL_ID,PSS_INST,LoGrade,HiGrade,PSS_ADDRESS,PSS_CITY,PSS_COUNTY_NO,PSS_COUNTY_FIPS,PSS_STABB,PSS_FIPS,PSS_ZIP5,PSS_PHONE,PSS_SCH_DAYS,PSS_STU_DAY_HRS,PSS_LIBRARY,PSS_ENROLL_UG,PSS_ENROLL_PK,PSS_ENROLL_K,PSS_ENROLL_1,PSS_ENROLL_2,PSS_ENROLL_3,PSS_ENROLL_4,PSS_ENROLL_5,PSS_ENROLL_6,PSS_ENROLL_7,PSS_ENROLL_8,PSS_ENROLL_9,PSS_ENROLL_10,PSS_ENROLL_11,PSS_ENROLL_12,PSS_ENROLL_T,PSS_ENROLL_TK12,PSS_RACE_AI,PSS_RACE_AS,PSS_RACE_H,PSS_RACE_B,PSS_RACE_W,PSS_RACE_P,PSS_RACE_2,PSS_FTE_TEACH,PSS_LOCALE,PSS_COED,PSS_TYPE,PSS_LEVEL,PSS_RELIG,PSS_COMM_TYPE,PSS_INDIAN_PCT,PSS_ASIAN_PCT,PSS_HISP_PCT,PSS_BLACK_PCT,PSS_WHITE_PCT,P_PACISL_PCT,P_TWOMORE_PCT,PSS_STDTCH_RT,PSS_ORIENT,PSS_COUNTY_NAME,PSS_ASSOC_1,PSS_ASSOC_2,PSS_ASSOC_3,PSS_ASSOC_4,PSS_ASSOC_5,PSS_ASSOC_6,PSS_ASSOC_7,PSS_ASSOC_8
A9106141,ALL SAINTS ACADEMY,2,13,915 W MAIN RD,MIDDLETOWN,44005,005,RI,44,02842,4018484300,180,6.33,Yes,,26,14,13,17,9,5,12,10,13,12,,,,,131,105,2,2,6,3,70,0,22,10.4,21,1,1,1,1,2,1.9,1.9,5.71,2.86,66.67,0,20.95,10.1,1,NEWPORT,National Catholic Educational Association (NCEA),Other school association(s),,,,,,
01258183,APPONAUG CHRISTIAN ACADEMY,11,16,75 PROSPECT ST,WARWICK,44003,003,RI,44,02886,4017392499,180,5.5,Yes,,,,,,,,,2,2,1,,1,1,,7,7,0,0,0,1,5,0,1,3,13,1,1,3,2,1,0,0,0,14.29,71.43,0,14.29,2.33,26,KENT,This school does not belong to ANY associations or organizations,,,,,,,
A9703112,AQUIDNECK ISLAND CHRISTIAN ACADEMY,3,17,321 E MAIN RD,PORTSMOUTH,44005,005,RI,44,02871,4018495550,170,6.5,Yes,,,4,1,5,2,2,3,3,1,3,2,6,3,2,37,37,0,1,3,4,27,0,2,9.6,21,1,3,3,2,2,0,2.7,8.11,10.81,72.97,0,5.41,3.85,8,NEWPORT,Association of Classical and Christian Schools,,,,,,,
01924713,BARRINGTON CHRISTIAN ACADEMY,3,17,9 OLD COUNTY RD,BARRINGTON,44001,001,RI,44,02806,4012460113,178,6.67,Yes,,,12,8,13,13,12,18,17,20,21,15,16,20,17,202,202,1,17,7,17,156,0,4,29.3,21,1,1,3,2,2,0.5,8.42,3.47,8.42,77.23,0,1.98,6.89,8,BRISTOL,Association of Christian Schools International (ACSI),Other school association(s),,,,,,
01257543,BISHOP HENDRICKEN HIGH SCHOOL,13,17,2615 WARWICK AVE,WARWICK,44003,003,RI,44,02889,4017393450,180,6.75,Yes,,,,,,,,,,,23,235,223,204,234,919,919,6,59,32,59,746,0,17,75.4,13,3,1,2,1,1,0.65,6.42,3.48,6.42,81.18,0,1.85,12.19,1,KENT,National Catholic Educational Association (NCEA),,,,,,,
01257237,BLESSED SACRAMENT SCHOOL,2,13,240 REGENT AVE,PROVIDENCE,44007,007,RI,44,02908,4018313993,180,6.5,Yes,,18,22,18,20,13,27,23,28,17,29,,,,,215,197,0,0,78,43,40,0,36,14.5,12,1,1,1,1,1,0,0,39.59,21.83,20.3,0,18.27,13.59,1,PROVIDENCE,National Catholic Educational Association (NCEA),,,,,,,
A1303112,BRADLEY SCHOOL - WESTERLY SITE,6,17,93 TOWER ST,WESTERLY,44009,009,RI,44,02891,4016064100,215,6,No,,,,2,1,2,1,1,1,2,1,2,5,2,1,21,21,0,0,0,8,13,0,0,5,22,1,4,3,3,2,0,0,0,38.1,61.9,0,0,4.2,30,WASHINGTON,This school does not belong to ANY associations or organizations,,,,,,,
A9106137,COMMUNITY CHRISTIAN SCHOOL,2,13,113 CHURCH ST,PASCOAG,44007,007,RI,44,02859,4015685263,180,6.75,Yes,,12,4,5,7,5,5,3,2,1,8,,,,,52,40,0,0,4,1,35,0,0,6,21,1,1,1,2,2,0,0,10,2.5,87.5,0,0,6.67,5,PROVIDENCE,This school does not belong to ANY associations or organizations,,,,,,,
A9106138,COMMUNITY PREPARATORY SCHOOL,8,13,126 SOMERSET ST,PROVIDENCE,44007,007,RI,44,02907,4015219696,180,7.08,No,,,,,,19,19,17,36,37,32,,,,,160,160,2,13,50,35,22,5,33,11.5,12,1,1,1,3,1,1.25,8.13,31.25,21.88,13.75,3.13,20.63,13.91,30,PROVIDENCE,Other school association(s),,,,,,,
A9503698,CTR  FOR INDIVIDUALIZED TRAINING & EDUCATION,7,17,15 BOUGH ST,PROVIDENCE,44007,007,RI,44,02909,4013510610,230,6,No,,,,,2,,,1,1,,,1,1,1,10,17,17,0,0,8,2,6,0,1,5,12,1,4,3,3,1,0,0,47.06,11.76,35.29,0,5.88,3.4,30,PROVIDENCE,,,,,,,,
A0903321,EAST BAY CAREER ACADEMY,13,17,317 MARKET ST,WARREN,44001,001,RI,44,02885,4012457978,180,6,Yes,,,,,,,,,,,2,4,19,24,10,59,59,0,0,4,9,46,0,0,9.1,21,1,6,2,3,2,0,0,6.78,15.25,77.97,0,0,6.48,30,BRISTOL,Other special emphasis association(s),,,,,,,
A9106139,ELEANOR BRIGGS SCHOOL,6,15,116 LONG ST,WARWICK,44003,003,RI,44,02886,4017321540,203,6,Yes,,,,1,,1,3,6,3,3,4,4,3,,,28,28,0,0,3,0,25,0,0,7,13,1,4,3,3,1,0,0,10.71,0,89.29,0,0,4,30,KENT,State or regional independent school association,,,,,,,
A9703133,FRENCH-AMERICAN SCHOOL OF RHODE ISLAND,2,13,75 JOHN ST,PROVIDENCE,44007,007,RI,44,02906,4012743325,183,6.5,Yes,,20,17,30,26,29,13,14,9,8,8,,,,,174,154,0,6,5,6,129,0,8,19.8,12,1,3,1,3,1,0,3.9,3.25,3.9,83.77,0,5.19,7.78,30,PROVIDENCE,Other school association(s),,,,,,,
A9106146,GEORGE N HUNT CAMPUS SCHOOL,6,17,420 FRUIT HILL AVE,NORTH PROVIDENCE,44007,007,RI,44,02911,4013533900,180,5.5,Yes,,,,1,,1,2,2,4,5,3,2,2,5,3,30,30,0,0,2,5,23,0,0,6.9,21,1,4,3,3,2,0,0,6.67,16.67,76.67,0,0,4.35,30,PROVIDENCE,This school does not belong to ANY associations or organizations,,,,,,,
