Wyoming
National Center for Education Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSS Private School Universe Survey data 2015-2016 school year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The file contains (30) records based on your search.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user. For more information about this data, visit the PSS homepage. http://nces.ed.gov/surveys/pss",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSS_SCHOOL_ID,PSS_INST,LoGrade,HiGrade,PSS_ADDRESS,PSS_CITY,PSS_COUNTY_NO,PSS_COUNTY_FIPS,PSS_STABB,PSS_FIPS,PSS_ZIP5,PSS_PHONE,PSS_SCH_DAYS,PSS_STU_DAY_HRS,PSS_LIBRARY,PSS_ENROLL_UG,PSS_ENROLL_PK,PSS_ENROLL_K,PSS_ENROLL_1,PSS_ENROLL_2,PSS_ENROLL_3,PSS_ENROLL_4,PSS_ENROLL_5,PSS_ENROLL_6,PSS_ENROLL_7,PSS_ENROLL_8,PSS_ENROLL_9,PSS_ENROLL_10,PSS_ENROLL_11,PSS_ENROLL_12,PSS_ENROLL_T,PSS_ENROLL_TK12,PSS_RACE_AI,PSS_RACE_AS,PSS_RACE_H,PSS_RACE_B,PSS_RACE_W,PSS_RACE_P,PSS_RACE_2,PSS_FTE_TEACH,PSS_LOCALE,PSS_COED,PSS_TYPE,PSS_LEVEL,PSS_RELIG,PSS_COMM_TYPE,PSS_INDIAN_PCT,PSS_ASIAN_PCT,PSS_HISP_PCT,PSS_BLACK_PCT,PSS_WHITE_PCT,P_PACISL_PCT,P_TWOMORE_PCT,PSS_STDTCH_RT,PSS_ORIENT,PSS_COUNTY_NAME,PSS_ASSOC_1,PSS_ASSOC_2,PSS_ASSOC_3,PSS_ASSOC_4,PSS_ASSOC_5,PSS_ASSOC_6,PSS_ASSOC_7,PSS_ASSOC_8
A0503768,BIG HORN BASIN CHILDREN'S CENTER,6,12,PO BOX 112,THERMOPOLIS,56017,017,WY,56,82443,3078642171,245,7.5,Yes,,,,1,,2,1,4,1,2,,,,,,11,11,1,0,1,0,9,0,0,4.3,41,1,4,1,3,4,9.09,0,9.09,0,81.82,0,0,2.56,30,HOT SPRINGS,,,,,,,,
A1303776,CORNERSTONE CHRISTIAN SCHOOL,3,13,80 MORTIMORE LN,LANDER,56013,013,WY,56,82520,3073326000,174,7.17,Yes,,,1,1,2,,1,3,2,2,5,,,,,17,17,1,0,0,1,14,0,1,4.3,41,1,6,1,2,4,5.88,0,0,5.88,82.35,0,5.88,3.95,8,FREMONT,Association of Christian Schools International (ACSI),,,,,,,
A9904560,DESTINY CHRISTIAN ACADEMY,3,17,215 E 8TH ST,CHEYENNE,56021,021,WY,56,82007,3076353759,185,7,No,,,6,1,2,2,3,4,4,1,3,2,2,1,2,33,33,0,0,2,1,30,0,0,4,13,1,1,3,2,1,0,0,6.06,3.03,90.91,0,0,8.25,4,LARAMIE,Other school association(s),,,,,,,
02069286,HERITAGE CHRISTIAN SCHOOL,2,17,510 WALL STREET CT,GILLETTE,56005,005,WY,56,82718,3076861392,180,6.67,No,,20,4,4,2,,4,,5,1,,,,1,1,42,22,1,0,2,0,19,0,0,4.9,33,1,1,3,2,3,4.55,0,9.09,0,86.36,0,0,4.49,8,CAMPBELL,Association of Christian Schools International (ACSI),,,,,,,
01548237,HOLY NAME CATHOLIC SCHOOL,2,13,121 S CONNOR ST,SHERIDAN,56033,033,WY,56,82801,3076722021,185,7,Yes,,35,17,11,8,10,10,10,5,9,6,,,,,121,86,0,0,2,0,84,0,0,15.5,33,1,1,1,1,3,0,0,2.33,0,97.67,0,0,5.55,1,SHERIDAN,This school does not belong to ANY associations or organizations,,,,,,,
01548248,HOLY SPIRIT CATHOLIC SCHOOL,2,9,210 A ST,ROCK SPRINGS,56037,037,WY,56,82901,3073626077,180,7,No,,17,10,6,7,15,8,,,,,,,,,63,46,0,0,13,0,31,0,2,7,33,1,1,1,1,3,0,0,28.26,0,67.39,0,4.35,6.57,1,SWEETWATER,National Catholic Educational Association (NCEA),,,,,,,
A0903887,JACKSON HOLE COMMUNITY SCHOOL,14,17,PO BOX 6787,JACKSON,56039,039,WY,56,83002,3077335427,175,6.83,No,,,,,,,,,,,,13,20,24,27,84,84,0,0,2,0,82,0,0,19.8,33,1,1,2,3,3,0,0,2.38,0,97.62,0,0,4.24,30,TETON,National Association of Independent Schools (NAIS),State or regional independent school association,,,,,,
A0702503,JOHN PAUL II CATHOLIC SCHOOL AT ST MATTHEW'S,2,11,1000 BUTLER SPAETH RD,GILLETTE,56005,005,WY,56,82716,3076864114,175,7,Yes,,76,28,28,18,25,17,18,15,,,,,,,225,149,1,0,10,1,135,0,2,13.3,33,1,1,1,1,3,0.67,0,6.71,0.67,90.6,0,1.34,11.2,1,CAMPBELL,National Catholic Educational Association (NCEA),,,,,,,
01548521,LAURA E MASON CHRISTIAN ACADEMY,8,13,723 STOREY BLVD,CHEYENNE,56021,021,WY,56,82009,3076382457,175,7.5,Yes,,,,,,2,1,1,,1,2,,,,,7,7,0,0,0,0,7,0,0,1,13,1,1,1,2,1,0,0,0,0,100,0,0,7,28,LARAMIE,Other school association(s),,,,,,,
A0508465,LEARNING TREE CHRISTIAN SCHOOL,2,3,820 W FETTERMAN ST,BUFFALO,56019,019,WY,56,82834,3076847509,180,3.5,Yes,,105,15,,,,,,,,,,,,,120,15,0,0,2,0,13,0,0,1.3,33,1,7,1,2,3,0,0,13.33,0,86.67,0,0,11.54,8,JOHNSON,This school does not belong to ANY associations or organizations,,,,,,,
