Texas
National Center for Education Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSS Private School Universe Survey data 2015-2016 school year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The file contains (1178) records based on your search.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user. For more information about this data, visit the PSS homepage. http://nces.ed.gov/surveys/pss",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSS_SCHOOL_ID,PSS_INST,LoGrade,HiGrade,PSS_ADDRESS,PSS_CITY,PSS_COUNTY_NO,PSS_COUNTY_FIPS,PSS_STABB,PSS_FIPS,PSS_ZIP5,PSS_PHONE,PSS_SCH_DAYS,PSS_STU_DAY_HRS,PSS_LIBRARY,PSS_ENROLL_UG,PSS_ENROLL_PK,PSS_ENROLL_K,PSS_ENROLL_1,PSS_ENROLL_2,PSS_ENROLL_3,PSS_ENROLL_4,PSS_ENROLL_5,PSS_ENROLL_6,PSS_ENROLL_7,PSS_ENROLL_8,PSS_ENROLL_9,PSS_ENROLL_10,PSS_ENROLL_11,PSS_ENROLL_12,PSS_ENROLL_T,PSS_ENROLL_TK12,PSS_RACE_AI,PSS_RACE_AS,PSS_RACE_H,PSS_RACE_B,PSS_RACE_W,PSS_RACE_P,PSS_RACE_2,PSS_FTE_TEACH,PSS_LOCALE,PSS_COED,PSS_TYPE,PSS_LEVEL,PSS_RELIG,PSS_COMM_TYPE,PSS_INDIAN_PCT,PSS_ASIAN_PCT,PSS_HISP_PCT,PSS_BLACK_PCT,PSS_WHITE_PCT,P_PACISL_PCT,P_TWOMORE_PCT,PSS_STDTCH_RT,PSS_ORIENT,PSS_COUNTY_NAME,PSS_ASSOC_1,PSS_ASSOC_2,PSS_ASSOC_3,PSS_ASSOC_4,PSS_ASSOC_5,PSS_ASSOC_6,PSS_ASSOC_7,PSS_ASSOC_8
A0771713,A HABITAT FOR LEARNING,3,14,3242 BELTWAY S,ABILENE,48441,441,TX,48,79606,3256922481,253,6,No,,,20,13,,2,1,,2,,,1,,,,39,39,0,0,7,2,29,0,1,4,41,1,1,3,3,4,0,0,17.95,5.13,74.36,0,2.56,9.75,30,TAYLOR,This school does not belong to ANY associations or organizations,,,,,,,
A1171647,ABACUS SCHOOL OF AUSTIN,2,3,14115 AVERY RANCH BLVD,AUSTIN,48491,491,TX,48,78717,5123812200,249,6,Yes,,103,19,,,,,,,,,,,,,122,19,4,3,2,0,8,0,2,2,11,1,7,1,3,1,21.05,15.79,10.53,0,42.11,0,10.53,9.5,30,WILLIAMSON,This school does not belong to ANY associations or organizations,,,,,,,
BB162757,ABBA INDEPENDENT LEARNING CENTER,2,17,1035 FAIRMONT PKWY,PASADENA,48201,201,TX,48,77504,7135686294,194,9,No,,,,1,,1,,,,,,,,,1,20,,0,0,4,4,9,0,1,0.6,21,1,4,3,2,2,,,,,,,,,8,HARRIS,Other school association(s),,,,,,,
A1102137,ABERCORN INTERNATIONAL SCHOOL,2,9,601 RANCH ROAD 620 S,LAKEWAY,48453,453,TX,48,78734,5122638160,173,6.75,Yes,,26,7,12,7,5,11,,,,,,,,,68,42,0,5,2,0,35,0,0,8.5,21,1,1,1,3,2,0,11.9,4.76,0,83.33,0,0,4.94,30,TRAVIS,State or regional independent school association,,,,,,,
BB943634,ABERCROMBIE ACADEMY,2,10,17102 THEISS MAIL ROUTE RD,SPRING,48201,201,TX,48,77379,2813741730,175,6.5,Yes,,35,15,10,12,13,11,10,,,,,,,,106,71,0,30,10,5,22,0,4,7.9,21,1,1,1,3,2,0,42.25,14.08,7.04,30.99,0,5.63,8.99,30,HARRIS,Other school association(s),,,,,,,
01328969,ABIDING WORD LUTHERAN SCHOOL,3,13,17123 RED OAK DR,HOUSTON,48201,201,TX,48,77090,2818957048,175,7,Yes,,,8,15,17,7,14,14,13,9,8,,,,,105,105,0,1,4,19,81,0,0,8.8,21,1,1,1,2,2,0,0.95,3.81,18.1,77.14,0,0,11.93,22,HARRIS,This school does not belong to ANY associations or organizations,,,,,,,
A0790159,ACE ACADEMY,2,17,3901 SHOAL CREEK BLVD,AUSTIN,48453,453,TX,48,78756,5122064070,,7.25,Yes,,3,7,17,25,11,22,12,12,13,12,5,2,,3,144,141,,,,,,,,43.6,11,1,3,3,3,1,,,,,,,,3.23,30,TRAVIS,This school does not belong to ANY associations or organizations,,,,,,,
A0702181,ACHIEVERS CENTER FOR EDUCATION,10,16,5084 DE ZAVALA RD,SAN ANTONIO,48029,029,TX,48,78249,2106907359,182,7,Yes,,,,,,,,3,1,,3,2,,1,,10,10,0,0,3,0,7,0,0,3.5,11,1,4,3,2,1,0,0,30,0,70,0,0,2.86,25,BEXAR,Other religious school association(s),,,,,,,
A1592191,ADVANCED PREPARATORY INTERNATIONAL,14,17,5787 S HAMPTON RD STE 115,DALLAS,48113,113,TX,48,75232,9722900660,,7,Yes,,,,,,,,,,,,4,7,8,7,26,26,0,0,2,22,1,0,1,6,11,1,1,2,2,1,0,0,7.69,84.62,3.85,0,3.85,4.33,8,DALLAS,Accelerated Christian Education (ACE) or (School of Tomorrow),,,,,,,
AA000341,ADVENTIST CHRISTIAN ACADEMY OF TEXAS,2,17,3601 S LOOP 336 E,CONROE,48339,339,TX,48,77301,9365203407,180,7,Yes,,7,9,5,9,10,5,10,11,8,7,7,5,8,5,106,99,6,5,52,10,26,0,0,6.9,41,1,1,3,2,4,6.06,5.05,52.53,10.1,26.26,0,0,14.35,28,MONTGOMERY,Other school association(s),,,,,,,
