New Jersey
National Center for Education Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSS Private School Universe Survey data 2015-2016 school year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The file contains (794) records based on your search.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user. For more information about this data, visit the PSS homepage. http://nces.ed.gov/surveys/pss",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSS_SCHOOL_ID,PSS_INST,LoGrade,HiGrade,PSS_ADDRESS,PSS_CITY,PSS_COUNTY_NO,PSS_COUNTY_FIPS,PSS_STABB,PSS_FIPS,PSS_ZIP5,PSS_PHONE,PSS_SCH_DAYS,PSS_STU_DAY_HRS,PSS_LIBRARY,PSS_ENROLL_UG,PSS_ENROLL_PK,PSS_ENROLL_K,PSS_ENROLL_1,PSS_ENROLL_2,PSS_ENROLL_3,PSS_ENROLL_4,PSS_ENROLL_5,PSS_ENROLL_6,PSS_ENROLL_7,PSS_ENROLL_8,PSS_ENROLL_9,PSS_ENROLL_10,PSS_ENROLL_11,PSS_ENROLL_12,PSS_ENROLL_T,PSS_ENROLL_TK12,PSS_RACE_AI,PSS_RACE_AS,PSS_RACE_H,PSS_RACE_B,PSS_RACE_W,PSS_RACE_P,PSS_RACE_2,PSS_FTE_TEACH,PSS_LOCALE,PSS_COED,PSS_TYPE,PSS_LEVEL,PSS_RELIG,PSS_COMM_TYPE,PSS_INDIAN_PCT,PSS_ASIAN_PCT,PSS_HISP_PCT,PSS_BLACK_PCT,PSS_WHITE_PCT,P_PACISL_PCT,P_TWOMORE_PCT,PSS_STDTCH_RT,PSS_ORIENT,PSS_COUNTY_NAME,PSS_ASSOC_1,PSS_ASSOC_2,PSS_ASSOC_3,PSS_ASSOC_4,PSS_ASSOC_5,PSS_ASSOC_6,PSS_ASSOC_7,PSS_ASSOC_8
02043767,1ST CEREBRAL PALSY OF NJ,2,17,7 SANFORD AVE,BELLEVILLE,34013,013,NJ,34,07109,9737510200,180,6,Yes,,7,4,2,4,2,2,2,4,,9,6,4,4,14,64,57,0,7,25,21,4,0,0,12,21,1,4,3,3,2,0,12.28,43.86,36.84,7.02,0,0,4.75,30,ESSEX,This school does not belong to ANY associations or organizations,,,,,,,
A9502733,A CHILD S PLACE SCHOOL,2,2,1409 W FRONT ST,LINCROFT,34025,025,NJ,34,07738,7327470141,168,6,Yes,20,38,,,,,,,,,,,,,,58,20,0,1,1,0,18,0,0,2.6,21,1,6,3,3,2,0,5,5,0,90,0,0,7.69,30,MONMOUTH,National Association for the Education of Young Children (NAEYC),Other special emphasis association(s),,,,,,
A1170989,ABC NURSERY SCHOOL AND KINDERGARTEN LLC,2,4,243 MILL LN W,COLUMBUS,34005,005,NJ,34,08022,6092980780,185,6,Yes,,15,5,,,,,,,,,,,,,20,5,0,0,0,0,5,0,0,3.1,41,1,7,1,3,4,0,0,0,0,100,0,0,1.61,30,BURLINGTON,National Association for the Education of Young Children (NAEYC),,,,,,,
A0302049,ABC SPECTRUM PRESCHOOL,2,3,PO BOX 41,TENNENT,34025,025,NJ,34,07763,7329383931,174,5,Yes,,71,12,,,,,,,,,,,,,83,12,0,0,1,1,10,0,0,1,21,1,7,1,3,2,0,0,8.33,8.33,83.33,0,0,12,30,MONMOUTH,National Association for the Education of Young Children (NAEYC),,,,,,,
A0302050,ABC'S OF LEARNING,2,3,74 JACKSONVILLE RD,TOWACO,34027,027,NJ,34,07082,9733349900,190,7,No,,38,4,,,,,,,,,,,,,42,4,0,0,0,0,4,0,0,1,21,1,2,1,3,2,0,0,0,0,100,0,0,4,30,MORRIS,This school does not belong to ANY associations or organizations,,,,,,,
A9104268,ABILITY SCHOOL,2,13,75 KNICKERBOCKER RD,ENGLEWOOD,34003,003,NJ,34,07631,2018718808,180,7.5,Yes,,5,5,5,4,8,5,2,5,6,5,,,,,50,45,0,1,8,20,13,3,0,7.1,21,1,1,1,3,2,0,2.22,17.78,44.44,28.89,6.67,0,6.34,30,BERGEN,This school does not belong to ANY associations or organizations,,,,,,,
A9104404,ABUNDANT LIFE ACADEMY,6,17,390 WASHINGTON AVE,NUTLEY,34013,013,NJ,34,07110,9736679700,182,6.75,Yes,,,,32,33,24,28,22,32,32,33,19,26,11,10,302,302,2,29,163,54,29,0,25,28.3,21,1,1,3,2,2,0.66,9.6,53.97,17.88,9.6,0,8.28,10.67,26,ESSEX,Association of Christian Schools International (ACSI),Other religious school association(s),,,,,,
A1301885,ABUNDANT LIFE CHRISTIAN SCHOOL,2,17,43 S JEFFERSON RD,WHIPPANY,34027,027,NJ,34,07981,9738882083,180,6,Yes,,16,16,7,12,14,7,3,9,1,6,2,3,4,4,104,88,0,3,18,14,31,0,22,8.9,21,1,1,3,2,2,0,3.41,20.45,15.91,35.23,0,25,9.89,8,MORRIS,Association of Christian Schools International (ACSI),Other school association(s),,,,,,
A1502314,ACADEMY OF GREATNESS AND EXCELLENCE,2,13,441 NORTH STREET,TEANECK,34003,003,NJ,34,07666,2014335002,,7,No,,,,,,,,,,,,,,,,210,,,,,,,,,28.3,21,1,1,1,2,2,,,,,,,,,17,BERGEN,This school does not belong to ANY associations or organizations,,,,,,,
00862959,ACADEMY OF OUR LADY OF GRACE,2,13,400 KAMENA STREET,FAIRVIEW,34003,003,NJ,34,07022,2019458300,180,7,Yes,15,80,45,32,45,46,40,27,26,25,32,,,,,413,333,12,16,156,8,82,8,51,20,21,1,1,1,1,2,3.6,4.8,46.85,2.4,24.62,2.4,15.32,16.65,1,BERGEN,National Catholic Educational Association (NCEA),,,,,,,
