Alaska
National Center for Education Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSS Private School Universe Survey data 2015-2016 school year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The file contains (42) records based on your search.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user. For more information about this data, visit the PSS homepage. http://nces.ed.gov/surveys/pss",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSS_SCHOOL_ID,PSS_INST,LoGrade,HiGrade,PSS_ADDRESS,PSS_CITY,PSS_COUNTY_NO,PSS_COUNTY_FIPS,PSS_STABB,PSS_FIPS,PSS_ZIP5,PSS_PHONE,PSS_SCH_DAYS,PSS_STU_DAY_HRS,PSS_LIBRARY,PSS_ENROLL_UG,PSS_ENROLL_PK,PSS_ENROLL_K,PSS_ENROLL_1,PSS_ENROLL_2,PSS_ENROLL_3,PSS_ENROLL_4,PSS_ENROLL_5,PSS_ENROLL_6,PSS_ENROLL_7,PSS_ENROLL_8,PSS_ENROLL_9,PSS_ENROLL_10,PSS_ENROLL_11,PSS_ENROLL_12,PSS_ENROLL_T,PSS_ENROLL_TK12,PSS_RACE_AI,PSS_RACE_AS,PSS_RACE_H,PSS_RACE_B,PSS_RACE_W,PSS_RACE_P,PSS_RACE_2,PSS_FTE_TEACH,PSS_LOCALE,PSS_COED,PSS_TYPE,PSS_LEVEL,PSS_RELIG,PSS_COMM_TYPE,PSS_INDIAN_PCT,PSS_ASIAN_PCT,PSS_HISP_PCT,PSS_BLACK_PCT,PSS_WHITE_PCT,P_PACISL_PCT,P_TWOMORE_PCT,PSS_STDTCH_RT,PSS_ORIENT,PSS_COUNTY_NAME,PSS_ASSOC_1,PSS_ASSOC_2,PSS_ASSOC_3,PSS_ASSOC_4,PSS_ASSOC_5,PSS_ASSOC_6,PSS_ASSOC_7,PSS_ASSOC_8
00023935,AMAZING GRACE ACADEMY,2,17,PO BOX 3229,PALMER,02170,170,AK,02,99645,9077452691,180,7.17,Yes,,1,11,6,5,6,7,7,10,6,9,12,6,7,2,95,94,4,4,3,6,75,0,2,7.4,32,1,1,3,2,3,4.26,4.26,3.19,6.38,79.79,0,2.13,12.7,28,MATANUSKA-SUSITNA,General Conference of the Seventh-Day Adventist Church (GCSDAC),,,,,,,
02001352,ANCHOR LUTHERAN SCHOOL,2,13,8100 ARCTIC BLVD,ANCHORAGE,02020,020,AK,02,99518,9075223636,181,6.5,Yes,,104,12,10,14,12,14,15,8,13,8,,,,,210,106,7,0,10,0,70,2,17,10.8,11,1,1,1,2,1,6.6,0,9.43,0,66.04,1.89,16.04,9.81,20,ANCHORAGE,Other religious school association(s),State or regional independent school association,,,,,,
00023924,ANCHORAGE JUNIOR ACADEMY,2,13,5511 OMALLEY RD,ANCHORAGE,02020,020,AK,02,99507,9073462164,180,7.27,Yes,,4,5,8,8,4,6,5,6,4,4,,,,,54,50,0,6,10,4,14,1,15,4,11,1,1,1,2,1,0,12,20,8,28,2,30,12.5,28,ANCHORAGE,Other school association(s),,,,,,,
K9300004,ANCHORAGE MONTESSORI SCHOOL,2,11,5001 NORTHWOOD DR,ANCHORAGE,02020,020,AK,02,99517,9072762240,180,6.5,Yes,,122,20,5,10,4,6,2,3,,,,,,,172,50,1,1,0,0,44,1,3,3,11,1,2,1,3,1,2,2,0,0,88,2,6,16.67,30,ANCHORAGE,American Montessori Society (AMS),State or regional independent school association,,,,,,
A9700054,ANCHORAGE WALDORF SCHOOL,2,11,3250 BAXTER RD,ANCHORAGE,02020,020,AK,02,99504,9073339062,168,6.5,No,,7,25,7,8,9,4,4,9,,,,,,,73,66,0,3,1,0,52,0,10,9.3,11,1,3,1,3,1,0,4.55,1.52,0,78.79,0,15.15,7.1,30,ANCHORAGE,Association of Waldorf Schools of North America (AWSNA),,,,,,,
A0900093,BIRCHWOOD CHRISTIAN SCHOOL,2,17,22208 BIRCHWOOD LOOP RD,CHUGIAK,02020,020,AK,02,99567,9076882228,169,6.5,No,,32,11,7,9,6,17,7,6,16,9,16,16,7,8,167,135,7,1,5,5,112,3,2,11.3,31,1,1,3,2,3,5.19,0.74,3.7,3.7,82.96,2.22,1.48,11.95,8,ANCHORAGE,Association of Christian Schools International (ACSI),,,,,,,
A0700033,BRISTOL BAY CHRISTIAN LEARNING CENTER,1,1,PO BOX 257,KING SALMON,02060,060,AK,02,99613,9072467323,180,6.75,Yes,3,,,,,,,,,,,,,,,3,3,3,0,0,0,0,0,0,1,43,1,1,3,2,4,100,0,0,0,0,0,0,3,8,BRISTOL BAY,Accelerated Christian Education (ACE) or (School of Tomorrow),,,,,,,
00023629,CATHOLIC SCHOOLS OF FAIRBANKS,2,17,615 MONROE ST,FAIRBANKS,02090,090,AK,02,99701,9074522044,172,6.33,Yes,,20,23,33,31,23,30,34,23,36,28,41,25,32,24,403,383,32,19,21,12,270,1,28,45,13,1,1,3,1,1,8.36,4.96,5.48,3.13,70.5,0.26,7.31,8.51,1,FAIRBANKS NORTH STAR,Jesuit Secondary Education Association (JSEA),National Catholic Educational Association (NCEA),,,,,,
01922068,CLOVER PASS CHRISTIAN SCHOOL,2,7,105 N POINT HIGGINS RD,KETCHIKAN,02130,130,AK,02,99901,9072472350,174,7,Yes,,19,3,3,4,,,,,,,,,,,29,10,0,0,1,0,9,0,0,3,41,1,1,1,2,4,0,0,10,0,90,0,0,3.33,29,KETCHIKAN GATEWAY,Association of Christian Schools International (ACSI),,,,,,,
01922079,COOK INLET ACADEMY,2,17,45872 KALIFORNSKY BEACH RD,SOLDOTNA,02122,122,AK,02,99669,9072625101,180,6.75,Yes,,25,21,3,9,8,6,9,5,7,8,10,5,8,4,128,103,9,3,2,0,65,3,21,9,41,1,1,3,2,4,8.74,2.91,1.94,0,63.11,2.91,20.39,11.44,8,KENAI PENINSULA,Association of Christian Schools International (ACSI),,,,,,,
