Indiana
National Center for Education Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSS Private School Universe Survey data 2015-2016 school year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The file contains (565) records based on your search.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user. For more information about this data, visit the PSS homepage. http://nces.ed.gov/surveys/pss",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSS_SCHOOL_ID,PSS_INST,LoGrade,HiGrade,PSS_ADDRESS,PSS_CITY,PSS_COUNTY_NO,PSS_COUNTY_FIPS,PSS_STABB,PSS_FIPS,PSS_ZIP5,PSS_PHONE,PSS_SCH_DAYS,PSS_STU_DAY_HRS,PSS_LIBRARY,PSS_ENROLL_UG,PSS_ENROLL_PK,PSS_ENROLL_K,PSS_ENROLL_1,PSS_ENROLL_2,PSS_ENROLL_3,PSS_ENROLL_4,PSS_ENROLL_5,PSS_ENROLL_6,PSS_ENROLL_7,PSS_ENROLL_8,PSS_ENROLL_9,PSS_ENROLL_10,PSS_ENROLL_11,PSS_ENROLL_12,PSS_ENROLL_T,PSS_ENROLL_TK12,PSS_RACE_AI,PSS_RACE_AS,PSS_RACE_H,PSS_RACE_B,PSS_RACE_W,PSS_RACE_P,PSS_RACE_2,PSS_FTE_TEACH,PSS_LOCALE,PSS_COED,PSS_TYPE,PSS_LEVEL,PSS_RELIG,PSS_COMM_TYPE,PSS_INDIAN_PCT,PSS_ASIAN_PCT,PSS_HISP_PCT,PSS_BLACK_PCT,PSS_WHITE_PCT,P_PACISL_PCT,P_TWOMORE_PCT,PSS_STDTCH_RT,PSS_ORIENT,PSS_COUNTY_NAME,PSS_ASSOC_1,PSS_ASSOC_2,PSS_ASSOC_3,PSS_ASSOC_4,PSS_ASSOC_5,PSS_ASSOC_6,PSS_ASSOC_7,PSS_ASSOC_8
A0700925,2450 CHILDCARE INC DBA HAPPY DAYS CHILDC,2,3,2645 MAIN ST,HIGHLAND,18089,089,IN,18,46322,2199231333,180,6,Yes,,30,10,,,,,,,,,,,,,40,10,,,,,,,,1,21,1,7,1,3,2,,,,,,,,10,30,LAKE,This school does not belong to ANY associations or organizations,,,,,,,
A0790077,A CHILDREN'S HABITAT MONTESSORI SCHOOL,2,3,801 W 73RD ST,INDIANAPOLIS,18097,097,IN,18,46260,3177265584,176,6.5,Yes,,58,15,,,,,,,,,,,,,73,15,0,2,0,0,13,0,0,2.8,11,1,2,1,3,1,0,13.33,0,0,86.67,0,0,5.36,30,MARION,American Montessori Society (AMS),,,,,,,
00425908,"ABC LEARNING CENTRE, INC. (DBA ABC-STEWART SCHOOL",2,11,6691 W STATE ROAD 46,COLUMBUS,18005,005,IN,18,47201,8123423029,176,7,No,,75,27,15,16,12,19,10,14,,,,,,,188,113,0,21,2,2,86,0,2,18.9,41,1,2,1,3,4,0,18.58,1.77,1.77,76.11,0,1.77,5.98,30,BARTHOLOMEW,American Montessori Society (AMS),Other Montessori association(s),,,,,,
A0740052,ABOITE CHRISTIAN SCHOOL,2,13,14615 WINTERS RD,ROANOKE,18003,003,IN,18,46783,2606728544,180,7,Yes,,1,5,5,3,3,6,7,5,4,4,,,,,43,42,0,15,13,1,11,2,0,3.1,41,1,1,1,2,4,0,35.71,30.95,2.38,26.19,4.76,0,13.55,28,ALLEN,General Conference of the Seventh-Day Adventist Church (GCSDAC),,,,,,,
K9500247,ABUNDANT LIFE PRESCHOOL,2,3,7606 E 82ND ST,INDIANAPOLIS,18097,097,IN,18,46256,3178454914,180,7,Yes,,112,12,,,,,,,,,,,,,124,12,0,0,0,3,7,0,2,1.1,11,1,7,1,2,1,0,0,0,25,58.33,0,16.67,10.91,4,MARION,This school does not belong to ANY associations or organizations,,,,,,,
A1101057,ACACIA ACADEMY,3,13,830 S MAIN ST,KOKOMO,18067,067,IN,18,46901,7654575545,180,7.5,No,,,7,15,11,14,10,8,5,4,3,,,,,77,77,0,2,4,4,66,0,1,8.3,13,1,1,1,2,1,0,2.6,5.19,5.19,85.71,0,1.3,9.28,8,HOWARD,Association of Classical and Christian Schools,,,,,,,
A1501658,ADVENT LUTHERAN PRESCHOOL,2,3,11250 N MICHIGAN RD,ZIONSVILLE,18011,011,IN,18,46077,3178736318,170,2.75,No,,65,6,,,,,,,,,,,,,71,6,0,0,0,0,5,0,1,1,13,1,7,1,2,1,0,0,0,0,83.33,0,16.67,6,20,HAMILTON,This school does not belong to ANY associations or organizations,,,,,,,
00426832,ADVENTIST CHRISTIAN ELEMENTARY,3,13,2230 N MARTHA ST,BLOOMINGTON,18105,105,IN,18,47408,3172608588,180,6.75,Yes,,,1,2,3,4,,,,2,2,,,,,14,14,0,1,1,0,11,1,0,1,13,1,1,1,2,1,0,7.14,7.14,0,78.57,7.14,0,14,28,MONROE,General Conference of the Seventh-Day Adventist Church (GCSDAC),Other school association(s),,,,,,
A0700887,AGAPE GARDEN MONTESSORI SCHOOL,2,7,804 S PURDUM ST,KOKOMO,18067,067,IN,18,46901,7658687250,188,6,Yes,,5,5,1,1,,,,,,,,,,,12,7,0,0,0,1,4,0,2,2,13,1,2,1,2,1,0,0,0,14.29,57.14,0,28.57,3.5,8,HOWARD,Other Montessori association(s),,,,,,,
02026537,AGAPE LEARNING CENTER,2,3,3200 S 14TH ST,NEW CASTLE,18065,065,IN,18,47362,7655298774,180,6.5,No,,36,12,,,,,,,,,,,,,48,12,0,3,0,1,8,0,0,1,32,1,7,1,2,3,0,25,0,8.33,66.67,0,0,12,29,HENRY,This school does not belong to ANY associations or organizations,,,,,,,
A1192057,ALGEBRAIC INSTITUTE FOR HUMAN EXCELLENCE,2,3,PO BOX 502307,INDIANAPOLIS,18097,097,IN,18,46250,3176837055,180,6,Yes,,6,1,,,,,,,,,,,,,7,1,0,0,0,1,0,0,0,2,21,1,7,1,3,2,0,0,0,100,0,0,0,0.5,30,MARION,This school does not belong to ANY associations or organizations,,,,,,,
00424755,ALVARADO SCHOOL,6,13,5070 S 800 E,HAMILTON,18151,151,IN,18,46742,5672391435,167,6,No,,,,6,5,5,5,4,2,6,6,,,,,39,39,0,0,0,0,39,0,0,2.9,42,1,1,1,2,4,0,0,0,0,100,0,0,13.45,3,STEUBEN,This school does not belong to ANY associations or organizations,,,,,,,
A0103192,AMBASSADOR CHRISTIAN ACADEMY,2,15,900 W RIDGE RD,GARY,18089,089,IN,18,46408,2198874473,180,7.5,No,,31,31,31,22,25,20,17,25,21,11,9,5,,,248,217,0,0,3,208,0,0,6,15.8,13,1,1,3,2,1,0,0,1.38,95.85,0,0,2.76,13.73,8,LAKE,Association of Christian Schools International (ACSI),,,,,,,
01901365,ANDERSON CHRISTIAN SCHOOL,2,17,5401 S MADISON AVE,ANDERSON,18095,095,IN,18,46013,7656490123,180,7.12,Yes,,10,6,3,5,8,2,10,2,2,4,1,,1,2,56,46,0,2,0,0,36,0,8,6.3,13,1,1,3,2,1,0,4.35,0,0,78.26,0,17.39,7.3,9,MADISON,National Christian School Association (NCSA),,,,,,,
00423376,ANDREAN HIGH SCHOOL,14,17,5959 BROADWAY,MERRILLVILLE,18089,089,IN,18,46410,2198875959,178,7.33,Yes,,,,,,,,,,,,140,134,153,123,550,550,0,20,65,133,311,0,21,43.8,21,1,1,2,1,2,0,3.64,11.82,24.18,56.55,0,3.82,12.56,1,LAKE,National Catholic Educational Association (NCEA),National Christian School Association (NCSA),,,,,,
A0301416,APOSTOLIC CHRISTIAN ACADEMY,2,17,710 E COUNTY ROAD 160 N,NORTH VERNON,18079,079,IN,18,47265,8123465980,180,7.5,Yes,,1,,2,,,2,1,,,1,1,,1,2,11,10,0,0,0,0,10,0,0,3.9,41,1,1,3,2,4,0,0,0,0,100,0,0,2.56,26,JENNINGS,Accelerated Christian Education (ACE) or (School of Tomorrow),Other special emphasis association(s),,,,,,
01901398,APOSTOLIC CHRISTIAN SCHOOL,3,17,1500 MILLER AVE,SHELBYVILLE,18145,145,IN,18,46176,3173929538,180,6,Yes,,,6,2,2,3,3,4,1,2,3,3,2,1,2,34,34,0,0,0,0,34,0,0,6.8,32,1,1,3,2,3,0,0,0,0,100,0,0,5,26,SHELBY,Accelerated Christian Education (ACE) or (School of Tomorrow),,,,,,,
00423387,AQUINAS CATHOLIC COMMUNITY SCHOOL,2,13,801 W 73RD AVE,MERRILLVILLE,18089,089,IN,18,46410,2197692049,180,6.75,Yes,4,12,16,15,11,14,13,17,18,12,20,,,,,152,140,0,1,44,47,35,0,13,8.5,21,1,1,1,1,2,0,0.71,31.43,33.57,25,0,9.29,16.47,1,LAKE,National Catholic Educational Association (NCEA),,,,,,,
