National Center for Education Statistics,,,,,,,,,,,,,,,,,,,,,,,,,
"CCD public school data 2015-2016, 2016-2017 school years",,,,,,,,,,,,,,,,,,,,,,,,,
The file contains (4798) records based on your search.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES:* denotes a column with data from 2015-2016,,,,,,,,,,,,,,,,,,,,,,,,,
"[ � ] indicates that the data are not applicable. For example, the enrollment and staff characteristics for schools that opened in the 2016-2017 school year will not be available until the full 2016-2017 file is released.",,,,,,,,,,,,,,,,,,,,,,,,,
[ � ] indicates that the data are missing.,,,,,,,,,,,,,,,,,,,,,,,,,
[ � ] indicates that the data do not meet NCES data quality standards.,,,,,,,,,,,,,,,,,,,,,,,,,
"The directory information on school name, address, and phone number are preliminary data from initial submissions of school level data for 2016-2017.",,,,,,,,,,,,,,,,,,,,,,,,,
"SEARCH CRITERIA: State: ""New York""�-�School Description: ""Regular, Special Education, Vocational, Other/Alternative""",,,,,,,,,,,,,,,,,,,,,,,,,
"NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user. To download full CCD datasets, please go to the CCD home page. http://nces.ed.gov/ccd",,,,,,,,,,,,,,,,,,,,,,,,,
NCES School ID,State School ID,NCES District ID,State District ID,Low Grade*,High Grade*,School Name,District,County Name*,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Locale Code*,Locale*,Charter,Magnet*,Title I School*,Title 1 School Wide*,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*
3.6001E+11,NY-343000010000-343000010300,3600102,NY-343000010000,KG,08,30TH AVENUE SCHOOL (THE),NEW YORK CITY GEOGRAPHIC DISTRICT #30,Queens County,28-37 29TH ST,ASTORIA,NY,11102,,(718)726-0501,11,City: Large,No,–,Yes,No,238.00000,12.95000,18.4000000,52.00000,9.00000
3.60008E+11,NY-310200010000-310200010347,3600077,NY-310200010000,PK,08,47 AMERICAN SIGN LANGUAGE AND ENGLISH LOWER SCHOOL (THE),NEW YORK CITY GEOGRAPHIC DISTRICT # 2,New York County,223 E 23RD ST,NEW YORK,NY,10010,,(914)326-6609,11,City: Large,No,–,Yes,Yes,191.00000,31.93000,6.0000000,126.00000,3.00000
3.6001E+11,NY-342400010000-342400010877,3600098,NY-342400010000,04,05,51ST AVENUE ACADEMY (THE PATH TO ACADEMIC EXCELLENCE),NEW YORK CITY GEOGRAPHIC DISTRICT #24,Queens County,76-05 51ST AVE,ELMHURST,NY,11373,,(718)429-5287,11,City: Large,No,–,Yes,Yes,489.00000,32.00000,15.3000000,404.00000,38.00000
3.62343E+11,NY-051101040000-051101040001,3623430,NY-051101040000,PK,06,A A GATES ELEMENTARY SCHOOL,PORT BYRON CENTRAL SCHOOL DISTRICT,Cayuga County,30 MAPLE AVE,PORT BYRON,NY,13140,9647,(315)776-5728,41,Rural: Fringe,No,No,Yes,Yes,474.00000,32.87000,14.4000000,220.00000,28.00000
3.62367E+11,NY-512902060000-512902060004,3623670,NY-512902060000,05,08,A A KINGSTON MIDDLE SCHOOL,POTSDAM CENTRAL SCHOOL DISTRICT,St. Lawrence County,29 LEROY ST,POTSDAM,NY,13676,1787,(315)265-2000,33,Town: Remote,No,No,Yes,Yes,401.00000,23.03000,17.4000000,125.00000,18.00000
3.60558E+11,NY-261801060000-261801060005,3605580,NY-261801060000,06,08,A D OLIVER MIDDLE SCHOOL,BROCKPORT CENTRAL SCHOOL DISTRICT,Monroe County,40 ALLEN ST,BROCKPORT,NY,14420,2296,(585)637-1860,31,Town: Fringe,No,No,Yes,Yes,797.00000,74.11000,10.8000000,273.00000,70.00000
3.60273E+11,NY-031701060000-031701060004,3602730,NY-031701060000,PK,08,A F PALMER ELEMENTARY SCHOOL / WINDSOR CENTRAL MIDDLE SCHOOL,WINDSOR CENTRAL SCHOOL DISTRICT,Broome County,213 MAIN ST,WINDSOR,NY,13865,4134,(607)655-8247,42,Rural: Distant,No,No,Yes,Yes,558.00000,57.25000,9.7000000,228.00000,43.00000
3.61656E+11,NY-141401060000-141401060008,3616560,NY-141401060000,KG,05,A J SCHMIDT ELEMENTARY SCHOOL,EVANS-BRANT CENTRAL SCHOOL DISTRICT (LAKE SHORE),Erie County,9455 LAKE SHORE RD,ANGOLA,NY,14006,9400,(716)926-2351,21,Suburb: Large,No,No,Yes,Yes,319.00000,25.94000,12.3000000,122.00000,19.00000
3.62778E+11,NY-261001060000-261001060005,3627780,NY-261001060000,06,08,A M COSGROVE MIDDLE SCHOOL,SPENCERPORT CENTRAL SCHOOL DISTRICT,Monroe County,2749 SPENCERPORT RD,SPENCERPORT,NY,14559,1991,(585)349-5302,21,Suburb: Large,No,No,Yes,No,840.00000,72.26000,11.6000000,189.00000,53.00000
3.62019E+11,NY-500108030000-500108030003,3620190,NY-500108030000,07,08,A MACARTHUR BARR MIDDLE SCHOOL,NANUET UNION FREE SCHOOL DISTRICT,Rockland County,143 CHURCH ST,NANUET,NY,10954,3089,(845)627-4044,21,Suburb: Large,No,No,Yes,No,363.00000,19.06000,19.0000000,45.00000,12.00000
3.62019E+11,NY-500108030000-500108030005,3620190,NY-500108030000,05,06,A MACARTHUR BARR MIDDLE SCHOOL 5-6 ACADEMY FOR EXCELLENCE,NANUET UNION FREE SCHOOL DISTRICT,Rockland County,143 CHURCH ST,NANUET,NY,10954,3089,(845)627-4046,21,Suburb: Large,No,No,Yes,No,337.00000,20.00000,16.9000000,63.00000,11.00000
3.60008E+11,NY-310600010000-310600011540,3600083,NY-310600010000,09,12,A PHILIP RANDOLPH CAMPUS HIGH SCHOOL,NEW YORK CITY GEOGRAPHIC DISTRICT # 6,New York County,433 W 135TH ST,NEW YORK,NY,10031,,(212)690-6810,11,City: Large,No,–,Yes,Yes,1457.00000,73.09000,19.9000000,1129.00000,66.00000
