National Center for Education Statistics,,,,,,,,,,,,,,,,,,,,,,,,,
"CCD public school data 2015-2016, 2016-2017 school years",,,,,,,,,,,,,,,,,,,,,,,,,
The file contains (605) records based on your search.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES:* denotes a column with data from 2015-2016,,,,,,,,,,,,,,,,,,,,,,,,,
"[ � ] indicates that the data are not applicable. For example, the enrollment and staff characteristics for schools that opened in the 2016-2017 school year will not be available until the full 2016-2017 file is released.",,,,,,,,,,,,,,,,,,,,,,,,,
[ � ] indicates that the data are missing.,,,,,,,,,,,,,,,,,,,,,,,,,
[ � ] indicates that the data do not meet NCES data quality standards.,,,,,,,,,,,,,,,,,,,,,,,,,
"The directory information on school name, address, and phone number are preliminary data from initial submissions of school level data for 2016-2017.",,,,,,,,,,,,,,,,,,,,,,,,,
"SEARCH CRITERIA: State: ""Maine""�-�School Description: ""Regular, Special Education, Vocational, Other/Alternative""",,,,,,,,,,,,,,,,,,,,,,,,,
"NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user. To download full CCD datasets, please go to the CCD home page. http://nces.ed.gov/ccd",,,,,,,,,,,,,,,,,,,,,,,,,
NCES School ID,State School ID,NCES District ID,State District ID,Low Grade*,High Grade*,School Name,District,County Name*,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Locale Code*,Locale*,Charter,Magnet*,Title I School*,Title 1 School Wide*,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*
2.30282E+11,ME-42-45,2302820,ME-42,PK,03,Abraham Lincoln School,Bangor Public Schools,Penobscot County,45 Forest Avenue,Bangor,ME,04401,,(207)941-6280,13,City: Small,No,No,Yes,Yes,220.00000,17.70000,12.4000000,111.00000,10.00000
2.31481E+11,ME-1508-615,2314809,ME-1508,02,05,Academy Hill School,RSU 09,Franklin County,585 Depot St,Wilton,ME,04294,,(207)645-3844,42,Rural: Distant,No,No,Yes,Yes,188.00000,15.00000,12.5000000,101.00000,15.00000
2.31483E+11,ME-1761-1765,2314831,ME-1761,01,02,Acadia Academy School,Acadia Academy,†,12 Westminster Street,Lewiston,ME,04240,,(207)333-3765,†,N,Yes,†,†,†,†,†,†,†,†
2.30222E+11,ME-2-3,2302220,ME-2,PK,08,Acton Elementary School,Acton Public Schools,York County,700 Milton Mills Road,Acton,ME,04001,,(207)636-2100,42,Rural: Distant,No,No,Yes,No,210.00000,21.00000,10.0000000,69.00000,17.00000
2.30408E+11,ME-125-126,2304080,ME-125,KG,08,Adams School,Castine Public Schools,Hancock County,PO Box 29,Castine,ME,04421,,(207)326-8608,42,Rural: Distant,No,No,Yes,No,55.00000,7.90000,7.0000000,8.00000,3.00000
2.31077E+11,ME-646-659,2310770,ME-646,PK,04,Agnes Gray School,RSU 17/MSAD 17,Oxford County,170 Main Street,West Paris,ME,04289,,(207)674-2332,42,Rural: Distant,No,No,Yes,Yes,105.00000,9.40000,11.2000000,67.00000,9.00000
2.3025E+11,ME-1038-1039,2302500,ME-1038,PK,07,Airline Community School,Airline CSD,Hancock County,26 Great Pond Road,Aurora,ME,04408,,(207)359-5002,42,Rural: Distant,No,No,Yes,Yes,41.00000,4.20000,9.8000000,13.00000,4.00000
2.31335E+11,ME-480-481,2313350,ME-480,04,05,Albert S Hall School,Waterville Public Schools,Kennebec County,27 Pleasant Street,Waterville,ME,04901,,(207)872-8071,33,Town: Remote,No,No,Yes,Yes,274.00000,21.40000,12.8000000,182.00000,5.00000
2.31433E+11,ME-826-827,2314330,ME-826,KG,06,Albion Elementary School,RSU 49/MSAD 49,Kennebec County,20 School Street,Albion,ME,04910,,(207)437-2616,42,Rural: Distant,No,No,Yes,Yes,127.00000,10.80000,11.8000000,68.00000,12.00000
2.30228E+11,ME-4-5,2302280,ME-4,PK,08,Alexander Elementary,Alexander Public Schools,Washington County,1430 Airline Road,Alexander,ME,04694,,(207)454-2623,42,Rural: Distant,No,No,Yes,Yes,38.00000,4.90000,7.8000000,18.00000,3.00000
2.31467E+11,ME-888-889,2314670,ME-888,KG,05,Alfred Elementary School,RSU 57/MSAD 57,York County,21 Sanford Road,Alfred,ME,04002,,(207)324-3831,41,Rural: Fringe,No,No,Yes,No,208.00000,14.20000,14.6000000,64.00000,14.00000
2.31478E+11,ME-1466-8,2314782,ME-1466,PK,03,Alton Elementary School,RSU 34,Penobscot County,22 Argyle Rd,Alton,ME,04468,,(207)394-2331,42,Rural: Distant,No,No,Yes,Yes,38.00000,5.00000,7.6000000,17.00000,7.00000
2.31482E+11,ME-1733-739,2314822,ME-1733,02,05,Ames Elementary School,RSU 71,Waldo County,165 New England Road,Searsmont,ME,04973,,(207)342-5100,42,Rural: Distant,No,–,Yes,Yes,130.00000,11.20000,11.6000000,46.00000,12.00000
