National Center for Education Statistics,,,,,,,,,,,,,,,,,,,,,,,,,
"CCD public school data 2015-2016, 2016-2017 school years",,,,,,,,,,,,,,,,,,,,,,,,,
The file contains (223) records based on your search.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES:* denotes a column with data from 2015-2016,,,,,,,,,,,,,,,,,,,,,,,,,
"[ � ] indicates that the data are not applicable. For example, the enrollment and staff characteristics for schools that opened in the 2016-2017 school year will not be available until the full 2016-2017 file is released.",,,,,,,,,,,,,,,,,,,,,,,,,
[ � ] indicates that the data are missing.,,,,,,,,,,,,,,,,,,,,,,,,,
[ � ] indicates that the data do not meet NCES data quality standards.,,,,,,,,,,,,,,,,,,,,,,,,,
"The directory information on school name, address, and phone number are preliminary data from initial submissions of school level data for 2016-2017.",,,,,,,,,,,,,,,,,,,,,,,,,
"SEARCH CRITERIA: State: ""District of Columbia""�-�School Description: ""Regular, Special Education, Vocational, Other/Alternative""",,,,,,,,,,,,,,,,,,,,,,,,,
"NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user. To download full CCD datasets, please go to the CCD home page. http://nces.ed.gov/ccd",,,,,,,,,,,,,,,,,,,,,,,,,
NCES School ID,State School ID,NCES District ID,State District ID,Low Grade*,High Grade*,School Name,District,County Name*,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Locale Code*,Locale*,Charter,Magnet*,Title I School*,Title 1 School Wide*,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*
1.10007E+11,DC-155-217,1100072,DC-155,PK,03,Achievement Preparatory PCS Elementary,Achievement Preparatory Academy PCS,District of Columbia,908 Wahler Pl SE,Washington,DC,20032,,(202)727-7373,11,City: Large,Yes,No,Yes,Yes,273.00000,31.00000,8.8000000,147.00000,29.00000
1.10007E+11,DC-155-1100,1100072,DC-155,04,08,Achievement Preparatory PCS Middle School,Achievement Preparatory Academy PCS,District of Columbia,908 Wahler Pl SE,Washington,DC,20032,,(202)562-1214,11,City: Large,Yes,No,Yes,Yes,383.00000,33.80000,11.3000000,288.00000,31.00000
1.10003E+11,DC-001-202,1100030,DC-001,PK,05,Aiton ES,District of Columbia Public Schools,District of Columbia,533 48th Pl  NE,Washington,DC,20019,,(202)671-6060,11,City: Large,No,No,Yes,Yes,260.00000,22.00000,11.8000000,260.00000,0.00000
1.10003E+11,DC-001-203,1100030,DC-001,PK,05,Amidon Bowen ES,District of Columbia Public Schools,District of Columbia,401 I St  SW,Washington,DC,20024,,(202)724-4867,11,City: Large,No,No,Yes,Yes,356.00000,28.00000,12.7000000,356.00000,0.00000
1.10003E+11,DC-001-450,1100030,DC-001,09,12,Anacostia HS,District of Columbia Public Schools,District of Columbia,1601 16th St  SE,Washington,DC,20020,,(202)698-2155,11,City: Large,No,No,Yes,Yes,597.00000,60.00000,10.0000000,597.00000,0.00000
1.10005E+11,DC-103-140,1100054,DC-103,PK,PK,AppleTree Early Learning Center PCS Columbia Heights,AppleTree Early Learning PCS,District of Columbia,2750 14th St NW,Washington,DC,20009,,(202)667-9490,11,City: Large,Yes,No,No,†,158.00000,16.00000,9.9000000,90.00000,10.00000
1.10005E+11,DC-103-3073,1100054,DC-103,PK,PK,AppleTree Early Learning Center PCS Lincoln Park,AppleTree Early Learning PCS,District of Columbia,138 12th St NE,Washington,DC,20002,,(202)621-6581,11,City: Large,Yes,No,No,†,60.00000,5.00000,12.0000000,8.00000,3.00000
1.10005E+11,DC-103-1137,1100054,DC-103,PK,PK,AppleTree Early Learning Center PCS Oklahoma Avenue,AppleTree Early Learning PCS,District of Columbia,330 21st St NE,Washington,DC,20002,,(202)629-2179,11,City: Large,Yes,No,No,†,156.00000,16.00000,9.8000000,77.00000,77.00000
1.10005E+11,DC-103-3072,1100054,DC-103,PK,PK,AppleTree Early Learning Center PCS Southeast,AppleTree Early Learning PCS,District of Columbia,2017 Savannah Terrace SE,Washington,DC,20020,,(202)667-9490,11,City: Large,Yes,No,No,†,177.00000,16.00000,11.1000000,87.00000,87.00000
1.10005E+11,DC-103-141,1100054,DC-103,PK,PK,AppleTree Early Learning Center PCS Southwest,AppleTree Early Learning PCS,District of Columbia,801 7th St SW,Washington,DC,20024,,(202)646-0500,11,City: Large,Yes,No,No,†,102.00000,11.00000,9.3000000,56.00000,16.00000
1.10003E+11,DC-001-452,1100030,DC-001,09,12,Ballou HS,District of Columbia Public Schools,District of Columbia,3401 4th St  SE,Washington,DC,20032,,(202)645-3400,11,City: Large,No,No,Yes,Yes,933.00000,73.80000,12.6000000,933.00000,0.00000
1.10003E+11,DC-001-462,1100030,DC-001,09,12,Ballou STAY,District of Columbia Public Schools,District of Columbia,3401 4th St SE,Washington,DC,20032,,(202)645-3390,11,City: Large,No,No,No,†,252.00000,18.20000,13.8000000,252.00000,0.00000
1.10003E+11,DC-001-204,1100030,DC-001,PK,05,Bancroft ES at Sharpe,District of Columbia Public Schools,District of Columbia,4300 13th St NW,Washington,DC,20011,,(202)673-7280,11,City: Large,No,No,Yes,Yes,521.00000,48.00000,10.9000000,521.00000,0.00000
1.10003E+11,DC-001-205,1100030,DC-001,PK,05,Barnard ES,District of Columbia Public Schools,District of Columbia,430 Decatur St  NW,Washington,DC,20011,,(202)576-1100,11,City: Large,No,No,Yes,Yes,637.00000,54.00000,11.8000000,637.00000,0.00000
1.10008E+11,DC-168-3068,1100083,DC-168,05,12,BASIS DC PCS,Basis DC PCS,District of Columbia,410 8th St NW,Washington,DC,20004,,(202)393-5437,11,City: Large,Yes,No,Yes,Yes,599.00000,41.45000,14.5000000,94.00000,10.00000
1.10003E+11,DC-001-206,1100030,DC-001,PK,05,Beers ES,District of Columbia Public Schools,District of Columbia,3600 Alabama Ave  SE,Washington,DC,20020,,(202)939-4800,11,City: Large,No,No,Yes,Yes,437.00000,36.00000,12.1000000,437.00000,0.00000
1.10003E+11,DC-001-402,1100030,DC-001,09,12,Benjamin Banneker HS,District of Columbia Public Schools,District of Columbia,800 Euclid St  NW,Washington,DC,20001,,(202)671-6320,11,City: Large,No,Yes,Yes,Yes,454.00000,28.50000,15.9000000,454.00000,0.00000
1.1001E+11,DC-189-289,1100104,DC-189,PK,PK,Breakthrough Montessori PCS,Breakthrough Montessori PCS,†,1244 Taylor St NW,Washington,DC,20011,,(202)810-5603,†,N,Yes,†,†,†,†,†,†,†,†
1.10003E+11,DC-001-212,1100030,DC-001,PK,05,Brent ES,District of Columbia Public Schools,District of Columbia,301 North Carolina Ave  SE,Washington,DC,20003,,(202)698-3363,11,City: Large,No,No,No,†,384.00000,30.00000,12.8000000,30.00000,5.00000
1.10006E+11,DC-107-142,1100055,DC-107,PK,04,Bridges PCS,Bridges PCS,District of Columbia,100 Gallatin St NE,Washington,DC,20011,,(202)545-0515,11,City: Large,Yes,No,Yes,Yes,333.00000,31.00000,10.7000000,165.00000,165.00000
1.10003E+11,DC-001-213,1100030,DC-001,PK,08,Brightwood EC,District of Columbia Public Schools,District of Columbia,1300 Nicholson St NW,Washington,DC,20011,,(202)722-5670,11,City: Large,No,No,Yes,Yes,709.00000,64.00000,11.1000000,709.00000,0.00000
1.10003E+11,DC-001-347,1100030,DC-001,06,08,Brookland MS,District of Columbia Public Schools,District of Columbia,1150 Michigan Ave NE,Washington,DC,20017,,(202)759-1999,11,City: Large,No,No,Yes,Yes,315.00000,22.61000,13.9000000,315.00000,0.00000
1.10003E+11,DC-001-404,1100030,DC-001,PK,08,Browne EC,District of Columbia Public Schools,District of Columbia,850 26th St  NE,Washington,DC,20002,,(202)671-6210,11,City: Large,No,No,Yes,Yes,333.00000,34.50000,9.7000000,333.00000,0.00000
1.10003E+11,DC-001-296,1100030,DC-001,PK,05,Bruce Monroe ES at Park View,District of Columbia Public Schools,District of Columbia,3560 Warder St  NW,Washington,DC,20010,,(202)576-6222,11,City: Large,No,No,Yes,Yes,470.00000,50.00000,9.4000000,470.00000,0.00000
1.10003E+11,DC-001-346,1100030,DC-001,PK,05,Bunker Hill ES,District of Columbia Public Schools,District of Columbia,1401 Michigan Ave NE,Washington,DC,20017,,(202)576-6095,11,City: Large,No,No,Yes,Yes,156.00000,10.50000,14.9000000,156.00000,0.00000
1.10003E+11,DC-001-220,1100030,DC-001,PK,05,Burroughs ES,District of Columbia Public Schools,District of Columbia,1820 Monroe St  NE,Washington,DC,20018,,(202)576-6150,11,City: Large,No,No,Yes,Yes,285.00000,26.50000,10.8000000,285.00000,0.00000
1.10003E+11,DC-001-221,1100030,DC-001,PK,05,Burrville ES,District of Columbia Public Schools,District of Columbia,801 Division Ave  NE,Washington,DC,20019,,(202)671-6020,11,City: Large,No,No,Yes,Yes,326.00000,25.00000,13.0000000,326.00000,0.00000
1.10003E+11,DC-001-247,1100030,DC-001,PK,05,C W  Harris ES,District of Columbia Public Schools,District of Columbia,301 53rd St  SE,Washington,DC,20019,,(202)645-3188,11,City: Large,No,No,Yes,Yes,293.00000,24.00000,12.2000000,293.00000,0.00000
1.10004E+11,DC-108-1207,1100035,DC-108,09,12,Capital City PCS High,Capital City PCS,District of Columbia,100 Peabody St NW,Washington,DC,20011,,(202)808-9800,11,City: Large,Yes,No,Yes,Yes,333.00000,37.20000,9.0000000,165.00000,165.00000
1.10004E+11,DC-108-184,1100035,DC-108,PK,04,Capital City PCS Lower,Capital City PCS,District of Columbia,100 Peabody St NW,Washington,DC,20011,,(202)808-9800,11,City: Large,Yes,No,Yes,Yes,324.00000,32.50000,10.0000000,163.00000,46.00000
1.10004E+11,DC-108-182,1100035,DC-108,05,08,Capital City PCS Middle,Capital City PCS,District of Columbia,100 Peabody St NW,Washington,DC,20011,,(202)808-9800,11,City: Large,Yes,No,Yes,Yes,324.00000,35.00000,9.3000000,184.00000,51.00000
1.10003E+11,DC-001-360,1100030,DC-001,PK,08,Capitol Hill Montessori School at Logan,District of Columbia Public Schools,District of Columbia,215 G St NE,Washington,DC,20002,,(202)698-4467,11,City: Large,No,No,No,†,330.00000,19.50000,16.9000000,58.00000,14.00000
1.10003E+11,DC-001-454,1100030,DC-001,06,12,Cardozo EC,District of Columbia Public Schools,District of Columbia,1200 Clifton St NW,Washington,DC,20009,,(202)673-7385,11,City: Large,No,No,Yes,Yes,783.00000,78.90000,9.9000000,783.00000,0.00000
1.10003E+11,DC-123-188,1100029,DC-123,PK,KG,Cedar Tree Academy PCS,Cedar Tree Academy PCS,District of Columbia,701 Howard Rd SE,Washington,DC,20020,,(202)610-4193,11,City: Large,Yes,No,Yes,Yes,366.00000,20.00000,18.3000000,363.00000,0.00000
1.10007E+11,DC-156-1103,1100073,DC-156,PK,08,Center City PCS Brightwood,Center City PCS,District of Columbia,6008 Georgia Ave NW,Washington,DC,20011,,(202)723-3322,11,City: Large,Yes,No,Yes,Yes,252.00000,21.00000,12.0000000,168.00000,20.00000
1.10007E+11,DC-156-1104,1100073,DC-156,PK,08,Center City PCS Capitol Hill,Center City PCS,District of Columbia,1503 East Capitol St SE,Washington,DC,20003,,(202)547-7556,11,City: Large,Yes,No,Yes,Yes,244.00000,15.00000,16.3000000,121.00000,121.00000
1.10007E+11,DC-156-1105,1100073,DC-156,PK,08,Center City PCS Congress Heights,Center City PCS,District of Columbia,220 High View Pl SE,Washington,DC,20032,,(202)562-7070,11,City: Large,Yes,No,Yes,Yes,243.00000,16.00000,15.2000000,199.00000,17.00000
1.10007E+11,DC-156-1106,1100073,DC-156,PK,08,Center City PCS Petworth,Center City PCS,District of Columbia,510 Webster St NW,Washington,DC,20011,,(202)726-9212,11,City: Large,Yes,No,Yes,Yes,251.00000,19.00000,13.2000000,171.00000,32.00000
1.10007E+11,DC-156-1107,1100073,DC-156,PK,08,Center City PCS Shaw,Center City PCS,District of Columbia,711 N St NW,Washington,DC,20001,,(202)234-1093,11,City: Large,Yes,No,Yes,Yes,237.00000,18.00000,13.2000000,168.00000,31.00000
1.10007E+11,DC-156-1108,1100073,DC-156,PK,08,Center City PCS Trinidad,Center City PCS,District of Columbia,1217 W Virginia Ave NE,Washington,DC,20002,,(202)397-1614,11,City: Large,Yes,No,Yes,Yes,211.00000,13.00000,16.2000000,119.00000,3.00000
1.10001E+11,DC-109-153,1100005,DC-109,09,12,Cesar Chavez PCS for Public Policy Capitol Hill,Cesar Chavez PCS for Public Policy,District of Columbia,709 12th St SE,Washington,DC,20003,,(202)547-3424,11,City: Large,Yes,No,Yes,Yes,387.00000,32.10000,12.1000000,35.00000,143.00000
1.10001E+11,DC-109-127,1100005,DC-109,06,09,Cesar Chavez PCS for Public Policy Chavez Prep,Cesar Chavez PCS for Public Policy,District of Columbia,770 Kenyon St NW,Washington,DC,20010,,(202)723-3975,11,City: Large,Yes,No,Yes,Yes,357.00000,28.00000,12.8000000,184.00000,26.00000
1.10001E+11,DC-109-109,1100005,DC-109,09,12,Cesar Chavez PCS for Public Policy Parkside High,Cesar Chavez PCS for Public Policy,District of Columbia,3701 Hayes St  NE,Washington,DC,20019,,(202)398-2230,11,City: Large,Yes,No,Yes,Yes,374.00000,27.00000,13.9000000,271.00000,0.00000
1.10001E+11,DC-109-102,1100005,DC-109,06,08,Cesar Chavez PCS for Public Policy Parkside Middle,Cesar Chavez PCS for Public Policy,District of Columbia,3701 Hayes St  NE,Washington,DC,20019,,(202)398-2230,11,City: Large,Yes,No,Yes,Yes,302.00000,20.00000,15.1000000,166.00000,0.00000
1.10005E+11,DC-153-210,1100053,DC-153,PK,08,City Arts and Prep PCS,City Arts & Prep PCS,District of Columbia,705 Edgewood St NE,Washington,DC,20017,,(202)269-4646,11,City: Large,Yes,No,Yes,Yes,467.00000,37.00000,12.6000000,231.00000,22.00000
1.10003E+11,DC-001-224,1100030,DC-001,PK,05,Cleveland ES,District of Columbia Public Schools,District of Columbia,1825 8th St  NW,Washington,DC,20001,,(202)939-4380,11,City: Large,No,No,Yes,Yes,319.00000,25.00000,12.8000000,319.00000,0.00000
1.10003E+11,DC-001-442,1100030,DC-001,06,12,Columbia Heights EC,District of Columbia Public Schools,District of Columbia,3101 16th St  NW,Washington,DC,20010,,(202)939-7700,11,City: Large,No,Yes,Yes,Yes,1393.00000,104.50000,13.3000000,1390.00000,0.00000
1.10003E+11,DC-001-455,1100030,DC-001,09,12,Coolidge HS,District of Columbia Public Schools,District of Columbia,6315 5th St  NW,Washington,DC,20011,,(202)671-6080,11,City: Large,No,No,Yes,Yes,384.00000,41.00000,9.4000000,384.00000,0.00000
1.10008E+11,DC-169-3069,1100084,DC-169,PK,06,Creative Minds International PCS,Creative Minds International PCS,District of Columbia,3700 North Capitol St NW,Washington,DC,20011,,(202)588-0370,11,City: Large,Yes,No,Yes,Yes,237.00000,21.50000,11.0000000,36.00000,16.00000
1.10004E+11,DC-114-199,1100042,DC-114,PK,05,DC Bilingual PCS,DC Bilingual PCS,District of Columbia,33 Riggs Rd NE,Washington,DC,20011,,(202)750-6674,11,City: Large,Yes,No,Yes,Yes,403.00000,49.00000,8.2000000,0.00000,0.00000
1.10005E+11,DC-115-276,1100048,DC-115,PK,KG,DC Preparatory Academy PCS Anacostia Elementary,DC Prep PCS,District of Columbia,1102 W St SE,Washington,DC,20020,,(202)780-5126,11,City: Large,Yes,No,Yes,Yes,141.00000,18.00000,7.8000000,83.00000,31.00000
1.10005E+11,DC-115-1110,1100048,DC-115,PK,03,DC Preparatory Academy PCS Benning Elementary,DC Prep PCS,District of Columbia,100 41st St NE,Washington,DC,20019,,(202)398-2838,11,City: Large,Yes,No,Yes,Yes,444.00000,42.00000,10.6000000,221.00000,221.00000
1.10005E+11,DC-115-218,1100048,DC-115,04,07,DC Preparatory Academy PCS Benning Middle,DC Prep PCS,District of Columbia,100 41st St NE,Washington,DC,20019,,(202)396-3780,11,City: Large,Yes,No,Yes,Yes,223.00000,21.50000,10.4000000,91.00000,91.00000
1.10005E+11,DC-115-130,1100048,DC-115,PK,03,DC Preparatory Academy PCS Edgewood Elementary,DC Prep PCS,District of Columbia,707 Edgewood St NE,Washington,DC,20017,,(202)635-4411,11,City: Large,Yes,No,Yes,Yes,441.00000,43.00000,10.3000000,281.00000,46.00000
1.10005E+11,DC-115-196,1100048,DC-115,04,08,DC Preparatory Academy PCS Edgewood Middle,DC Prep PCS,District of Columbia,701 Edgewood St NE,Washington,DC,20017,,(202)832-5700,11,City: Large,Yes,No,Yes,Yes,310.00000,33.50000,9.3000000,152.00000,51.00000
1.10009E+11,DC-170-3070,1100085,DC-170,PK,07,DC Scholars PCS,DC Scholars PCS,District of Columbia,5601 E  Capitol SE,Washington,DC,20019,,(202)559-6138,11,City: Large,Yes,No,Yes,Yes,446.00000,32.50000,13.7000000,222.00000,222.00000
1.10003E+11,DC-001-405,1100030,DC-001,06,08,Deal MS,District of Columbia Public Schools,District of Columbia,3815 Fort Dr  NW,Washington,DC,20016,,(202)939-2010,11,City: Large,No,No,No,†,1341.00000,93.00000,14.4000000,164.00000,21.00000
1.1001E+11,DC-179-234,1100095,DC-179,PK,07,Democracy Prep Congress Heights PCS,Democracy Prep Congress Heights PCS,District of Columbia,3100 ML King Ave SE,Washington,DC,20032,,(202)561-0860,11,City: Large,Yes,No,Yes,Yes,627.00000,45.00000,13.9000000,302.00000,302.00000
1.1001E+11,DC-181-248,1100097,DC-181,06,09,District of Columbia International School,District of Columbia International School,District of Columbia,3220 16th St NW,Washington,DC,20010,,(202)808-9033,11,City: Large,Yes,No,Yes,Yes,404.00000,32.00000,12.6000000,185.00000,31.00000
1.10003E+11,DC-001-349,1100030,DC-001,PK,05,Dorothy I Height ES,District of Columbia Public Schools,District of Columbia,1300 Allison St NW,Washington,DC,20011,,(202)723-4100,11,City: Large,No,No,Yes,Yes,492.00000,45.50000,10.8000000,492.00000,0.00000
1.10003E+11,DC-001-231,1100030,DC-001,PK,05,Drew ES,District of Columbia Public Schools,District of Columbia,5600 Eads St  NE,Washington,DC,20019,,(202)671-6040,11,City: Large,No,No,Yes,Yes,247.00000,17.00000,14.5000000,247.00000,0.00000
1.10003E+11,DC-001-471,1100030,DC-001,09,12,Duke Ellington School of the Arts,District of Columbia Public Schools,District of Columbia,2501 11th St NW,Washington,DC,20001,,(202)282-0123,11,City: Large,No,Yes,No,†,525.00000,5.00000,105.0000000,123.00000,3.00000
1.10003E+11,DC-001-467,1100030,DC-001,09,12,Dunbar HS,District of Columbia Public Schools,District of Columbia,101 N St NW,Washington,DC,20001,,(202)698-3762,11,City: Large,No,No,Yes,Yes,653.00000,56.50000,11.6000000,653.00000,0.00000
1.10005E+11,DC-117-1125,1100049,DC-117,PK,03,Eagle Academy PCS Capitol Riverfront,Eagle Academy PCS,District of Columbia,1017 New Jersey Ave SE,Washington,DC,20003,,(202)459-6825,11,City: Large,Yes,No,Yes,Yes,141.00000,2.00000,70.5000000,69.00000,69.00000
1.10005E+11,DC-117-195,1100049,DC-117,PK,03,Eagle Academy PCS Congress Heights,Eagle Academy PCS,District of Columbia,3400 Wheeler Rd SE,Washington,DC,20032,,(202)544-2646,11,City: Large,Yes,No,Yes,Yes,785.00000,19.00000,41.3000000,391.00000,391.00000
