National Center for Education Statistics,,,,,,,,,,,,,,,,,,,,,,,,,
"CCD public school data 2015-2016, 2016-2017 school years",,,,,,,,,,,,,,,,,,,,,,,,,
The file contains (3591) records based on your search.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES:* denotes a column with data from 2015-2016,,,,,,,,,,,,,,,,,,,,,,,,,
"[ � ] indicates that the data are not applicable. For example, the enrollment and staff characteristics for schools that opened in the 2016-2017 school year will not be available until the full 2016-2017 file is released.",,,,,,,,,,,,,,,,,,,,,,,,,
[ � ] indicates that the data are missing.,,,,,,,,,,,,,,,,,,,,,,,,,
[ � ] indicates that the data do not meet NCES data quality standards.,,,,,,,,,,,,,,,,,,,,,,,,,
"The directory information on school name, address, and phone number are preliminary data from initial submissions of school level data for 2016-2017.",,,,,,,,,,,,,,,,,,,,,,,,,
"SEARCH CRITERIA: State: ""Ohio""�-�School Description: ""Regular, Special Education, Vocational, Other/Alternative""",,,,,,,,,,,,,,,,,,,,,,,,,
"NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user. To download full CCD datasets, please go to the CCD home page. http://nces.ed.gov/ccd",,,,,,,,,,,,,,,,,,,,,,,,,
NCES School ID,State School ID,NCES District ID,State District ID,Low Grade*,High Grade*,School Name,District,County Name*,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Locale Code*,Locale*,Charter,Magnet*,Title I School*,Title 1 School Wide*,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*
3.90472E+11,OH-047175-024547,3904717,OH-047175,KG,02,A J Jordak Elementary School,Cardinal Local,Geauga County,PO Box 188,Middlefield,OH,44062,0188,(440)632-0261,32,Town: Distant,No,–,Yes,Yes,253.00000,17.00000,14.9000000,168.00000,44.00000
3.90031E+11,OH-000556-000556,3900305,OH-000556,KG,08,A+ Arts Academy,A+ Arts Academy,Franklin County,1395 Fair Ave,Columbus,OH,43205,1543,(614)725-1305,11,City: Large,Yes,–,Yes,Yes,692.00000,28.00000,24.7000000,343.00000,0.00000
3.90148E+11,OH-013232-013232,3901480,OH-013232,KG,06,A+ Children's Academy,A+ Children's Academy,Franklin County,114 Obetz Rd,Columbus,OH,43207,4031,(614)491-8502,11,City: Large,Yes,–,Yes,Yes,133.00000,16.20000,8.2000000,106.00000,0.00000
3.90444E+11,OH-044388-115873,3904438,OH-044388,06,08,A. I. Root Middle School,Medina City SD,Medina County,333 W Sturbridge Dr,Medina,OH,44256,3891,(330)636-3500,21,Suburb: Large,No,–,No,†,806.00000,42.06000,19.2000000,78.00000,18.00000
3.90443E+11,OH-044305-009030,3904430,OH-044305,PK,01,Abraham Lincoln School,Maple Heights City,Cuyahoga County,6009 Dunham Rd,Maple Heights,OH,44137,4407,(216)438-6030,21,Suburb: Large,No,–,Yes,Yes,566.00000,23.00000,24.6000000,566.00000,0.00000
3.90438E+11,OH-043752-145581,3904375,OH-043752,PK,08,Academy for Multilingual Immersion Studies,Cincinnati City,Hamilton County,1908 Seymour Ave,Cincinnati,OH,45237,4007,(513)363-1800,11,City: Large,No,–,Yes,Yes,463.00000,24.00000,19.3000000,460.00000,0.00000
3.90147E+11,OH-013249-013249,3901472,OH-013249,09,12,Academy for Urban Scholars Youngstown,Academy for Urban Scholars Youngstown,Mahoning County,1350 5th Ave Ste 100 106,Youngstown,OH,44504,1765,(330)744-9070,13,City: Small,Yes,–,Yes,Yes,161.00000,3.00000,53.7000000,147.00000,4.00000
3.90059E+11,OH-008064-008064,3900594,OH-008064,KG,01,Academy of Arts and Sciences,Academy of Arts and Sciences,Lorain County,4101 Leavitt Rd,Lorain,OH,44053,2341,(440)244-0156,22,Suburb: Midsize,Yes,–,Yes,Yes,171.00000,9.50000,18.0000000,171.00000,0.00000
3.9015E+11,OH-013195-013195,3901502,OH-013195,KG,06,Academy of Educational Excellence,Academy of Educational Excellence,Lucas County,728 Parkside Blvd,Toledo,OH,43607,,(877)644-6338,11,City: Large,Yes,–,Yes,Yes,69.00000,0.00000,†,69.00000,0.00000
3.90438E+11,OH-043752-094623,3904375,OH-043752,PK,09,Academy Of World Languages Elementary School,Cincinnati City,Hamilton County,2030 Fairfax Ave,Cincinnati,OH,45207,1943,(513)363-7800,11,City: Large,No,–,Yes,Yes,527.00000,34.50000,15.3000000,504.00000,0.00000
