National Center for Education Statistics,,,,,,,,,,,,,,,,,,,,,,,,,
"CCD public school data 2015-2016, 2016-2017 school years",,,,,,,,,,,,,,,,,,,,,,,,,
The file contains (1424) records based on your search.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES:* denotes a column with data from 2015-2016,,,,,,,,,,,,,,,,,,,,,,,,,
"[ � ] indicates that the data are not applicable. For example, the enrollment and staff characteristics for schools that opened in the 2016-2017 school year will not be available until the full 2016-2017 file is released.",,,,,,,,,,,,,,,,,,,,,,,,,
[ � ] indicates that the data are missing.,,,,,,,,,,,,,,,,,,,,,,,,,
[ � ] indicates that the data do not meet NCES data quality standards.,,,,,,,,,,,,,,,,,,,,,,,,,
"The directory information on school name, address, and phone number are preliminary data from initial submissions of school level data for 2016-2017.",,,,,,,,,,,,,,,,,,,,,,,,,
"SEARCH CRITERIA: State: ""Maryland""�-�School Description: ""Regular, Special Education, Vocational, Other/Alternative""",,,,,,,,,,,,,,,,,,,,,,,,,
"NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user. To download full CCD datasets, please go to the CCD home page. http://nces.ed.gov/ccd",,,,,,,,,,,,,,,,,,,,,,,,,
NCES School ID,State School ID,NCES District ID,State District ID,Low Grade*,High Grade*,School Name,District,County Name*,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Locale Code*,Locale*,Charter,Magnet*,Title I School*,Title 1 School Wide*,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*
2.40051E+11,MD-16-161730,2400510,MD-16,PK,05,"""Mary Harris """"Mother"""" Jones Elementary""",Prince George's County Public Schools,Prince George's County,2405 Tecumseh St,Adelphi,MD,20783,1658,(301)408-7900,21,Suburb: Large,No,No,Yes,Yes,954.00000,63.26000,15.1000000,834.00000,53.00000
2.40048E+11,MD-15-150787,2400480,MD-15,06,08,A. Mario Loiederman Middle,Montgomery County Public Schools,Montgomery County,12701 Goodhill Rd,Silver Spring,MD,20906,,(301)929-2282,21,Suburb: Large,No,Yes,Yes,Yes,919.00000,62.60000,14.7000000,458.00000,113.00000
2.40009E+11,MD-30-300050,2400090,MD-30,PK,05,Abbottston Elementary,Baltimore City Public Schools,Baltimore city,1300 Gorsuch Ave,Baltimore,MD,21218,3620,(443)984-2685,11,City: Large,No,No,Yes,Yes,217.00000,11.00000,19.7000000,217.00000,0.00000
2.40039E+11,MD-12-120270,2400390,MD-12,09,12,Aberdeen High,Harford County Public Schools,Harford County,251 Paradise Rd,Aberdeen,MD,21001,2399,(410)273-5500,22,Suburb: Midsize,No,Yes,Yes,Yes,1453.00000,95.33000,15.2000000,507.00000,107.00000
2.40039E+11,MD-12-120265,2400390,MD-12,06,08,Aberdeen Middle,Harford County Public Schools,Harford County,111 Mount Royal Ave,Aberdeen,MD,21001,2492,(410)273-5510,22,Suburb: Midsize,No,No,Yes,Yes,1184.00000,80.34000,14.7000000,545.00000,121.00000
2.40039E+11,MD-12-120123,2400390,MD-12,PK,05,Abingdon Elementary,Harford County Public Schools,Harford County,399 Singer Rd,Abingdon,MD,21009,1614,(410)638-3910,22,Suburb: Midsize,No,No,No,†,809.00000,51.59000,15.7000000,154.00000,73.00000
2.40009E+11,MD-30-300427,2400090,MD-30,06,12,Academy for College and Career Exploration,Baltimore City Public Schools,Baltimore city,2801 Saint Lo Drive,Baltimore,MD,21213,,(410)396-7607,11,City: Large,No,No,Yes,Yes,608.00000,40.00000,15.2000000,608.00000,0.00000
2.40051E+11,MD-16-161350,2400510,MD-16,09,12,Academy of Health Sciences at PGCC,Prince George's County Public Schools,Prince George's County,301 Largo Rd,Largo,MD,20774,,(301)546-7247,21,Suburb: Large,No,Yes,No,†,407.00000,15.00000,27.1000000,143.00000,31.00000
2.40036E+11,MD-11-110501,2400360,MD-11,PK,05,Accident Elementary,Garrett County Public Schools,Garrett County,534 Accident-Bittinger Rd,Accident,MD,21520,1340,(301)746-8863,42,Rural: Distant,No,No,No,†,243.00000,20.00000,12.2000000,83.00000,23.00000
2.40051E+11,MD-16-160509,2400510,MD-16,KG,08,Accokeek Academy,Prince George's County Public Schools,Prince George's County,14400 Berry Rd,Accokeek,MD,20607,,(301)203-3200,41,Rural: Fringe,No,Yes,No,†,1445.00000,85.36000,16.9000000,464.00000,106.00000
