National Center for Education Statistics,,,,,,,,,,,,,,,,,,,,,,,,,
"CCD public school data 2015-2016, 2016-2017 school years",,,,,,,,,,,,,,,,,,,,,,,,,
The file contains (666) records based on your search.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES:* denotes a column with data from 2015-2016,,,,,,,,,,,,,,,,,,,,,,,,,
"[ � ] indicates that the data are not applicable. For example, the enrollment and staff characteristics for schools that opened in the 2016-2017 school year will not be available until the full 2016-2017 file is released.",,,,,,,,,,,,,,,,,,,,,,,,,
[ � ] indicates that the data are missing.,,,,,,,,,,,,,,,,,,,,,,,,,
[ � ] indicates that the data do not meet NCES data quality standards.,,,,,,,,,,,,,,,,,,,,,,,,,
"The directory information on school name, address, and phone number are preliminary data from initial submissions of school level data for 2016-2017.",,,,,,,,,,,,,,,,,,,,,,,,,
"SEARCH CRITERIA: State: ""Nevada""",,,,,,,,,,,,,,,,,,,,,,,,,
"NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user. To download full CCD datasets, please go to the CCD home page. http://nces.ed.gov/ccd",,,,,,,,,,,,,,,,,,,,,,,,,
NCES School ID,State School ID,NCES District ID,State District ID,Low Grade*,High Grade*,School Name,District,County Name*,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Locale Code*,Locale*,Charter,Magnet*,Title I School*,Title 1 School Wide*,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*
3.20048E+11,NV-16-16611,3200480,NV-16,09,12,Academy of Art  Careers and Technology,WASHOE COUNTY SCHOOL DISTRICT,Washoe County,380 Edison Way,Reno,NV,89502,,(775)861-4418,12,City: Midsize,No,Yes,No,†,524.00000,28.50000,18.4000000,94.00000,27.00000
3.20048E+11,NV-16-16608,3200480,NV-16,09,12,Academy of Career Education Charter School,WASHOE COUNTY SCHOOL DISTRICT,Washoe County,2800 Vassar Street,Reno,NV,89502,,(775)324-3900,12,City: Midsize,Yes,No,No,†,198.00000,–,†,30.00000,0.00000
3.20006E+11,NV-02-02161,3200060,NV-02,PK,05,Addeliar Guy Elementary School,CLARK COUNTY SCHOOL DISTRICT,Clark County,4028 La Madre Way,North Las Vegas,NV,89031,,(702)799-3150,21,Suburb: Large,No,No,Yes,Yes,622.00000,36.00000,17.3000000,374.00000,104.00000
3.20012E+11,NV-04-04503,3200120,NV-04,05,08,Adobe Middle School,ELKO COUNTY SCHOOL DISTRICT,Elko County,3375 Jennings Way,Elko,NV,89801,,(775)738-7236,41,Rural: Fringe,No,No,No,†,640.00000,31.00000,20.6000000,160.00000,53.00000
3.20006E+11,NV-02-02420,3200060,NV-02,09,12,Advanced Technologies Academy,CLARK COUNTY SCHOOL DISTRICT,Clark County,2501 Vegas Dr.,Las Vegas,NV,89106,,(702)799-7870,11,City: Large,No,Yes,No,†,1097.00000,55.00000,19.9000000,360.00000,163.00000
3.20006E+11,NV-02-02150,3200060,NV-02,PK,05,Aggie Roberts Elementary School,CLARK COUNTY SCHOOL DISTRICT,Clark County,227 Charter Oak St,Henderson,NV,89074,,(702)799-1320,11,City: Large,No,No,No,†,727.00000,41.00000,17.7000000,275.00000,63.00000
3.20048E+11,NV-16-16221,3200480,NV-16,PK,06,Agnes Risley Elementary School,WASHOE COUNTY SCHOOL DISTRICT,Washoe County,1900 Sullivan Lane,Sparks,NV,89431,,(775)353-5760,21,Suburb: Large,No,No,Yes,Yes,482.00000,27.50000,17.5000000,448.00000,0.00000
3.20039E+11,NV-13-13207,3200390,NV-13,PK,05,Al Seeliger Elementary School,CARSON CITY SCHOOL DISTRICT,Carson City,2800 South Saliman Road,Carson City,NV,89706,,(775)283-2200,13,City: Small,No,No,No,†,608.00000,34.00000,17.9000000,214.00000,46.00000
3.20021E+11,NV-07-07501,3200210,NV-07,09,12,Albert M Lowry High School,HUMBOLDT COUNTY SCHOOL DISTRICT,Humboldt County,5375 Kluncy Canyon Road,Winnemucca,NV,89445,,(775)623-8130,33,Town: Remote,No,No,No,†,968.00000,47.00000,20.6000000,207.00000,37.00000
3.20006E+11,NV-02-02194,3200060,NV-02,PK,05,Aldeane Comito Ries Elementary,CLARK COUNTY SCHOOL DISTRICT,Clark County,9805 S. Lindell Rd.,Las Vegas,NV,89141,,(702)799-1240,21,Suburb: Large,No,No,Yes,Yes,1051.00000,57.50000,18.3000000,396.00000,120.00000
3.20048E+11,NV-16-16260,3200480,NV-16,PK,06,Alice L Smith Elementary School,WASHOE COUNTY SCHOOL DISTRICT,Washoe County,1070 Beckwourth Drive,Reno,NV,89506,,(775)677-5410,12,City: Midsize,No,No,Yes,Yes,752.00000,41.00000,18.3000000,425.00000,83.00000
3.20048E+11,NV-16-16222,3200480,NV-16,PK,06,Alice Maxwell Elementary School,WASHOE COUNTY SCHOOL DISTRICT,Washoe County,2300 North Rock Boulevard,Sparks,NV,89431,,(775)353-5580,21,Suburb: Large,No,No,Yes,Yes,593.00000,34.00000,17.4000000,583.00000,0.00000
3.2E+11,NV-18-18412,3200001,NV-18,09,12,Alpine Academy,STATE-SPONSORED CHARTER SCHOOLS,Washoe County,605 Boxington Way Suite 112,Sparks,NV,89434,,(775)356-1166,21,Suburb: Large,Yes,No,No,†,120.00000,6.25000,19.2000000,–,–
3.20048E+11,NV-16-16265,3200480,NV-16,PK,06,Alyce Savage Taylor Elementary School,WASHOE COUNTY SCHOOL DISTRICT,Washoe County,252 Egyptian Way,Sparks,NV,89431,,(775)425-7700,21,Suburb: Large,No,No,No,†,670.00000,32.00000,20.9000000,108.00000,33.00000
3.20036E+11,NV-12-12316,3200360,NV-12,06,08,Amargosa Middle School,NYE COUNTY SCHOOL DISTRICT,Nye County,HC 15 Box 401Z,Amargosa,NV,89020,,(775)372-5324,43,Rural: Remote,No,No,No,†,53.00000,2.00000,26.5000000,32.00000,6.00000
3.20036E+11,NV-12-12106,3200360,NV-12,PK,05,Amargosa Valley Elementary School,NYE COUNTY SCHOOL DISTRICT,Nye County,777 E. Farm Road,Amargosa,NV,89020,,(775)372-5324,43,Rural: Remote,No,No,Yes,Yes,97.00000,9.00000,10.8000000,82.00000,8.00000
3.2E+11,NV-18-18431,3200001,NV-18,KG,11,American Preparatory Academy,STATE-SPONSORED CHARTER SCHOOLS,Clark County,8377 West Patrick Lane,Las Vegas,NV,89113,,(702)970-6800,21,Suburb: Large,Yes,No,No,†,1424.00000,13.00000,109.5000000,151.00000,46.00000
3.20048E+11,NV-16-16201,3200480,NV-16,PK,06,Anderson Elementary School,WASHOE COUNTY SCHOOL DISTRICT,Washoe County,1055 Berrum Lane,Reno,NV,89509,,(775)689-2500,12,City: Midsize,No,No,Yes,Yes,452.00000,29.00000,15.6000000,449.00000,0.00000
3.20006E+11,NV-02-02617,3200060,NV-02,06,12,Andre Agassi College Preparatory Academy,CLARK COUNTY SCHOOL DISTRICT,Clark County,1201 W. Lake Mead Blvd.,Las Vegas,NV,89106,,(702)948-6000,11,City: Large,Yes,No,Yes,Yes,692.00000,30.00000,23.1000000,475.00000,71.00000
3.20006E+11,NV-02-02288,3200060,NV-02,PK,05,Andre Agassi College Preparatory Academy,CLARK COUNTY SCHOOL DISTRICT,Clark County,1201 W. Lake Mead Blvd,Las Vegas,NV,89106,,(702)948-6000,11,City: Large,Yes,No,Yes,Yes,466.00000,15.00000,31.1000000,376.00000,40.00000
3.20006E+11,NV-02-02250,3200060,NV-02,PK,05,Andrew Mitchell Elementary School,CLARK COUNTY SCHOOL DISTRICT,Clark County,900 Ave. B,Boulder City,NV,89005,,(702)799-8280,31,Town: Fringe,No,No,No,†,355.00000,25.00000,14.2000000,106.00000,25.00000
3.20006E+11,NV-02-02115,3200060,NV-02,PK,05,Ann Lynch Elementary School,CLARK COUNTY SCHOOL DISTRICT,Clark County,4850 Kell Lane,Las Vegas,NV,89115,,(702)799-8820,21,Suburb: Large,No,No,Yes,Yes,790.00000,34.00000,23.2000000,765.00000,5.00000
3.20006E+11,NV-02-02354,3200060,NV-02,06,08,Anthony Saville Middle School,CLARK COUNTY SCHOOL DISTRICT,Clark County,8101 N. Torrey Pines Dr.,Las Vegas,NV,89131,,(702)799-3460,21,Suburb: Large,No,No,No,†,1525.00000,56.00000,27.2000000,443.00000,158.00000
3.20006E+11,NV-02-02618,3200060,NV-02,09,12,Arbor View High School,CLARK COUNTY SCHOOL DISTRICT,Clark County,7500 Whispering Sands Dr.,Las Vegas,NV,89131,,(702)799-6660,11,City: Large,No,No,No,†,3000.00000,114.00000,26.3000000,713.00000,262.00000
