National Center for Education Statistics,,,,,,,,,,,,,,,,,,,,,,,,,
"CCD public school data 2015-2016, 2016-2017 school years",,,,,,,,,,,,,,,,,,,,,,,,,
The file contains (1260) records based on your search.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES:* denotes a column with data from 2015-2016,,,,,,,,,,,,,,,,,,,,,,,,,
"[ � ] indicates that the data are not applicable. For example, the enrollment and staff characteristics for schools that opened in the 2016-2017 school year will not be available until the full 2016-2017 file is released.",,,,,,,,,,,,,,,,,,,,,,,,,
[ � ] indicates that the data are missing.,,,,,,,,,,,,,,,,,,,,,,,,,
[ � ] indicates that the data do not meet NCES data quality standards.,,,,,,,,,,,,,,,,,,,,,,,,,
"The directory information on school name, address, and phone number are preliminary data from initial submissions of school level data for 2016-2017.",,,,,,,,,,,,,,,,,,,,,,,,,
"SEARCH CRITERIA: State: ""South Carolina""�-�School Description: ""Regular, Special Education, Vocational, Other/Alternative""",,,,,,,,,,,,,,,,,,,,,,,,,
"NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user. To download full CCD datasets, please go to the CCD home page. http://nces.ed.gov/ccd",,,,,,,,,,,,,,,,,,,,,,,,,
NCES School ID,State School ID,NCES District ID,State District ID,Low Grade*,High Grade*,School Name,District,County Name*,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Locale Code*,Locale*,Charter,Magnet*,Title I School*,Title 1 School Wide*,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*
4.50144E+11,SC-1001-036,4501440,SC-1001,PK,04,A. C. Corcoran Elementary,Charleston 01,Charleston County,8585 Vistavia Road,North Charleston,SC,29406,,(843)764-2218,12,City: Midsize,No,No,Yes,Yes,763.00000,51.00000,15.0000000,479.00000,29.00000
4.50336E+11,SC-4001-007,4503360,SC-4001,09,12,A. C. Flora High,Richland 01,Richland County,1 Falcon Drive,Columbia,SC,29204,,(803)738-7300,21,Suburb: Large,No,No,No,†,1413.00000,89.00000,15.9000000,1413.00000,0.00000
4.50336E+11,SC-4001-048,4503360,SC-4001,PK,05,A. C. Moore Elementary,Richland 01,Richland County,333 Etiwan Avenue,Columbia,SC,29205,,(803)343-2910,12,City: Midsize,No,No,No,†,395.00000,33.20000,11.9000000,395.00000,0.00000
4.50336E+11,SC-4001-038,4503360,SC-4001,PK,05,A. J. Lewis Greenview Elementary,Richland 01,Richland County,726 Easter Street,Columbia,SC,29203,,(803)735-3417,12,City: Midsize,No,No,No,†,439.00000,28.00000,15.7000000,439.00000,0.00000
4.50258E+11,SC-2901-003,4502580,SC-2901,06,08,A. R. Rucker Middle,Lancaster 01,Lancaster County,422 Old Dixie Road,Lancaster,SC,29720,,(803)416-8555,41,Rural: Fringe,No,No,No,†,534.00000,36.00000,14.8000000,336.00000,42.00000
4.50231E+11,SC-2301-119,4502310,SC-2301,PK,05,A.J. Whittenburg Elementary,Greenville 01,Greenville County,420 Westfield Street,Greenville,SC,29601,,(864)452-0500,13,City: Small,No,No,No,†,561.00000,30.50000,18.4000000,272.00000,26.00000
4.50069E+11,SC-0160-995,4500690,SC-0160,10,12,Abbeville County Career Center,Abbeville 60,Abbeville County,100 Old Calhoun Falls Highway,Abbeville,SC,29620,,(864)366-9069,41,Rural: Fringe,No,No,†,†,0.00000,6.00000,†,†,†
4.50069E+11,SC-0160-001,4500690,SC-0160,09,12,Abbeville High,Abbeville 60,Abbeville County,701 Washington Street,Abbeville,SC,29620,,(864)366-5916,41,Rural: Fringe,No,No,No,†,508.00000,33.00000,15.4000000,267.00000,44.00000
4.5036E+11,SC-4205-094,4503600,SC-4205,PK,04,Abner Creek Academy,Spartanburg 05,Spartanburg County,2050 Abner Creek Road,Duncan,SC,29334,,(864)949-2334,41,Rural: Fringe,No,No,No,†,530.00000,39.00000,13.6000000,137.00000,33.00000
4.50144E+11,SC-1001-099,4501440,SC-1001,09,12,Academic Magnet High,Charleston 01,Charleston County,5109-A West Enterprise Street,North Charleston,SC,29405,,(843)746-1300,12,City: Midsize,No,Yes,No,†,647.00000,42.30000,15.3000000,13.00000,5.00000
