National Center for Education Statistics,,,,,,,,,,,,,,,,,,,,,,,,,
"CCD public school data 2015-2016, 2016-2017 school years",,,,,,,,,,,,,,,,,,,,,,,,,
The file contains (1922) records based on your search.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES:* denotes a column with data from 2015-2016,,,,,,,,,,,,,,,,,,,,,,,,,
"[ � ] indicates that the data are not applicable. For example, the enrollment and staff characteristics for schools that opened in the 2016-2017 school year will not be available until the full 2016-2017 file is released.",,,,,,,,,,,,,,,,,,,,,,,,,
[ � ] indicates that the data are missing.,,,,,,,,,,,,,,,,,,,,,,,,,
[ � ] indicates that the data do not meet NCES data quality standards.,,,,,,,,,,,,,,,,,,,,,,,,,
"The directory information on school name, address, and phone number are preliminary data from initial submissions of school level data for 2016-2017.",,,,,,,,,,,,,,,,,,,,,,,,,
"SEARCH CRITERIA: State: ""Indiana""�-�School Description: ""Regular, Special Education, Vocational, Other/Alternative""",,,,,,,,,,,,,,,,,,,,,,,,,
"NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user. To download full CCD datasets, please go to the CCD home page. http://nces.ed.gov/ccd",,,,,,,,,,,,,,,,,,,,,,,,,
NCES School ID,State School ID,NCES District ID,State District ID,Low Grade*,High Grade*,School Name,District,County Name*,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Locale Code*,Locale*,Charter,Magnet*,Title I School*,Title 1 School Wide*,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*
1.80005E+11,IN-9545-4164,1800046,IN-9545,KG,12,21st Century Charter Sch of Gary,21st Century Charter Sch of Gary,Lake County,556 Washington St,Gary,IN,46402,,(219)886-9339,13,City: Small,Yes,No,Yes,Yes,758.00000,2.00000,379.0000000,718.00000,0.00000
1.80657E+11,IN-4925-4792,1806570,IN-4925,–,–,A K Smith Area Career Center,Michigan City Area Schools,LaPorte County,817 Lafayette St,Michigan City,IN,46360,0568,(219)873-2120,13,City: Small,No,No,†,†,0.00000,0.00000,†,†,†
1.80003E+11,IN-0125-0045,1800030,IN-0125,KG,05,Aboite Elementary School,M S D Southwest Allen County Schls,Allen County,5004 Homestead Rd,Fort Wayne,IN,46814,5495,(260)431-2101,21,Suburb: Large,No,No,No,†,490.00000,25.00000,19.6000000,40.00000,17.00000
1.80288E+11,IN-4670-3945,1802880,IN-4670,PK,06,Abraham Lincoln Elementary School,School City of East Chicago,Lake County,2001 E 135th St,East Chicago,IN,46312,2099,(219)391-4096,21,Suburb: Large,No,No,Yes,Yes,466.00000,28.00000,16.6000000,450.00000,10.00000
1.80432E+11,IN-4710-4463,1804320,IN-4710,PK,05,Abraham Lincoln Elementary School,School City of Hammond,Lake County,4221 Towle Ave,Hammond,IN,46327,1375,(219)933-2475,21,Suburb: Large,No,No,Yes,Yes,645.00000,34.69000,18.6000000,451.00000,36.00000
1.80882E+11,IN-5340-5337,1808820,IN-5340,PK,05,Abraham Lincoln Elementary School,Perry Township Schools,Marion County,5241 Brehob Rd,Indianapolis,IN,46217,3503,(317)789-3800,11,City: Large,No,No,Yes,Yes,924.00000,43.00000,21.5000000,608.00000,85.00000
1.80345E+11,IN-7995-8270,1803450,IN-7995,KG,12,Academy for Innovative Studies,Evansville Vanderburgh School Corp,Vanderburgh County,3013 First Ave,Evansville,IN,47710,,(812)435-8316,12,City: Midsize,No,Yes,Yes,Yes,716.00000,63.26000,11.3000000,487.00000,33.00000
1.80017E+11,IN-9970-1111,1800172,IN-9970,KG,01,ACE Preparatory Academy,ACE Preparatory Academy,†,5326 Hillside Avenue,Indianapolis,IN,46220,,(317)744-9874,†,N,Yes,†,†,†,†,†,†,†,†
1.81281E+11,IN-5375-5288,1812810,IN-5375,09,12,Achieve Virtual Education Academy,M S D Wayne Township,Marion County,1250 N High School Rd,Indianapolis,IN,46214,,(317)988-7144,11,City: Large,No,No,No,†,201.00000,31.00000,6.5000000,3.00000,0.00000
1.80375E+11,IN-5310-5201,1803750,IN-5310,KG,05,Acton Elementary School,Franklin Township Com Sch Corp,†,8010 Acton Rd,Indianapolis,IN,46259,1599,(317)862-6108,†,N,No,†,†,†,†,†,†,†,†
1.80006E+11,IN-0015-0020,1800060,IN-0015,PK,05,Adams Central Elementary School,Adams Central Community Schools,Adams County,222 W Washington St,Monroe,IN,46772,9436,(260)692-6629,42,Rural: Distant,No,No,Yes,No,584.00000,29.00000,20.1000000,129.00000,37.00000
1.80006E+11,IN-0015-0021,1800060,IN-0015,09,12,Adams Central High School,Adams Central Community Schools,Adams County,222 W Washington St,Monroe,IN,46772,9436,(260)692-6151,42,Rural: Distant,No,No,No,†,374.00000,32.35000,11.6000000,55.00000,20.00000
