National Center for Education Statistics,,,,,,,,,,,,,,,,,,,,,,,,,
"CCD public school data 2015-2016, 2016-2017 school years",,,,,,,,,,,,,,,,,,,,,,,,,
The file contains (753) records based on your search.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES:* denotes a column with data from 2015-2016,,,,,,,,,,,,,,,,,,,,,,,,,
"[ � ] indicates that the data are not applicable. For example, the enrollment and staff characteristics for schools that opened in the 2016-2017 school year will not be available until the full 2016-2017 file is released.",,,,,,,,,,,,,,,,,,,,,,,,,
[ � ] indicates that the data are missing.,,,,,,,,,,,,,,,,,,,,,,,,,
[ � ] indicates that the data do not meet NCES data quality standards.,,,,,,,,,,,,,,,,,,,,,,,,,
"The directory information on school name, address, and phone number are preliminary data from initial submissions of school level data for 2016-2017.",,,,,,,,,,,,,,,,,,,,,,,,,
"SEARCH CRITERIA: State: ""West Virginia""�-�School Description: ""Regular, Special Education, Vocational, Other/Alternative""",,,,,,,,,,,,,,,,,,,,,,,,,
"NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user. To download full CCD datasets, please go to the CCD home page. http://nces.ed.gov/ccd",,,,,,,,,,,,,,,,,,,,,,,,,
NCES School ID,State School ID,NCES District ID,State District ID,Low Grade*,High Grade*,School Name,District,County Name*,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Locale Code*,Locale*,Charter,Magnet*,Title I School*,Title 1 School Wide*,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*
5.40051E+11,WV-3400000-34126,5400511,WV-3400000,–,–,"""J.M. """"CHICK"""" BUCKBEE JUVENILE CENTER""",INSTITUTIONAL EDUCATIONAL PROGRAMS,Hampshire County,#1 JERRY LANE,AUGUSTA,WV,26704,,(304)496-1369,42,Rural: Distant,†,†,No,†,12.00000,–,†,9.00000,0.00000
5.40051E+11,WV-3400000-34125,5400511,WV-3400000,–,–,"""JAMES H. """"TIGER"""" MORTON JUVENILE CENTER""",INSTITUTIONAL EDUCATIONAL PROGRAMS,Kanawha County,60 MANFRED HOLLAND WAY,DUNBAR,WV,25064,,(304)766-3502,41,Rural: Fringe,†,†,No,†,16.00000,–,†,13.00000,0.00000
5.40045E+11,WV-2900000-29210,5400450,WV-2900000,–,–,A. T. ALLISON ELEMENTARY SCHOOL,HANCOCK COUNTY SCHOOLS,Hancock County,600 RAILROAD STREET,CHESTER,WV,26034,,(304)387-1915,31,Town: Fringe,†,†,Yes,Yes,454.00000,29.50000,15.4000000,225.00000,31.00000
5.40123E+11,WV-7400000-74701,5401230,WV-7400000,–,–,ACADEMY OF CAREERS AND TECHNOLOGY,RALEIGH COUNTY SCHOOLS,Raleigh County,390 STANAFORD ROAD,BECKLEY,WV,25801,,(304)256-4615,13,City: Small,†,†,†,†,0.00000,23.00000,†,†,†
5.40051E+11,WV-3300000-33201,5400510,WV-3300000,–,–,ADAMSTON ELEMENTARY SCHOOL,HARRISON COUNTY SCHOOLS,Harrison County,1636 W PIKE ST,CLARKSBURG,WV,26301,,(304)326-7070,32,Town: Distant,†,†,Yes,Yes,291.00000,27.44000,10.6000000,–,–
5.4006E+11,WV-3900000-39201,5400600,WV-3900000,–,–,ALBAN ELEMENTARY SCHOOL,KANAWHA COUNTY SCHOOLS,Kanawha County,2030 HARRISON AVENUE,ST. ALBANS,WV,25177,,(304)722-0234,22,Suburb: Midsize,†,†,Yes,Yes,355.00000,20.00000,17.8000000,–,–
5.40039E+11,WV-2600000-26201,5400390,WV-2600000,–,–,ALDERSON ELEMENTARY,GREENBRIER COUNTY SCHOOLS,Greenbrier County,305 ELMWOOD AVENUE,ALDERSON,WV,24910,,(304)445-7241,32,Town: Distant,†,†,Yes,Yes,208.00000,17.50000,11.9000000,–,–
5.40018E+11,WV-1200000-12502,5400180,WV-1200000,–,–,ALTERNATIVE EDUCATION HIGH SCHOOL,CABELL COUNTY SCHOOLS,Cabell County,2800 5TH AVE,HUNTINGTON,WV,25702,,(304)528-5060,13,City: Small,†,†,No,†,26.00000,6.00000,4.3000000,–,–
5.40018E+11,WV-1200000-12203,5400180,WV-1200000,–,–,ALTIZER ELEMENTARY SCHOOL,CABELL COUNTY SCHOOLS,Cabell County,250 THIRD STREET  ALTIZER,HUNTINGTON,WV,25705,,(304)528-5100,13,City: Small,†,†,Yes,Yes,314.00000,21.51000,14.6000000,–,–
5.4006E+11,WV-3900000-39202,5400600,WV-3900000,–,–,ALUM CREEK ELEMENTARY SCHOOL,KANAWHA COUNTY SCHOOLS,Kanawha County,RT 7 BOX 279A,SO CHARLESTON,WV,25309,,(304)348-1935,22,Suburb: Midsize,†,†,Yes,Yes,201.00000,12.90000,15.6000000,–,–
5.40081E+11,WV-6000000-60203,5400810,WV-6000000,–,–,ANAWALT ELEMENTARY SCHOOL,MCDOWELL COUNTY SCHOOLS,McDowell County,230 SCHOOLHOUSE ROAD,ANAWALT,WV,24808,,(304)383-4849,42,Rural: Distant,†,†,Yes,Yes,93.00000,11.00000,8.5000000,–,–
5.4006E+11,WV-3900000-39402,5400600,WV-3900000,–,–,ANDREW JACKSON MIDDLE SCHOOL,KANAWHA COUNTY SCHOOLS,Kanawha County,5445 BIG TYLER ROAD,CHARLESTON,WV,25313,,(304)776-3310,22,Suburb: Midsize,†,†,No,†,597.00000,38.00000,15.7000000,253.00000,27.00000
5.4006E+11,WV-3900000-39203,5400600,WV-3900000,–,–,ANDREWS HEIGHTS ELEMENTARY SCHOOL,KANAWHA COUNTY SCHOOLS,Kanawha County,7776 COAL RIVER ROAD,TORNADO,WV,25202,,(304)722-0232,22,Suburb: Midsize,†,†,No,†,305.00000,18.60000,16.4000000,–,–
5.40138E+11,WV-8300000-83201,5401380,WV-8300000,–,–,ANNA JARVIS ELEMENTARY SCHOOL,TAYLOR COUNTY SCHOOLS,Taylor County,650 N. PIKE STREET,GRAFTON,WV,26354,,(304)304-4090,32,Town: Distant,†,†,Yes,Yes,639.00000,41.00000,15.6000000,–,–
5.4006E+11,WV-3900000-39204,5400600,WV-3900000,–,–,ANNE BAILEY ELEMENTARY SCHOOL,KANAWHA COUNTY SCHOOLS,Kanawha County,405 WINFIELD ROAD,ST. ALBANS,WV,25177,,(304)722-0230,22,Suburb: Midsize,†,†,Yes,Yes,285.00000,22.00000,13.0000000,–,–
5.4003E+11,WV-2000000-20201,5400300,WV-2000000,–,–,ANSTED ELEMENTARY,FAYETTE COUNTY SCHOOLS,Fayette County,27 SCHOOL STREET,ANSTED,WV,25812,,(304)658-5961,41,Rural: Fringe,†,†,Yes,Yes,234.00000,17.75000,13.2000000,–,–
5.4003E+11,WV-2000000-20301,5400300,WV-2000000,–,–,ANSTED MIDDLE,FAYETTE COUNTY SCHOOLS,Fayette County,118 CHURCH STREET,ANSTED,WV,25812,,(304)658-5170,41,Rural: Fringe,†,†,No,†,274.00000,20.00000,13.7000000,–,–
5.40051E+11,WV-3400000-34102,5400511,WV-3400000,–,–,ANTHONY CENTER,INSTITUTIONAL EDUCATIONAL PROGRAMS,Greenbrier County,HC 70  ROUTE 92,WHITE SULPHUR SPRINGS,WV,24986,,(304)536-4151,43,Rural: Remote,†,†,No,†,1.00000,–,†,–,–
5.40021E+11,WV-1400000-14201,5400210,WV-1400000,–,–,ARNOLDSBURG SCHOOL,CALHOUN COUNTY SCHOOLS,Calhoun County,90 SPRING RUN ROAD,ARNOLDSBURG,WV,25234,,(304)655-8616,42,Rural: Distant,†,†,Yes,Yes,240.00000,16.25000,14.8000000,–,–
5.40144E+11,WV-8500000-85201,5401440,WV-8500000,–,–,ARTHUR I BOREMAN ELEMENTARY SCHOOL,TYLER COUNTY SCHOOLS,Tyler County,51 BOREMAN SCHOOL ROAD,MIDDLEBOURNE,WV,26149,,(304)758-2152,42,Rural: Distant,†,†,Yes,Yes,343.00000,28.50000,12.0000000,–,–
5.40009E+11,WV-0600000-06201,5400090,WV-0600000,–,–,ASHFORD-RUMBLE ELEMENTARY,BOONE COUNTY  SCHOOLS,Boone County,1649 ASHFORD NELLIS ROAD,ASHFORD,WV,25009,,(304)836-5381,42,Rural: Distant,†,†,No,†,110.00000,9.00000,12.2000000,–,–
5.40078E+11,WV-4900000-49216,5400780,WV-4900000,–,–,ASHTON ELEMENTARY SCHOOL,MASON COUNTY SCHOOLS,Mason County,4250 ASHTON UPLAND ROAD,ASHTON,WV,25503,,(304)576-9931,42,Rural: Distant,†,†,Yes,Yes,390.00000,29.50000,13.2000000,–,–
5.40084E+11,WV-5100000-51201,5400840,WV-5100000,–,–,ATHENS ELEMENTARY SCHOOL,MERCER COUNTY SCHOOLS,Mercer County,205 SOUTH STATE STREET,ATHENS,WV,24712,0568,(304)384-9229,32,Town: Distant,†,†,No,†,293.00000,17.50000,16.7000000,–,–
5.40042E+11,WV-2800000-28201,5400420,WV-2800000,–,–,AUGUSTA ELEMENTARY SCHOOL,HAMPSHIRE COUNTY SCHOOLS,Hampshire County,61 PANCIONE LOOP,AUGUSTA,WV,26704,,(304)496-7001,42,Rural: Distant,†,†,Yes,Yes,288.00000,21.50000,13.4000000,158.00000,21.00000
5.40117E+11,WV-7000000-70101,5401170,WV-7000000,–,–,AURORA ELEMENTARY,PRESTON COUNTY SCHOOLS,Preston County,125 AURORA SCHOOL ROAD,AURORA,WV,26705,,(304)735-3781,42,Rural: Distant,†,†,No,†,151.00000,13.44000,11.2000000,62.00000,14.00000
5.40147E+11,WV-8700000-87301,5401470,WV-8700000,–,–,B-U MIDDLE SCHOOL,UPSHUR COUNTY SCHOOLS,Upshur County,RT. 6  BOX 303,BUCKHANNON,WV,26201,,(304)472-1520,33,Town: Remote,†,†,No,†,850.00000,62.70000,13.6000000,431.00000,57.00000
