National Center for Education Statistics,,,,,,,,,,,,,,,,,,,,,,,,,
"CCD public school data 2015-2016, 2016-2017 school years",,,,,,,,,,,,,,,,,,,,,,,,,
The file contains (41) records based on your search.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES:* denotes a column with data from 2015-2016,,,,,,,,,,,,,,,,,,,,,,,,,
"[ � ] indicates that the data are not applicable. For example, the enrollment and staff characteristics for schools that opened in the 2016-2017 school year will not be available until the full 2016-2017 file is released.",,,,,,,,,,,,,,,,,,,,,,,,,
[ � ] indicates that the data are missing.,,,,,,,,,,,,,,,,,,,,,,,,,
[ � ] indicates that the data do not meet NCES data quality standards.,,,,,,,,,,,,,,,,,,,,,,,,,
"The directory information on school name, address, and phone number are preliminary data from initial submissions of school level data for 2016-2017.",,,,,,,,,,,,,,,,,,,,,,,,,
"SEARCH CRITERIA: State: ""Guam""�-�School Description: ""Regular, Special Education, Vocational, Other/Alternative""",,,,,,,,,,,,,,,,,,,,,,,,,
"NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user. To download full CCD datasets, please go to the CCD home page. http://nces.ed.gov/ccd",,,,,,,,,,,,,,,,,,,,,,,,,
NCES School ID,State School ID,NCES District ID,State District ID,Low Grade*,High Grade*,School Name,District,County Name*,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Locale Code*,Locale*,Charter,Magnet*,Title I School*,Title 1 School Wide*,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*
6.6E+11,GU-66-45,6600002,GU-66,PK,05,ADACAO ELEMENTARY SCHOOL,Guam Department of Education,Guam,340 CARNATION AVENUE,MANGILAO,GU,96913,,(671)300-6500,33,Town: Remote,†,†,No,†,538.00000,45.00000,12.0000000,403.00000,21.00000
6.6E+11,GU-66-3,6600002,GU-66,KG,05,AGANA HEIGHTS ELEMENTARY SCHOOL,Guam Department of Education,Guam,350 J. CRUZ RT.,AGANA HEIGHTS,GU,96919,,(671)477-8040,33,Town: Remote,†,†,No,†,413.00000,38.00000,10.9000000,219.00000,15.00000
6.6E+11,GU-66-13,6600002,GU-66,06,08,AGUEDA JOHNSTON MIDDLE SCHOOL,Guam Department of Education,Guam,192 DERO DRIVE,ORDOT,GU,96924,,(671)472-6785,33,Town: Remote,†,†,No,†,810.00000,68.00000,11.9000000,708.00000,0.00000
6.6E+11,GU-66-30,6600002,GU-66,PK,05,ASTUMBO ELEMENTARY SCHOOL,Guam Department of Education,Guam,CHALAN HACHON,DEDEDO,GU,96912,,(671)635-4363,33,Town: Remote,†,†,No,†,581.00000,49.00000,11.9000000,575.00000,0.00000
6.6E+11,GU-66-43,6600002,GU-66,06,08,ASTUMBO MIDDLE SCHOOL,Guam Department of Education,Guam,389 CHALAN HACHON,DEDEDO,GU,96912,,(671)300-2610,33,Town: Remote,†,†,No,†,587.00000,52.00000,11.3000000,557.00000,0.00000
6.6E+11,GU-66-10,6600002,GU-66,PK,05,B.P. CARBULLIDO ELEMENTARY SCHOOL,Guam Department of Education,Guam,156 CANADA TOTO ROAD,BARRIGADA,GU,96913,,(671)734-4341,33,Town: Remote,†,†,No,†,514.00000,42.00000,12.2000000,329.00000,24.00000
6.6E+11,GU-66-29,6600002,GU-66,PK,05,C.L. TAITANO ELEMENTARY SCHOOL,Guam Department of Education,Guam,170 BIEN VENIDA AVENUE,SINAJANA,GU,96926,,(671)475-4502,33,Town: Remote,†,†,No,†,591.00000,52.00000,11.4000000,486.00000,0.00000
6.6E+11,GU-66-35,6600002,GU-66,PK,05,CHIEF BRODIE ELEMENTARY SCHOOL,Guam Department of Education,Guam,225 N. MARINE DRIVE,TAMUNING,GU,96911,,(671)647-4444,33,Town: Remote,†,†,No,†,359.00000,32.00000,11.2000000,271.00000,13.00000
6.6E+11,GU-66-24,6600002,GU-66,PK,05,D.L. PEREZ ELEMENTARY SCHOOL,Guam Department of Education,Guam,400 GAYINERO DRIVE,YIGO,GU,96928,,(671)653-2646,33,Town: Remote,†,†,No,†,716.00000,55.00000,13.0000000,582.00000,0.00000
6.6E+11,GU-66-19,6600002,GU-66,06,08,F.B. LEON GUERRERO MIDDLE SCHOOL,Guam Department of Education,Guam,445 JUAN JACINTO ROAD,YIGO,GU,96929,,(671)653-2080,33,Town: Remote,†,†,No,†,1117.00000,87.00000,12.8000000,734.00000,53.00000
6.6E+11,GU-66-21,6600002,GU-66,PK,05,FINEGAYAN ELEMENTARY SCHOOL,Guam Department of Education,Guam,194 CHALAN KASPERBAUER,DEDEDO,GU,96912,,(671)632-9364,33,Town: Remote,†,†,No,†,831.00000,76.00000,10.9000000,802.00000,0.00000
6.6E+11,GU-66-15,6600002,GU-66,09,12,GEORGE WASHINGTON HIGH SCHOOL,Guam Department of Education,Guam,298 G. WASHINGTON DR.,MANGILAO,GU,96921,,(671)734-2911,33,Town: Remote,†,†,No,†,1767.00000,111.00000,15.9000000,1174.00000,0.00000
6.6E+11,GU-66-31,6600002,GU-66,PK,05,H.B. PRICE ELEMENTARY SCHOOL,Guam Department of Education,Guam,130 DAIRY ROAD,MANGILAO,GU,96923,,(671)734-2159,33,Town: Remote,†,†,No,†,736.00000,59.00000,12.5000000,700.00000,0.00000
6.6E+11,GU-66-25,6600002,GU-66,PK,05,H.S. TRUMAN ELEMENTARY SCHOOL,Guam Department of Education,Guam,182 PALE FERDINAND WAY,STA.RITA,GU,96915,,(671)565-5195,33,Town: Remote,†,†,No,†,369.00000,35.00000,10.5000000,197.00000,21.00000
6.6E+11,GU-66-2,6600002,GU-66,PK,05,INARAJAN ELEMENTARY SCHOOL,Guam Department of Education,Guam,136 PALE BERNABE CRUZ RD,INARAJAN,GU,96915,,(671)828-8641,42,Rural: Distant,†,†,No,†,268.00000,24.00000,11.2000000,249.00000,0.00000
6.6E+11,GU-66-37,6600002,GU-66,06,08,INARAJAN MIDDLE SCHOOL,Guam Department of Education,Guam,433 BELEN AVENUE,INARAJAN,GU,96916,,(671)475-0673,42,Rural: Distant,†,†,No,†,531.00000,52.00000,10.2000000,487.00000,0.00000
