National Center for Education Statistics,,,,,,,,,,,,,,,,,,,,,,,,,
"CCD public school data 2015-2016, 2016-2017 school years",,,,,,,,,,,,,,,,,,,,,,,,,
The file contains (865) records based on your search.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES:* denotes a column with data from 2015-2016,,,,,,,,,,,,,,,,,,,,,,,,,
"[ � ] indicates that the data are not applicable. For example, the enrollment and staff characteristics for schools that opened in the 2016-2017 school year will not be available until the full 2016-2017 file is released.",,,,,,,,,,,,,,,,,,,,,,,,,
[ � ] indicates that the data are missing.,,,,,,,,,,,,,,,,,,,,,,,,,
[ � ] indicates that the data do not meet NCES data quality standards.,,,,,,,,,,,,,,,,,,,,,,,,,
"The directory information on school name, address, and phone number are preliminary data from initial submissions of school level data for 2016-2017.",,,,,,,,,,,,,,,,,,,,,,,,,
"SEARCH CRITERIA: State: ""New Mexico""�-�School Description: ""Regular, Special Education, Vocational, Other/Alternative""",,,,,,,,,,,,,,,,,,,,,,,,,
"NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user. To download full CCD datasets, please go to the CCD home page. http://nces.ed.gov/ccd",,,,,,,,,,,,,,,,,,,,,,,,,
NCES School ID,State School ID,NCES District ID,State District ID,Low Grade*,High Grade*,School Name,District,County Name*,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Locale Code*,Locale*,Charter,Magnet*,Title I School*,Title 1 School Wide*,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*
3.50006E+11,NM-001-321,3500060,NM-001,PK,05,A. MONTOYA ELEMENTARY,ALBUQUERQUE PUBLIC SCHOOLS,Bernalillo County,24 PUBLIC SCHOOL RD,TIJERAS,NM,87059,,(505)880-3744,41,Rural: Fringe,No,†,Yes,Yes,377.00000,25.65000,14.7000000,171.00000,22.00000
3.5009E+11,NM-055-005,3500900,NM-055,KG,06,ABIQUIU ELEMENTARY,ESPANOLA PUBLIC SCHOOLS,Rio Arriba County,714 CALLE DON DIEGO,ESPANOLA,NM,87532,,(505)753-2254,43,Rural: Remote,No,†,Yes,Yes,117.00000,8.42000,13.9000000,117.00000,0.00000
3.50006E+11,NM-001-090,3500060,NM-001,09,12,ABQ CHARTER ACADEMY,ALBUQUERQUE PUBLIC SCHOOLS,Bernalillo County,405 DR MARTIN LUTHER KING JR A,ALBUQUERQUE,NM,87102,,(505)880-3744,11,City: Large,Yes,†,Yes,Yes,305.00000,11.65000,26.2000000,248.00000,10.00000
3.50012E+11,NM-516-001,3500122,NM-516,01,12,ABQ SCHOOL OF EXCELLENCE,ABQ SCHOOL OF EXCELLENCE,Bernalillo County,13201 LOMAS BLVD NE,ALBUQUERQUE,NM,87112,,(505)353-4325,11,City: Large,Yes,†,Yes,Yes,289.00000,23.25000,12.4000000,150.00000,21.00000
3.50012E+11,NM-517-001,3500123,NM-517,KG,11,ABQ SIGN LANGUAGE ACADEMY,ABQ SIGN LANGUAGE ACADEMY,Bernalillo County,620 LOMAS BLVD NW,ALBUQUERQUE,NM,87102,,(505)244-7553,11,City: Large,Yes,†,Yes,Yes,98.00000,10.40000,9.4000000,57.00000,7.00000
3.50237E+11,NM-071-012,3502370,NM-071,07,12,ACADEMY AT LARRAGOITE,SANTA FE PUBLIC SCHOOLS,Santa Fe County,2516 CERRILLOS ROAD,SANTA FE,NM,87505,,(505)467-2003,13,City: Small,No,†,Yes,Yes,114.00000,6.43000,17.7000000,114.00000,0.00000
3.50003E+11,NM-046-004,3500030,NM-046,10,12,ACADEMY DEL SOL ALT.,ALAMOGORDO PUBLIC SCHOOLS,Otero County,1200 N FLORIDA AVE  BLDG C,ALAMOGORDO,NM,88310,,(505)439-3270,33,Town: Remote,No,†,Yes,Yes,133.00000,11.30000,11.8000000,70.00000,13.00000
3.50237E+11,NM-071-024,3502370,NM-071,07,12,ACADEMY FOR TECH & CLASS,SANTA FE PUBLIC SCHOOLS,Santa Fe County,PO BOX 8646,SANTA FE,NM,87508,,(505)467-2003,41,Rural: Fringe,Yes,†,No,†,356.00000,24.15000,14.7000000,0.00000,0.00000
3.50013E+11,NM-523-001,3500129,NM-523,09,12,ACADEMY OF TRADES AND TECH,ACADEMY OF TRADES AND TECH,Bernalillo County,2551 KARSTEN CT SE,ALBUQUERQUE,NM,87106,,(505)765-5517,11,City: Large,Yes,†,Yes,Yes,144.00000,9.05000,15.9000000,144.00000,0.00000
3.50013E+11,NM-522-001,3500128,NM-522,09,12,ACE LEADERSHIP HIGH SCHOOL,ACE LEADERSHIP HIGH SCHOOL,Bernalillo County,800 20TH ST NW,ALBUQUERQUE,NM,87104,,(505)242-4733,11,City: Large,Yes,†,Yes,Yes,420.00000,16.00000,26.3000000,416.00000,0.00000
