National Center for Education Statistics,,,,,,,,,,,,,,,,,,,,,,,,,
"CCD public school data 2015-2016, 2016-2017 school years",,,,,,,,,,,,,,,,,,,,,,,,,
The file contains (1093) records based on your search.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES:* denotes a column with data from 2015-2016,,,,,,,,,,,,,,,,,,,,,,,,,
"[ � ] indicates that the data are not applicable. For example, the enrollment and staff characteristics for schools that opened in the 2016-2017 school year will not be available until the full 2016-2017 file is released.",,,,,,,,,,,,,,,,,,,,,,,,,
[ � ] indicates that the data are missing.,,,,,,,,,,,,,,,,,,,,,,,,,
[ � ] indicates that the data do not meet NCES data quality standards.,,,,,,,,,,,,,,,,,,,,,,,,,
"The directory information on school name, address, and phone number are preliminary data from initial submissions of school level data for 2016-2017.",,,,,,,,,,,,,,,,,,,,,,,,,
"SEARCH CRITERIA: State: ""Arkansas""�-�School Description: ""Regular, Special Education, Vocational, Other/Alternative""",,,,,,,,,,,,,,,,,,,,,,,,,
"NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user. To download full CCD datasets, please go to the CCD home page. http://nces.ed.gov/ccd",,,,,,,,,,,,,,,,,,,,,,,,,
NCES School ID,State School ID,NCES District ID,State District ID,Low Grade*,High Grade*,School Name,District,County Name*,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Locale Code*,Locale*,Charter,Magnet*,Title I School*,Title 1 School Wide*,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*
050375001019,AR-4304000-4304703,0503750,AR-4304000,07,12,ACADEMIC CENTER FOR EXCELLENCE,CABOT SCHOOL DISTRICT,Lonoke County,21 FUNTASTIC DR,CABOT,AR,72023,,(501)843-3363,21,Suburb: Large,Yes,No,Yes,Yes,229.00000,14.40000,15.9000000,71.00000,15.00000
050007300001,AR-5706000-5706001,0500073,AR-5706000,PK,05,ACORN ELEMENTARY SCHOOL,OUACHITA RIVER SCHOOL DISTRICT,Polk County,143 POLK 96,MENA,AR,71953,,(479)394-4833,42,Rural: Distant,No,No,Yes,Yes,267.00000,18.62000,14.3000000,167.00000,37.00000
050007300002,AR-5706000-5706002,0500073,AR-5706000,06,12,ACORN HIGH SCHOOL,OUACHITA RIVER SCHOOL DISTRICT,Polk County,143 POLK 96,MENA,AR,71953,,(479)394-5544,42,Rural: Distant,No,No,Yes,Yes,281.00000,21.12000,13.3000000,152.00000,49.00000
051185000901,AR-6003000-6003090,0511850,AR-6003000,PK,PK,ADKINS PRE-K CENTER,PULASKI CO. SPEC. SCHOOL DIST.,Pulaski County,500 CLOVERDALE RD,JACKSONVILLE,AR,72076,,(501)982-3117,41,Rural: Fringe,No,No,No,†,186.00000,9.95000,18.7000000,155.00000,19.00000
051221000986,AR-7311000-7311051,0512210,AR-7311000,07,08,AHLF JUNIOR HIGH SCHOOL,SEARCY SCHOOL DISTRICT,White County,308 W VINE,SEARCY,AR,72143,,(501)268-3158,32,Town: Distant,No,No,Yes,Yes,607.00000,42.27000,14.4000000,247.00000,59.00000
050633000370,AR-6601000-6601014,0506330,AR-6601000,PK,06,ALBERT PIKE ELEMENTARY SCHOOL,FORT SMITH SCHOOL DISTRICT,Sebastian County,4111 PARK AVE,FORT SMITH,AR,72903,,(479)783-4506,13,City: Small,No,No,Yes,Yes,531.00000,33.75000,15.7000000,469.00000,42.00000
050225000004,AR-1701000-1701002,0502250,AR-1701000,09,12,ALMA HIGH SCHOOL,ALMA SCHOOL DISTRICT,Crawford County,P O BOX 2139,ALMA,AR,72921,,(479)632-2162,22,Suburb: Midsize,No,No,Yes,Yes,1034.00000,64.19000,16.1000000,431.00000,88.00000
050225000003,AR-1701000-1701001,0502250,AR-1701000,03,05,ALMA INTERMEDIATE SCHOOL,ALMA SCHOOL DISTRICT,Crawford County,P O BOX 2259,ALMA,AR,72921,,(479)632-2166,22,Suburb: Midsize,No,No,Yes,Yes,717.00000,37.00000,19.4000000,345.00000,57.00000
050225000005,AR-1701000-1701003,0502250,AR-1701000,06,08,ALMA MIDDLE SCHOOL,ALMA SCHOOL DISTRICT,Crawford County,P O BOX 2229,ALMA,AR,72921,,(479)632-2168,22,Suburb: Midsize,No,No,Yes,Yes,791.00000,55.82000,14.2000000,363.00000,88.00000
050225001350,AR-1701000-1701004,0502250,AR-1701000,KG,02,ALMA PRIMARY SCHOOL,ALMA SCHOOL DISTRICT,Crawford County,P O BOX 2299,ALMA,AR,72921,,(479)632-5100,22,Suburb: Midsize,No,No,Yes,Yes,670.00000,40.00000,16.8000000,336.00000,56.00000
