National Center for Education Statistics,,,,,,,,,,,,,,,,,,,,,,,,,
"CCD public school data 2015-2016, 2016-2017 school years",,,,,,,,,,,,,,,,,,,,,,,,,
The file contains (1244) records based on your search.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES:* denotes a column with data from 2015-2016,,,,,,,,,,,,,,,,,,,,,,,,,
"[ � ] indicates that the data are not applicable. For example, the enrollment and staff characteristics for schools that opened in the 2016-2017 school year will not be available until the full 2016-2017 file is released.",,,,,,,,,,,,,,,,,,,,,,,,,
[ � ] indicates that the data are missing.,,,,,,,,,,,,,,,,,,,,,,,,,
[ � ] indicates that the data do not meet NCES data quality standards.,,,,,,,,,,,,,,,,,,,,,,,,,
"The directory information on school name, address, and phone number are preliminary data from initial submissions of school level data for 2016-2017.",,,,,,,,,,,,,,,,,,,,,,,,,
"SEARCH CRITERIA: State: ""Oregon""�-�School Description: ""Regular, Special Education, Vocational, Other/Alternative""",,,,,,,,,,,,,,,,,,,,,,,,,
"NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user. To download full CCD datasets, please go to the CCD home page. http://nces.ed.gov/ccd",,,,,,,,,,,,,,,,,,,,,,,,,
NCES School ID,State School ID,NCES District ID,State District ID,Low Grade*,High Grade*,School Name,District,County Name*,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Locale Code*,Locale*,Charter,Magnet*,Title I School*,Title 1 School Wide*,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*
4.10852E+11,OR-00000000002147-00000000000000000813,4108520,OR-00000000002147,KG,03,A C Houghton Elementary School,Morrow SD 1,Morrow County,1105 N Main Ave,Irrigon,OR,97844,7050,(541)922-3321,32,Town: Distant,No,†,Yes,Yes,271.00000,17.00000,15.9000000,172.00000,38.00000
4.11004E+11,OR-00000000002180-00000000000000000822,4110040,OR-00000000002180,KG,05,Abernethy Elementary School,Portland SD 1J,Multnomah County,2421 SE Orange Ave,Portland,OR,97214,5398,(503)916-6190,11,City: Large,No,†,No,†,513.00000,23.63000,21.7000000,49.00000,5.00000
4.10804E+11,OR-00000000002048-00000000000000001350,4108040,OR-00000000002048,KG,06,Abraham Lincoln Elementary,Medford SD 549C,Jackson County,3101 McLoughlin Dr,Medford,OR,97504,9237,(541)842-3730,13,City: Small,No,†,No,†,499.00000,22.41000,22.3000000,135.00000,26.00000
4.11158E+11,OR-00000000002087-00000000000000004555,4111580,OR-00000000002087,KG,12,Academy for Character Education,South Lane SD 45J3,Lane County,PO Box 1652,Cottage Grove,OR,97424,,(541)942-9707,32,Town: Distant,Yes,†,No,†,164.00000,3.61000,45.4000000,–,–
4.11167E+11,OR-00000000002083-00000000000000004440,4111670,OR-00000000002083,09,12,Academy of Arts and Academics,Springfield SD 19,Lane County,615 Main St,Springfield,OR,97477,4764,(541)744-6728,22,Suburb: Midsize,Yes,†,No,†,357.00000,13.88000,25.7000000,173.00000,25.00000
4.11353E+11,OR-00000000002146-00000000000000004540,4113530,OR-00000000002146,09,12,Academy of International Studies (at Woodburn),Woodburn SD 103,Marion County,1785 N Front St,Woodburn,OR,97071,9799,(503)980-6100,31,Town: Fringe,No,†,Yes,Yes,268.00000,16.30000,16.4000000,189.00000,18.00000
4.10348E+11,OR-00000000001901-00000000000000000027,4103480,OR-00000000001901,KG,05,Adams Elementary School,Corvallis SD 509J,Benton County,1615 SW 35th St,Corvallis,OR,97333,1197,(541)757-5938,13,City: Small,No,†,No,†,398.00000,18.60000,21.4000000,90.00000,13.00000
4.10474E+11,OR-00000000002082-00000000000000000503,4104740,OR-00000000002082,KG,05,Adams Elementary School,Eugene SD 4J,Lane County,950 W 22nd Ave,Eugene,OR,97405,2199,(541)790-5000,12,City: Midsize,No,†,No,†,471.00000,21.00000,22.4000000,168.00000,18.00000
4.10099E+11,OR-00000000002063-00000000000000000498,4100990,OR-00000000002063,04,08,Adel Elementary School,Adel SD 21,Lake County,PO Box 117,Adel,OR,97620,0117,(541)947-3371,43,Rural: Remote,No,†,No,†,9.00000,1.00000,9.0000000,–,–
4.10102E+11,OR-00000000002113-00000000000000000707,4101020,OR-00000000002113,KG,08,Adrian Elementary School,Adrian SD 61,Malheur County,PO Box 108,Adrian,OR,97901,0108,(541)372-2337,42,Rural: Distant,No,†,Yes,Yes,199.00000,10.52000,18.9000000,109.00000,28.00000
