National Center for Education Statistics,,,,,,,,,,,,,,,,,,,,,,,,,
"CCD public school data 2015-2016, 2016-2017 school years",,,,,,,,,,,,,,,,,,,,,,,,,
The file contains (28) records based on your search.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES:* denotes a column with data from 2015-2016,,,,,,,,,,,,,,,,,,,,,,,,,
"[ � ] indicates that the data are not applicable. For example, the enrollment and staff characteristics for schools that opened in the 2016-2017 school year will not be available until the full 2016-2017 file is released.",,,,,,,,,,,,,,,,,,,,,,,,,
[ � ] indicates that the data are missing.,,,,,,,,,,,,,,,,,,,,,,,,,
[ � ] indicates that the data do not meet NCES data quality standards.,,,,,,,,,,,,,,,,,,,,,,,,,
"The directory information on school name, address, and phone number are preliminary data from initial submissions of school level data for 2016-2017.",,,,,,,,,,,,,,,,,,,,,,,,,
"SEARCH CRITERIA: State: ""Virgin Islands""�-�School Description: ""Regular, Special Education, Vocational, Other/Alternative""",,,,,,,,,,,,,,,,,,,,,,,,,
"NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user. To download full CCD datasets, please go to the CCD home page. http://nces.ed.gov/ccd",,,,,,,,,,,,,,,,,,,,,,,,,
NCES School ID,State School ID,NCES District ID,State District ID,Low Grade*,High Grade*,School Name,District,County Name*,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Locale Code*,Locale*,Charter,Magnet*,Title I School*,Title 1 School Wide*,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*
7.8E+11,VI-002-35,7800002,VI-002,–,–,ALEXANDER HENDERSON ELEMENTARY SCHOOL,Saint Croix School District,St. Croix Island,2133 Hospital Street,Saint Croix,VI,00820,,(340)772-1330,33,Town: Remote,†,No,–,–,440.00000,33.00000,13.3000000,437.00000,0.00000
7.8E+11,VI-002-37,7800002,VI-002,–,–,ALFREDO ANDREWS ELEMENTARY SCHOOL,Saint Croix School District,St. Croix Island,2133 Hospital Street,Saint Croix,VI,00820,,(340)778-1925,33,Town: Remote,†,No,–,–,550.00000,38.00000,14.5000000,547.00000,0.00000
7.8E+11,VI-002-46,7800002,VI-002,–,–,ARTHUR A. RICHARDS JUNIOR HIGH SCHOOL,Saint Croix School District,St. Croix Island,2133 Hospital Street,Saint Croix,VI,00820,,(340)772-1500,33,Town: Remote,†,No,–,–,412.00000,35.00000,11.8000000,409.00000,0.00000
7.80003E+11,VI-001-9,7800030,VI-001,–,–,BERTHA BOSCHULTE JUNIOR HIGH,Saint Thomas - Saint John School District,St. Thomas Island,1834 Kongens Gade,Saint Thomas,VI,00802,,(340)775-4222,33,Town: Remote,†,No,–,–,591.00000,43.00000,13.7000000,588.00000,0.00000
7.80003E+11,VI-001-25,7800030,VI-001,–,–,CANCRYN JUNIOR HIGH SCHOOL,Saint Thomas - Saint John School District,St. Thomas Island,1834 Kongens Gade,Saint Thomas,VI,00802,,(340)774-4540,33,Town: Remote,†,No,–,–,531.00000,52.00000,10.2000000,528.00000,0.00000
7.80003E+11,VI-001-27,7800030,VI-001,–,–,CHARLOTTE AMALIE HIGH SCHOOL,Saint Thomas - Saint John School District,St. Thomas Island,1834 Kongens Gade,Saint Thomas,VI,00802,,(340)774-0780,33,Town: Remote,†,No,–,–,1361.00000,116.00000,11.7000000,1358.00000,0.00000
7.8E+11,VI-002-34,7800002,VI-002,–,–,CLAUDE O. MARKOE ELEMENTARY SCHOOL,Saint Croix School District,St. Croix Island,2133 Hospital Street,Saint Croix,VI,00820,,(340)772-4510,33,Town: Remote,†,No,–,–,497.00000,32.00000,15.5000000,494.00000,0.00000
7.80003E+11,VI-001-26,7800030,VI-001,–,–,E. BENJAMIN OLIVER ELEMENTARY SCHOOL,Saint Thomas - Saint John School District,St. Thomas Island,1834 Kongens Gade,Saint Thomas,VI,00802,,(340)775-2000,33,Town: Remote,†,No,–,–,528.00000,30.00000,17.6000000,525.00000,0.00000
7.8E+11,VI-002-45,7800002,VI-002,–,–,ELENA L. CHRISTIAN JUNIOR HIGH SCCHOOL,Saint Croix School District,St. Croix Island,2133 Hospital Street,Saint Croix,VI,00820,,(340)773-4445,33,Town: Remote,†,No,–,–,307.00000,24.00000,12.8000000,304.00000,0.00000
7.8E+11,VI-002-32,7800002,VI-002,–,–,EULALIE RIVERA ELEMENTARY SCHOOL,Saint Croix School District,St. Croix Island,2133 Hospital Street,Saint Croix,VI,00820,,(340)692-2121,33,Town: Remote,†,No,–,–,472.00000,31.00000,15.2000000,469.00000,0.00000
