National Center for Education Statistics,,,,,,,,,,,,,,,,,,,,,,,,,
"CCD public school data 2015-2016, 2016-2017 school years",,,,,,,,,,,,,,,,,,,,,,,,,
The file contains (3009) records based on your search.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES:* denotes a column with data from 2015-2016,,,,,,,,,,,,,,,,,,,,,,,,,
"[ � ] indicates that the data are not applicable. For example, the enrollment and staff characteristics for schools that opened in the 2016-2017 school year will not be available until the full 2016-2017 file is released.",,,,,,,,,,,,,,,,,,,,,,,,,
[ � ] indicates that the data are missing.,,,,,,,,,,,,,,,,,,,,,,,,,
[ � ] indicates that the data do not meet NCES data quality standards.,,,,,,,,,,,,,,,,,,,,,,,,,
"The directory information on school name, address, and phone number are preliminary data from initial submissions of school level data for 2016-2017.",,,,,,,,,,,,,,,,,,,,,,,,,
"SEARCH CRITERIA: State: ""Pennsylvania""�-�School Description: ""Regular, Special Education, Vocational, Other/Alternative""",,,,,,,,,,,,,,,,,,,,,,,,,
"NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user. To download full CCD datasets, please go to the CCD home page. http://nces.ed.gov/ccd",,,,,,,,,,,,,,,,,,,,,,,,,
NCES School ID,State School ID,NCES District ID,State District ID,Low Grade*,High Grade*,School Name,District,County Name*,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Locale Code*,Locale*,Charter,Magnet*,Title I School*,Title 1 School Wide*,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*
4.20009E+11,PA-124150002-7691,4200091,PA-124150002,06,12,21st Century Cyber CS,21st Century Cyber CS,Chester County,126 Wallace Ave.,Downingtown,PA,19335,,(484)875-5400,21,Suburb: Large,Yes,No,No,†,818.00000,38.50000,21.2000000,98.00000,39.00000
4.22415E+11,PA-101268003-6933,4224150,PA-101268003,06,08,A J McMullen Sch,Uniontown Area SD,Fayette County,4773 National Pike,Markleysburg,PA,15459,9638,(724)329-8811,42,Rural: Distant,No,No,Yes,Yes,197.00000,14.44000,13.6000000,72.00000,32.00000
4.2021E+11,PA-101260303-8364,4202100,PA-101260303,KG,05,A L Wilson El School,Albert Gallatin Area SD,†,100 Al Wilson Drive,Fairchance,PA,15436,1308,(724)564-7434,†,N,No,†,†,†,†,†,†,†,†
4.28001E+11,PA-103020407-5273,4280010,PA-103020407,09,12,A W Beattie Career Center,A W Beattie Career Center,Allegheny County,9600 Babcock Boulevard,Allison Park,PA,15101,2005,(412)847-1900,21,Suburb: Large,No,No,†,†,0.00000,29.00000,†,0.00000,0.00000
4.20201E+11,PA-119350303-5091,4202010,PA-119350303,09,12,Abington Heights HS,Abington Heights SD,Lackawanna County,222 Noble Road,Clarks Summit,PA,18411,,(570)585-5300,41,Rural: Fringe,No,No,No,†,1044.00000,77.33000,13.5000000,145.00000,22.00000
4.20201E+11,PA-119350303-6839,4202010,PA-119350303,05,08,Abington Heights MS,Abington Heights SD,Lackawanna County,1555 Newton Ransom Blvd,Clarks Summit,PA,18411,,(570)585-4300,41,Rural: Fringe,No,No,No,†,1044.00000,69.78000,15.0000000,163.00000,38.00000
4.20204E+11,PA-123460302-3242,4202040,PA-123460302,07,09,Abington JHS,Abington SD,Montgomery County,2056 Susquehanna St,Abington,PA,19001,4406,(215)884-4700,21,Suburb: Large,No,No,Yes,No,1790.00000,124.80000,14.3000000,320.00000,43.00000
4.20204E+11,PA-123460302-3241,4202040,PA-123460302,10,12,Abington SHS,Abington SD,Montgomery County,900 Highland Avenue,Abington,PA,19001,4590,(215)884-4700,21,Suburb: Large,No,No,Yes,No,1776.00000,121.50000,14.6000000,311.00000,39.00000
4.20351E+11,PA-103021252-4802,4203510,PA-103021252,KG,04,Abraham Lincoln El Sch,Bethel Park SD,Allegheny County,1524 Hamilton Rd,Pittsburgh,PA,15234,2099,(412)854-8618,21,Suburb: Large,No,No,Yes,No,305.00000,22.30000,13.7000000,47.00000,3.00000
4.21899E+11,PA-126515001-7904,4218990,PA-126515001,09,12,Academy at Palumbo,Philadelphia City SD,Philadelphia County,1100 Catharine St,Philadelphia,PA,19147,2622,(215)351-7618,11,City: Large,No,Yes,Yes,Yes,883.00000,13.00000,67.9000000,883.00000,0.00000
4.21917E+11,PA-102027451-8203,4219170,PA-102027451,06,12,Academy at Westinghouse,Pittsburgh SD,Allegheny County,1101 N. Murtland Avenue,Pittsburgh,PA,15208,,(412)529-3840,11,City: Large,No,No,Yes,Yes,488.00000,47.00000,10.4000000,381.00000,5.00000
4.20013E+11,PA-102020003-7846,4200133,PA-102020003,08,12,Academy CS,Academy CS,Allegheny County,900 Agnew Rd,Pittsburgh,PA,15227,,(412)885-5200,11,City: Large,Yes,No,Yes,Yes,141.00000,22.21000,6.3000000,141.00000,0.00000
4.2224E+11,PA-125238402-6516,4222400,PA-125238402,09,12,Academy Park HS,Southeast Delco SD,Delaware County,300 Calcon Hook Rd,Sharon Hill,PA,19079,1531,(610)522-4330,21,Suburb: Large,No,No,Yes,Yes,1203.00000,76.25000,15.8000000,881.00000,85.00000
4.20013E+11,PA-125230001-7824,4200128,PA-125230001,07,12,Achievement House CS,Achievement House CS,Chester County,600 Eagleview Boulevard,Exton,PA,19341,,(484)615-6200,21,Suburb: Large,Yes,No,Yes,Yes,542.00000,37.50000,14.5000000,–,–
4.20219E+11,PA-103020603-5296,4202190,PA-103020603,KG,03,Acmetonia Primary Sch,Allegheny Valley SD,Allegheny County,300 Pearl Street,Cheswick,PA,15024,1066,(724)274-6500,21,Suburb: Large,No,No,Yes,Yes,278.00000,17.26000,16.1000000,118.00000,19.00000
4.20087E+11,PA-126514368-8217,4200868,PA-126514368,09,12,ACT Academy Cyber CS,ACT Academy Cyber CS,Philadelphia County,2111 Eastburn Avenue,Philadelphia,PA,19138,,(267)297-1668,11,City: Large,Yes,No,Yes,Yes,89.00000,6.75000,13.2000000,–,–
4.20013E+11,PA-126510015-7825,4200129,PA-126510015,KG,08,Ad Prima CS,Ad Prima CS,Philadelphia County,Administrative Office,Philadelphia,PA,19151,,(267)403-2672,11,City: Large,Yes,No,Yes,Yes,713.00000,43.00000,16.6000000,–,–
4.21899E+11,PA-126515001-7256,4218990,PA-126515001,KG,08,Adaire Alexander Sch,Philadelphia City SD,Philadelphia County,1300 E Palmer St,Philadelphia,PA,19125,3321,(215)291-4712,11,City: Large,No,No,Yes,Yes,355.00000,22.00000,16.1000000,355.00000,0.00000
4.20627E+11,PA-113361303-2510,4206270,PA-113361303,KG,05,Adamstown El Sch,Cocalico SD,Lancaster County,256 West Main Street,Adamstown,PA,19501,0395,(717)484-1601,21,Suburb: Large,No,No,Yes,No,434.00000,28.20000,15.4000000,127.00000,12.00000
4.28012E+11,PA-108110307-6661,4280120,PA-108110307,09,12,Admiral Peary AVTS,Admiral Peary AVTS,Cambria County,948 Ben Franklin Highway,Ebensburg,PA,15931,7618,(814)472-6490,31,Town: Fringe,No,No,†,†,0.00000,17.00000,†,0.00000,0.00000
4.21884E+11,PA-122098202-7519,4218840,PA-122098202,KG,05,Afton El Sch,Pennsbury SD,Bucks County,1673 Quarry Rd,Yardley,PA,19067,3911,(215)321-8540,21,Suburb: Large,No,No,No,†,553.00000,36.30000,15.2000000,46.00000,5.00000
4.20014E+11,PA-126510020-7858,4200140,PA-126510020,KG,12,Agora Cyber CS,Agora Cyber CS,Montgomery County,590 North Gulph Road,King of Prussia,PA,19406,,(610)230-0775,21,Suburb: Large,Yes,No,Yes,Yes,8153.00000,363.00000,22.5000000,–,–
