National Center for Education Statistics,,,,,,,,,,,,,,,,,,,,,,,,,
"CCD public school data 2015-2016, 2016-2017 school years",,,,,,,,,,,,,,,,,,,,,,,,,
The file contains (1282) records based on your search.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES:* denotes a column with data from 2015-2016,,,,,,,,,,,,,,,,,,,,,,,,,
"[ � ] indicates that the data are not applicable. For example, the enrollment and staff characteristics for schools that opened in the 2016-2017 school year will not be available until the full 2016-2017 file is released.",,,,,,,,,,,,,,,,,,,,,,,,,
[ � ] indicates that the data are missing.,,,,,,,,,,,,,,,,,,,,,,,,,
[ � ] indicates that the data do not meet NCES data quality standards.,,,,,,,,,,,,,,,,,,,,,,,,,
"The directory information on school name, address, and phone number are preliminary data from initial submissions of school level data for 2016-2017.",,,,,,,,,,,,,,,,,,,,,,,,,
"SEARCH CRITERIA: State: ""Puerto Rico""",,,,,,,,,,,,,,,,,,,,,,,,,
"NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user. To download full CCD datasets, please go to the CCD home page. http://nces.ed.gov/ccd",,,,,,,,,,,,,,,,,,,,,,,,,
NCES School ID,State School ID,NCES District ID,State District ID,Low Grade*,High Grade*,School Name,District,County Name*,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Locale Code*,Locale*,Charter,Magnet*,Title I School*,Title 1 School Wide*,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*
7.20003E+11,PR-01-35295,7200030,PR-01,–,–,20 DE SEPTIEMBRE DE 1988,PUERTO RICO DEPARTMENT OF EDUCATION,Vieques Municipio,PO BOX 1554,VIEQUES,PR,00765,,(787)741-3091,41,Rural: Fringe,†,†,Yes,Yes,210.00000,18.00000,11.7000000,172.00000,18.00000
7.20003E+11,PR-01-62844,7200030,PR-01,–,–,ABELARDO DIAZ ALFARO,PUERTO RICO DEPARTMENT OF EDUCATION,San Juan Municipio,PO BOX 21414 SUITE 201,SAN JUAN,PR,00924,,(787)720-0040,21,Suburb: Large,†,†,Yes,Yes,145.00000,11.00000,13.2000000,112.00000,12.00000
7.20003E+11,PR-01-74864,7200030,PR-01,–,–,ABELARDO DIAZ ALFARO (INT. PINAS),PUERTO RICO DEPARTMENT OF EDUCATION,Toa Alta Municipio,RR 3 BOX 10190,TOA ALTA,PR,00953,,(787)797-0315,21,Suburb: Large,†,†,Yes,Yes,583.00000,37.00000,15.8000000,478.00000,50.00000
7.20003E+11,PR-01-20578,7200030,PR-01,–,–,ABELARDO DIAZ MORALES,PUERTO RICO DEPARTMENT OF EDUCATION,Caguas Municipio,CALL BOX 4952 SUITE 353,CAGUAS,PR,00726,,(787)743-9056,13,City: Small,†,†,Yes,Yes,623.00000,43.00000,14.5000000,499.00000,52.00000
7.20003E+11,PR-01-15784,7200030,PR-01,–,–,ABELARDO MARTINEZ OTERO,PUERTO RICO DEPARTMENT OF EDUCATION,Arecibo Municipio,PO BOX 9059,ARECIBO,PR,00614,,(787)879-2614,13,City: Small,†,†,Yes,Yes,373.00000,32.00000,11.7000000,302.00000,31.00000
7.20003E+11,PR-01-61598,7200030,PR-01,–,–,ABRAHAM LINCOLN,PUERTO RICO DEPARTMENT OF EDUCATION,San Juan Municipio,PO BOX 9023347,SAN JUAN,PR,00901,,(787)722-1561,11,City: Large,†,†,Yes,Yes,139.00000,15.00000,9.3000000,100.00000,10.00000
7.20003E+11,PR-01-52357,7200030,PR-01,–,–,ABRAHAM LINCOLN,PUERTO RICO DEPARTMENT OF EDUCATION,Ponce Municipio,46 CAMPECHE,PONCE,PR,00731,,(787)842-0117,12,City: Midsize,†,†,Yes,Yes,166.00000,18.00000,9.2000000,136.00000,14.00000
7.20003E+11,PR-01-70862,7200030,PR-01,–,–,ABRAHAM LINCOLN,PUERTO RICO DEPARTMENT OF EDUCATION,Corozal Municipio,PO BOX 135,COROZAL,PR,00783,,(787)859-3007,21,Suburb: Large,†,†,Yes,Yes,446.00000,39.00000,11.4000000,344.00000,36.00000
7.20003E+11,PR-01-27714,7200030,PR-01,–,–,ADALBERTO SANCHEZ MORALES (ELEM. BO. ANCONES),PUERTO RICO DEPARTMENT OF EDUCATION,Arroyo Municipio,PO BOX 164,ARROYO,PR,00714,,(787)271-2973,23,Suburb: Small,†,†,Yes,Yes,252.00000,21.00000,12.0000000,205.00000,21.00000
7.20003E+11,PR-01-26336,7200030,PR-01,–,–,ADELA BRENES TEXIDOR,PUERTO RICO DEPARTMENT OF EDUCATION,Guayama Municipio,PO BOX 2188,GUAYAMA,PR,00785,,(787)864-7700,23,Suburb: Small,†,†,Yes,Yes,419.00000,33.00000,12.7000000,342.00000,35.00000
7.20003E+11,PR-01-78931,7200030,PR-01,–,–,ADELA ROLON FUENTES,PUERTO RICO DEPARTMENT OF EDUCATION,Toa Alta Municipio,PO BOX 391,TOA ALTA,PR,00954,,(787)279-8282,21,Suburb: Large,†,†,Yes,Yes,840.00000,42.00000,20.0000000,658.00000,68.00000
7.20003E+11,PR-01-71514,7200030,PR-01,–,–,ADOLFINA IRIZARRY DE PUIG,PUERTO RICO DEPARTMENT OF EDUCATION,Toa Baja Municipio,PO BOX 2019,TOA BAJA,PR,00951,,(787)794-2018,21,Suburb: Large,†,†,Yes,Yes,746.00000,42.00000,17.8000000,595.00000,62.00000
7.20003E+11,PR-01-10769,7200030,PR-01,–,–,ADOLFO EGUEN,PUERTO RICO DEPARTMENT OF EDUCATION,Florida Municipio,PO BOX 1169,FLORIDA,PR,00650,,(787)822-2904,41,Rural: Fringe,†,†,Yes,Yes,177.00000,13.00000,13.6000000,130.00000,13.00000
7.20003E+11,PR-01-51953,7200030,PR-01,–,–,ADOLFO GRANA RIVERA,PUERTO RICO DEPARTMENT OF EDUCATION,PeÃ±uelas Municipio,PO BOX 097,PENUELAS,PR,00624,,(787)836-1005,23,Suburb: Small,†,†,Yes,Yes,289.00000,19.00000,15.2000000,237.00000,25.00000
7.20003E+11,PR-01-11437,7200030,PR-01,–,–,ADRIAN MARTINEZ GANDIA,PUERTO RICO DEPARTMENT OF EDUCATION,Hatillo Municipio,PO BOX 1717,HATILLO,PR,00659,,(787)898-3440,22,Suburb: Midsize,†,†,Yes,Yes,92.00000,16.00000,5.8000000,67.00000,7.00000
7.20003E+11,PR-01-30601,7200030,PR-01,–,–,ADRIAN MEDINA,PUERTO RICO DEPARTMENT OF EDUCATION,Humacao Municipio,VILLA UNIVERSITARIA CALLE 2 A-,HUMACAO,PR,00792,,(787)850-3233,21,Suburb: Large,†,†,Yes,Yes,182.00000,12.00000,15.2000000,127.00000,13.00000
7.20003E+11,PR-01-58594,7200030,PR-01,–,–,ADRIAN TORRES TORRES,PUERTO RICO DEPARTMENT OF EDUCATION,Jayuya Municipio,CARR 141-R KM 2 HM 1,JAYUYA,PR,00664,,(787)828-3445,41,Rural: Fringe,†,†,Yes,Yes,342.00000,27.00000,12.7000000,280.00000,29.00000
7.20003E+11,PR-01-32375,7200030,PR-01,–,–,ADRIANNE SERRANO,PUERTO RICO DEPARTMENT OF EDUCATION,Vieques Municipio,HC 02 BOX 1406,VIEQUES,PR,00765,9712,(787)741-8692,41,Rural: Fringe,†,†,No,†,27.00000,7.00000,3.9000000,22.00000,3.00000
7.20003E+11,PR-01-74807,7200030,PR-01,–,–,AGAPITO ROSARIO ROSARIO,PUERTO RICO DEPARTMENT OF EDUCATION,Vega Baja Municipio,PO BOX 7004,VEGA BAJA,PR,00693,,(787)858-2988,21,Suburb: Large,†,†,Yes,Yes,585.00000,38.00000,15.4000000,455.00000,47.00000
7.20003E+11,PR-01-50740,7200030,PR-01,–,–,AGRIPINA SEDA,PUERTO RICO DEPARTMENT OF EDUCATION,GuÃ¡nica Municipio,PO BOX 690,GUANICA,PR,00653,,(787)821-2310,23,Suburb: Small,†,†,Yes,Yes,264.00000,21.00000,12.6000000,213.00000,22.00000
7.20003E+11,PR-01-10785,7200030,PR-01,–,–,AGUSTIN BALSEIRO,PUERTO RICO DEPARTMENT OF EDUCATION,Barceloneta Municipio,PO BOX 15,BARCELONETA,PR,00617,,(787)846-4742,22,Suburb: Midsize,†,†,Yes,Yes,122.00000,14.00000,8.7000000,92.00000,10.00000
7.20003E+11,PR-01-66019,7200030,PR-01,–,–,AGUSTIN CABRERA,PUERTO RICO DEPARTMENT OF EDUCATION,Carolina Municipio,PO BOX 8828 PLAZA CAR STA,CAROLINA,PR,00985,,(787)768-4044,12,City: Midsize,†,†,Yes,Yes,270.00000,17.00000,15.9000000,221.00000,23.00000
7.20003E+11,PR-01-30619,7200030,PR-01,–,–,AGUSTIN DUENO,PUERTO RICO DEPARTMENT OF EDUCATION,Juncos Municipio,PO BOX 1721,JUNCOS,PR,00777,,(787)734-4342,21,Suburb: Large,†,†,Yes,Yes,143.00000,12.00000,11.9000000,103.00000,11.00000
7.20003E+11,PR-01-21337,7200030,PR-01,–,–,AGUSTIN FERNANDEZ COLON,PUERTO RICO DEPARTMENT OF EDUCATION,Cayey Municipio,PO BOX 372040,CAYEY,PR,00736,,(787)738-5761,21,Suburb: Large,†,†,Yes,No,200.00000,19.00000,10.5000000,160.00000,17.00000
7.20003E+11,PR-01-51367,7200030,PR-01,–,–,AGUSTIN ORTIZ RIVERA,PUERTO RICO DEPARTMENT OF EDUCATION,Jayuya Municipio,PO BOX 1579,JAYUYA,PR,00664,,(787)828-3750,31,Town: Fringe,†,†,Yes,Yes,191.00000,16.00000,11.9000000,157.00000,16.00000
7.20003E+11,PR-01-43455,7200030,PR-01,–,–,AIBONITO BELTRAN,PUERTO RICO DEPARTMENT OF EDUCATION,San SebastiÃ¡n Municipio,PO BOX 977,SAN SEBASTIAN,PR,00685,,(787)896-4362,21,Suburb: Large,†,†,Yes,Yes,138.00000,12.00000,11.5000000,106.00000,11.00000
7.20003E+11,PR-01-62984,7200030,PR-01,–,–,ALBERT EINSTEIN,PUERTO RICO DEPARTMENT OF EDUCATION,San Juan Municipio,PO BOX 14185,SAN JUAN,PR,00915,,(787)727-5525,11,City: Large,†,†,Yes,Yes,380.00000,30.00000,12.7000000,280.00000,29.00000
7.20003E+11,PR-01-75671,7200030,PR-01,–,–,ALEJANDRO JR CRUZ,PUERTO RICO DEPARTMENT OF EDUCATION,Guaynabo Municipio,PO BOX 2157,GUAYNABO,PR,00970,,(787)287-6080,21,Suburb: Large,†,†,Yes,Yes,169.00000,12.00000,14.1000000,134.00000,14.00000
7.20003E+11,PR-01-71449,7200030,PR-01,–,–,ALEJANDRO JR CRUZ (GALATEO PARCELAS),PUERTO RICO DEPARTMENT OF EDUCATION,Toa Alta Municipio,PO BOX 899,TOA ALTA,PR,00954,,(787)870-1665,21,Suburb: Large,†,†,Yes,Yes,139.00000,14.00000,9.9000000,106.00000,11.00000
7.20003E+11,PR-01-63172,7200030,PR-01,–,–,ALEJANDRO TAPIA Y RIVERA,PUERTO RICO DEPARTMENT OF EDUCATION,San Juan Municipio,VILLA PALMERAS,SAN JUAN,PR,00915,,(787)726-0100,11,City: Large,†,†,Yes,Yes,225.00000,22.00000,10.2000000,185.00000,19.00000
7.20003E+11,PR-01-69179,7200030,PR-01,–,–,ALEJANDRO TAPIA Y RIVERA,PUERTO RICO DEPARTMENT OF EDUCATION,Trujillo Alto Municipio,CALLE 2 SECTOR PARCELA BO CARR,TRUJILLO ALTO,PR,00976,,(787)760-0370,21,Suburb: Large,†,†,Yes,No,219.00000,19.00000,11.5000000,177.00000,18.00000
7.20003E+11,PR-01-41475,7200030,PR-01,–,–,ALEJANDRO TAPIA Y RIVERA,PUERTO RICO DEPARTMENT OF EDUCATION,Lajas Municipio,PO BOX 435,LAJAS,PR,00667,,(787)899-1552,41,Rural: Fringe,†,†,Yes,Yes,132.00000,12.00000,11.0000000,102.00000,11.00000
7.20003E+11,PR-01-32979,7200030,PR-01,–,–,ALFONSO DIAZ LEBRON,PUERTO RICO DEPARTMENT OF EDUCATION,Juncos Municipio,PO BOX 1614,JUNCOS,PR,00777,,(787)734-6806,21,Suburb: Large,†,†,Yes,Yes,286.00000,18.00000,15.9000000,233.00000,24.00000
7.20003E+11,PR-01-20065,7200030,PR-01,–,–,ALFONSO LOPEZ O'NEILL,PUERTO RICO DEPARTMENT OF EDUCATION,Aguas Buenas Municipio,PO BOX 407,AGUAS BUENAS,PR,00703,,(787)747-5895,21,Suburb: Large,†,†,Yes,Yes,145.00000,12.00000,12.1000000,117.00000,12.00000
7.20003E+11,PR-01-53355,7200030,PR-01,–,–,ALMACIGO BAJO I  Y II,PUERTO RICO DEPARTMENT OF EDUCATION,Yauco Municipio,PO BOX 48,YAUCO,PR,00698,,(787)856-0613,23,Suburb: Small,†,†,Yes,Yes,149.00000,11.00000,13.5000000,112.00000,12.00000
7.20003E+11,PR-01-72017,7200030,PR-01,–,–,ALMIRANTE SUR 2,PUERTO RICO DEPARTMENT OF EDUCATION,Vega Baja Municipio,PO BOX 4396,VEGA BAJA,PR,00693,,(787)855-6423,21,Suburb: Large,†,†,Yes,Yes,151.00000,12.00000,12.6000000,107.00000,11.00000
